command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	4829105	File	/home/p4ultr4n/workplace/ReVeal/raw_code/img_commit_1.c								
ANR	4829106	Function	img_commit	1:0:0:4861							
ANR	4829107	FunctionDef	"img_commit (int argc , char * * argv)"		4829106	0					
ANR	4829108	CompoundStatement		3:0:46:4861	4829106	0					
ANR	4829109	IdentifierDeclStatement	"int c , ret , flags ;"	5:4:53:70	4829106	0	True				
ANR	4829110	IdentifierDecl	c		4829106	0					
ANR	4829111	IdentifierDeclType	int		4829106	0					
ANR	4829112	Identifier	c		4829106	1					
ANR	4829113	IdentifierDecl	ret		4829106	1					
ANR	4829114	IdentifierDeclType	int		4829106	0					
ANR	4829115	Identifier	ret		4829106	1					
ANR	4829116	IdentifierDecl	flags		4829106	2					
ANR	4829117	IdentifierDeclType	int		4829106	0					
ANR	4829118	Identifier	flags		4829106	1					
ANR	4829119	IdentifierDeclStatement	"const char * filename , * fmt , * cache , * base ;"	7:4:77:118	4829106	1	True				
ANR	4829120	IdentifierDecl	* filename		4829106	0					
ANR	4829121	IdentifierDeclType	const char *		4829106	0					
ANR	4829122	Identifier	filename		4829106	1					
ANR	4829123	IdentifierDecl	* fmt		4829106	1					
ANR	4829124	IdentifierDeclType	const char *		4829106	0					
ANR	4829125	Identifier	fmt		4829106	1					
ANR	4829126	IdentifierDecl	* cache		4829106	2					
ANR	4829127	IdentifierDeclType	const char *		4829106	0					
ANR	4829128	Identifier	cache		4829106	1					
ANR	4829129	IdentifierDecl	* base		4829106	3					
ANR	4829130	IdentifierDeclType	const char *		4829106	0					
ANR	4829131	Identifier	base		4829106	1					
ANR	4829132	IdentifierDeclStatement	BlockBackend * blk ;	9:4:125:142	4829106	2	True				
ANR	4829133	IdentifierDecl	* blk		4829106	0					
ANR	4829134	IdentifierDeclType	BlockBackend *		4829106	0					
ANR	4829135	Identifier	blk		4829106	1					
ANR	4829136	IdentifierDeclStatement	"BlockDriverState * bs , * base_bs ;"	11:4:149:179	4829106	3	True				
ANR	4829137	IdentifierDecl	* bs		4829106	0					
ANR	4829138	IdentifierDeclType	BlockDriverState *		4829106	0					
ANR	4829139	Identifier	bs		4829106	1					
ANR	4829140	IdentifierDecl	* base_bs		4829106	1					
ANR	4829141	IdentifierDeclType	BlockDriverState *		4829106	0					
ANR	4829142	Identifier	base_bs		4829106	1					
ANR	4829143	IdentifierDeclStatement	BlockJob * job ;	13:4:186:199	4829106	4	True				
ANR	4829144	IdentifierDecl	* job		4829106	0					
ANR	4829145	IdentifierDeclType	BlockJob *		4829106	0					
ANR	4829146	Identifier	job		4829106	1					
ANR	4829147	IdentifierDeclStatement	"bool progress = false , quiet = false , drop = false ;"	15:4:206:256	4829106	5	True				
ANR	4829148	IdentifierDecl	progress = false		4829106	0					
ANR	4829149	IdentifierDeclType	bool		4829106	0					
ANR	4829150	Identifier	progress		4829106	1					
ANR	4829151	AssignmentExpression	progress = false		4829106	2		=			
ANR	4829152	Identifier	false		4829106	0					
ANR	4829153	Identifier	false		4829106	1					
ANR	4829154	IdentifierDecl	quiet = false		4829106	1					
ANR	4829155	IdentifierDeclType	bool		4829106	0					
ANR	4829156	Identifier	quiet		4829106	1					
ANR	4829157	AssignmentExpression	quiet = false		4829106	2		=			
ANR	4829158	Identifier	false		4829106	0					
ANR	4829159	Identifier	false		4829106	1					
ANR	4829160	IdentifierDecl	drop = false		4829106	2					
ANR	4829161	IdentifierDeclType	bool		4829106	0					
ANR	4829162	Identifier	drop		4829106	1					
ANR	4829163	AssignmentExpression	drop = false		4829106	2		=			
ANR	4829164	Identifier	false		4829106	0					
ANR	4829165	Identifier	false		4829106	1					
ANR	4829166	IdentifierDeclStatement	bool writethrough ;	17:4:263:280	4829106	6	True				
ANR	4829167	IdentifierDecl	writethrough		4829106	0					
ANR	4829168	IdentifierDeclType	bool		4829106	0					
ANR	4829169	Identifier	writethrough		4829106	1					
ANR	4829170	IdentifierDeclStatement	Error * local_err = NULL ;	19:4:287:310	4829106	7	True				
ANR	4829171	IdentifierDecl	* local_err = NULL		4829106	0					
ANR	4829172	IdentifierDeclType	Error *		4829106	0					
ANR	4829173	Identifier	local_err		4829106	1					
ANR	4829174	AssignmentExpression	* local_err = NULL		4829106	2		=			
ANR	4829175	Identifier	NULL		4829106	0					
ANR	4829176	Identifier	NULL		4829106	1					
ANR	4829177	IdentifierDeclStatement	CommonBlockJobCBInfo cbi ;	21:4:317:341	4829106	8	True				
ANR	4829178	IdentifierDecl	cbi		4829106	0					
ANR	4829179	IdentifierDeclType	CommonBlockJobCBInfo		4829106	0					
ANR	4829180	Identifier	cbi		4829106	1					
ANR	4829181	IdentifierDeclStatement	bool image_opts = false ;	23:4:348:371	4829106	9	True				
ANR	4829182	IdentifierDecl	image_opts = false		4829106	0					
ANR	4829183	IdentifierDeclType	bool		4829106	0					
ANR	4829184	Identifier	image_opts		4829106	1					
ANR	4829185	AssignmentExpression	image_opts = false		4829106	2		=			
ANR	4829186	Identifier	false		4829106	0					
ANR	4829187	Identifier	false		4829106	1					
ANR	4829188	IdentifierDeclStatement	AioContext * aio_context ;	25:4:378:401	4829106	10	True				
ANR	4829189	IdentifierDecl	* aio_context		4829106	0					
ANR	4829190	IdentifierDeclType	AioContext *		4829106	0					
ANR	4829191	Identifier	aio_context		4829106	1					
ANR	4829192	ExpressionStatement	fmt = NULL	29:4:410:420	4829106	11	True				
ANR	4829193	AssignmentExpression	fmt = NULL		4829106	0		=			
ANR	4829194	Identifier	fmt		4829106	0					
ANR	4829195	Identifier	NULL		4829106	1					
ANR	4829196	ExpressionStatement	cache = BDRV_DEFAULT_CACHE	31:4:427:453	4829106	12	True				
ANR	4829197	AssignmentExpression	cache = BDRV_DEFAULT_CACHE		4829106	0		=			
ANR	4829198	Identifier	cache		4829106	0					
ANR	4829199	Identifier	BDRV_DEFAULT_CACHE		4829106	1					
ANR	4829200	ExpressionStatement	base = NULL	33:4:460:471	4829106	13	True				
ANR	4829201	AssignmentExpression	base = NULL		4829106	0		=			
ANR	4829202	Identifier	base		4829106	0					
ANR	4829203	Identifier	NULL		4829106	1					
ANR	4829204	ForStatement	for ( ; ; )		4829106	14					
ANR	4829205	CompoundStatement		35:15:457:702	4829106	0					
ANR	4829206	Statement	static	37:8:497:502	4829106	0	True				
ANR	4829207	IdentifierDeclStatement	"const struct option long_options [ ] = { { ""help"" , no_argument , 0 , 'h' } , { ""object"" , required_argument , 0 , OPTION_OBJECT } , { ""image-opts"" , no_argument , 0 , OPTION_IMAGE_OPTS } , { 0 , 0 , 0 , 0 } } ;"	37:15:504:749	4829106	1	True				
ANR	4829208	IdentifierDecl	"long_options [ ] = { { ""help"" , no_argument , 0 , 'h' } , { ""object"" , required_argument , 0 , OPTION_OBJECT } , { ""image-opts"" , no_argument , 0 , OPTION_IMAGE_OPTS } , { 0 , 0 , 0 , 0 } }"		4829106	0					
ANR	4829209	IdentifierDeclType	const struct option [ ]		4829106	0					
ANR	4829210	Identifier	long_options		4829106	1					
ANR	4829211	AssignmentExpression	"long_options [ ] = { { ""help"" , no_argument , 0 , 'h' } , { ""object"" , required_argument , 0 , OPTION_OBJECT } , { ""image-opts"" , no_argument , 0 , OPTION_IMAGE_OPTS } , { 0 , 0 , 0 , 0 } }"		4829106	2		=			
ANR	4829212	Identifier	long_options		4829106	0					
ANR	4829213	InitializerList	"""help"""		4829106	1					
ANR	4829214	InitializerList	"""help"""		4829106	0					
ANR	4829215	PrimaryExpression	"""help"""		4829106	0					
ANR	4829216	Identifier	no_argument		4829106	1					
ANR	4829217	PrimaryExpression	0		4829106	2					
ANR	4829218	PrimaryExpression	'h'		4829106	3					
ANR	4829219	InitializerList	"""object"""		4829106	1					
ANR	4829220	PrimaryExpression	"""object"""		4829106	0					
ANR	4829221	Identifier	required_argument		4829106	1					
ANR	4829222	PrimaryExpression	0		4829106	2					
ANR	4829223	Identifier	OPTION_OBJECT		4829106	3					
ANR	4829224	InitializerList	"""image-opts"""		4829106	2					
ANR	4829225	PrimaryExpression	"""image-opts"""		4829106	0					
ANR	4829226	Identifier	no_argument		4829106	1					
ANR	4829227	PrimaryExpression	0		4829106	2					
ANR	4829228	Identifier	OPTION_IMAGE_OPTS		4829106	3					
ANR	4829229	InitializerList	0		4829106	3					
ANR	4829230	PrimaryExpression	0		4829106	0					
ANR	4829231	PrimaryExpression	0		4829106	1					
ANR	4829232	PrimaryExpression	0		4829106	2					
ANR	4829233	PrimaryExpression	0		4829106	3					
ANR	4829234	ExpressionStatement	"c = getopt_long ( argc , argv , ""f:ht:b:dpq"" , long_options , NULL )"	49:8:760:846	4829106	2	True				
ANR	4829235	AssignmentExpression	"c = getopt_long ( argc , argv , ""f:ht:b:dpq"" , long_options , NULL )"		4829106	0		=			
ANR	4829236	Identifier	c		4829106	0					
ANR	4829237	CallExpression	"getopt_long ( argc , argv , ""f:ht:b:dpq"" , long_options , NULL )"		4829106	1					
ANR	4829238	Callee	getopt_long		4829106	0					
ANR	4829239	Identifier	getopt_long		4829106	0					
ANR	4829240	ArgumentList	argc		4829106	1					
ANR	4829241	Argument	argc		4829106	0					
ANR	4829242	Identifier	argc		4829106	0					
ANR	4829243	Argument	argv		4829106	1					
ANR	4829244	Identifier	argv		4829106	0					
ANR	4829245	Argument	"""f:ht:b:dpq"""		4829106	2					
ANR	4829246	PrimaryExpression	"""f:ht:b:dpq"""		4829106	0					
ANR	4829247	Argument	long_options		4829106	3					
ANR	4829248	Identifier	long_options		4829106	0					
ANR	4829249	Argument	NULL		4829106	4					
ANR	4829250	Identifier	NULL		4829106	0					
ANR	4829251	IfStatement	if ( c == - 1 )		4829106	3					
ANR	4829252	Condition	c == - 1	53:12:861:867	4829106	0	True				
ANR	4829253	EqualityExpression	c == - 1		4829106	0		==			
ANR	4829254	Identifier	c		4829106	0					
ANR	4829255	UnaryOperationExpression	- 1		4829106	1					
ANR	4829256	UnaryOperator	-		4829106	0					
ANR	4829257	PrimaryExpression	1		4829106	1					
ANR	4829258	CompoundStatement		51:21:823:823	4829106	1					
ANR	4829259	BreakStatement	break ;	55:12:885:890	4829106	0	True				
ANR	4829260	SwitchStatement	switch ( c )		4829106	4					
ANR	4829261	Condition	c	59:15:919:919	4829106	0	True				
ANR	4829262	Identifier	c		4829106	0					
ANR	4829263	CompoundStatement		57:18:875:875	4829106	1					
ANR	4829264	Label	case '?' :	61:8:933:941	4829106	0	True				
ANR	4829265	Label	case 'h' :	63:8:952:960	4829106	1	True				
ANR	4829266	ExpressionStatement	help ( )	65:12:975:981	4829106	2	True				
ANR	4829267	CallExpression	help ( )		4829106	0					
ANR	4829268	Callee	help		4829106	0					
ANR	4829269	Identifier	help		4829106	0					
ANR	4829270	ArgumentList			4829106	1					
ANR	4829271	BreakStatement	break ;	67:12:996:1001	4829106	3	True				
ANR	4829272	Label	case 'f' :	69:8:1012:1020	4829106	4	True				
ANR	4829273	ExpressionStatement	fmt = optarg	71:12:1035:1047	4829106	5	True				
ANR	4829274	AssignmentExpression	fmt = optarg		4829106	0		=			
ANR	4829275	Identifier	fmt		4829106	0					
ANR	4829276	Identifier	optarg		4829106	1					
ANR	4829277	BreakStatement	break ;	73:12:1062:1067	4829106	6	True				
ANR	4829278	Label	case 't' :	75:8:1078:1086	4829106	7	True				
ANR	4829279	ExpressionStatement	cache = optarg	77:12:1101:1115	4829106	8	True				
ANR	4829280	AssignmentExpression	cache = optarg		4829106	0		=			
ANR	4829281	Identifier	cache		4829106	0					
ANR	4829282	Identifier	optarg		4829106	1					
ANR	4829283	BreakStatement	break ;	79:12:1130:1135	4829106	9	True				
ANR	4829284	Label	case 'b' :	81:8:1146:1154	4829106	10	True				
ANR	4829285	ExpressionStatement	base = optarg	83:12:1169:1182	4829106	11	True				
ANR	4829286	AssignmentExpression	base = optarg		4829106	0		=			
ANR	4829287	Identifier	base		4829106	0					
ANR	4829288	Identifier	optarg		4829106	1					
ANR	4829289	ExpressionStatement	drop = true	87:12:1230:1241	4829106	12	True				
ANR	4829290	AssignmentExpression	drop = true		4829106	0		=			
ANR	4829291	Identifier	drop		4829106	0					
ANR	4829292	Identifier	true		4829106	1					
ANR	4829293	BreakStatement	break ;	89:12:1256:1261	4829106	13	True				
ANR	4829294	Label	case 'd' :	91:8:1272:1280	4829106	14	True				
ANR	4829295	ExpressionStatement	drop = true	93:12:1295:1306	4829106	15	True				
ANR	4829296	AssignmentExpression	drop = true		4829106	0		=			
ANR	4829297	Identifier	drop		4829106	0					
ANR	4829298	Identifier	true		4829106	1					
ANR	4829299	BreakStatement	break ;	95:12:1321:1326	4829106	16	True				
ANR	4829300	Label	case 'p' :	97:8:1337:1345	4829106	17	True				
ANR	4829301	ExpressionStatement	progress = true	99:12:1360:1375	4829106	18	True				
ANR	4829302	AssignmentExpression	progress = true		4829106	0		=			
ANR	4829303	Identifier	progress		4829106	0					
ANR	4829304	Identifier	true		4829106	1					
ANR	4829305	BreakStatement	break ;	101:12:1390:1395	4829106	19	True				
ANR	4829306	Label	case 'q' :	103:8:1406:1414	4829106	20	True				
ANR	4829307	ExpressionStatement	quiet = true	105:12:1429:1441	4829106	21	True				
ANR	4829308	AssignmentExpression	quiet = true		4829106	0		=			
ANR	4829309	Identifier	quiet		4829106	0					
ANR	4829310	Identifier	true		4829106	1					
ANR	4829311	BreakStatement	break ;	107:12:1456:1461	4829106	22	True				
ANR	4829312	Label	case OPTION_OBJECT :	109:8:1472:1490	4829106	23	True				
ANR	4829313	Identifier	OPTION_OBJECT		4829106	0					
ANR	4829314	CompoundStatement		109:12:1460:1474	4829106	24					
ANR	4829315	IdentifierDeclStatement	QemuOpts * opts ;	111:12:1507:1521	4829106	0	True				
ANR	4829316	IdentifierDecl	* opts		4829106	0					
ANR	4829317	IdentifierDeclType	QemuOpts *		4829106	0					
ANR	4829318	Identifier	opts		4829106	1					
ANR	4829319	ExpressionStatement	"opts = qemu_opts_parse_noisily ( & qemu_object_opts , optarg , true )"	113:12:1536:1643	4829106	1	True				
ANR	4829320	AssignmentExpression	"opts = qemu_opts_parse_noisily ( & qemu_object_opts , optarg , true )"		4829106	0		=			
ANR	4829321	Identifier	opts		4829106	0					
ANR	4829322	CallExpression	"qemu_opts_parse_noisily ( & qemu_object_opts , optarg , true )"		4829106	1					
ANR	4829323	Callee	qemu_opts_parse_noisily		4829106	0					
ANR	4829324	Identifier	qemu_opts_parse_noisily		4829106	0					
ANR	4829325	ArgumentList	& qemu_object_opts		4829106	1					
ANR	4829326	Argument	& qemu_object_opts		4829106	0					
ANR	4829327	UnaryOperationExpression	& qemu_object_opts		4829106	0					
ANR	4829328	UnaryOperator	&		4829106	0					
ANR	4829329	Identifier	qemu_object_opts		4829106	1					
ANR	4829330	Argument	optarg		4829106	1					
ANR	4829331	Identifier	optarg		4829106	0					
ANR	4829332	Argument	true		4829106	2					
ANR	4829333	Identifier	true		4829106	0					
ANR	4829334	IfStatement	if ( ! opts )		4829106	2					
ANR	4829335	Condition	! opts	117:16:1662:1666	4829106	0	True				
ANR	4829336	UnaryOperationExpression	! opts		4829106	0					
ANR	4829337	UnaryOperator	!		4829106	0					
ANR	4829338	Identifier	opts		4829106	1					
ANR	4829339	CompoundStatement		115:23:1622:1622	4829106	1					
ANR	4829340	ReturnStatement	return 1 ;	119:16:1688:1696	4829106	0	True				
ANR	4829341	PrimaryExpression	1		4829106	0					
ANR	4829342	BreakStatement	break ;	123:12:1726:1731	4829106	25	True				
ANR	4829343	Label	case OPTION_IMAGE_OPTS :	125:8:1742:1764	4829106	26	True				
ANR	4829344	Identifier	OPTION_IMAGE_OPTS		4829106	0					
ANR	4829345	ExpressionStatement	image_opts = true	127:12:1779:1796	4829106	27	True				
ANR	4829346	AssignmentExpression	image_opts = true		4829106	0		=			
ANR	4829347	Identifier	image_opts		4829106	0					
ANR	4829348	Identifier	true		4829106	1					
ANR	4829349	BreakStatement	break ;	129:12:1811:1816	4829106	28	True				
ANR	4829350	IfStatement	if ( quiet )		4829106	15					
ANR	4829351	Condition	quiet	139:8:1894:1898	4829106	0	True				
ANR	4829352	Identifier	quiet		4829106	0					
ANR	4829353	CompoundStatement		137:15:1854:1854	4829106	1					
ANR	4829354	ExpressionStatement	progress = false	141:8:1912:1928	4829106	0	True				
ANR	4829355	AssignmentExpression	progress = false		4829106	0		=			
ANR	4829356	Identifier	progress		4829106	0					
ANR	4829357	Identifier	false		4829106	1					
ANR	4829358	IfStatement	if ( optind != argc - 1 )		4829106	16					
ANR	4829359	Condition	optind != argc - 1	147:8:1948:1965	4829106	0	True				
ANR	4829360	EqualityExpression	optind != argc - 1		4829106	0		!=			
ANR	4829361	Identifier	optind		4829106	0					
ANR	4829362	AdditiveExpression	argc - 1		4829106	1		-			
ANR	4829363	Identifier	argc		4829106	0					
ANR	4829364	PrimaryExpression	1		4829106	1					
ANR	4829365	CompoundStatement		145:28:1921:1921	4829106	1					
ANR	4829366	ExpressionStatement	"error_exit ( ""Expecting one image file name"" )"	149:8:1979:2022	4829106	0	True				
ANR	4829367	CallExpression	"error_exit ( ""Expecting one image file name"" )"		4829106	0					
ANR	4829368	Callee	error_exit		4829106	0					
ANR	4829369	Identifier	error_exit		4829106	0					
ANR	4829370	ArgumentList	"""Expecting one image file name"""		4829106	1					
ANR	4829371	Argument	"""Expecting one image file name"""		4829106	0					
ANR	4829372	PrimaryExpression	"""Expecting one image file name"""		4829106	0					
ANR	4829373	ExpressionStatement	filename = argv [ optind ++ ]	153:4:2036:2061	4829106	17	True				
ANR	4829374	AssignmentExpression	filename = argv [ optind ++ ]		4829106	0		=			
ANR	4829375	Identifier	filename		4829106	0					
ANR	4829376	ArrayIndexing	argv [ optind ++ ]		4829106	1					
ANR	4829377	Identifier	argv		4829106	0					
ANR	4829378	PostIncDecOperationExpression	optind ++		4829106	1					
ANR	4829379	Identifier	optind		4829106	0					
ANR	4829380	IncDec	++		4829106	1					
ANR	4829381	IfStatement	"if ( qemu_opts_foreach ( & qemu_object_opts , user_creatable_add_opts_foreach , NULL , NULL ) )"		4829106	18					
ANR	4829382	Condition	"qemu_opts_foreach ( & qemu_object_opts , user_creatable_add_opts_foreach , NULL , NULL )"	157:8:2074:2208	4829106	0	True				
ANR	4829383	CallExpression	"qemu_opts_foreach ( & qemu_object_opts , user_creatable_add_opts_foreach , NULL , NULL )"		4829106	0					
ANR	4829384	Callee	qemu_opts_foreach		4829106	0					
ANR	4829385	Identifier	qemu_opts_foreach		4829106	0					
ANR	4829386	ArgumentList	& qemu_object_opts		4829106	1					
ANR	4829387	Argument	& qemu_object_opts		4829106	0					
ANR	4829388	UnaryOperationExpression	& qemu_object_opts		4829106	0					
ANR	4829389	UnaryOperator	&		4829106	0					
ANR	4829390	Identifier	qemu_object_opts		4829106	1					
ANR	4829391	Argument	user_creatable_add_opts_foreach		4829106	1					
ANR	4829392	Identifier	user_creatable_add_opts_foreach		4829106	0					
ANR	4829393	Argument	NULL		4829106	2					
ANR	4829394	Identifier	NULL		4829106	0					
ANR	4829395	Argument	NULL		4829106	3					
ANR	4829396	Identifier	NULL		4829106	0					
ANR	4829397	CompoundStatement		159:39:2164:2164	4829106	1					
ANR	4829398	ReturnStatement	return 1 ;	163:8:2222:2230	4829106	0	True				
ANR	4829399	PrimaryExpression	1		4829106	0					
ANR	4829400	ExpressionStatement	flags = BDRV_O_RDWR | BDRV_O_UNMAP	169:4:2246:2280	4829106	19	True				
ANR	4829401	AssignmentExpression	flags = BDRV_O_RDWR | BDRV_O_UNMAP		4829106	0		=			
ANR	4829402	Identifier	flags		4829106	0					
ANR	4829403	InclusiveOrExpression	BDRV_O_RDWR | BDRV_O_UNMAP		4829106	1		|			
ANR	4829404	Identifier	BDRV_O_RDWR		4829106	0					
ANR	4829405	Identifier	BDRV_O_UNMAP		4829106	1					
ANR	4829406	ExpressionStatement	"ret = bdrv_parse_cache_mode ( cache , & flags , & writethrough )"	171:4:2287:2344	4829106	20	True				
ANR	4829407	AssignmentExpression	"ret = bdrv_parse_cache_mode ( cache , & flags , & writethrough )"		4829106	0		=			
ANR	4829408	Identifier	ret		4829106	0					
ANR	4829409	CallExpression	"bdrv_parse_cache_mode ( cache , & flags , & writethrough )"		4829106	1					
ANR	4829410	Callee	bdrv_parse_cache_mode		4829106	0					
ANR	4829411	Identifier	bdrv_parse_cache_mode		4829106	0					
ANR	4829412	ArgumentList	cache		4829106	1					
ANR	4829413	Argument	cache		4829106	0					
ANR	4829414	Identifier	cache		4829106	0					
ANR	4829415	Argument	& flags		4829106	1					
ANR	4829416	UnaryOperationExpression	& flags		4829106	0					
ANR	4829417	UnaryOperator	&		4829106	0					
ANR	4829418	Identifier	flags		4829106	1					
ANR	4829419	Argument	& writethrough		4829106	2					
ANR	4829420	UnaryOperationExpression	& writethrough		4829106	0					
ANR	4829421	UnaryOperator	&		4829106	0					
ANR	4829422	Identifier	writethrough		4829106	1					
ANR	4829423	IfStatement	if ( ret < 0 )		4829106	21					
ANR	4829424	Condition	ret < 0	173:8:2355:2361	4829106	0	True				
