start	end	type	var
4920425	4920426	IS_AST_PARENT	
4920425	4920427	IS_AST_PARENT	
4920425	4920428	IS_AST_PARENT	
4920430	4920431	IS_AST_PARENT	
4920432	4920433	IS_AST_PARENT	
4920434	4920435	IS_AST_PARENT	
4920434	4920436	IS_AST_PARENT	
4920432	4920434	IS_AST_PARENT	
4920430	4920432	IS_AST_PARENT	
4920429	4920430	IS_AST_PARENT	
4920425	4920429	IS_AST_PARENT	
4920438	4920439	IS_AST_PARENT	
4920438	4920440	IS_AST_PARENT	
4920441	4920442	IS_AST_PARENT	
4920443	4920444	IS_AST_PARENT	
4920446	4920447	IS_AST_PARENT	
4920446	4920448	IS_AST_PARENT	
4920445	4920446	IS_AST_PARENT	
4920445	4920449	IS_AST_PARENT	
4920443	4920445	IS_AST_PARENT	
4920441	4920443	IS_AST_PARENT	
4920438	4920441	IS_AST_PARENT	
4920437	4920438	IS_AST_PARENT	
4920425	4920437	IS_AST_PARENT	
4920451	4920452	IS_AST_PARENT	
4920451	4920453	IS_AST_PARENT	
4920451	4920454	IS_AST_PARENT	
4920450	4920451	IS_AST_PARENT	
4920425	4920450	IS_AST_PARENT	
4920457	4920458	IS_AST_PARENT	
4920457	4920459	IS_AST_PARENT	
4920456	4920457	IS_AST_PARENT	
4920460	4920461	IS_AST_PARENT	
4920460	4920462	IS_AST_PARENT	
4920456	4920460	IS_AST_PARENT	
4920455	4920456	IS_AST_PARENT	
4920425	4920455	IS_AST_PARENT	
4920466	4920467	IS_AST_PARENT	
4920466	4920468	IS_AST_PARENT	
4920465	4920466	IS_AST_PARENT	
4920469	4920470	IS_AST_PARENT	
4920469	4920471	IS_AST_PARENT	
4920465	4920469	IS_AST_PARENT	
4920464	4920465	IS_AST_PARENT	
4920463	4920464	IS_AST_PARENT	
4920474	4920475	IS_AST_PARENT	
4920474	4920476	IS_AST_PARENT	
4920473	4920474	IS_AST_PARENT	
4920473	4920477	IS_AST_PARENT	
4920472	4920473	IS_AST_PARENT	
4920463	4920472	IS_AST_PARENT	
4920425	4920463	IS_AST_PARENT	
4920482	4920483	IS_AST_PARENT	
4920482	4920484	IS_AST_PARENT	
4920481	4920482	IS_AST_PARENT	
4920481	4920485	IS_AST_PARENT	
4920480	4920481	IS_AST_PARENT	
4920480	4920486	IS_AST_PARENT	
4920479	4920480	IS_AST_PARENT	
4920478	4920479	IS_AST_PARENT	
4920489	4920490	IS_AST_PARENT	
4920489	4920491	IS_AST_PARENT	
4920492	4920493	IS_AST_PARENT	
4920494	4920495	IS_AST_PARENT	
4920497	4920498	IS_AST_PARENT	
4920497	4920499	IS_AST_PARENT	
4920496	4920497	IS_AST_PARENT	
4920496	4920500	IS_AST_PARENT	
4920494	4920496	IS_AST_PARENT	
4920492	4920494	IS_AST_PARENT	
4920489	4920492	IS_AST_PARENT	
4920488	4920489	IS_AST_PARENT	
4920487	4920488	IS_AST_PARENT	
4920505	4920506	IS_AST_PARENT	
4920505	4920507	IS_AST_PARENT	
4920504	4920505	IS_AST_PARENT	
4920508	4920509	IS_AST_PARENT	
4920508	4920510	IS_AST_PARENT	
4920504	4920508	IS_AST_PARENT	
4920503	4920504	IS_AST_PARENT	
4920513	4920514	IS_AST_PARENT	
4920513	4920515	IS_AST_PARENT	
4920512	4920513	IS_AST_PARENT	
4920516	4920517	IS_AST_PARENT	
4920516	4920518	IS_AST_PARENT	
4920512	4920516	IS_AST_PARENT	
4920511	4920512	IS_AST_PARENT	
4920519	4920520	IS_AST_PARENT	
4920519	4920521	IS_AST_PARENT	
4920511	4920519	IS_AST_PARENT	
4920503	4920511	IS_AST_PARENT	
4920502	4920503	IS_AST_PARENT	
4920501	4920502	IS_AST_PARENT	
4920524	4920525	IS_AST_PARENT	
4920524	4920526	IS_AST_PARENT	
4920523	4920524	IS_AST_PARENT	
4920528	4920529	IS_AST_PARENT	
4920528	4920530	IS_AST_PARENT	
4920527	4920528	IS_AST_PARENT	
4920527	4920531	IS_AST_PARENT	
4920523	4920527	IS_AST_PARENT	
4920522	4920523	IS_AST_PARENT	
4920501	4920522	IS_AST_PARENT	
4920537	4920538	IS_AST_PARENT	
4920537	4920539	IS_AST_PARENT	
4920536	4920537	IS_AST_PARENT	
4920540	4920541	IS_AST_PARENT	
4920540	4920542	IS_AST_PARENT	
4920536	4920540	IS_AST_PARENT	
4920535	4920536	IS_AST_PARENT	
4920545	4920546	IS_AST_PARENT	
4920545	4920547	IS_AST_PARENT	
4920544	4920545	IS_AST_PARENT	
4920548	4920549	IS_AST_PARENT	
4920548	4920550	IS_AST_PARENT	
4920544	4920548	IS_AST_PARENT	
4920543	4920544	IS_AST_PARENT	
4920552	4920553	IS_AST_PARENT	
4920552	4920554	IS_AST_PARENT	
4920551	4920552	IS_AST_PARENT	
4920551	4920555	IS_AST_PARENT	
4920543	4920551	IS_AST_PARENT	
4920535	4920543	IS_AST_PARENT	
4920534	4920535	IS_AST_PARENT	
4920533	4920534	IS_AST_PARENT	
4920558	4920559	IS_AST_PARENT	
4920558	4920560	IS_AST_PARENT	
4920557	4920558	IS_AST_PARENT	
4920562	4920563	IS_AST_PARENT	
4920562	4920564	IS_AST_PARENT	
4920561	4920562	IS_AST_PARENT	
4920561	4920565	IS_AST_PARENT	
4920557	4920561	IS_AST_PARENT	
4920556	4920557	IS_AST_PARENT	
4920533	4920556	IS_AST_PARENT	
4920569	4920570	IS_AST_PARENT	
4920569	4920571	IS_AST_PARENT	
4920568	4920569	IS_AST_PARENT	
4920572	4920573	IS_AST_PARENT	
4920572	4920574	IS_AST_PARENT	
4920568	4920572	IS_AST_PARENT	
4920567	4920568	IS_AST_PARENT	
4920566	4920567	IS_AST_PARENT	
4920533	4920566	IS_AST_PARENT	
4920532	4920533	IS_AST_PARENT	
4920501	4920532	IS_AST_PARENT	
4920487	4920501	IS_AST_PARENT	
4920577	4920578	IS_AST_PARENT	
4920577	4920579	IS_AST_PARENT	
4920576	4920577	IS_AST_PARENT	
4920581	4920582	IS_AST_PARENT	
4920581	4920583	IS_AST_PARENT	
4920580	4920581	IS_AST_PARENT	
4920585	4920586	IS_AST_PARENT	
4920585	4920587	IS_AST_PARENT	
4920584	4920585	IS_AST_PARENT	
4920588	4920589	IS_AST_PARENT	
4920588	4920590	IS_AST_PARENT	
4920584	4920588	IS_AST_PARENT	
4920580	4920584	IS_AST_PARENT	
4920576	4920580	IS_AST_PARENT	
4920575	4920576	IS_AST_PARENT	
4920487	4920575	IS_AST_PARENT	
4920594	4920595	IS_AST_PARENT	
4920594	4920596	IS_AST_PARENT	
4920593	4920594	IS_AST_PARENT	
4920593	4920597	IS_AST_PARENT	
4920592	4920593	IS_AST_PARENT	
4920591	4920592	IS_AST_PARENT	
4920600	4920601	IS_AST_PARENT	
4920600	4920602	IS_AST_PARENT	
4920599	4920600	IS_AST_PARENT	
4920603	4920604	IS_AST_PARENT	
4920603	4920605	IS_AST_PARENT	
4920599	4920603	IS_AST_PARENT	
4920598	4920599	IS_AST_PARENT	
4920591	4920598	IS_AST_PARENT	
4920487	4920591	IS_AST_PARENT	
4920478	4920487	IS_AST_PARENT	
4920611	4920612	IS_AST_PARENT	
4920611	4920613	IS_AST_PARENT	
4920610	4920611	IS_AST_PARENT	
4920610	4920614	IS_AST_PARENT	
4920609	4920610	IS_AST_PARENT	
4920609	4920615	IS_AST_PARENT	
4920608	4920609	IS_AST_PARENT	
4920607	4920608	IS_AST_PARENT	
4920618	4920619	IS_AST_PARENT	
4920618	4920620	IS_AST_PARENT	
4920617	4920618	IS_AST_PARENT	
4920621	4920622	IS_AST_PARENT	
4920621	4920623	IS_AST_PARENT	
4920617	4920621	IS_AST_PARENT	
4920624	4920625	IS_AST_PARENT	
4920624	4920626	IS_AST_PARENT	
4920617	4920624	IS_AST_PARENT	
4920616	4920617	IS_AST_PARENT	
4920628	4920629	IS_AST_PARENT	
4920628	4920630	IS_AST_PARENT	
4920627	4920628	IS_AST_PARENT	
4920616	4920627	IS_AST_PARENT	
4920635	4920636	IS_AST_PARENT	
4920635	4920637	IS_AST_PARENT	
4920634	4920635	IS_AST_PARENT	
4920634	4920638	IS_AST_PARENT	
4920633	4920634	IS_AST_PARENT	
4920633	4920639	IS_AST_PARENT	
4920632	4920633	IS_AST_PARENT	
4920631	4920632	IS_AST_PARENT	
4920641	4920642	IS_AST_PARENT	
4920644	4920645	IS_AST_PARENT	
4920644	4920646	IS_AST_PARENT	
4920643	4920644	IS_AST_PARENT	
4920647	4920648	IS_AST_PARENT	
4920647	4920649	IS_AST_PARENT	
4920643	4920647	IS_AST_PARENT	
4920641	4920643	IS_AST_PARENT	
4920640	4920641	IS_AST_PARENT	
4920631	4920640	IS_AST_PARENT	
4920652	4920653	IS_AST_PARENT	
4920652	4920654	IS_AST_PARENT	
4920651	4920652	IS_AST_PARENT	
4920650	4920651	IS_AST_PARENT	
4920631	4920650	IS_AST_PARENT	
4920616	4920631	IS_AST_PARENT	
4920659	4920660	IS_AST_PARENT	
4920659	4920661	IS_AST_PARENT	
4920658	4920659	IS_AST_PARENT	
4920658	4920662	IS_AST_PARENT	
4920657	4920658	IS_AST_PARENT	
4920663	4920664	IS_AST_PARENT	
4920663	4920665	IS_AST_PARENT	
4920657	4920663	IS_AST_PARENT	
4920656	4920657	IS_AST_PARENT	
4920655	4920656	IS_AST_PARENT	
