command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	4935110	File	/home/p4ultr4n/workplace/ReVeal/raw_code/init_report_1.c								
ANR	4935111	Function	init_report	1:0:0:1933							
ANR	4935112	FunctionDef	init_report (const char * env)		4935111	0					
ANR	4935113	CompoundStatement		3:0:41:1933	4935111	0					
ANR	4935114	IdentifierDeclStatement	"const char * filename_template = ""%p-%t.log"" ;"	5:4:48:91	4935111	0	True				
ANR	4935115	IdentifierDecl	"* filename_template = ""%p-%t.log"""		4935111	0					
ANR	4935116	IdentifierDeclType	const char *		4935111	0					
ANR	4935117	Identifier	filename_template		4935111	1					
ANR	4935118	AssignmentExpression	"* filename_template = ""%p-%t.log"""		4935111	2		=			
ANR	4935119	Identifier	filename_template		4935111	0					
ANR	4935120	PrimaryExpression	"""%p-%t.log"""		4935111	1					
ANR	4935121	IdentifierDeclStatement	"char * key , * val ;"	7:4:98:113	4935111	1	True				
ANR	4935122	IdentifierDecl	* key		4935111	0					
ANR	4935123	IdentifierDeclType	char *		4935111	0					
ANR	4935124	Identifier	key		4935111	1					
ANR	4935125	IdentifierDecl	* val		4935111	1					
ANR	4935126	IdentifierDeclType	char *		4935111	0					
ANR	4935127	Identifier	val		4935111	1					
ANR	4935128	IdentifierDeclStatement	"int ret , count = 0 ;"	9:4:120:138	4935111	2	True				
ANR	4935129	IdentifierDecl	ret		4935111	0					
ANR	4935130	IdentifierDeclType	int		4935111	0					
ANR	4935131	Identifier	ret		4935111	1					
ANR	4935132	IdentifierDecl	count = 0		4935111	1					
ANR	4935133	IdentifierDeclType	int		4935111	0					
ANR	4935134	Identifier	count		4935111	1					
ANR	4935135	AssignmentExpression	count = 0		4935111	2		=			
ANR	4935136	Identifier	count		4935111	0					
ANR	4935137	PrimaryExpression	0		4935111	1					
ANR	4935138	IdentifierDeclStatement	time_t now ;	11:4:145:155	4935111	3	True				
ANR	4935139	IdentifierDecl	now		4935111	0					
ANR	4935140	IdentifierDeclType	time_t		4935111	0					
ANR	4935141	Identifier	now		4935111	1					
ANR	4935142	IdentifierDeclStatement	struct tm * tm ;	13:4:162:175	4935111	4	True				
ANR	4935143	IdentifierDecl	* tm		4935111	0					
ANR	4935144	IdentifierDeclType	struct tm *		4935111	0					
ANR	4935145	Identifier	tm		4935111	1					
ANR	4935146	IdentifierDeclStatement	AVBPrint filename ;	15:4:182:199	4935111	5	True				
ANR	4935147	IdentifierDecl	filename		4935111	0					
ANR	4935148	IdentifierDeclType	AVBPrint		4935111	0					
ANR	4935149	Identifier	filename		4935111	1					
ANR	4935150	IfStatement	if ( report_file )		4935111	6					
ANR	4935151	Condition	report_file	19:8:212:222	4935111	0	True				
ANR	4935152	Identifier	report_file		4935111	0					
ANR	4935153	ReturnStatement	return 0 ;	21:8:255:263	4935111	1	True				
ANR	4935154	PrimaryExpression	0		4935111	0					
ANR	4935155	ExpressionStatement	time ( & now )	23:4:270:280	4935111	7	True				
ANR	4935156	CallExpression	time ( & now )		4935111	0					
ANR	4935157	Callee	time		4935111	0					
