command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	4935705	File	/home/p4ultr4n/workplace/ReVeal/raw_code/init_rl_1.c								
ANR	4935706	Function	init_rl	1:0:0:1277							
ANR	4935707	FunctionDef	init_rl (RLTable * rl)		4935706	0					
ANR	4935708	CompoundStatement		3:0:27:1277	4935706	0					
ANR	4935709	IdentifierDeclStatement	"int8_t max_level [ MAX_RUN + 1 ] , max_run [ MAX_LEVEL + 1 ] ;"	5:4:34:83	4935706	0	True				
ANR	4935710	IdentifierDecl	max_level [ MAX_RUN + 1 ]		4935706	0					
ANR	4935711	IdentifierDeclType	int8_t [ MAX_RUN + 1 ]		4935706	0					
ANR	4935712	Identifier	max_level		4935706	1					
ANR	4935713	AdditiveExpression	MAX_RUN + 1		4935706	2		+			
ANR	4935714	Identifier	MAX_RUN		4935706	0					
ANR	4935715	PrimaryExpression	1		4935706	1					
ANR	4935716	IdentifierDecl	max_run [ MAX_LEVEL + 1 ]		4935706	1					
ANR	4935717	IdentifierDeclType	int8_t [ MAX_LEVEL + 1 ]		4935706	0					
ANR	4935718	Identifier	max_run		4935706	1					
ANR	4935719	AdditiveExpression	MAX_LEVEL + 1		4935706	2		+			
ANR	4935720	Identifier	MAX_LEVEL		4935706	0					
ANR	4935721	PrimaryExpression	1		4935706	1					
ANR	4935722	IdentifierDeclStatement	uint8_t index_run [ MAX_RUN + 1 ] ;	7:4:90:118	4935706	1	True				
ANR	4935723	IdentifierDecl	index_run [ MAX_RUN + 1 ]		4935706	0					
ANR	4935724	IdentifierDeclType	uint8_t [ MAX_RUN + 1 ]		4935706	0					
ANR	4935725	Identifier	index_run		4935706	1					
ANR	4935726	AdditiveExpression	MAX_RUN + 1		4935706	2		+			
ANR	4935727	Identifier	MAX_RUN		4935706	0					
ANR	4935728	PrimaryExpression	1		4935706	1					
ANR	4935729	IdentifierDeclStatement	"int last , run , level , start , end , i ;"	9:4:125:160	4935706	2	True				
ANR	4935730	IdentifierDecl	last		4935706	0					
ANR	4935731	IdentifierDeclType	int		4935706	0					
ANR	4935732	Identifier	last		4935706	1					
ANR	4935733	IdentifierDecl	run		4935706	1					
ANR	4935734	IdentifierDeclType	int		4935706	0					
ANR	4935735	Identifier	run		4935706	1					
ANR	4935736	IdentifierDecl	level		4935706	2					
ANR	4935737	IdentifierDeclType	int		4935706	0					
ANR	4935738	Identifier	level		4935706	1					
ANR	4935739	IdentifierDecl	start		4935706	3					
ANR	4935740	IdentifierDeclType	int		4935706	0					
ANR	4935741	Identifier	start		4935706	1					
ANR	4935742	IdentifierDecl	end		4935706	4					
ANR	4935743	IdentifierDeclType	int		4935706	0					
ANR	4935744	Identifier	end		4935706	1					
ANR	4935745	IdentifierDecl	i		4935706	5					
ANR	4935746	IdentifierDeclType	int		4935706	0					
ANR	4935747	Identifier	i		4935706	1					
ANR	4935748	ForStatement	for ( last = 0 ; last < 2 ; last ++ )		4935706	3					
ANR	4935749	ForInit	last = 0 ;	15:8:231:237	4935706	0	True				
ANR	4935750	AssignmentExpression	last = 0		4935706	0		=			
ANR	4935751	Identifier	last		4935706	0					
ANR	4935752	PrimaryExpression	0		4935706	1					
ANR	4935753	Condition	last < 2	15:15:238:243	4935706	1	True				
ANR	4935754	RelationalExpression	last < 2		4935706	0		<			
ANR	4935755	Identifier	last		4935706	0					
ANR	4935756	PrimaryExpression	2		4935706	1					
ANR	4935757	PostIncDecOperationExpression	last ++	15:22:245:250	4935706	2	True				
ANR	4935758	Identifier	last		4935706	0					
ANR	4935759	IncDec	++		4935706	1					
ANR	4935760	CompoundStatement		13:30:225:225	4935706	3					
ANR	4935761	IfStatement	if ( last == 0 )		4935706	0					
ANR	4935762	Condition	last == 0	17:12:268:276	4935706	0	True				
ANR	4935763	EqualityExpression	last == 0		4935706	0		==			
ANR	4935764	Identifier	last		4935706	0					
ANR	4935765	PrimaryExpression	0		4935706	1					
ANR	4935766	CompoundStatement		15:23:251:251	4935706	1					
ANR	4935767	ExpressionStatement	start = 0	19:12:294:303	4935706	0	True				
ANR	4935768	AssignmentExpression	start = 0		4935706	0		=			
ANR	4935769	Identifier	start		4935706	0					
ANR	4935770	PrimaryExpression	0		4935706	1					
ANR	4935771	ExpressionStatement	end = rl -> last	21:12:318:332	4935706	1	True				
ANR	4935772	AssignmentExpression	end = rl -> last		4935706	0		=			
ANR	4935773	Identifier	end		4935706	0					
ANR	4935774	PtrMemberAccess	rl -> last		4935706	1					
ANR	4935775	Identifier	rl		4935706	0					
ANR	4935776	Identifier	last		4935706	1					
ANR	4935777	ElseStatement	else		4935706	0					
ANR	4935778	CompoundStatement		21:15:322:322	4935706	0					
ANR	4935779	ExpressionStatement	start = rl -> last	25:12:365:381	4935706	0	True				
ANR	4935780	AssignmentExpression	start = rl -> last		4935706	0		=			
ANR	4935781	Identifier	start		4935706	0					
ANR	4935782	PtrMemberAccess	rl -> last		4935706	1					
ANR	4935783	Identifier	rl		4935706	0					
ANR	4935784	Identifier	last		4935706	1					
ANR	4935785	ExpressionStatement	end = rl -> n	27:12:396:407	4935706	1	True				
ANR	4935786	AssignmentExpression	end = rl -> n		4935706	0		=			
ANR	4935787	Identifier	end		4935706	0					
ANR	4935788	PtrMemberAccess	rl -> n		4935706	1					
ANR	4935789	Identifier	rl		4935706	0					
ANR	4935790	Identifier	n		4935706	1					
ANR	4935791	ExpressionStatement	"memset ( max_level , 0 , MAX_RUN + 1 )"	33:8:431:464	4935706	1	True				
ANR	4935792	CallExpression	"memset ( max_level , 0 , MAX_RUN + 1 )"		4935706	0					
ANR	4935793	Callee	memset		4935706	0					
ANR	4935794	Identifier	memset		4935706	0					
ANR	4935795	ArgumentList	max_level		4935706	1					
ANR	4935796	Argument	max_level		4935706	0					
ANR	4935797	Identifier	max_level		4935706	0					
ANR	4935798	Argument	0		4935706	1					
ANR	4935799	PrimaryExpression	0		4935706	0					
ANR	4935800	Argument	MAX_RUN + 1		4935706	2					
ANR	4935801	AdditiveExpression	MAX_RUN + 1		4935706	0		+			
ANR	4935802	Identifier	MAX_RUN		4935706	0					
ANR	4935803	PrimaryExpression	1		4935706	1					
ANR	4935804	ExpressionStatement	"memset ( max_run , 0 , MAX_LEVEL + 1 )"	35:8:475:508	4935706	2	True				
ANR	4935805	CallExpression	"memset ( max_run , 0 , MAX_LEVEL + 1 )"		4935706	0					
ANR	4935806	Callee	memset		4935706	0					
ANR	4935807	Identifier	memset		4935706	0					
ANR	4935808	ArgumentList	max_run		4935706	1					
ANR	4935809	Argument	max_run		4935706	0					
ANR	4935810	Identifier	max_run		4935706	0					
ANR	4935811	Argument	0		4935706	1					
ANR	4935812	PrimaryExpression	0		4935706	0					
ANR	4935813	Argument	MAX_LEVEL + 1		4935706	2					
ANR	4935814	AdditiveExpression	MAX_LEVEL + 1		4935706	0		+			
ANR	4935815	Identifier	MAX_LEVEL		4935706	0					
ANR	4935816	PrimaryExpression	1		4935706	1					
ANR	4935817	ExpressionStatement	"memset ( index_run , rl -> n , MAX_RUN + 1 )"	37:8:519:556	4935706	3	True				
ANR	4935818	CallExpression	"memset ( index_run , rl -> n , MAX_RUN + 1 )"		4935706	0					
ANR	4935819	Callee	memset		4935706	0					
ANR	4935820	Identifier	memset		4935706	0					
ANR	4935821	ArgumentList	index_run		4935706	1					
ANR	4935822	Argument	index_run		4935706	0					
ANR	4935823	Identifier	index_run		4935706	0					
ANR	4935824	Argument	rl -> n		4935706	1					
ANR	4935825	PtrMemberAccess	rl -> n		4935706	0					
ANR	4935826	Identifier	rl		4935706	0					
ANR	4935827	Identifier	n		4935706	1					
ANR	4935828	Argument	MAX_RUN + 1		4935706	2					
ANR	4935829	AdditiveExpression	MAX_RUN + 1		4935706	0		+			
ANR	4935830	Identifier	MAX_RUN		4935706	0					
ANR	4935831	PrimaryExpression	1		4935706	1					
ANR	4935832	ForStatement	for ( i = start ; i < end ; i ++ )		4935706	4					
ANR	4935833	ForInit	i = start ;	39:12:571:578	4935706	0	True				
