start	end	type	var
4967322	4967323	IS_AST_PARENT	
4967325	4967326	IS_AST_PARENT	
4967324	4967325	IS_AST_PARENT	
4967328	4967329	IS_AST_PARENT	
4967327	4967328	IS_AST_PARENT	
4967324	4967327	IS_AST_PARENT	
4967322	4967324	IS_AST_PARENT	
4967321	4967322	IS_AST_PARENT	
4967320	4967321	IS_AST_PARENT	
4967333	4967334	IS_AST_PARENT	
4967332	4967333	IS_AST_PARENT	
4967336	4967337	IS_AST_PARENT	
4967335	4967336	IS_AST_PARENT	
4967339	4967340	IS_AST_PARENT	
4967339	4967341	IS_AST_PARENT	
4967338	4967339	IS_AST_PARENT	
4967335	4967338	IS_AST_PARENT	
4967342	4967343	IS_AST_PARENT	
4967335	4967342	IS_AST_PARENT	
4967332	4967335	IS_AST_PARENT	
4967331	4967332	IS_AST_PARENT	
4967330	4967331	IS_AST_PARENT	
4967346	4967347	IS_AST_PARENT	
4967345	4967346	IS_AST_PARENT	
4967349	4967350	IS_AST_PARENT	
4967348	4967349	IS_AST_PARENT	
4967352	4967353	IS_AST_PARENT	
4967352	4967354	IS_AST_PARENT	
4967351	4967352	IS_AST_PARENT	
4967348	4967351	IS_AST_PARENT	
4967345	4967348	IS_AST_PARENT	
4967344	4967345	IS_AST_PARENT	
4967330	4967344	IS_AST_PARENT	
4967320	4967330	IS_AST_PARENT	
4967319	4967320	IS_AST_PARENT	
4967357	4967358	IS_AST_PARENT	
4967356	4967357	IS_AST_PARENT	
4967360	4967361	IS_AST_PARENT	
4967359	4967360	IS_AST_PARENT	
4967362	4967363	IS_AST_PARENT	
4967359	4967362	IS_AST_PARENT	
4967356	4967359	IS_AST_PARENT	
4967355	4967356	IS_AST_PARENT	
4967319	4967355	IS_AST_PARENT	
4967318	4967319	IS_AST_PARENT	
4967318	4967364	IS_AST_PARENT	
4967318	4967365	IS_AST_PARENT	
4967367	4967368	IS_AST_PARENT	
4967367	4967369	IS_AST_PARENT	
4967366	4967367	IS_AST_PARENT	
4967370	4967371	IS_AST_PARENT	
4967370	4967372	IS_AST_PARENT	
4967366	4967370	IS_AST_PARENT	
4967318	4967366	IS_AST_PARENT	
4967373	4967367	FLOWS_TO	
4967367	4967370	FLOWS_TO	
4967370	4967321	FLOWS_TO	
4967321	4967331	FLOWS_TO	
4967321	4967355	FLOWS_TO	
4967331	4967344	FLOWS_TO	
4967344	4967355	FLOWS_TO	
4967355	4967374	FLOWS_TO	
4967321	4967375	USE	
4967370	4967376	DEF	
4967331	4967376	USE	
4967338	4967376	USE	
4967355	4967376	USE	
4967362	4967376	USE	
4967367	4967377	DEF	
4967321	4967377	USE	
4967328	4967377	USE	
4967331	4967377	USE	
4967336	4967377	USE	
4967338	4967377	USE	
4967344	4967377	USE	
4967349	4967377	USE	
4967355	4967377	USE	
4967360	4967377	USE	
4967344	4967378	USE	
4967351	4967378	USE	
4967370	4967331	REACHES	length
4967370	4967355	REACHES	length
4967367	4967321	REACHES	addr
4967367	4967331	REACHES	addr
4967367	4967344	REACHES	addr
4967367	4967355	REACHES	addr
4967373	4967367	CONTROLS	
4967373	4967370	CONTROLS	
4967373	4967321	CONTROLS	
4967373	4967355	CONTROLS	
4967321	4967331	CONTROLS	
4967321	4967344	CONTROLS	
4967370	4967321	DOM	
4967321	4967355	DOM	
4967321	4967331	DOM	
4967373	4967373	DOM	
4967367	4967370	DOM	
4967355	4967374	DOM	
4967373	4967367	DOM	
4967331	4967344	DOM	
4967355	4967321	POST_DOM	
4967374	4967355	POST_DOM	
4967344	4967331	POST_DOM	
4967321	4967370	POST_DOM	
4967367	4967373	POST_DOM	
4967374	4967374	POST_DOM	
4967370	4967367	POST_DOM	
4967355	4967344	POST_DOM	
4967317	4967318	IS_FUNCTION_OF_AST	
4967317	4967373	IS_FUNCTION_OF_CFG	
4967316	4967317	IS_FILE_OF	
