start	end	type	var
4992694	4992695	IS_AST_PARENT	
4992694	4992696	IS_AST_PARENT	
4992693	4992694	IS_AST_PARENT	
4992697	4992698	IS_AST_PARENT	
4992697	4992699	IS_AST_PARENT	
4992693	4992697	IS_AST_PARENT	
4992692	4992693	IS_AST_PARENT	
4992701	4992702	IS_AST_PARENT	
4992701	4992703	IS_AST_PARENT	
4992700	4992701	IS_AST_PARENT	
4992692	4992700	IS_AST_PARENT	
4992705	4992706	IS_AST_PARENT	
4992705	4992707	IS_AST_PARENT	
4992704	4992705	IS_AST_PARENT	
4992692	4992704	IS_AST_PARENT	
4992692	4992708	IS_AST_PARENT	
4992710	4992711	IS_AST_PARENT	
4992710	4992712	IS_AST_PARENT	
4992713	4992714	IS_AST_PARENT	
4992713	4992715	IS_AST_PARENT	
4992710	4992713	IS_AST_PARENT	
4992709	4992710	IS_AST_PARENT	
4992692	4992709	IS_AST_PARENT	
4992717	4992718	IS_AST_PARENT	
4992717	4992719	IS_AST_PARENT	
4992716	4992717	IS_AST_PARENT	
4992692	4992716	IS_AST_PARENT	
4992722	4992723	IS_AST_PARENT	
4992721	4992722	IS_AST_PARENT	
4992725	4992726	IS_AST_PARENT	
4992724	4992725	IS_AST_PARENT	
4992727	4992728	IS_AST_PARENT	
4992724	4992727	IS_AST_PARENT	
4992721	4992724	IS_AST_PARENT	
4992720	4992721	IS_AST_PARENT	
4992692	4992720	IS_AST_PARENT	
4992730	4992731	IS_AST_PARENT	
4992730	4992732	IS_AST_PARENT	
4992729	4992730	IS_AST_PARENT	
4992692	4992729	IS_AST_PARENT	
4992735	4992736	IS_AST_PARENT	
4992734	4992735	IS_AST_PARENT	
4992741	4992742	IS_AST_PARENT	
4992741	4992743	IS_AST_PARENT	
4992740	4992741	IS_AST_PARENT	
4992740	4992744	IS_AST_PARENT	
4992739	4992740	IS_AST_PARENT	
4992739	4992745	IS_AST_PARENT	
4992738	4992739	IS_AST_PARENT	
4992737	4992738	IS_AST_PARENT	
4992749	4992750	IS_AST_PARENT	
4992749	4992751	IS_AST_PARENT	
4992748	4992749	IS_AST_PARENT	
4992748	4992752	IS_AST_PARENT	
4992747	4992748	IS_AST_PARENT	
4992747	4992753	IS_AST_PARENT	
4992746	4992747	IS_AST_PARENT	
4992737	4992746	IS_AST_PARENT	
4992755	4992756	IS_AST_PARENT	
4992755	4992757	IS_AST_PARENT	
4992754	4992755	IS_AST_PARENT	
4992737	4992754	IS_AST_PARENT	
4992734	4992737	IS_AST_PARENT	
4992733	4992734	IS_AST_PARENT	
4992692	4992733	IS_AST_PARENT	
4992760	4992761	IS_AST_PARENT	
4992760	4992762	IS_AST_PARENT	
4992759	4992760	IS_AST_PARENT	
4992765	4992766	IS_AST_PARENT	
4992765	4992767	IS_AST_PARENT	
4992764	4992765	IS_AST_PARENT	
4992764	4992768	IS_AST_PARENT	
4992763	4992764	IS_AST_PARENT	
4992763	4992769	IS_AST_PARENT	
4992759	4992763	IS_AST_PARENT	
4992758	4992759	IS_AST_PARENT	
4992692	4992758	IS_AST_PARENT	
4992772	4992773	IS_AST_PARENT	
4992772	4992774	IS_AST_PARENT	
4992771	4992772	IS_AST_PARENT	
4992776	4992777	IS_AST_PARENT	
4992776	4992778	IS_AST_PARENT	
4992775	4992776	IS_AST_PARENT	
4992775	4992779	IS_AST_PARENT	
4992771	4992775	IS_AST_PARENT	
4992770	4992771	IS_AST_PARENT	
4992692	4992770	IS_AST_PARENT	
4992782	4992783	IS_AST_PARENT	
4992782	4992784	IS_AST_PARENT	
4992781	4992782	IS_AST_PARENT	
4992786	4992787	IS_AST_PARENT	
4992786	4992788	IS_AST_PARENT	
4992785	4992786	IS_AST_PARENT	
4992789	4992790	IS_AST_PARENT	
4992789	4992791	IS_AST_PARENT	
4992785	4992789	IS_AST_PARENT	
4992781	4992785	IS_AST_PARENT	
4992780	4992781	IS_AST_PARENT	
4992692	4992780	IS_AST_PARENT	
4992794	4992795	IS_AST_PARENT	
4992794	4992796	IS_AST_PARENT	
4992793	4992794	IS_AST_PARENT	
4992798	4992799	IS_AST_PARENT	
4992798	4992800	IS_AST_PARENT	
4992797	4992798	IS_AST_PARENT	
4992797	4992801	IS_AST_PARENT	
4992793	4992797	IS_AST_PARENT	
4992792	4992793	IS_AST_PARENT	
4992692	4992792	IS_AST_PARENT	
4992804	4992805	IS_AST_PARENT	
4992804	4992806	IS_AST_PARENT	
4992803	4992804	IS_AST_PARENT	
4992811	4992812	IS_AST_PARENT	
4992811	4992813	IS_AST_PARENT	
4992810	4992811	IS_AST_PARENT	
4992810	4992814	IS_AST_PARENT	
4992809	4992810	IS_AST_PARENT	
4992809	4992815	IS_AST_PARENT	
4992808	4992809	IS_AST_PARENT	
4992816	4992817	IS_AST_PARENT	
4992816	4992818	IS_AST_PARENT	
4992808	4992816	IS_AST_PARENT	
4992807	4992808	IS_AST_PARENT	
4992821	4992822	IS_AST_PARENT	
4992821	4992823	IS_AST_PARENT	
4992820	4992821	IS_AST_PARENT	
4992820	4992824	IS_AST_PARENT	
4992819	4992820	IS_AST_PARENT	
4992819	4992825	IS_AST_PARENT	
4992807	4992819	IS_AST_PARENT	
4992803	4992807	IS_AST_PARENT	
4992802	4992803	IS_AST_PARENT	
4992692	4992802	IS_AST_PARENT	
4992828	4992829	IS_AST_PARENT	
4992827	4992828	IS_AST_PARENT	
4992832	4992833	IS_AST_PARENT	
4992832	4992834	IS_AST_PARENT	
4992831	4992832	IS_AST_PARENT	
4992830	4992831	IS_AST_PARENT	
4992836	4992837	IS_AST_PARENT	
4992836	4992838	IS_AST_PARENT	
4992835	4992836	IS_AST_PARENT	
4992830	4992835	IS_AST_PARENT	
4992841	4992842	IS_AST_PARENT	
4992841	4992843	IS_AST_PARENT	
4992840	4992841	IS_AST_PARENT	
4992840	4992844	IS_AST_PARENT	
4992839	4992840	IS_AST_PARENT	
4992830	4992839	IS_AST_PARENT	
4992827	4992830	IS_AST_PARENT	
4992826	4992827	IS_AST_PARENT	
4992692	4992826	IS_AST_PARENT	
4992847	4992848	IS_AST_PARENT	
4992847	4992849	IS_AST_PARENT	
4992846	4992847	IS_AST_PARENT	
4992845	4992846	IS_AST_PARENT	
4992851	4992852	IS_AST_PARENT	
4992854	4992855	IS_AST_PARENT	
4992854	4992856	IS_AST_PARENT	
4992853	4992854	IS_AST_PARENT	
4992858	4992859	IS_AST_PARENT	
4992858	4992860	IS_AST_PARENT	
4992857	4992858	IS_AST_PARENT	
4992857	4992861	IS_AST_PARENT	
4992853	4992857	IS_AST_PARENT	
4992851	4992853	IS_AST_PARENT	
4992850	4992851	IS_AST_PARENT	
