command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	4993064	File	/home/p4ultr4n/workplace/ReVeal/raw_code/ipvideo_decode_opcodes_1.c								
ANR	4993065	Function	ipvideo_decode_opcodes	1:0:0:2042							
ANR	4993066	FunctionDef	"ipvideo_decode_opcodes (IpvideoContext * s , AVFrame * frame)"		4993065	0					
ANR	4993067	CompoundStatement		3:0:71:2042	4993065	0					
ANR	4993068	IdentifierDeclStatement	"int x , y ;"	5:4:78:86	4993065	0	True				
ANR	4993069	IdentifierDecl	x		4993065	0					
ANR	4993070	IdentifierDeclType	int		4993065	0					
ANR	4993071	Identifier	x		4993065	1					
ANR	4993072	IdentifierDecl	y		4993065	1					
ANR	4993073	IdentifierDeclType	int		4993065	0					
ANR	4993074	Identifier	y		4993065	1					
ANR	4993075	IdentifierDeclStatement	unsigned char opcode ;	7:4:93:113	4993065	1	True				
ANR	4993076	IdentifierDecl	opcode		4993065	0					
ANR	4993077	IdentifierDeclType	unsigned char		4993065	0					
ANR	4993078	Identifier	opcode		4993065	1					
ANR	4993079	IdentifierDeclStatement	int ret ;	9:4:120:127	4993065	2	True				
ANR	4993080	IdentifierDecl	ret		4993065	0					
ANR	4993081	IdentifierDeclType	int		4993065	0					
ANR	4993082	Identifier	ret		4993065	1					
ANR	4993083	IdentifierDeclStatement	GetBitContext gb ;	11:4:134:150	4993065	3	True				
ANR	4993084	IdentifierDecl	gb		4993065	0					
ANR	4993085	IdentifierDeclType	GetBitContext		4993065	0					
ANR	4993086	Identifier	gb		4993065	1					
ANR	4993087	ExpressionStatement	"bytestream2_skip ( & s -> stream_ptr , 14 )"	15:4:159:195	4993065	4	True				
ANR	4993088	CallExpression	"bytestream2_skip ( & s -> stream_ptr , 14 )"		4993065	0					
ANR	4993089	Callee	bytestream2_skip		4993065	0					
ANR	4993090	Identifier	bytestream2_skip		4993065	0					
ANR	4993091	ArgumentList	& s -> stream_ptr		4993065	1					
ANR	4993092	Argument	& s -> stream_ptr		4993065	0					
ANR	4993093	UnaryOperationExpression	& s -> stream_ptr		4993065	0					
ANR	4993094	UnaryOperator	&		4993065	0					
ANR	4993095	PtrMemberAccess	s -> stream_ptr		4993065	1					
ANR	4993096	Identifier	s		4993065	0					
ANR	4993097	Identifier	stream_ptr		4993065	1					
ANR	4993098	Argument	14		4993065	1					
ANR	4993099	PrimaryExpression	14		4993065	0					
ANR	4993100	IfStatement	if ( ! s -> is_16bpp )		4993065	5					
ANR	4993101	Condition	! s -> is_16bpp	17:8:236:247	4993065	0	True				
ANR	4993102	UnaryOperationExpression	! s -> is_16bpp		4993065	0					
ANR	4993103	UnaryOperator	!		4993065	0					
ANR	4993104	PtrMemberAccess	s -> is_16bpp		4993065	1					
ANR	4993105	Identifier	s		4993065	0					
ANR	4993106	Identifier	is_16bpp		4993065	1					
ANR	4993107	CompoundStatement		15:22:178:178	4993065	1					
ANR	4993108	ExpressionStatement	"memcpy ( frame -> data [ 1 ] , s -> pal , AVPALETTE_SIZE )"	21:8:320:366	4993065	0	True				
ANR	4993109	CallExpression	"memcpy ( frame -> data [ 1 ] , s -> pal , AVPALETTE_SIZE )"		4993065	0					
ANR	4993110	Callee	memcpy		4993065	0					
ANR	4993111	Identifier	memcpy		4993065	0					
ANR	4993112	ArgumentList	frame -> data [ 1 ]		4993065	1					
ANR	4993113	Argument	frame -> data [ 1 ]		4993065	0					
ANR	4993114	ArrayIndexing	frame -> data [ 1 ]		4993065	0					
ANR	4993115	PtrMemberAccess	frame -> data		4993065	0					
ANR	4993116	Identifier	frame		4993065	0					
ANR	4993117	Identifier	data		4993065	1					
ANR	4993118	PrimaryExpression	1		4993065	1					
ANR	4993119	Argument	s -> pal		4993065	1					
ANR	4993120	PtrMemberAccess	s -> pal		4993065	0					
ANR	4993121	Identifier	s		4993065	0					
ANR	4993122	Identifier	pal		4993065	1					
ANR	4993123	Argument	AVPALETTE_SIZE		4993065	2					
ANR	4993124	Identifier	AVPALETTE_SIZE		4993065	0					
ANR	4993125	ExpressionStatement	s -> stride = frame -> linesize [ 0 ]	25:8:379:409	4993065	1	True				
ANR	4993126	AssignmentExpression	s -> stride = frame -> linesize [ 0 ]		4993065	0		=			
ANR	4993127	PtrMemberAccess	s -> stride		4993065	0					
ANR	4993128	Identifier	s		4993065	0					
ANR	4993129	Identifier	stride		4993065	1					
ANR	4993130	ArrayIndexing	frame -> linesize [ 0 ]		4993065	1					
ANR	4993131	PtrMemberAccess	frame -> linesize		4993065	0					
ANR	4993132	Identifier	frame		4993065	0					
ANR	4993133	Identifier	linesize		4993065	1					
ANR	4993134	PrimaryExpression	0		4993065	1					
ANR	4993135	ElseStatement	else		4993065	0					
ANR	4993136	CompoundStatement		25:11:351:351	4993065	0					
ANR	4993137	ExpressionStatement	s -> stride = frame -> linesize [ 0 ] >> 1	29:8:434:469	4993065	0	True				
ANR	4993138	AssignmentExpression	s -> stride = frame -> linesize [ 0 ] >> 1		4993065	0		=			
ANR	4993139	PtrMemberAccess	s -> stride		4993065	0					
ANR	4993140	Identifier	s		4993065	0					
ANR	4993141	Identifier	stride		4993065	1					
ANR	4993142	ShiftExpression	frame -> linesize [ 0 ] >> 1		4993065	1		>>			
ANR	4993143	ArrayIndexing	frame -> linesize [ 0 ]		4993065	0					
ANR	4993144	PtrMemberAccess	frame -> linesize		4993065	0					
ANR	4993145	Identifier	frame		4993065	0					
ANR	4993146	Identifier	linesize		4993065	1					
ANR	4993147	PrimaryExpression	0		4993065	1					
ANR	4993148	PrimaryExpression	1		4993065	1					
ANR	4993149	ExpressionStatement	s -> mv_ptr = s -> stream_ptr	31:8:480:505	4993065	1	True				
ANR	4993150	AssignmentExpression	s -> mv_ptr = s -> stream_ptr		4993065	0		=			
ANR	4993151	PtrMemberAccess	s -> mv_ptr		4993065	0					
ANR	4993152	Identifier	s		4993065	0					
ANR	4993153	Identifier	mv_ptr		4993065	1					
ANR	4993154	PtrMemberAccess	s -> stream_ptr		4993065	1					
ANR	4993155	Identifier	s		4993065	0					
ANR	4993156	Identifier	stream_ptr		4993065	1					
ANR	4993157	ExpressionStatement	"bytestream2_skip ( & s -> mv_ptr , bytestream2_get_le16 ( & s -> stream_ptr ) )"	33:8:516:582	4993065	2	True				
ANR	4993158	CallExpression	"bytestream2_skip ( & s -> mv_ptr , bytestream2_get_le16 ( & s -> stream_ptr ) )"		4993065	0					
ANR	4993159	Callee	bytestream2_skip		4993065	0					
ANR	4993160	Identifier	bytestream2_skip		4993065	0					
ANR	4993161	ArgumentList	& s -> mv_ptr		4993065	1					
