command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	5000874	File	/home/p4ultr4n/workplace/ReVeal/raw_code/isa_vga_mm_init_0.c								
ANR	5000875	Function	isa_vga_mm_init	1:0:0:607							
ANR	5000876	FunctionDef	"isa_vga_mm_init (hwaddr vram_base , hwaddr ctrl_base , int it_shift , MemoryRegion * address_space)"		5000875	0					
ANR	5000877	CompoundStatement		7:0:142:607	5000875	0					
ANR	5000878	IdentifierDeclStatement	ISAVGAMMState * s ;	9:4:149:165	5000875	0	True				
ANR	5000879	IdentifierDecl	* s		5000875	0					
ANR	5000880	IdentifierDeclType	ISAVGAMMState *		5000875	0					
ANR	5000881	Identifier	s		5000875	1					
ANR	5000882	ExpressionStatement	s = g_malloc0 ( sizeof ( * s ) )	13:4:174:199	5000875	1	True				
ANR	5000883	AssignmentExpression	s = g_malloc0 ( sizeof ( * s ) )		5000875	0		=			
ANR	5000884	Identifier	s		5000875	0					
ANR	5000885	CallExpression	g_malloc0 ( sizeof ( * s ) )		5000875	1					
ANR	5000886	Callee	g_malloc0		5000875	0					
ANR	5000887	Identifier	g_malloc0		5000875	0					
ANR	5000888	ArgumentList	sizeof ( * s )		5000875	1					
ANR	5000889	Argument	sizeof ( * s )		5000875	0					
ANR	5000890	SizeofExpression	sizeof ( * s )		5000875	0					
ANR	5000891	Sizeof	sizeof		5000875	0					
ANR	5000892	UnaryOperationExpression	* s		5000875	1					
ANR	5000893	UnaryOperator	*		5000875	0					
ANR	5000894	Identifier	s		5000875	1					
ANR	5000895	ExpressionStatement	s -> vga . vram_size_mb = VGA_RAM_SIZE >> 20	17:4:208:248	5000875	2	True				
ANR	5000896	AssignmentExpression	s -> vga . vram_size_mb = VGA_RAM_SIZE >> 20		5000875	0		=			
ANR	5000897	MemberAccess	s -> vga . vram_size_mb		5000875	0					
ANR	5000898	PtrMemberAccess	s -> vga		5000875	0					
ANR	5000899	Identifier	s		5000875	0					
ANR	5000900	Identifier	vga		5000875	1					
ANR	5000901	Identifier	vram_size_mb		5000875	1					
ANR	5000902	ShiftExpression	VGA_RAM_SIZE >> 20		5000875	1		>>			
ANR	5000903	Identifier	VGA_RAM_SIZE		5000875	0					
ANR	5000904	PrimaryExpression	20		5000875	1					
ANR	5000905	ExpressionStatement	vga_common_init ( & s -> vga )	19:4:255:279	5000875	3	True				
ANR	5000906	CallExpression	vga_common_init ( & s -> vga )		5000875	0					
ANR	5000907	Callee	vga_common_init		5000875	0					
ANR	5000908	Identifier	vga_common_init		5000875	0					
ANR	5000909	ArgumentList	& s -> vga		5000875	1					
ANR	5000910	Argument	& s -> vga		5000875	0					
ANR	5000911	UnaryOperationExpression	& s -> vga		5000875	0					
ANR	5000912	UnaryOperator	&		5000875	0					
ANR	5000913	PtrMemberAccess	s -> vga		5000875	1					
ANR	5000914	Identifier	s		5000875	0					
ANR	5000915	Identifier	vga		5000875	1					
ANR	5000916	ExpressionStatement	"vga_mm_init ( s , vram_base , ctrl_base , it_shift , address_space )"	21:4:286:347	5000875	4	True				
ANR	5000917	CallExpression	"vga_mm_init ( s , vram_base , ctrl_base , it_shift , address_space )"		5000875	0					
ANR	5000918	Callee	vga_mm_init		5000875	0					
ANR	5000919	Identifier	vga_mm_init		5000875	0					
ANR	5000920	ArgumentList	s		5000875	1					
ANR	5000921	Argument	s		5000875	0					
ANR	5000922	Identifier	s		5000875	0					
ANR	5000923	Argument	vram_base		5000875	1					
ANR	5000924	Identifier	vram_base		5000875	0					
ANR	5000925	Argument	ctrl_base		5000875	2					
ANR	5000926	Identifier	ctrl_base		5000875	0					
ANR	5000927	Argument	it_shift		5000875	3					
ANR	5000928	Identifier	it_shift		5000875	0					
ANR	5000929	Argument	address_space		5000875	4					
ANR	5000930	Identifier	address_space		5000875	0					
ANR	5000931	ExpressionStatement	"s -> vga . con = graphic_console_init ( s -> vga . update , s -> vga . invalidate , s -> vga . screen_dump , s -> vga . text_update , s )"	25:4:356:544	5000875	5	True				
ANR	5000932	AssignmentExpression	"s -> vga . con = graphic_console_init ( s -> vga . update , s -> vga . invalidate , s -> vga . screen_dump , s -> vga . text_update , s )"		5000875	0		=			
ANR	5000933	MemberAccess	s -> vga . con		5000875	0					
ANR	5000934	PtrMemberAccess	s -> vga		5000875	0					
ANR	5000935	Identifier	s		5000875	0					
ANR	5000936	Identifier	vga		5000875	1					
ANR	5000937	Identifier	con		5000875	1					
ANR	5000938	CallExpression	"graphic_console_init ( s -> vga . update , s -> vga . invalidate , s -> vga . screen_dump , s -> vga . text_update , s )"		5000875	1					
ANR	5000939	Callee	graphic_console_init		5000875	0					
ANR	5000940	Identifier	graphic_console_init		5000875	0					
ANR	5000941	ArgumentList	s -> vga . update		5000875	1					
ANR	5000942	Argument	s -> vga . update		5000875	0					
ANR	5000943	MemberAccess	s -> vga . update		5000875	0					
ANR	5000944	PtrMemberAccess	s -> vga		5000875	0					
ANR	5000945	Identifier	s		5000875	0					
ANR	5000946	Identifier	vga		5000875	1					
ANR	5000947	Identifier	update		5000875	1					
ANR	5000948	Argument	s -> vga . invalidate		5000875	1					
ANR	5000949	MemberAccess	s -> vga . invalidate		5000875	0					
ANR	5000950	PtrMemberAccess	s -> vga		5000875	0					
ANR	5000951	Identifier	s		5000875	0					
ANR	5000952	Identifier	vga		5000875	1					
ANR	5000953	Identifier	invalidate		5000875	1					
ANR	5000954	Argument	s -> vga . screen_dump		5000875	2					
ANR	5000955	MemberAccess	s -> vga . screen_dump		5000875	0					
ANR	5000956	PtrMemberAccess	s -> vga		5000875	0					
ANR	5000957	Identifier	s		5000875	0					
ANR	5000958	Identifier	vga		5000875	1					
ANR	5000959	Identifier	screen_dump		5000875	1					
ANR	5000960	Argument	s -> vga . text_update		5000875	3					
ANR	5000961	MemberAccess	s -> vga . text_update		5000875	0					
ANR	5000962	PtrMemberAccess	s -> vga		5000875	0					
ANR	5000963	Identifier	s		5000875	0					
ANR	5000964	Identifier	vga		5000875	1					
ANR	5000965	Identifier	text_update		5000875	1					
ANR	5000966	Argument	s		5000875	4					
ANR	5000967	Identifier	s		5000875	0					
ANR	5000968	ExpressionStatement	"vga_init_vbe ( & s -> vga , address_space )"	33:4:553:589	5000875	6	True				
ANR	5000969	CallExpression	"vga_init_vbe ( & s -> vga , address_space )"		5000875	0					
ANR	5000970	Callee	vga_init_vbe		5000875	0					
ANR	5000971	Identifier	vga_init_vbe		5000875	0					
ANR	5000972	ArgumentList	& s -> vga		5000875	1					
ANR	5000973	Argument	& s -> vga		5000875	0					
ANR	5000974	UnaryOperationExpression	& s -> vga		5000875	0					
ANR	5000975	UnaryOperator	&		5000875	0					
ANR	5000976	PtrMemberAccess	s -> vga		5000875	1					
ANR	5000977	Identifier	s		5000875	0					
ANR	5000978	Identifier	vga		5000875	1					
ANR	5000979	Argument	address_space		5000875	1					
ANR	5000980	Identifier	address_space		5000875	0					
