command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	5083443	File	/home/p4ultr4n/workplace/ReVeal/raw_code/kqemu_set_phys_mem_0.c								
ANR	5083444	Function	kqemu_set_phys_mem	1:0:0:1522							
ANR	5083445	FunctionDef	"kqemu_set_phys_mem (uint64_t start_addr , ram_addr_t size , ram_addr_t phys_offset)"		5083444	0					
ANR	5083446	CompoundStatement		5:0:113:1522	5083444	0					
ANR	5083447	IdentifierDeclStatement	"struct kqemu_phys_mem kphys_mem1 , * kphys_mem = & kphys_mem1 ;"	7:4:120:178	5083444	0	True				
ANR	5083448	IdentifierDecl	kphys_mem1		5083444	0					
ANR	5083449	IdentifierDeclType	struct kqemu_phys_mem		5083444	0					
ANR	5083450	Identifier	kphys_mem1		5083444	1					
ANR	5083451	IdentifierDecl	* kphys_mem = & kphys_mem1		5083444	1					
ANR	5083452	IdentifierDeclType	struct kqemu_phys_mem *		5083444	0					
ANR	5083453	Identifier	kphys_mem		5083444	1					
ANR	5083454	AssignmentExpression	* kphys_mem = & kphys_mem1		5083444	2		=			
ANR	5083455	Identifier	kphys_mem		5083444	0					
ANR	5083456	UnaryOperationExpression	& kphys_mem1		5083444	1					
ANR	5083457	UnaryOperator	&		5083444	0					
ANR	5083458	Identifier	kphys_mem1		5083444	1					
ANR	5083459	IdentifierDeclStatement	uint64_t end ;	9:4:185:197	5083444	1	True				
ANR	5083460	IdentifierDecl	end		5083444	0					
ANR	5083461	IdentifierDeclType	uint64_t		5083444	0					
ANR	5083462	Identifier	end		5083444	1					
ANR	5083463	IdentifierDeclStatement	"int ret , io_index ;"	11:4:204:221	5083444	2	True				
ANR	5083464	IdentifierDecl	ret		5083444	0					
ANR	5083465	IdentifierDeclType	int		5083444	0					
ANR	5083466	Identifier	ret		5083444	1					
ANR	5083467	IdentifierDecl	io_index		5083444	1					
ANR	5083468	IdentifierDeclType	int		5083444	0					
ANR	5083469	Identifier	io_index		5083444	1					
ANR	5083470	ExpressionStatement	end = ( start_addr + size + TARGET_PAGE_SIZE - 1 ) & TARGET_PAGE_MASK	15:4:230:297	5083444	3	True				
ANR	5083471	AssignmentExpression	end = ( start_addr + size + TARGET_PAGE_SIZE - 1 ) & TARGET_PAGE_MASK		5083444	0		=			
ANR	5083472	Identifier	end		5083444	0					
ANR	5083473	BitAndExpression	( start_addr + size + TARGET_PAGE_SIZE - 1 ) & TARGET_PAGE_MASK		5083444	1		&			
ANR	5083474	AdditiveExpression	start_addr + size + TARGET_PAGE_SIZE - 1		5083444	0		+			
ANR	5083475	Identifier	start_addr		5083444	0					
ANR	5083476	AdditiveExpression	size + TARGET_PAGE_SIZE - 1		5083444	1		+			
ANR	5083477	Identifier	size		5083444	0					
ANR	5083478	AdditiveExpression	TARGET_PAGE_SIZE - 1		5083444	1		-			
ANR	5083479	Identifier	TARGET_PAGE_SIZE		5083444	0					
ANR	5083480	PrimaryExpression	1		5083444	1					
ANR	5083481	Identifier	TARGET_PAGE_MASK		5083444	1					
ANR	5083482	ExpressionStatement	start_addr &= TARGET_PAGE_MASK	17:4:304:334	5083444	4	True				
ANR	5083483	AssignmentExpression	start_addr &= TARGET_PAGE_MASK		5083444	0		&=			
ANR	5083484	Identifier	start_addr		5083444	0					
ANR	5083485	Identifier	TARGET_PAGE_MASK		5083444	1					
ANR	5083486	ExpressionStatement	kphys_mem -> phys_addr = start_addr	19:4:341:374	5083444	5	True				
ANR	5083487	AssignmentExpression	kphys_mem -> phys_addr = start_addr		5083444	0		=			
ANR	5083488	PtrMemberAccess	kphys_mem -> phys_addr		5083444	0					
ANR	5083489	Identifier	kphys_mem		5083444	0					
ANR	5083490	Identifier	phys_addr		5083444	1					
ANR	5083491	Identifier	start_addr		5083444	1					
ANR	5083492	ExpressionStatement	kphys_mem -> size = end - start_addr	21:4:381:415	5083444	6	True				
ANR	5083493	AssignmentExpression	kphys_mem -> size = end - start_addr		5083444	0		=			
ANR	5083494	PtrMemberAccess	kphys_mem -> size		5083444	0					
ANR	5083495	Identifier	kphys_mem		5083444	0					
ANR	5083496	Identifier	size		5083444	1					
ANR	5083497	AdditiveExpression	end - start_addr		5083444	1		-			
ANR	5083498	Identifier	end		5083444	0					
ANR	5083499	Identifier	start_addr		5083444	1					
ANR	5083500	ExpressionStatement	kphys_mem -> ram_addr = phys_offset & TARGET_PAGE_MASK	23:4:422:474	5083444	7	True				
ANR	5083501	AssignmentExpression	kphys_mem -> ram_addr = phys_offset & TARGET_PAGE_MASK		5083444	0		=			
ANR	5083502	PtrMemberAccess	kphys_mem -> ram_addr		5083444	0					
ANR	5083503	Identifier	kphys_mem		5083444	0					
ANR	5083504	Identifier	ram_addr		5083444	1					
ANR	5083505	BitAndExpression	phys_offset & TARGET_PAGE_MASK		5083444	1		&			
ANR	5083506	Identifier	phys_offset		5083444	0					
ANR	5083507	Identifier	TARGET_PAGE_MASK		5083444	1					
ANR	5083508	ExpressionStatement	io_index = phys_offset & ~TARGET_PAGE_MASK	25:4:481:523	5083444	8	True				
ANR	5083509	AssignmentExpression	io_index = phys_offset & ~TARGET_PAGE_MASK		5083444	0		=			
ANR	5083510	Identifier	io_index		5083444	0					
ANR	5083511	BitAndExpression	phys_offset & ~TARGET_PAGE_MASK		5083444	1		&			
ANR	5083512	Identifier	phys_offset		5083444	0					
ANR	5083513	Identifier	~TARGET_PAGE_MASK		5083444	1					
ANR	5083514	SwitchStatement	switch ( io_index )		5083444	9					
ANR	5083515	Condition	io_index	27:11:537:544	5083444	0	True				
ANR	5083516	Identifier	io_index		5083444	0					
ANR	5083517	CompoundStatement		23:21:433:433	5083444	1					
ANR	5083518	Label	case IO_MEM_RAM :	29:4:554:569	5083444	0	True				
ANR	5083519	Identifier	IO_MEM_RAM		5083444	0					
ANR	5083520	ExpressionStatement	kphys_mem -> io_index = KQEMU_IO_MEM_RAM	31:8:580:618	5083444	1	True				
ANR	5083521	AssignmentExpression	kphys_mem -> io_index = KQEMU_IO_MEM_RAM		5083444	0		=			
ANR	5083522	PtrMemberAccess	kphys_mem -> io_index		5083444	0					
ANR	5083523	Identifier	kphys_mem		5083444	0					
ANR	5083524	Identifier	io_index		5083444	1					
ANR	5083525	Identifier	KQEMU_IO_MEM_RAM		5083444	1					
ANR	5083526	BreakStatement	break ;	33:8:629:634	5083444	2	True				
ANR	5083527	Label	case IO_MEM_ROM :	35:4:641:656	5083444	3	True				
ANR	5083528	Identifier	IO_MEM_ROM		5083444	0					
ANR	5083529	ExpressionStatement	kphys_mem -> io_index = KQEMU_IO_MEM_ROM	37:8:667:705	5083444	4	True				
ANR	5083530	AssignmentExpression	kphys_mem -> io_index = KQEMU_IO_MEM_ROM		5083444	0		=			
ANR	5083531	PtrMemberAccess	kphys_mem -> io_index		5083444	0					
ANR	5083532	Identifier	kphys_mem		5083444	0					
ANR	5083533	Identifier	io_index		5083444	1					
ANR	5083534	Identifier	KQEMU_IO_MEM_ROM		5083444	1					
ANR	5083535	BreakStatement	break ;	39:8:716:721	5083444	5	True				
ANR	5083536	Label	default :	41:4:728:735	5083444	6	True				
ANR	5083537	Identifier	default		5083444	0					
ANR	5083538	IfStatement	if ( qpi_io_memory == io_index )		5083444	7					
ANR	5083539	Condition	qpi_io_memory == io_index	43:12:750:774	5083444	0	True				
ANR	5083540	EqualityExpression	qpi_io_memory == io_index		5083444	0		==			
ANR	5083541	Identifier	qpi_io_memory		5083444	0					
ANR	5083542	Identifier	io_index		5083444	1					
ANR	5083543	CompoundStatement		39:39:663:663	5083444	1					
ANR	5083544	ExpressionStatement	kphys_mem -> io_index = KQEMU_IO_MEM_COMM	45:12:792:831	5083444	0	True				
ANR	5083545	AssignmentExpression	kphys_mem -> io_index = KQEMU_IO_MEM_COMM		5083444	0		=			
ANR	5083546	PtrMemberAccess	kphys_mem -> io_index		5083444	0					
ANR	5083547	Identifier	kphys_mem		5083444	0					
ANR	5083548	Identifier	io_index		5083444	1					
ANR	5083549	Identifier	KQEMU_IO_MEM_COMM		5083444	1					
ANR	5083550	ElseStatement	else		5083444	0					
ANR	5083551	CompoundStatement		43:15:735:735	5083444	0					
