command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	5102513	File	/home/p4ultr4n/workplace/ReVeal/raw_code/kvm_arch_put_registers_1.c								
ANR	5102514	Function	kvm_arch_put_registers	1:0:0:571							
ANR	5102515	FunctionDef	"kvm_arch_put_registers (CPUState * env , int level)"		5102514	0					
ANR	5102516	CompoundStatement		3:0:54:571	5102514	0					
ANR	5102517	IdentifierDeclStatement	int ret ;	5:4:61:68	5102514	0	True				
ANR	5102518	IdentifierDecl	ret		5102514	0					
ANR	5102519	IdentifierDeclType	int		5102514	0					
ANR	5102520	Identifier	ret		5102514	1					
ANR	5102521	ExpressionStatement	assert ( cpu_is_stopped ( env ) || qemu_cpu_is_self ( env ) )	9:4:77:129	5102514	1	True				
ANR	5102522	CallExpression	assert ( cpu_is_stopped ( env ) || qemu_cpu_is_self ( env ) )		5102514	0					
ANR	5102523	Callee	assert		5102514	0					
ANR	5102524	Identifier	assert		5102514	0					
ANR	5102525	ArgumentList	cpu_is_stopped ( env ) || qemu_cpu_is_self ( env )		5102514	1					
ANR	5102526	Argument	cpu_is_stopped ( env ) || qemu_cpu_is_self ( env )		5102514	0					
ANR	5102527	OrExpression	cpu_is_stopped ( env ) || qemu_cpu_is_self ( env )		5102514	0		||			
ANR	5102528	CallExpression	cpu_is_stopped ( env )		5102514	0					
ANR	5102529	Callee	cpu_is_stopped		5102514	0					
ANR	5102530	Identifier	cpu_is_stopped		5102514	0					
ANR	5102531	ArgumentList	env		5102514	1					
ANR	5102532	Argument	env		5102514	0					
ANR	5102533	Identifier	env		5102514	0					
ANR	5102534	CallExpression	qemu_cpu_is_self ( env )		5102514	1					
ANR	5102535	Callee	qemu_cpu_is_self		5102514	0					
ANR	5102536	Identifier	qemu_cpu_is_self		5102514	0					
ANR	5102537	ArgumentList	env		5102514	1					
ANR	5102538	Argument	env		5102514	0					
ANR	5102539	Identifier	env		5102514	0					
ANR	5102540	ExpressionStatement	"ret = kvm_getput_regs ( env , 1 )"	13:4:138:167	5102514	2	True				
ANR	5102541	AssignmentExpression	"ret = kvm_getput_regs ( env , 1 )"		5102514	0		=			
ANR	5102542	Identifier	ret		5102514	0					
ANR	5102543	CallExpression	"kvm_getput_regs ( env , 1 )"		5102514	1					
ANR	5102544	Callee	kvm_getput_regs		5102514	0					
ANR	5102545	Identifier	kvm_getput_regs		5102514	0					
ANR	5102546	ArgumentList	env		5102514	1					
ANR	5102547	Argument	env		5102514	0					
ANR	5102548	Identifier	env		5102514	0					
ANR	5102549	Argument	1		5102514	1					
ANR	5102550	PrimaryExpression	1		5102514	0					
ANR	5102551	ExpressionStatement	ret = kvm_put_xsave ( env )	18:4:177:201	5102514	3	True				
ANR	5102552	AssignmentExpression	ret = kvm_put_xsave ( env )		5102514	0		=			
ANR	5102553	Identifier	ret		5102514	0					
ANR	5102554	CallExpression	kvm_put_xsave ( env )		5102514	1					
ANR	5102555	Callee	kvm_put_xsave		5102514	0					
ANR	5102556	Identifier	kvm_put_xsave		5102514	0					
ANR	5102557	ArgumentList	env		5102514	1					
ANR	5102558	Argument	env		5102514	0					
ANR	5102559	Identifier	env		5102514	0					
ANR	5102560	ExpressionStatement	ret = kvm_put_xcrs ( env )	23:4:211:234	5102514	4	True				
ANR	5102561	AssignmentExpression	ret = kvm_put_xcrs ( env )		5102514	0		=			
ANR	5102562	Identifier	ret		5102514	0					
ANR	5102563	CallExpression	kvm_put_xcrs ( env )		5102514	1					
ANR	5102564	Callee	kvm_put_xcrs		5102514	0					
ANR	5102565	Identifier	kvm_put_xcrs		5102514	0					
ANR	5102566	ArgumentList	env		5102514	1					
ANR	5102567	Argument	env		5102514	0					
ANR	5102568	Identifier	env		5102514	0					
ANR	5102569	ExpressionStatement	ret = kvm_put_sregs ( env )	28:4:244:268	5102514	5	True				
ANR	5102570	AssignmentExpression	ret = kvm_put_sregs ( env )		5102514	0		=			
ANR	5102571	Identifier	ret		5102514	0					
ANR	5102572	CallExpression	kvm_put_sregs ( env )		5102514	1					
ANR	5102573	Callee	kvm_put_sregs		5102514	0					
ANR	5102574	Identifier	kvm_put_sregs		5102514	0					
ANR	5102575	ArgumentList	env		5102514	1					
ANR	5102576	Argument	env		5102514	0					
ANR	5102577	Identifier	env		5102514	0					
ANR	5102578	ExpressionStatement	"ret = kvm_put_msrs ( env , level )"	38:4:283:313	5102514	6	True				
ANR	5102579	AssignmentExpression	"ret = kvm_put_msrs ( env , level )"		5102514	0		=			
ANR	5102580	Identifier	ret		5102514	0					
ANR	5102581	CallExpression	"kvm_put_msrs ( env , level )"		5102514	1					
ANR	5102582	Callee	kvm_put_msrs		5102514	0					
ANR	5102583	Identifier	kvm_put_msrs		5102514	0					
ANR	5102584	ArgumentList	env		5102514	1					
ANR	5102585	Argument	env		5102514	0					
ANR	5102586	Identifier	env		5102514	0					
ANR	5102587	Argument	level		5102514	1					
ANR	5102588	Identifier	level		5102514	0					
ANR	5102589	ReturnType	int		5102514	1					
ANR	5102590	Identifier	kvm_arch_put_registers		5102514	2					
ANR	5102591	ParameterList	"CPUState * env , int level"		5102514	3					
ANR	5102592	Parameter	CPUState * env	1:27:27:39	5102514	0	True				
ANR	5102593	ParameterType	CPUState *		5102514	0					
ANR	5102594	Identifier	env		5102514	1					
ANR	5102595	Parameter	int level	1:42:42:50	5102514	1	True				
ANR	5102596	ParameterType	int		5102514	0					
ANR	5102597	Identifier	level		5102514	1					
ANR	5102598	CFGEntryNode	ENTRY		5102514		True				
ANR	5102599	CFGExitNode	EXIT		5102514		True				
