start	end	type	var
5119276	5119277	IS_AST_PARENT	
5119276	5119278	IS_AST_PARENT	
5119275	5119276	IS_AST_PARENT	
5119279	5119280	IS_AST_PARENT	
5119279	5119281	IS_AST_PARENT	
5119275	5119279	IS_AST_PARENT	
5119274	5119275	IS_AST_PARENT	
5119283	5119284	IS_AST_PARENT	
5119283	5119285	IS_AST_PARENT	
5119282	5119283	IS_AST_PARENT	
5119274	5119282	IS_AST_PARENT	
5119288	5119289	IS_AST_PARENT	
5119291	5119292	IS_AST_PARENT	
5119290	5119291	IS_AST_PARENT	
5119290	5119293	IS_AST_PARENT	
5119288	5119290	IS_AST_PARENT	
5119287	5119288	IS_AST_PARENT	
5119286	5119287	IS_AST_PARENT	
5119294	5119295	IS_AST_PARENT	
5119286	5119294	IS_AST_PARENT	
5119274	5119286	IS_AST_PARENT	
5119297	5119298	IS_AST_PARENT	
5119300	5119301	IS_AST_PARENT	
5119299	5119300	IS_AST_PARENT	
5119303	5119304	IS_AST_PARENT	
5119302	5119303	IS_AST_PARENT	
5119305	5119306	IS_AST_PARENT	
5119302	5119305	IS_AST_PARENT	
5119308	5119309	IS_AST_PARENT	
5119308	5119310	IS_AST_PARENT	
5119307	5119308	IS_AST_PARENT	
5119302	5119307	IS_AST_PARENT	
5119299	5119302	IS_AST_PARENT	
5119297	5119299	IS_AST_PARENT	
5119296	5119297	IS_AST_PARENT	
5119274	5119296	IS_AST_PARENT	
5119313	5119314	IS_AST_PARENT	
5119313	5119315	IS_AST_PARENT	
5119312	5119313	IS_AST_PARENT	
5119311	5119312	IS_AST_PARENT	
5119316	5119317	IS_AST_PARENT	
5119311	5119316	IS_AST_PARENT	
5119274	5119311	IS_AST_PARENT	
5119320	5119321	IS_AST_PARENT	
5119320	5119322	IS_AST_PARENT	
5119319	5119320	IS_AST_PARENT	
5119318	5119319	IS_AST_PARENT	
5119324	5119325	IS_AST_PARENT	
5119326	5119327	IS_AST_PARENT	
5119326	5119328	IS_AST_PARENT	
5119324	5119326	IS_AST_PARENT	
5119323	5119324	IS_AST_PARENT	
5119318	5119323	IS_AST_PARENT	
5119329	5119330	IS_AST_PARENT	
5119329	5119331	IS_AST_PARENT	
5119318	5119329	IS_AST_PARENT	
5119337	5119338	IS_AST_PARENT	
5119337	5119339	IS_AST_PARENT	
5119336	5119337	IS_AST_PARENT	
5119336	5119340	IS_AST_PARENT	
5119335	5119336	IS_AST_PARENT	
5119335	5119341	IS_AST_PARENT	
5119334	5119335	IS_AST_PARENT	
5119334	5119342	IS_AST_PARENT	
5119333	5119334	IS_AST_PARENT	
5119332	5119333	IS_AST_PARENT	
5119346	5119347	IS_AST_PARENT	
5119346	5119348	IS_AST_PARENT	
5119345	5119346	IS_AST_PARENT	
5119351	5119352	IS_AST_PARENT	
5119351	5119353	IS_AST_PARENT	
5119350	5119351	IS_AST_PARENT	
5119350	5119354	IS_AST_PARENT	
5119349	5119350	IS_AST_PARENT	
5119349	5119355	IS_AST_PARENT	
5119345	5119349	IS_AST_PARENT	
5119344	5119345	IS_AST_PARENT	
5119343	5119344	IS_AST_PARENT	
5119343	5119356	IS_AST_PARENT	
5119332	5119343	IS_AST_PARENT	
5119318	5119332	IS_AST_PARENT	
5119274	5119318	IS_AST_PARENT	
5119357	5119358	IS_AST_PARENT	
5119274	5119357	IS_AST_PARENT	
5119273	5119274	IS_AST_PARENT	
5119273	5119359	IS_AST_PARENT	
5119273	5119360	IS_AST_PARENT	
5119362	5119363	IS_AST_PARENT	
5119362	5119364	IS_AST_PARENT	
5119361	5119362	IS_AST_PARENT	
5119273	5119361	IS_AST_PARENT	
5119365	5119362	FLOWS_TO	
5119362	5119275	FLOWS_TO	
5119275	5119282	FLOWS_TO	
5119282	5119287	FLOWS_TO	
5119287	5119294	FLOWS_TO	
5119287	5119296	FLOWS_TO	
5119294	5119366	FLOWS_TO	
5119296	5119312	FLOWS_TO	
5119312	5119316	FLOWS_TO	
5119312	5119319	FLOWS_TO	
5119316	5119366	FLOWS_TO	
5119323	5119333	FLOWS_TO	
5119323	5119357	FLOWS_TO	
5119319	5119323	FLOWS_TO	
