start	end	type	var
5130702	5130703	IS_AST_PARENT	
5130702	5130704	IS_AST_PARENT	
5130701	5130702	IS_AST_PARENT	
5130700	5130701	IS_AST_PARENT	
5130708	5130709	IS_AST_PARENT	
5130711	5130712	IS_AST_PARENT	
5130710	5130711	IS_AST_PARENT	
5130714	5130715	IS_AST_PARENT	
5130713	5130714	IS_AST_PARENT	
5130710	5130713	IS_AST_PARENT	
5130708	5130710	IS_AST_PARENT	
5130707	5130708	IS_AST_PARENT	
5130717	5130718	IS_AST_PARENT	
5130720	5130721	IS_AST_PARENT	
5130719	5130720	IS_AST_PARENT	
5130723	5130724	IS_AST_PARENT	
5130722	5130723	IS_AST_PARENT	
5130725	5130726	IS_AST_PARENT	
5130722	5130725	IS_AST_PARENT	
5130719	5130722	IS_AST_PARENT	
5130717	5130719	IS_AST_PARENT	
5130716	5130717	IS_AST_PARENT	
5130729	5130730	IS_AST_PARENT	
5130728	5130729	IS_AST_PARENT	
5130732	5130733	IS_AST_PARENT	
5130731	5130732	IS_AST_PARENT	
5130734	5130735	IS_AST_PARENT	
5130731	5130734	IS_AST_PARENT	
5130736	5130737	IS_AST_PARENT	
5130731	5130736	IS_AST_PARENT	
5130728	5130731	IS_AST_PARENT	
5130727	5130728	IS_AST_PARENT	
5130727	5130738	IS_AST_PARENT	
5130716	5130727	IS_AST_PARENT	
5130707	5130716	IS_AST_PARENT	
5130706	5130707	IS_AST_PARENT	
5130705	5130706	IS_AST_PARENT	
5130740	5130741	IS_AST_PARENT	
5130739	5130740	IS_AST_PARENT	
5130705	5130739	IS_AST_PARENT	
5130700	5130705	IS_AST_PARENT	
5130743	5130744	IS_AST_PARENT	
5130746	5130747	IS_AST_PARENT	
5130745	5130746	IS_AST_PARENT	
5130749	5130750	IS_AST_PARENT	
5130748	5130749	IS_AST_PARENT	
5130745	5130748	IS_AST_PARENT	
5130743	5130745	IS_AST_PARENT	
5130742	5130743	IS_AST_PARENT	
5130700	5130742	IS_AST_PARENT	
5130753	5130754	IS_AST_PARENT	
5130753	5130755	IS_AST_PARENT	
5130752	5130753	IS_AST_PARENT	
5130751	5130752	IS_AST_PARENT	
5130757	5130758	IS_AST_PARENT	
5130756	5130757	IS_AST_PARENT	
5130751	5130756	IS_AST_PARENT	
5130762	5130763	IS_AST_PARENT	
5130762	5130764	IS_AST_PARENT	
