start	end	type	var
5132558	5132559	IS_AST_PARENT	
5132557	5132558	IS_AST_PARENT	
5132561	5132562	IS_AST_PARENT	
5132560	5132561	IS_AST_PARENT	
5132563	5132564	IS_AST_PARENT	
5132560	5132563	IS_AST_PARENT	
5132565	5132566	IS_AST_PARENT	
5132560	5132565	IS_AST_PARENT	
5132567	5132568	IS_AST_PARENT	
5132560	5132567	IS_AST_PARENT	
5132557	5132560	IS_AST_PARENT	
5132556	5132557	IS_AST_PARENT	
5132555	5132556	IS_AST_PARENT	
5132554	5132555	IS_AST_PARENT	
5132554	5132569	IS_AST_PARENT	
5132554	5132570	IS_AST_PARENT	
5132572	5132573	IS_AST_PARENT	
5132572	5132574	IS_AST_PARENT	
5132571	5132572	IS_AST_PARENT	
5132575	5132576	IS_AST_PARENT	
5132575	5132577	IS_AST_PARENT	
5132571	5132575	IS_AST_PARENT	
5132554	5132571	IS_AST_PARENT	
5132578	5132572	FLOWS_TO	
5132572	5132575	FLOWS_TO	
5132575	5132556	FLOWS_TO	
5132556	5132579	FLOWS_TO	
5132575	5132580	DEF	
5132556	5132580	USE	
5132563	5132580	USE	
5132556	5132581	USE	
5132567	5132581	USE	
5132565	5132581	USE	
5132572	5132582	DEF	
5132556	5132582	USE	
5132561	5132582	USE	
5132556	5132583	USE	
5132575	5132556	REACHES	end_addr
5132572	5132556	REACHES	phys_addr
5132578	5132572	CONTROLS	
5132578	5132575	CONTROLS	
5132578	5132556	CONTROLS	
5132575	5132556	DOM	
5132556	5132579	DOM	
5132578	5132572	DOM	
5132572	5132575	DOM	
5132578	5132578	DOM	
5132579	5132556	POST_DOM	
5132579	5132579	POST_DOM	
5132575	5132572	POST_DOM	
5132556	5132575	POST_DOM	
5132572	5132578	POST_DOM	
5132553	5132554	IS_FUNCTION_OF_AST	
5132553	5132578	IS_FUNCTION_OF_CFG	
5132552	5132553	IS_FILE_OF	
