command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	5198583	File	/home/p4ultr4n/workplace/ReVeal/raw_code/libschroedinger_encode_frame_1.c								
ANR	5198584	Function	libschroedinger_encode_frame	1:0:0:5662							
ANR	5198585	FunctionDef	"libschroedinger_encode_frame (AVCodecContext * avctx , AVPacket * pkt , const AVFrame * frame , int * got_packet)"		5198584	0					
ANR	5198586	CompoundStatement		5:0:159:5662	5198584	0					
ANR	5198587	IdentifierDeclStatement	int enc_size = 0 ;	7:4:166:182	5198584	0	True				
ANR	5198588	IdentifierDecl	enc_size = 0		5198584	0					
ANR	5198589	IdentifierDeclType	int		5198584	0					
ANR	5198590	Identifier	enc_size		5198584	1					
ANR	5198591	AssignmentExpression	enc_size = 0		5198584	2		=			
ANR	5198592	Identifier	enc_size		5198584	0					
ANR	5198593	PrimaryExpression	0		5198584	1					
ANR	5198594	IdentifierDeclStatement	SchroEncoderParams * p_schro_params = avctx -> priv_data ;	9:4:189:242	5198584	1	True				
ANR	5198595	IdentifierDecl	* p_schro_params = avctx -> priv_data		5198584	0					
ANR	5198596	IdentifierDeclType	SchroEncoderParams *		5198584	0					
ANR	5198597	Identifier	p_schro_params		5198584	1					
ANR	5198598	AssignmentExpression	* p_schro_params = avctx -> priv_data		5198584	2		=			
ANR	5198599	Identifier	p_schro_params		5198584	0					
ANR	5198600	PtrMemberAccess	avctx -> priv_data		5198584	1					
ANR	5198601	Identifier	avctx		5198584	0					
ANR	5198602	Identifier	priv_data		5198584	1					
ANR	5198603	IdentifierDeclStatement	SchroEncoder * encoder = p_schro_params -> encoder ;	11:4:249:296	5198584	2	True				
ANR	5198604	IdentifierDecl	* encoder = p_schro_params -> encoder		5198584	0					
ANR	5198605	IdentifierDeclType	SchroEncoder *		5198584	0					
ANR	5198606	Identifier	encoder		5198584	1					
ANR	5198607	AssignmentExpression	* encoder = p_schro_params -> encoder		5198584	2		=			
ANR	5198608	Identifier	encoder		5198584	0					
ANR	5198609	PtrMemberAccess	p_schro_params -> encoder		5198584	1					
ANR	5198610	Identifier	p_schro_params		5198584	0					
ANR	5198611	Identifier	encoder		5198584	1					
ANR	5198612	IdentifierDeclStatement	struct FFSchroEncodedFrame * p_frame_output = NULL ;	13:4:303:352	5198584	3	True				
ANR	5198613	IdentifierDecl	* p_frame_output = NULL		5198584	0					
ANR	5198614	IdentifierDeclType	struct FFSchroEncodedFrame *		5198584	0					
ANR	5198615	Identifier	p_frame_output		5198584	1					
ANR	5198616	AssignmentExpression	* p_frame_output = NULL		5198584	2		=			
ANR	5198617	Identifier	NULL		5198584	0					
ANR	5198618	Identifier	NULL		5198584	1					
ANR	5198619	IdentifierDeclStatement	int go = 1 ;	15:4:359:369	5198584	4	True				
ANR	5198620	IdentifierDecl	go = 1		5198584	0					
ANR	5198621	IdentifierDeclType	int		5198584	0					
ANR	5198622	Identifier	go		5198584	1					
ANR	5198623	AssignmentExpression	go = 1		5198584	2		=			
ANR	5198624	Identifier	go		5198584	0					
ANR	5198625	PrimaryExpression	1		5198584	1					
ANR	5198626	IdentifierDeclStatement	SchroBuffer * enc_buf ;	17:4:376:396	5198584	5	True				
ANR	5198627	IdentifierDecl	* enc_buf		5198584	0					
ANR	5198628	IdentifierDeclType	SchroBuffer *		5198584	0					
ANR	5198629	Identifier	enc_buf		5198584	1					
ANR	5198630	IdentifierDeclStatement	int presentation_frame ;	19:4:403:425	5198584	6	True				
ANR	5198631	IdentifierDecl	presentation_frame		5198584	0					
ANR	5198632	IdentifierDeclType	int		5198584	0					
ANR	5198633	Identifier	presentation_frame		5198584	1					
ANR	5198634	IdentifierDeclStatement	int parse_code ;	21:4:432:446	5198584	7	True				
ANR	5198635	IdentifierDecl	parse_code		5198584	0					
ANR	5198636	IdentifierDeclType	int		5198584	0					
ANR	5198637	Identifier	parse_code		5198584	1					
ANR	5198638	IdentifierDeclStatement	int last_frame_in_sequence = 0 ;	23:4:453:483	5198584	8	True				
ANR	5198639	IdentifierDecl	last_frame_in_sequence = 0		5198584	0					
ANR	5198640	IdentifierDeclType	int		5198584	0					
ANR	5198641	Identifier	last_frame_in_sequence		5198584	1					
ANR	5198642	AssignmentExpression	last_frame_in_sequence = 0		5198584	2		=			
ANR	5198643	Identifier	last_frame_in_sequence		5198584	0					
ANR	5198644	PrimaryExpression	0		5198584	1					
ANR	5198645	IdentifierDeclStatement	"int pkt_size , ret ;"	25:4:490:507	5198584	9	True				
ANR	5198646	IdentifierDecl	pkt_size		5198584	0					
ANR	5198647	IdentifierDeclType	int		5198584	0					
ANR	5198648	Identifier	pkt_size		5198584	1					
ANR	5198649	IdentifierDecl	ret		5198584	1					
ANR	5198650	IdentifierDeclType	int		5198584	0					
ANR	5198651	Identifier	ret		5198584	1					
ANR	5198652	IfStatement	if ( ! frame )		5198584	10					
ANR	5198653	Condition	! frame	29:8:520:525	5198584	0	True				
ANR	5198654	UnaryOperationExpression	! frame		5198584	0					
ANR	5198655	UnaryOperator	!		5198584	0					
ANR	5198656	Identifier	frame		5198584	1					
ANR	5198657	CompoundStatement		25:16:368:368	5198584	1					
ANR	5198658	IfStatement	if ( ! p_schro_params -> eos_signalled )		5198584	0					
ANR	5198659	Condition	! p_schro_params -> eos_signalled	33:12:605:634	5198584	0	True				
ANR	5198660	UnaryOperationExpression	! p_schro_params -> eos_signalled		5198584	0					
ANR	5198661	UnaryOperator	!		5198584	0					
ANR	5198662	PtrMemberAccess	p_schro_params -> eos_signalled		5198584	1					
ANR	5198663	Identifier	p_schro_params		5198584	0					
ANR	5198664	Identifier	eos_signalled		5198584	1					
ANR	5198665	CompoundStatement		29:44:477:477	5198584	1					
ANR	5198666	ExpressionStatement	schro_encoder_end_of_stream ( encoder )	35:12:652:688	5198584	0	True				
ANR	5198667	CallExpression	schro_encoder_end_of_stream ( encoder )		5198584	0					
ANR	5198668	Callee	schro_encoder_end_of_stream		5198584	0					
ANR	5198669	Identifier	schro_encoder_end_of_stream		5198584	0					
ANR	5198670	ArgumentList	encoder		5198584	1					
ANR	5198671	Argument	encoder		5198584	0					
ANR	5198672	Identifier	encoder		5198584	0					
