command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	5222654	File	/home/p4ultr4n/workplace/ReVeal/raw_code/lm32_evr_init_1.c								
ANR	5222655	Function	lm32_evr_init	1:0:0:3186							
ANR	5222656	FunctionDef	lm32_evr_init (MachineState * machine)		5222655	0					
ANR	5222657	CompoundStatement		3:0:50:3186	5222655	0					
ANR	5222658	IdentifierDeclStatement	const char * cpu_model = machine -> cpu_model ;	5:4:57:99	5222655	0	True				
ANR	5222659	IdentifierDecl	* cpu_model = machine -> cpu_model		5222655	0					
ANR	5222660	IdentifierDeclType	const char *		5222655	0					
ANR	5222661	Identifier	cpu_model		5222655	1					
ANR	5222662	AssignmentExpression	* cpu_model = machine -> cpu_model		5222655	2		=			
ANR	5222663	Identifier	cpu_model		5222655	0					
ANR	5222664	PtrMemberAccess	machine -> cpu_model		5222655	1					
ANR	5222665	Identifier	machine		5222655	0					
ANR	5222666	Identifier	cpu_model		5222655	1					
ANR	5222667	IdentifierDeclStatement	const char * kernel_filename = machine -> kernel_filename ;	7:4:106:160	5222655	1	True				
ANR	5222668	IdentifierDecl	* kernel_filename = machine -> kernel_filename		5222655	0					
ANR	5222669	IdentifierDeclType	const char *		5222655	0					
ANR	5222670	Identifier	kernel_filename		5222655	1					
ANR	5222671	AssignmentExpression	* kernel_filename = machine -> kernel_filename		5222655	2		=			
ANR	5222672	Identifier	kernel_filename		5222655	0					
ANR	5222673	PtrMemberAccess	machine -> kernel_filename		5222655	1					
ANR	5222674	Identifier	machine		5222655	0					
ANR	5222675	Identifier	kernel_filename		5222655	1					
ANR	5222676	IdentifierDeclStatement	LM32CPU * cpu ;	9:4:167:179	5222655	2	True				
ANR	5222677	IdentifierDecl	* cpu		5222655	0					
ANR	5222678	IdentifierDeclType	LM32CPU *		5222655	0					
ANR	5222679	Identifier	cpu		5222655	1					
ANR	5222680	IdentifierDeclStatement	CPULM32State * env ;	11:4:186:203	5222655	3	True				
ANR	5222681	IdentifierDecl	* env		5222655	0					
ANR	5222682	IdentifierDeclType	CPULM32State *		5222655	0					
ANR	5222683	Identifier	env		5222655	1					
ANR	5222684	IdentifierDeclStatement	DriveInfo * dinfo ;	13:4:210:226	5222655	4	True				
ANR	5222685	IdentifierDecl	* dinfo		5222655	0					
ANR	5222686	IdentifierDeclType	DriveInfo *		5222655	0					
ANR	5222687	Identifier	dinfo		5222655	1					
ANR	5222688	IdentifierDeclStatement	MemoryRegion * address_space_mem = get_system_memory ( ) ;	15:4:233:287	5222655	5	True				
