start	end	type	var
5231791	5231792	IS_AST_PARENT	
5231791	5231793	IS_AST_PARENT	
5231790	5231791	IS_AST_PARENT	
5231789	5231790	IS_AST_PARENT	
5231795	5231796	IS_AST_PARENT	
5231795	5231797	IS_AST_PARENT	
5231794	5231795	IS_AST_PARENT	
5231789	5231794	IS_AST_PARENT	
5231799	5231800	IS_AST_PARENT	
5231799	5231801	IS_AST_PARENT	
5231802	5231803	IS_AST_PARENT	
5231802	5231804	IS_AST_PARENT	
5231799	5231802	IS_AST_PARENT	
5231798	5231799	IS_AST_PARENT	
5231789	5231798	IS_AST_PARENT	
5231806	5231807	IS_AST_PARENT	
5231806	5231808	IS_AST_PARENT	
5231805	5231806	IS_AST_PARENT	
5231789	5231805	IS_AST_PARENT	
5231810	5231811	IS_AST_PARENT	
5231810	5231812	IS_AST_PARENT	
5231809	5231810	IS_AST_PARENT	
5231813	5231814	IS_AST_PARENT	
5231813	5231815	IS_AST_PARENT	
5231809	5231813	IS_AST_PARENT	
5231789	5231809	IS_AST_PARENT	
5231817	5231818	IS_AST_PARENT	
5231817	5231819	IS_AST_PARENT	
5231816	5231817	IS_AST_PARENT	
5231820	5231821	IS_AST_PARENT	
5231820	5231822	IS_AST_PARENT	
5231816	5231820	IS_AST_PARENT	
5231823	5231824	IS_AST_PARENT	
5231823	5231825	IS_AST_PARENT	
5231816	5231823	IS_AST_PARENT	
5231789	5231816	IS_AST_PARENT	
5231827	5231828	IS_AST_PARENT	
5231830	5231831	IS_AST_PARENT	
5231829	5231830	IS_AST_PARENT	
5231833	5231834	IS_AST_PARENT	
5231832	5231833	IS_AST_PARENT	
5231836	5231837	IS_AST_PARENT	
5231836	5231838	IS_AST_PARENT	
5231835	5231836	IS_AST_PARENT	
5231832	5231835	IS_AST_PARENT	
5231829	5231832	IS_AST_PARENT	
5231827	5231829	IS_AST_PARENT	
5231826	5231827	IS_AST_PARENT	
5231789	5231826	IS_AST_PARENT	
5231841	5231842	IS_AST_PARENT	
5231841	5231843	IS_AST_PARENT	
5231840	5231841	IS_AST_PARENT	
5231839	5231840	IS_AST_PARENT	
5231847	5231848	IS_AST_PARENT	
5231846	5231847	IS_AST_PARENT	
5231850	5231851	IS_AST_PARENT	
5231849	5231850	IS_AST_PARENT	
5231852	5231853	IS_AST_PARENT	
5231849	5231852	IS_AST_PARENT	
5231855	5231856	IS_AST_PARENT	
5231855	5231857	IS_AST_PARENT	
5231854	5231855	IS_AST_PARENT	
5231849	5231854	IS_AST_PARENT	
5231846	5231849	IS_AST_PARENT	
5231845	5231846	IS_AST_PARENT	
5231844	5231845	IS_AST_PARENT	
5231859	5231860	IS_AST_PARENT	
5231859	5231861	IS_AST_PARENT	
5231858	5231859	IS_AST_PARENT	
5231844	5231858	IS_AST_PARENT	
5231839	5231844	IS_AST_PARENT	
5231789	5231839	IS_AST_PARENT	
5231863	5231864	IS_AST_PARENT	
5231866	5231867	IS_AST_PARENT	
5231865	5231866	IS_AST_PARENT	
5231869	5231870	IS_AST_PARENT	
5231868	5231869	IS_AST_PARENT	
5231872	5231873	IS_AST_PARENT	
5231872	5231874	IS_AST_PARENT	
5231871	5231872	IS_AST_PARENT	
5231868	5231871	IS_AST_PARENT	
5231865	5231868	IS_AST_PARENT	
5231863	5231865	IS_AST_PARENT	
5231862	5231863	IS_AST_PARENT	
5231789	5231862	IS_AST_PARENT	
5231877	5231878	IS_AST_PARENT	
5231877	5231879	IS_AST_PARENT	
5231876	5231877	IS_AST_PARENT	
5231875	5231876	IS_AST_PARENT	
5231883	5231884	IS_AST_PARENT	
5231882	5231883	IS_AST_PARENT	
5231886	5231887	IS_AST_PARENT	
5231885	5231886	IS_AST_PARENT	
5231888	5231889	IS_AST_PARENT	
5231885	5231888	IS_AST_PARENT	
5231890	5231891	IS_AST_PARENT	
5231885	5231890	IS_AST_PARENT	
5231882	5231885	IS_AST_PARENT	
5231881	5231882	IS_AST_PARENT	
5231880	5231881	IS_AST_PARENT	
5231894	5231895	IS_AST_PARENT	
5231893	5231894	IS_AST_PARENT	
5231897	5231898	IS_AST_PARENT	
5231896	5231897	IS_AST_PARENT	
5231893	5231896	IS_AST_PARENT	
5231892	5231893	IS_AST_PARENT	
5231880	5231892	IS_AST_PARENT	
5231900	5231901	IS_AST_PARENT	
5231900	5231902	IS_AST_PARENT	
5231899	5231900	IS_AST_PARENT	
5231880	5231899	IS_AST_PARENT	
5231875	5231880	IS_AST_PARENT	
5231789	5231875	IS_AST_PARENT	
5231905	5231906	IS_AST_PARENT	
5231904	5231905	IS_AST_PARENT	
5231908	5231909	IS_AST_PARENT	
5231907	5231908	IS_AST_PARENT	
5231904	5231907	IS_AST_PARENT	
5231903	5231904	IS_AST_PARENT	
5231789	5231903	IS_AST_PARENT	
5231911	5231912	IS_AST_PARENT	
5231914	5231915	IS_AST_PARENT	
5231913	5231914	IS_AST_PARENT	
5231917	5231918	IS_AST_PARENT	
5231916	5231917	IS_AST_PARENT	
5231919	5231920	IS_AST_PARENT	
5231916	5231919	IS_AST_PARENT	
5231921	5231922	IS_AST_PARENT	
5231916	5231921	IS_AST_PARENT	
5231913	5231916	IS_AST_PARENT	
5231911	5231913	IS_AST_PARENT	
5231910	5231911	IS_AST_PARENT	
5231789	5231910	IS_AST_PARENT	
5231924	5231925	IS_AST_PARENT	
5231927	5231928	IS_AST_PARENT	
5231926	5231927	IS_AST_PARENT	
5231930	5231931	IS_AST_PARENT	
5231929	5231930	IS_AST_PARENT	
5231932	5231933	IS_AST_PARENT	
5231929	5231932	IS_AST_PARENT	
5231934	5231935	IS_AST_PARENT	
5231929	5231934	IS_AST_PARENT	
5231926	5231929	IS_AST_PARENT	
5231924	5231926	IS_AST_PARENT	
5231923	5231924	IS_AST_PARENT	
5231789	5231923	IS_AST_PARENT	
5231939	5231940	IS_AST_PARENT	
5231939	5231941	IS_AST_PARENT	
5231938	5231939	IS_AST_PARENT	
5231942	5231943	IS_AST_PARENT	
5231942	5231944	IS_AST_PARENT	
5231938	5231942	IS_AST_PARENT	
5231937	5231938	IS_AST_PARENT	
5231936	5231937	IS_AST_PARENT	
5231948	5231949	IS_AST_PARENT	
5231947	5231948	IS_AST_PARENT	
5231951	5231952	IS_AST_PARENT	
5231950	5231951	IS_AST_PARENT	
5231953	5231954	IS_AST_PARENT	
5231950	5231953	IS_AST_PARENT	
5231947	5231950	IS_AST_PARENT	
5231946	5231947	IS_AST_PARENT	
5231945	5231946	IS_AST_PARENT	
5231956	5231957	IS_AST_PARENT	
5231956	5231958	IS_AST_PARENT	
5231955	5231956	IS_AST_PARENT	
5231945	5231955	IS_AST_PARENT	
5231936	5231945	IS_AST_PARENT	
5231789	5231936	IS_AST_PARENT	
5231960	5231961	IS_AST_PARENT	
5231962	5231963	IS_AST_PARENT	
5231962	5231964	IS_AST_PARENT	
5231960	5231962	IS_AST_PARENT	
5231959	5231960	IS_AST_PARENT	
5231789	5231959	IS_AST_PARENT	
5231966	5231967	IS_AST_PARENT	
5231969	5231970	IS_AST_PARENT	
5231968	5231969	IS_AST_PARENT	
5231972	5231973	IS_AST_PARENT	
5231971	5231972	IS_AST_PARENT	
5231974	5231975	IS_AST_PARENT	
5231971	5231974	IS_AST_PARENT	
5231968	5231971	IS_AST_PARENT	
5231966	5231968	IS_AST_PARENT	
5231965	5231966	IS_AST_PARENT	
5231789	5231965	IS_AST_PARENT	
5231978	5231979	IS_AST_PARENT	
5231980	5231981	IS_AST_PARENT	
5231980	5231982	IS_AST_PARENT	
5231978	5231980	IS_AST_PARENT	
5231977	5231978	IS_AST_PARENT	
5231984	5231985	IS_AST_PARENT	
5231983	5231984	IS_AST_PARENT	
5231988	5231989	IS_AST_PARENT	
5231988	5231990	IS_AST_PARENT	
5231987	5231988	IS_AST_PARENT	
5231986	5231987	IS_AST_PARENT	
5231983	5231986	IS_AST_PARENT	
5231977	5231983	IS_AST_PARENT	
5231976	5231977	IS_AST_PARENT	
5231789	5231976	IS_AST_PARENT	
5231992	5231993	IS_AST_PARENT	
5231995	5231996	IS_AST_PARENT	
5231994	5231995	IS_AST_PARENT	
5232000	5232001	IS_AST_PARENT	
5232000	5232002	IS_AST_PARENT	
5231999	5232000	IS_AST_PARENT	
5231999	5232003	IS_AST_PARENT	
5231998	5231999	IS_AST_PARENT	
5231997	5231998	IS_AST_PARENT	
5231994	5231997	IS_AST_PARENT	
5231992	5231994	IS_AST_PARENT	
5231991	5231992	IS_AST_PARENT	
5231789	5231991	IS_AST_PARENT	
5232006	5232007	IS_AST_PARENT	
5232006	5232008	IS_AST_PARENT	
5232005	5232006	IS_AST_PARENT	
5232004	5232005	IS_AST_PARENT	
5232012	5232013	IS_AST_PARENT	
5232014	5232015	IS_AST_PARENT	
5232014	5232016	IS_AST_PARENT	
5232012	5232014	IS_AST_PARENT	
5232011	5232012	IS_AST_PARENT	
5232011	5232017	IS_AST_PARENT	
5232010	5232011	IS_AST_PARENT	
5232009	5232010	IS_AST_PARENT	
5232004	5232009	IS_AST_PARENT	
5232021	5232022	IS_AST_PARENT	
5232021	5232023	IS_AST_PARENT	
5232020	5232021	IS_AST_PARENT	
5232019	5232020	IS_AST_PARENT	
5232024	5232025	IS_AST_PARENT	
5232024	5232026	IS_AST_PARENT	
5232024	5232027	IS_AST_PARENT	
5232024	5232028	IS_AST_PARENT	
5232024	5232029	IS_AST_PARENT	
5232024	5232030	IS_AST_PARENT	
5232024	5232031	IS_AST_PARENT	
5232024	5232032	IS_AST_PARENT	
5232035	5232036	IS_AST_PARENT	
5232034	5232035	IS_AST_PARENT	
5232038	5232039	IS_AST_PARENT	
5232037	5232038	IS_AST_PARENT	
5232034	5232037	IS_AST_PARENT	
5232033	5232034	IS_AST_PARENT	
5232024	5232033	IS_AST_PARENT	
5232019	5232024	IS_AST_PARENT	
5232018	5232019	IS_AST_PARENT	
5232004	5232018	IS_AST_PARENT	
5231789	5232004	IS_AST_PARENT	
5232042	5232043	IS_AST_PARENT	
5232044	5232045	IS_AST_PARENT	
5232046	5232047	IS_AST_PARENT	
5232046	5232048	IS_AST_PARENT	
5232044	5232046	IS_AST_PARENT	
5232042	5232044	IS_AST_PARENT	
5232041	5232042	IS_AST_PARENT	
5232050	5232051	IS_AST_PARENT	
5232049	5232050	IS_AST_PARENT	
5232054	5232055	IS_AST_PARENT	
5232054	5232056	IS_AST_PARENT	
5232053	5232054	IS_AST_PARENT	
5232052	5232053	IS_AST_PARENT	
5232049	5232052	IS_AST_PARENT	
5232041	5232049	IS_AST_PARENT	
5232040	5232041	IS_AST_PARENT	
5231789	5232040	IS_AST_PARENT	
5232058	5232059	IS_AST_PARENT	
5232061	5232062	IS_AST_PARENT	
5232060	5232061	IS_AST_PARENT	
5232066	5232067	IS_AST_PARENT	
5232066	5232068	IS_AST_PARENT	
5232065	5232066	IS_AST_PARENT	
5232065	5232069	IS_AST_PARENT	
5232064	5232065	IS_AST_PARENT	
5232063	5232064	IS_AST_PARENT	
5232060	5232063	IS_AST_PARENT	
5232058	5232060	IS_AST_PARENT	
5232057	5232058	IS_AST_PARENT	
5231789	5232057	IS_AST_PARENT	
5232072	5232073	IS_AST_PARENT	
5232072	5232074	IS_AST_PARENT	
5232071	5232072	IS_AST_PARENT	
5232070	5232071	IS_AST_PARENT	
5232078	5232079	IS_AST_PARENT	
5232080	5232081	IS_AST_PARENT	
5232082	5232083	IS_AST_PARENT	
5232082	5232084	IS_AST_PARENT	
5232080	5232082	IS_AST_PARENT	
5232078	5232080	IS_AST_PARENT	
5232077	5232078	IS_AST_PARENT	
5232077	5232085	IS_AST_PARENT	
5232076	5232077	IS_AST_PARENT	
5232075	5232076	IS_AST_PARENT	
5232070	5232075	IS_AST_PARENT	
5232089	5232090	IS_AST_PARENT	
5232089	5232091	IS_AST_PARENT	
5232088	5232089	IS_AST_PARENT	
5232087	5232088	IS_AST_PARENT	
5232092	5232093	IS_AST_PARENT	
5232092	5232094	IS_AST_PARENT	
5232092	5232095	IS_AST_PARENT	
5232092	5232096	IS_AST_PARENT	
5232092	5232097	IS_AST_PARENT	
5232092	5232098	IS_AST_PARENT	
5232092	5232099	IS_AST_PARENT	
5232092	5232100	IS_AST_PARENT	
5232103	5232104	IS_AST_PARENT	
5232102	5232103	IS_AST_PARENT	
5232106	5232107	IS_AST_PARENT	
5232105	5232106	IS_AST_PARENT	
5232102	5232105	IS_AST_PARENT	
5232101	5232102	IS_AST_PARENT	
5232092	5232101	IS_AST_PARENT	
5232087	5232092	IS_AST_PARENT	
5232086	5232087	IS_AST_PARENT	
5232070	5232086	IS_AST_PARENT	
5231789	5232070	IS_AST_PARENT	
5232109	5232110	IS_AST_PARENT	
5232112	5232113	IS_AST_PARENT	
5232111	5232112	IS_AST_PARENT	
5232115	5232116	IS_AST_PARENT	
5232114	5232115	IS_AST_PARENT	
5232117	5232118	IS_AST_PARENT	
5232114	5232117	IS_AST_PARENT	
5232119	5232120	IS_AST_PARENT	
5232114	5232119	IS_AST_PARENT	
5232121	5232122	IS_AST_PARENT	
5232114	5232121	IS_AST_PARENT	
5232124	5232125	IS_AST_PARENT	
5232126	5232127	IS_AST_PARENT	
5232126	5232128	IS_AST_PARENT	
5232124	5232126	IS_AST_PARENT	
5232123	5232124	IS_AST_PARENT	
5232114	5232123	IS_AST_PARENT	
5232111	5232114	IS_AST_PARENT	
5232109	5232111	IS_AST_PARENT	
5232108	5232109	IS_AST_PARENT	
5231789	5232108	IS_AST_PARENT	
5232131	5232132	IS_AST_PARENT	
5232131	5232133	IS_AST_PARENT	
5232130	5232131	IS_AST_PARENT	
5232129	5232130	IS_AST_PARENT	
5232137	5232138	IS_AST_PARENT	
5232136	5232137	IS_AST_PARENT	
5232140	5232141	IS_AST_PARENT	
5232139	5232140	IS_AST_PARENT	
5232142	5232143	IS_AST_PARENT	
5232139	5232142	IS_AST_PARENT	
5232136	5232139	IS_AST_PARENT	
5232135	5232136	IS_AST_PARENT	
5232134	5232135	IS_AST_PARENT	
5232129	5232134	IS_AST_PARENT	
5231789	5232129	IS_AST_PARENT	
5232147	5232148	IS_AST_PARENT	
5232147	5232149	IS_AST_PARENT	
5232146	5232147	IS_AST_PARENT	
5232150	5232151	IS_AST_PARENT	
5232152	5232153	IS_AST_PARENT	
5232152	5232154	IS_AST_PARENT	
5232150	5232152	IS_AST_PARENT	
5232146	5232150	IS_AST_PARENT	
5232145	5232146	IS_AST_PARENT	
5232144	5232145	IS_AST_PARENT	
5232157	5232158	IS_AST_PARENT	
5232160	5232161	IS_AST_PARENT	
5232159	5232160	IS_AST_PARENT	
5232163	5232164	IS_AST_PARENT	
5232162	5232163	IS_AST_PARENT	
5232165	5232166	IS_AST_PARENT	
5232162	5232165	IS_AST_PARENT	
5232167	5232168	IS_AST_PARENT	
5232162	5232167	IS_AST_PARENT	
5232170	5232171	IS_AST_PARENT	
5232170	5232172	IS_AST_PARENT	
5232169	5232170	IS_AST_PARENT	
5232162	5232169	IS_AST_PARENT	
5232159	5232162	IS_AST_PARENT	
5232157	5232159	IS_AST_PARENT	
5232156	5232157	IS_AST_PARENT	
5232155	5232156	IS_AST_PARENT	
5232175	5232176	IS_AST_PARENT	
5232175	5232177	IS_AST_PARENT	
5232174	5232175	IS_AST_PARENT	
5232173	5232174	IS_AST_PARENT	
5232181	5232182	IS_AST_PARENT	
5232180	5232181	IS_AST_PARENT	
5232184	5232185	IS_AST_PARENT	
5232183	5232184	IS_AST_PARENT	
5232186	5232187	IS_AST_PARENT	
5232183	5232186	IS_AST_PARENT	
5232180	5232183	IS_AST_PARENT	
5232179	5232180	IS_AST_PARENT	
5232178	5232179	IS_AST_PARENT	
5232173	5232178	IS_AST_PARENT	
5232155	5232173	IS_AST_PARENT	
5232144	5232155	IS_AST_PARENT	
5231789	5232144	IS_AST_PARENT	
5232190	5232191	IS_AST_PARENT	
5232190	5232192	IS_AST_PARENT	
5232189	5232190	IS_AST_PARENT	
5232188	5232189	IS_AST_PARENT	
5232195	5232196	IS_AST_PARENT	
5232198	5232199	IS_AST_PARENT	
5232197	5232198	IS_AST_PARENT	
5232201	5232202	IS_AST_PARENT	
5232200	5232201	IS_AST_PARENT	
5232203	5232204	IS_AST_PARENT	
5232200	5232203	IS_AST_PARENT	
5232205	5232206	IS_AST_PARENT	
5232200	5232205	IS_AST_PARENT	
5232209	5232210	IS_AST_PARENT	
5232209	5232211	IS_AST_PARENT	
5232208	5232209	IS_AST_PARENT	
5232208	5232212	IS_AST_PARENT	
5232207	5232208	IS_AST_PARENT	
5232200	5232207	IS_AST_PARENT	
5232197	5232200	IS_AST_PARENT	
5232195	5232197	IS_AST_PARENT	
5232194	5232195	IS_AST_PARENT	
5232193	5232194	IS_AST_PARENT	
5232215	5232216	IS_AST_PARENT	
5232215	5232217	IS_AST_PARENT	
5232214	5232215	IS_AST_PARENT	
5232213	5232214	IS_AST_PARENT	
5232221	5232222	IS_AST_PARENT	
5232220	5232221	IS_AST_PARENT	
5232224	5232225	IS_AST_PARENT	
5232223	5232224	IS_AST_PARENT	
5232226	5232227	IS_AST_PARENT	
5232223	5232226	IS_AST_PARENT	
5232220	5232223	IS_AST_PARENT	
5232219	5232220	IS_AST_PARENT	
5232218	5232219	IS_AST_PARENT	
5232213	5232218	IS_AST_PARENT	
5232193	5232213	IS_AST_PARENT	
5232229	5232230	IS_AST_PARENT	
5232232	5232233	IS_AST_PARENT	
5232231	5232232	IS_AST_PARENT	
5232235	5232236	IS_AST_PARENT	
5232234	5232235	IS_AST_PARENT	
5232237	5232238	IS_AST_PARENT	
5232234	5232237	IS_AST_PARENT	
5232239	5232240	IS_AST_PARENT	
5232234	5232239	IS_AST_PARENT	
5232243	5232244	IS_AST_PARENT	
5232243	5232245	IS_AST_PARENT	
5232242	5232243	IS_AST_PARENT	
5232246	5232247	IS_AST_PARENT	
5232248	5232249	IS_AST_PARENT	
5232248	5232250	IS_AST_PARENT	
5232246	5232248	IS_AST_PARENT	
5232242	5232246	IS_AST_PARENT	
5232241	5232242	IS_AST_PARENT	
5232234	5232241	IS_AST_PARENT	
5232231	5232234	IS_AST_PARENT	
5232229	5232231	IS_AST_PARENT	
5232228	5232229	IS_AST_PARENT	
5232193	5232228	IS_AST_PARENT	
5232253	5232254	IS_AST_PARENT	
5232253	5232255	IS_AST_PARENT	
5232252	5232253	IS_AST_PARENT	
5232251	5232252	IS_AST_PARENT	
5232259	5232260	IS_AST_PARENT	
5232258	5232259	IS_AST_PARENT	
5232262	5232263	IS_AST_PARENT	
5232261	5232262	IS_AST_PARENT	
5232264	5232265	IS_AST_PARENT	
5232261	5232264	IS_AST_PARENT	
5232258	5232261	IS_AST_PARENT	
5232257	5232258	IS_AST_PARENT	
5232256	5232257	IS_AST_PARENT	
5232251	5232256	IS_AST_PARENT	
5232193	5232251	IS_AST_PARENT	
5232188	5232193	IS_AST_PARENT	
5231789	5232188	IS_AST_PARENT	
5232268	5232269	IS_AST_PARENT	
5232267	5232268	IS_AST_PARENT	
5232271	5232272	IS_AST_PARENT	
5232270	5232271	IS_AST_PARENT	
5232273	5232274	IS_AST_PARENT	
5232270	5232273	IS_AST_PARENT	
5232275	5232276	IS_AST_PARENT	
5232270	5232275	IS_AST_PARENT	
5232267	5232270	IS_AST_PARENT	
5232266	5232267	IS_AST_PARENT	
5231789	5232266	IS_AST_PARENT	
5232277	5232278	IS_AST_PARENT	
5231789	5232277	IS_AST_PARENT	
5231788	5231789	IS_AST_PARENT	
5231788	5232279	IS_AST_PARENT	
5231788	5232280	IS_AST_PARENT	
5232282	5232283	IS_AST_PARENT	
5232282	5232284	IS_AST_PARENT	
5232281	5232282	IS_AST_PARENT	
5232285	5232286	IS_AST_PARENT	
5232285	5232287	IS_AST_PARENT	
5232281	5232285	IS_AST_PARENT	
5231788	5232281	IS_AST_PARENT	
5232288	5232282	FLOWS_TO	
5232282	5232285	FLOWS_TO	
5232285	5231790	FLOWS_TO	
5231790	5231794	FLOWS_TO	
5231794	5231798	FLOWS_TO	
5231798	5231805	FLOWS_TO	
5231805	5231809	FLOWS_TO	
5231809	5231816	FLOWS_TO	
5231816	5231826	FLOWS_TO	
