start	end	type	var
5313650	5313651	IS_AST_PARENT	
5313649	5313650	IS_AST_PARENT	
5313653	5313654	IS_AST_PARENT	
5313652	5313653	IS_AST_PARENT	
5313649	5313652	IS_AST_PARENT	
5313648	5313649	IS_AST_PARENT	
5313647	5313648	IS_AST_PARENT	
5313657	5313658	IS_AST_PARENT	
5313656	5313657	IS_AST_PARENT	
5313660	5313661	IS_AST_PARENT	
5313659	5313660	IS_AST_PARENT	
5313663	5313664	IS_AST_PARENT	
5313663	5313665	IS_AST_PARENT	
5313662	5313663	IS_AST_PARENT	
5313659	5313662	IS_AST_PARENT	
5313656	5313659	IS_AST_PARENT	
5313655	5313656	IS_AST_PARENT	
5313647	5313655	IS_AST_PARENT	
5313667	5313668	IS_AST_PARENT	
5313666	5313667	IS_AST_PARENT	
5313673	5313674	IS_AST_PARENT	
5313673	5313675	IS_AST_PARENT	
5313672	5313673	IS_AST_PARENT	
5313672	5313676	IS_AST_PARENT	
5313671	5313672	IS_AST_PARENT	
5313670	5313671	IS_AST_PARENT	
5313679	5313680	IS_AST_PARENT	
5313678	5313679	IS_AST_PARENT	
5313682	5313683	IS_AST_PARENT	
5313681	5313682	IS_AST_PARENT	
5313678	5313681	IS_AST_PARENT	
5313677	5313678	IS_AST_PARENT	
5313670	5313677	IS_AST_PARENT	
5313669	5313670	IS_AST_PARENT	
5313687	5313688	IS_AST_PARENT	
5313687	5313689	IS_AST_PARENT	
5313686	5313687	IS_AST_PARENT	
5313686	5313690	IS_AST_PARENT	
5313685	5313686	IS_AST_PARENT	
5313684	5313685	IS_AST_PARENT	
5313693	5313694	IS_AST_PARENT	
5313692	5313693	IS_AST_PARENT	
5313697	5313698	IS_AST_PARENT	
5313697	5313699	IS_AST_PARENT	
5313696	5313697	IS_AST_PARENT	
5313695	5313696	IS_AST_PARENT	
5313692	5313695	IS_AST_PARENT	
5313691	5313692	IS_AST_PARENT	
5313684	5313691	IS_AST_PARENT	
5313669	5313684	IS_AST_PARENT	
5313703	5313704	IS_AST_PARENT	
5313703	5313705	IS_AST_PARENT	
5313702	5313703	IS_AST_PARENT	
5313702	5313706	IS_AST_PARENT	
5313701	5313702	IS_AST_PARENT	
5313700	5313701	IS_AST_PARENT	
5313710	5313711	IS_AST_PARENT	
5313709	5313710	IS_AST_PARENT	
5313713	5313714	IS_AST_PARENT	
5313712	5313713	IS_AST_PARENT	
5313709	5313712	IS_AST_PARENT	
5313708	5313709	IS_AST_PARENT	
5313707	5313708	IS_AST_PARENT	
5313718	5313719	IS_AST_PARENT	
5313718	5313720	IS_AST_PARENT	
5313717	5313718	IS_AST_PARENT	
5313717	5313721	IS_AST_PARENT	
5313716	5313717	IS_AST_PARENT	
5313716	5313722	IS_AST_PARENT	
5313715	5313716	IS_AST_PARENT	
5313707	5313715	IS_AST_PARENT	
5313700	5313707	IS_AST_PARENT	
5313728	5313729	IS_AST_PARENT	
5313728	5313730	IS_AST_PARENT	
5313727	5313728	IS_AST_PARENT	
5313727	5313731	IS_AST_PARENT	
5313726	5313727	IS_AST_PARENT	
5313726	5313732	IS_AST_PARENT	
5313725	5313726	IS_AST_PARENT	
5313724	5313725	IS_AST_PARENT	
5313736	5313737	IS_AST_PARENT	
5313735	5313736	IS_AST_PARENT	
5313739	5313740	IS_AST_PARENT	
5313738	5313739	IS_AST_PARENT	
5313742	5313743	IS_AST_PARENT	
5313745	5313746	IS_AST_PARENT	
5313745	5313747	IS_AST_PARENT	
5313744	5313745	IS_AST_PARENT	
5313744	5313748	IS_AST_PARENT	
5313742	5313744	IS_AST_PARENT	
5313741	5313742	IS_AST_PARENT	
5313738	5313741	IS_AST_PARENT	
5313735	5313738	IS_AST_PARENT	
5313734	5313735	IS_AST_PARENT	
5313733	5313734	IS_AST_PARENT	
5313751	5313752	IS_AST_PARENT	
5313751	5313753	IS_AST_PARENT	
5313750	5313751	IS_AST_PARENT	
5313750	5313754	IS_AST_PARENT	
5313749	5313750	IS_AST_PARENT	
5313733	5313749	IS_AST_PARENT	
5313724	5313733	IS_AST_PARENT	
5313723	5313724	IS_AST_PARENT	
5313700	5313723	IS_AST_PARENT	
5313669	5313700	IS_AST_PARENT	
5313666	5313669	IS_AST_PARENT	
5313647	5313666	IS_AST_PARENT	
5313646	5313647	IS_AST_PARENT	
5313646	5313755	IS_AST_PARENT	
5313757	5313758	IS_AST_PARENT	
5313757	5313759	IS_AST_PARENT	
5313756	5313757	IS_AST_PARENT	
5313646	5313756	IS_AST_PARENT	
5313760	5313757	FLOWS_TO	
5313757	5313648	FLOWS_TO	
5313648	5313655	FLOWS_TO	
5313655	5313667	FLOWS_TO	
5313667	5313671	FLOWS_TO	
5313667	5313761	FLOWS_TO	
5313671	5313677	FLOWS_TO	
5313671	5313685	FLOWS_TO	
5313677	5313685	FLOWS_TO	
5313685	5313691	FLOWS_TO	
5313685	5313701	FLOWS_TO	
5313691	5313701	FLOWS_TO	
5313701	5313708	FLOWS_TO	
5313701	5313725	FLOWS_TO	
5313708	5313715	FLOWS_TO	
5313715	5313761	FLOWS_TO	
5313725	5313734	FLOWS_TO	
5313725	5313761	FLOWS_TO	
5313734	5313749	FLOWS_TO	
5313749	5313761	FLOWS_TO	
5313715	5313762	USE	
5313716	5313762	USE	
5313715	5313762	DEF	
5313716	5313762	DEF	
5313691	5313763	USE	
5313696	5313763	USE	
5313685	5313764	USE	
5313701	5313765	USE	
5313725	5313766	USE	
5313749	5313766	USE	
5313750	5313766	USE	
5313671	5313767	USE	
5313757	5313768	DEF	
5313655	5313768	USE	
5313662	5313768	USE	
5313667	5313768	USE	
5313671	5313768	USE	
5313673	5313768	USE	
5313677	5313768	USE	
5313682	5313768	USE	
5313685	5313768	USE	
5313687	5313768	USE	
5313691	5313768	USE	
5313697	5313768	USE	
5313701	5313768	USE	
5313703	5313768	USE	
5313708	5313768	USE	
5313713	5313768	USE	
5313715	5313768	USE	
5313718	5313768	USE	
5313725	5313768	USE	
5313728	5313768	USE	
5313734	5313768	USE	
5313739	5313768	USE	
5313745	5313768	USE	
5313749	5313768	USE	
5313751	5313768	USE	
5313734	5313769	USE	
5313741	5313769	USE	
5313671	5313770	USE	
5313685	5313770	USE	
5313691	5313770	USE	
5313696	5313770	USE	
5313701	5313770	USE	
5313715	5313770	USE	
5313717	5313770	USE	
5313725	5313770	USE	
5313734	5313770	USE	
5313741	5313770	USE	
5313744	5313770	USE	
5313749	5313770	DEF	
5313750	5313770	DEF	
5313671	5313771	USE	
5313685	5313771	USE	
5313701	5313771	USE	
5313725	5313771	USE	
5313749	5313771	DEF	
5313750	5313771	DEF	
5313715	5313772	DEF	
5313716	5313772	DEF	
5313715	5313772	USE	
5313716	5313772	USE	
5313715	5313773	DEF	
5313716	5313773	DEF	
5313715	5313773	USE	
5313716	5313773	USE	
5313715	5313774	USE	
5313717	5313774	USE	
5313734	5313774	USE	
5313741	5313774	USE	
5313744	5313774	USE	
5313757	5313671	REACHES	m
5313757	5313655	REACHES	m
5313757	5313667	REACHES	m
5313757	5313677	REACHES	m
5313757	5313685	REACHES	m
5313757	5313691	REACHES	m
5313757	5313749	REACHES	m
5313757	5313701	REACHES	m
5313757	5313708	REACHES	m
5313757	5313715	REACHES	m
5313757	5313725	REACHES	m
5313757	5313734	REACHES	m
5313749	5313761	REACHES	* m
5313760	5313757	CONTROLS	
5313760	5313648	CONTROLS	
5313760	5313655	CONTROLS	
5313760	5313667	CONTROLS	
5313667	5313671	CONTROLS	
5313667	5313685	CONTROLS	
