start	end	type	var
5420636	5420637	IS_AST_PARENT	
5420635	5420636	IS_AST_PARENT	
5420639	5420640	IS_AST_PARENT	
5420638	5420639	IS_AST_PARENT	
5420642	5420643	IS_AST_PARENT	
5420642	5420644	IS_AST_PARENT	
5420641	5420642	IS_AST_PARENT	
5420638	5420641	IS_AST_PARENT	
5420645	5420646	IS_AST_PARENT	
5420638	5420645	IS_AST_PARENT	
5420635	5420638	IS_AST_PARENT	
5420634	5420635	IS_AST_PARENT	
5420633	5420634	IS_AST_PARENT	
5420632	5420633	IS_AST_PARENT	
5420632	5420647	IS_AST_PARENT	
5420632	5420648	IS_AST_PARENT	
5420650	5420651	IS_AST_PARENT	
5420650	5420652	IS_AST_PARENT	
5420649	5420650	IS_AST_PARENT	
5420653	5420654	IS_AST_PARENT	
5420653	5420655	IS_AST_PARENT	
5420649	5420653	IS_AST_PARENT	
5420656	5420657	IS_AST_PARENT	
5420656	5420658	IS_AST_PARENT	
5420649	5420656	IS_AST_PARENT	
5420632	5420649	IS_AST_PARENT	
5420659	5420650	FLOWS_TO	
5420650	5420653	FLOWS_TO	
5420653	5420656	FLOWS_TO	
5420656	5420634	FLOWS_TO	
5420634	5420660	FLOWS_TO	
5420650	5420661	DEF	
5420634	5420661	USE	
5420639	5420661	USE	
5420656	5420662	DEF	
5420634	5420662	USE	
5420645	5420662	USE	
5420634	5420663	USE	
5420653	5420664	DEF	
5420634	5420664	USE	
5420641	5420664	USE	
5420650	5420634	REACHES	opaque
5420656	5420634	REACHES	size
5420653	5420634	REACHES	addr
5420659	5420650	CONTROLS	
5420659	5420653	CONTROLS	
5420659	5420656	CONTROLS	
5420659	5420634	CONTROLS	
5420650	5420653	DOM	
5420656	5420634	DOM	
5420653	5420656	DOM	
5420659	5420659	DOM	
5420634	5420660	DOM	
5420659	5420650	DOM	
5420656	5420653	POST_DOM	
5420660	5420634	POST_DOM	
5420634	5420656	POST_DOM	
5420650	5420659	POST_DOM	
5420660	5420660	POST_DOM	
5420653	5420650	POST_DOM	
5420631	5420632	IS_FUNCTION_OF_AST	
5420631	5420659	IS_FUNCTION_OF_CFG	
5420630	5420631	IS_FILE_OF	
