start	end	type	var
5430632	5430633	IS_AST_PARENT	
5430632	5430634	IS_AST_PARENT	
5430631	5430632	IS_AST_PARENT	
5430630	5430631	IS_AST_PARENT	
5430639	5430640	IS_AST_PARENT	
5430638	5430639	IS_AST_PARENT	
5430643	5430644	IS_AST_PARENT	
5430643	5430645	IS_AST_PARENT	
5430642	5430643	IS_AST_PARENT	
5430641	5430642	IS_AST_PARENT	
5430638	5430641	IS_AST_PARENT	
5430637	5430638	IS_AST_PARENT	
5430646	5430647	IS_AST_PARENT	
5430646	5430648	IS_AST_PARENT	
5430637	5430646	IS_AST_PARENT	
5430636	5430637	IS_AST_PARENT	
5430635	5430636	IS_AST_PARENT	
5430630	5430635	IS_AST_PARENT	
5430629	5430630	IS_AST_PARENT	
5430651	5430652	IS_AST_PARENT	
5430650	5430651	IS_AST_PARENT	
5430655	5430656	IS_AST_PARENT	
5430655	5430657	IS_AST_PARENT	
5430654	5430655	IS_AST_PARENT	
5430653	5430654	IS_AST_PARENT	
5430650	5430653	IS_AST_PARENT	
5430649	5430650	IS_AST_PARENT	
5430629	5430649	IS_AST_PARENT	
5430660	5430661	IS_AST_PARENT	
5430659	5430660	IS_AST_PARENT	
5430665	5430666	IS_AST_PARENT	
5430665	5430667	IS_AST_PARENT	
5430664	5430665	IS_AST_PARENT	
5430664	5430668	IS_AST_PARENT	
5430663	5430664	IS_AST_PARENT	
5430662	5430663	IS_AST_PARENT	
5430659	5430662	IS_AST_PARENT	
5430658	5430659	IS_AST_PARENT	
5430629	5430658	IS_AST_PARENT	
5430628	5430629	IS_AST_PARENT	
5430628	5430669	IS_AST_PARENT	
5430628	5430670	IS_AST_PARENT	
5430672	5430673	IS_AST_PARENT	
5430672	5430674	IS_AST_PARENT	
5430671	5430672	IS_AST_PARENT	
5430628	5430671	IS_AST_PARENT	
5430675	5430672	FLOWS_TO	
5430672	5430631	FLOWS_TO	
5430631	5430636	FLOWS_TO	
5430631	5430649	FLOWS_TO	
5430636	5430676	FLOWS_TO	
5430649	5430658	FLOWS_TO	
5430658	5430676	FLOWS_TO	
5430631	5430677	USE	
5430636	5430677	USE	
5430642	5430677	USE	
5430636	5430678	USE	
5430658	5430679	USE	
5430663	5430679	USE	
5430672	5430680	DEF	
5430631	5430680	USE	
5430632	5430680	USE	
5430636	5430680	USE	
5430646	5430680	USE	
5430643	5430680	USE	
5430649	5430680	USE	
5430655	5430680	USE	
5430658	5430680	USE	
5430665	5430680	USE	
5430631	5430681	USE	
5430636	5430681	USE	
5430642	5430681	USE	
5430649	5430681	USE	
5430654	5430681	USE	
5430658	5430681	USE	
5430663	5430681	USE	
5430636	5430682	USE	
5430658	5430683	USE	
5430658	5430684	USE	
5430663	5430684	USE	
5430649	5430685	USE	
5430654	5430685	USE	
5430672	5430631	REACHES	mr
5430672	5430636	REACHES	mr
5430672	5430649	REACHES	mr
5430672	5430658	REACHES	mr
5430675	5430672	CONTROLS	
5430675	5430631	CONTROLS	
5430631	5430636	CONTROLS	
5430631	5430649	CONTROLS	
5430631	5430658	CONTROLS	
5430631	5430649	DOM	
5430675	5430675	DOM	
5430675	5430672	DOM	
5430631	5430636	DOM	
5430631	5430676	DOM	
5430672	5430631	DOM	
5430649	5430658	DOM	
5430658	5430649	POST_DOM	
5430631	5430672	POST_DOM	
5430672	5430675	POST_DOM	
5430676	5430676	POST_DOM	
5430676	5430636	POST_DOM	
5430676	5430631	POST_DOM	
5430676	5430658	POST_DOM	
5430627	5430628	IS_FUNCTION_OF_AST	
5430627	5430675	IS_FUNCTION_OF_CFG	
5430626	5430627	IS_FILE_OF	
