start	end	type	var
5433969	5433970	IS_AST_PARENT	
5433969	5433971	IS_AST_PARENT	
5433972	5433973	IS_AST_PARENT	
5433972	5433974	IS_AST_PARENT	
5433969	5433972	IS_AST_PARENT	
5433968	5433969	IS_AST_PARENT	
5433967	5433968	IS_AST_PARENT	
5433976	5433977	IS_AST_PARENT	
5433976	5433978	IS_AST_PARENT	
5433979	5433980	IS_AST_PARENT	
5433979	5433981	IS_AST_PARENT	
5433976	5433979	IS_AST_PARENT	
5433975	5433976	IS_AST_PARENT	
5433967	5433975	IS_AST_PARENT	
5433984	5433985	IS_AST_PARENT	
5433987	5433988	IS_AST_PARENT	
5433986	5433987	IS_AST_PARENT	
5433990	5433991	IS_AST_PARENT	
5433989	5433990	IS_AST_PARENT	
5433992	5433993	IS_AST_PARENT	
5433989	5433992	IS_AST_PARENT	
5433994	5433995	IS_AST_PARENT	
5433989	5433994	IS_AST_PARENT	
5433986	5433989	IS_AST_PARENT	
5433984	5433986	IS_AST_PARENT	
5433983	5433984	IS_AST_PARENT	
5433982	5433983	IS_AST_PARENT	
5433998	5433999	IS_AST_PARENT	
5433998	5434000	IS_AST_PARENT	
5433997	5433998	IS_AST_PARENT	
5433996	5433997	IS_AST_PARENT	
5433982	5433996	IS_AST_PARENT	
5433967	5433982	IS_AST_PARENT	
5434003	5434004	IS_AST_PARENT	
5434006	5434007	IS_AST_PARENT	
5434006	5434008	IS_AST_PARENT	
5434005	5434006	IS_AST_PARENT	
5434005	5434009	IS_AST_PARENT	
5434003	5434005	IS_AST_PARENT	
5434002	5434003	IS_AST_PARENT	
5434001	5434002	IS_AST_PARENT	
5434017	5434018	IS_AST_PARENT	
5434017	5434019	IS_AST_PARENT	
5434016	5434017	IS_AST_PARENT	
5434016	5434020	IS_AST_PARENT	
5434015	5434016	IS_AST_PARENT	
5434015	5434021	IS_AST_PARENT	
5434014	5434015	IS_AST_PARENT	
5434023	5434024	IS_AST_PARENT	
5434022	5434023	IS_AST_PARENT	
5434026	5434027	IS_AST_PARENT	
5434025	5434026	IS_AST_PARENT	
5434022	5434025	IS_AST_PARENT	
5434014	5434022	IS_AST_PARENT	
5434013	5434014	IS_AST_PARENT	
5434012	5434013	IS_AST_PARENT	
5434030	5434031	IS_AST_PARENT	
5434030	5434032	IS_AST_PARENT	
5434029	5434030	IS_AST_PARENT	
5434028	5434029	IS_AST_PARENT	
5434033	5434034	IS_AST_PARENT	
5434028	5434033	IS_AST_PARENT	
5434012	5434028	IS_AST_PARENT	
5434011	5434012	IS_AST_PARENT	
5434010	5434011	IS_AST_PARENT	
5434001	5434010	IS_AST_PARENT	
5433967	5434001	IS_AST_PARENT	
5434037	5434038	IS_AST_PARENT	
5434036	5434037	IS_AST_PARENT	
5434041	5434042	IS_AST_PARENT	
5434043	5434044	IS_AST_PARENT	
5434043	5434045	IS_AST_PARENT	
5434041	5434043	IS_AST_PARENT	
5434040	5434041	IS_AST_PARENT	
5434039	5434040	IS_AST_PARENT	
5434047	5434048	IS_AST_PARENT	
5434047	5434049	IS_AST_PARENT	
5434046	5434047	IS_AST_PARENT	
5434039	5434046	IS_AST_PARENT	
5434050	5434051	IS_AST_PARENT	
5434039	5434050	IS_AST_PARENT	
5434055	5434056	IS_AST_PARENT	
5434055	5434057	IS_AST_PARENT	
5434054	5434055	IS_AST_PARENT	
5434054	5434058	IS_AST_PARENT	
5434053	5434054	IS_AST_PARENT	
5434053	5434059	IS_AST_PARENT	
5434052	5434053	IS_AST_PARENT	
5434039	5434052	IS_AST_PARENT	
5434063	5434064	IS_AST_PARENT	
5434063	5434065	IS_AST_PARENT	
5434062	5434063	IS_AST_PARENT	
5434062	5434066	IS_AST_PARENT	
5434061	5434062	IS_AST_PARENT	
5434061	5434067	IS_AST_PARENT	
5434060	5434061	IS_AST_PARENT	
5434039	5434060	IS_AST_PARENT	
5434068	5434069	IS_AST_PARENT	
5434039	5434068	IS_AST_PARENT	
5434070	5434071	IS_AST_PARENT	
5434039	5434070	IS_AST_PARENT	
5434036	5434039	IS_AST_PARENT	
5434035	5434036	IS_AST_PARENT	
5433967	5434035	IS_AST_PARENT	
5434072	5434073	IS_AST_PARENT	
5433967	5434072	IS_AST_PARENT	
5433966	5433967	IS_AST_PARENT	
5433966	5434074	IS_AST_PARENT	
5433966	5434075	IS_AST_PARENT	
5434077	5434078	IS_AST_PARENT	
5434077	5434079	IS_AST_PARENT	
5434076	5434077	IS_AST_PARENT	
5434080	5434081	IS_AST_PARENT	
5434080	5434082	IS_AST_PARENT	
5434076	5434080	IS_AST_PARENT	
5434083	5434084	IS_AST_PARENT	
5434083	5434085	IS_AST_PARENT	
5434076	5434083	IS_AST_PARENT	
5433966	5434076	IS_AST_PARENT	
5434086	5434077	FLOWS_TO	
5434077	5434080	FLOWS_TO	
5434080	5434083	FLOWS_TO	
5434083	5433968	FLOWS_TO	
5433968	5433975	FLOWS_TO	
5433975	5433983	FLOWS_TO	
5433983	5433997	FLOWS_TO	
5433983	5434002	FLOWS_TO	
5433997	5434087	FLOWS_TO	
5434002	5434011	FLOWS_TO	
5434002	5434035	FLOWS_TO	
5434011	5434087	FLOWS_TO	
5434035	5434072	FLOWS_TO	
