start	end	type	var
5437844	5437845	IS_AST_PARENT	
5437844	5437846	IS_AST_PARENT	
5437843	5437844	IS_AST_PARENT	
5437843	5437847	IS_AST_PARENT	
5437842	5437843	IS_AST_PARENT	
5437849	5437850	IS_AST_PARENT	
5437848	5437849	IS_AST_PARENT	
5437852	5437853	IS_AST_PARENT	
5437851	5437852	IS_AST_PARENT	
5437848	5437851	IS_AST_PARENT	
5437842	5437848	IS_AST_PARENT	
5437841	5437842	IS_AST_PARENT	
5437840	5437841	IS_AST_PARENT	
5437856	5437857	IS_AST_PARENT	
5437855	5437856	IS_AST_PARENT	
5437861	5437862	IS_AST_PARENT	
5437861	5437863	IS_AST_PARENT	
5437860	5437861	IS_AST_PARENT	
5437860	5437864	IS_AST_PARENT	
5437859	5437860	IS_AST_PARENT	
5437858	5437859	IS_AST_PARENT	
5437867	5437868	IS_AST_PARENT	
5437867	5437869	IS_AST_PARENT	
5437866	5437867	IS_AST_PARENT	
5437866	5437870	IS_AST_PARENT	
5437865	5437866	IS_AST_PARENT	
5437858	5437865	IS_AST_PARENT	
5437855	5437858	IS_AST_PARENT	
5437854	5437855	IS_AST_PARENT	
5437840	5437854	IS_AST_PARENT	
5437839	5437840	IS_AST_PARENT	
5437839	5437871	IS_AST_PARENT	
5437839	5437872	IS_AST_PARENT	
5437874	5437875	IS_AST_PARENT	
5437874	5437876	IS_AST_PARENT	
5437873	5437874	IS_AST_PARENT	
5437839	5437873	IS_AST_PARENT	
5437877	5437874	FLOWS_TO	
5437874	5437841	FLOWS_TO	
5437841	5437854	FLOWS_TO	
5437854	5437878	FLOWS_TO	
5437841	5437879	DEF	
5437842	5437879	DEF	
5437841	5437879	USE	
5437842	5437879	USE	
5437854	5437879	USE	
5437865	5437879	USE	
5437874	5437880	DEF	
5437841	5437880	USE	
5437844	5437880	USE	
5437854	5437880	USE	
5437861	5437880	USE	
5437867	5437880	USE	
5437841	5437881	USE	
5437842	5437881	USE	
5437841	5437882	USE	
5437852	5437882	USE	
5437854	5437883	USE	
5437859	5437883	USE	
5437841	5437884	USE	
5437842	5437884	USE	
5437843	5437884	USE	
5437841	5437884	DEF	
5437842	5437884	DEF	
5437854	5437884	USE	
5437859	5437884	USE	
5437865	5437884	USE	
5437860	5437884	USE	
5437866	5437884	USE	
5437841	5437885	USE	
5437843	5437885	USE	
5437841	5437885	DEF	
5437842	5437885	DEF	
5437842	5437885	USE	
5437854	5437885	USE	
5437865	5437885	USE	
5437860	5437885	USE	
5437866	5437885	USE	
5437859	5437885	USE	
5437841	5437854	REACHES	s -> rtc . next
5437874	5437841	REACHES	s
5437874	5437854	REACHES	s
5437841	5437878	REACHES	* s
5437841	5437854	REACHES	* s
5437841	5437854	REACHES	s -> rtc
5437877	5437874	CONTROLS	
5437877	5437841	CONTROLS	
5437877	5437854	CONTROLS	
5437877	5437877	DOM	
5437877	5437874	DOM	
5437841	5437854	DOM	
5437874	5437841	DOM	
5437854	5437878	DOM	
5437874	5437877	POST_DOM	
5437841	5437874	POST_DOM	
5437878	5437854	POST_DOM	
5437854	5437841	POST_DOM	
5437878	5437878	POST_DOM	
5437838	5437839	IS_FUNCTION_OF_AST	
5437838	5437877	IS_FUNCTION_OF_CFG	
5437837	5437838	IS_FILE_OF	
