command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	5559810	File	/home/p4ultr4n/workplace/ReVeal/raw_code/monitor_control_read_0.c								
ANR	5559811	Function	monitor_control_read	1:0:0:196							
ANR	5559812	FunctionDef	"monitor_control_read (void * opaque , const uint8_t * buf , int size)"		5559811	0					
ANR	5559813	CompoundStatement		3:0:78:196	5559811	0					
ANR	5559814	IdentifierDeclStatement	Monitor * old_mon = cur_mon ;	5:4:85:111	5559811	0	True				
ANR	5559815	IdentifierDecl	* old_mon = cur_mon		5559811	0					
ANR	5559816	IdentifierDeclType	Monitor *		5559811	0					
ANR	5559817	Identifier	old_mon		5559811	1					
ANR	5559818	AssignmentExpression	* old_mon = cur_mon		5559811	2		=			
ANR	5559819	Identifier	cur_mon		5559811	0					
ANR	5559820	Identifier	cur_mon		5559811	1					
ANR	5559821	ExpressionStatement	cur_mon = opaque	9:4:120:136	5559811	1	True				
ANR	5559822	AssignmentExpression	cur_mon = opaque		5559811	0		=			
ANR	5559823	Identifier	cur_mon		5559811	0					
ANR	5559824	Identifier	opaque		5559811	1					
ANR	5559825	ExpressionStatement	cur_mon = old_mon	17:4:176:193	5559811	2	True				
ANR	5559826	AssignmentExpression	cur_mon = old_mon		5559811	0		=			
ANR	5559827	Identifier	cur_mon		5559811	0					
ANR	5559828	Identifier	old_mon		5559811	1					
ANR	5559829	ReturnType	static void		5559811	1					
ANR	5559830	Identifier	monitor_control_read		5559811	2					
ANR	5559831	ParameterList	"void * opaque , const uint8_t * buf , int size"		5559811	3					
ANR	5559832	Parameter	void * opaque	1:33:33:44	5559811	0	True				
ANR	5559833	ParameterType	void *		5559811	0					
ANR	5559834	Identifier	opaque		5559811	1					
ANR	5559835	Parameter	const uint8_t * buf	1:47:47:64	5559811	1	True				
ANR	5559836	ParameterType	const uint8_t *		5559811	0					
ANR	5559837	Identifier	buf		5559811	1					
ANR	5559838	Parameter	int size	1:67:67:74	5559811	2	True				
ANR	5559839	ParameterType	int		5559811	0					
ANR	5559840	Identifier	size		5559811	1					
ANR	5559841	CFGEntryNode	ENTRY		5559811		True				
ANR	5559842	CFGExitNode	EXIT		5559811		True				
ANR	5559843	Symbol	buf		5559811						
ANR	5559844	Symbol	opaque		5559811						
ANR	5559845	Symbol	size		5559811						
ANR	5559846	Symbol	old_mon		5559811						
ANR	5559847	Symbol	cur_mon		5559811						
