start	end	type	var
5628044	5628045	IS_AST_PARENT	
5628044	5628046	IS_AST_PARENT	
5628043	5628044	IS_AST_PARENT	
5628042	5628043	IS_AST_PARENT	
5628048	5628049	IS_AST_PARENT	
5628048	5628050	IS_AST_PARENT	
5628047	5628048	IS_AST_PARENT	
5628042	5628047	IS_AST_PARENT	
5628052	5628053	IS_AST_PARENT	
5628052	5628054	IS_AST_PARENT	
5628051	5628052	IS_AST_PARENT	
5628055	5628056	IS_AST_PARENT	
5628055	5628057	IS_AST_PARENT	
5628051	5628055	IS_AST_PARENT	
5628042	5628051	IS_AST_PARENT	
5628059	5628060	IS_AST_PARENT	
5628059	5628061	IS_AST_PARENT	
5628062	5628063	IS_AST_PARENT	
5628062	5628064	IS_AST_PARENT	
5628059	5628062	IS_AST_PARENT	
5628058	5628059	IS_AST_PARENT	
5628042	5628058	IS_AST_PARENT	
5628066	5628067	IS_AST_PARENT	
5628066	5628068	IS_AST_PARENT	
5628069	5628070	IS_AST_PARENT	
5628069	5628071	IS_AST_PARENT	
5628066	5628069	IS_AST_PARENT	
5628065	5628066	IS_AST_PARENT	
5628042	5628065	IS_AST_PARENT	
5628076	5628077	IS_AST_PARENT	
5628076	5628078	IS_AST_PARENT	
5628075	5628076	IS_AST_PARENT	
5628075	5628079	IS_AST_PARENT	
5628074	5628075	IS_AST_PARENT	
5628074	5628080	IS_AST_PARENT	
5628073	5628074	IS_AST_PARENT	
5628072	5628073	IS_AST_PARENT	
5628081	5628082	IS_AST_PARENT	
5628072	5628081	IS_AST_PARENT	
5628042	5628072	IS_AST_PARENT	
5628084	5628085	IS_AST_PARENT	
5628088	5628089	IS_AST_PARENT	
5628088	5628090	IS_AST_PARENT	
5628087	5628088	IS_AST_PARENT	
5628087	5628091	IS_AST_PARENT	
5628086	5628087	IS_AST_PARENT	
5628094	5628095	IS_AST_PARENT	
5628094	5628096	IS_AST_PARENT	
5628093	5628094	IS_AST_PARENT	
5628093	5628097	IS_AST_PARENT	
5628092	5628093	IS_AST_PARENT	
5628092	5628098	IS_AST_PARENT	
5628086	5628092	IS_AST_PARENT	
5628084	5628086	IS_AST_PARENT	
5628083	5628084	IS_AST_PARENT	
5628042	5628083	IS_AST_PARENT	
5628100	5628101	IS_AST_PARENT	
5628102	5628103	IS_AST_PARENT	
5628102	5628104	IS_AST_PARENT	
5628100	5628102	IS_AST_PARENT	
5628099	5628100	IS_AST_PARENT	
5628042	5628099	IS_AST_PARENT	
5628107	5628108	IS_AST_PARENT	
5628106	5628107	IS_AST_PARENT	
5628110	5628111	IS_AST_PARENT	
5628109	5628110	IS_AST_PARENT	
5628106	5628109	IS_AST_PARENT	
5628105	5628106	IS_AST_PARENT	
5628042	5628105	IS_AST_PARENT	
5628114	5628115	IS_AST_PARENT	
5628113	5628114	IS_AST_PARENT	
5628117	5628118	IS_AST_PARENT	
5628116	5628117	IS_AST_PARENT	
5628113	5628116	IS_AST_PARENT	
5628112	5628113	IS_AST_PARENT	
5628042	5628112	IS_AST_PARENT	
5628120	5628121	IS_AST_PARENT	
5628123	5628124	IS_AST_PARENT	
5628122	5628123	IS_AST_PARENT	
5628126	5628127	IS_AST_PARENT	
5628125	5628126	IS_AST_PARENT	
5628122	5628125	IS_AST_PARENT	
5628120	5628122	IS_AST_PARENT	
5628119	5628120	IS_AST_PARENT	
5628042	5628119	IS_AST_PARENT	
5628130	5628131	IS_AST_PARENT	
5628129	5628130	IS_AST_PARENT	
5628134	5628135	IS_AST_PARENT	
5628134	5628136	IS_AST_PARENT	
5628133	5628134	IS_AST_PARENT	
5628132	5628133	IS_AST_PARENT	
5628137	5628138	IS_AST_PARENT	
5628132	5628137	IS_AST_PARENT	
5628142	5628143	IS_AST_PARENT	
5628142	5628144	IS_AST_PARENT	
5628141	5628142	IS_AST_PARENT	
5628141	5628145	IS_AST_PARENT	
5628140	5628141	IS_AST_PARENT	
5628140	5628146	IS_AST_PARENT	
5628139	5628140	IS_AST_PARENT	
5628132	5628139	IS_AST_PARENT	
5628147	5628148	IS_AST_PARENT	
5628132	5628147	IS_AST_PARENT	
5628129	5628132	IS_AST_PARENT	
5628128	5628129	IS_AST_PARENT	
5628042	5628128	IS_AST_PARENT	
5628151	5628152	IS_AST_PARENT	
5628153	5628154	IS_AST_PARENT	
5628155	5628156	IS_AST_PARENT	
5628157	5628158	IS_AST_PARENT	
5628159	5628160	IS_AST_PARENT	
5628159	5628161	IS_AST_PARENT	
5628157	5628159	IS_AST_PARENT	
5628155	5628157	IS_AST_PARENT	
5628153	5628155	IS_AST_PARENT	
5628151	5628153	IS_AST_PARENT	
5628150	5628151	IS_AST_PARENT	
5628149	5628150	IS_AST_PARENT	
5628163	5628164	IS_AST_PARENT	
5628163	5628165	IS_AST_PARENT	
5628162	5628163	IS_AST_PARENT	
5628149	5628162	IS_AST_PARENT	
5628042	5628149	IS_AST_PARENT	
5628168	5628169	IS_AST_PARENT	
5628168	5628170	IS_AST_PARENT	
5628167	5628168	IS_AST_PARENT	
5628172	5628173	IS_AST_PARENT	
5628171	5628172	IS_AST_PARENT	
5628176	5628177	IS_AST_PARENT	
5628178	5628179	IS_AST_PARENT	
5628180	5628181	IS_AST_PARENT	
5628182	5628183	IS_AST_PARENT	
5628182	5628184	IS_AST_PARENT	
5628180	5628182	IS_AST_PARENT	
5628178	5628180	IS_AST_PARENT	
5628176	5628178	IS_AST_PARENT	
5628175	5628176	IS_AST_PARENT	
5628174	5628175	IS_AST_PARENT	
5628171	5628174	IS_AST_PARENT	
5628167	5628171	IS_AST_PARENT	
5628166	5628167	IS_AST_PARENT	
5628042	5628166	IS_AST_PARENT	
5628187	5628188	IS_AST_PARENT	
5628189	5628190	IS_AST_PARENT	
5628189	5628191	IS_AST_PARENT	
5628187	5628189	IS_AST_PARENT	
