command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	5662464	File	/home/p4ultr4n/workplace/ReVeal/raw_code/mov_write_stbl_tag_01_0.c								
ANR	5662465	Function	mov_write_stbl_tag	1:0:0:1262							
ANR	5662466	FunctionDef	"mov_write_stbl_tag (AVFormatContext * s , AVIOContext * pb , MOVMuxContext * mov , MOVTrack * track)"		5662465	0					
ANR	5662467	CompoundStatement		3:0:105:1262	5662465	0					
ANR	5662468	IdentifierDeclStatement	int64_t pos = avio_tell ( pb ) ;	5:4:112:139	5662465	0	True				
ANR	5662469	IdentifierDecl	pos = avio_tell ( pb )		5662465	0					
ANR	5662470	IdentifierDeclType	int64_t		5662465	0					
ANR	5662471	Identifier	pos		5662465	1					
ANR	5662472	AssignmentExpression	pos = avio_tell ( pb )		5662465	2		=			
ANR	5662473	Identifier	pos		5662465	0					
ANR	5662474	CallExpression	avio_tell ( pb )		5662465	1					
ANR	5662475	Callee	avio_tell		5662465	0					
ANR	5662476	Identifier	avio_tell		5662465	0					
ANR	5662477	ArgumentList	pb		5662465	1					
ANR	5662478	Argument	pb		5662465	0					
ANR	5662479	Identifier	pb		5662465	0					
ANR	5662480	IdentifierDeclStatement	int ret ;	7:4:146:153	5662465	1	True				
ANR	5662481	IdentifierDecl	ret		5662465	0					
ANR	5662482	IdentifierDeclType	int		5662465	0					
ANR	5662483	Identifier	ret		5662465	1					
ANR	5662484	ExpressionStatement	"avio_wb32 ( pb , 0 )"	11:4:162:178	5662465	2	True				
ANR	5662485	CallExpression	"avio_wb32 ( pb , 0 )"		5662465	0					
ANR	5662486	Callee	avio_wb32		5662465	0					
ANR	5662487	Identifier	avio_wb32		5662465	0					
ANR	5662488	ArgumentList	pb		5662465	1					
ANR	5662489	Argument	pb		5662465	0					
ANR	5662490	Identifier	pb		5662465	0					
ANR	5662491	Argument	0		5662465	1					
ANR	5662492	PrimaryExpression	0		5662465	0					
ANR	5662493	ExpressionStatement	"ffio_wfourcc ( pb , ""stbl"" )"	13:4:196:220	5662465	3	True				
ANR	5662494	CallExpression	"ffio_wfourcc ( pb , ""stbl"" )"		5662465	0					
ANR	5662495	Callee	ffio_wfourcc		5662465	0					
ANR	5662496	Identifier	ffio_wfourcc		5662465	0					
ANR	5662497	ArgumentList	pb		5662465	1					
ANR	5662498	Argument	pb		5662465	0					
ANR	5662499	Identifier	pb		5662465	0					
ANR	5662500	Argument	"""stbl"""		5662465	1					
ANR	5662501	PrimaryExpression	"""stbl"""		5662465	0					
ANR	5662502	ExpressionStatement	"mov_write_stsd_tag ( s , pb , mov , track )"	15:4:227:264	5662465	4	True				
ANR	5662503	CallExpression	"mov_write_stsd_tag ( s , pb , mov , track )"		5662465	0					
ANR	5662504	Callee	mov_write_stsd_tag		5662465	0					
ANR	5662505	Identifier	mov_write_stsd_tag		5662465	0					
ANR	5662506	ArgumentList	s		5662465	1					
ANR	5662507	Argument	s		5662465	0					
ANR	5662508	Identifier	s		5662465	0					
ANR	5662509	Argument	pb		5662465	1					
ANR	5662510	Identifier	pb		5662465	0					
ANR	5662511	Argument	mov		5662465	2					
ANR	5662512	Identifier	mov		5662465	0					
ANR	5662513	Argument	track		5662465	3					
ANR	5662514	Identifier	track		5662465	0					
ANR	5662515	ExpressionStatement	"mov_write_stts_tag ( pb , track )"	17:4:271:300	5662465	5	True				
ANR	5662516	CallExpression	"mov_write_stts_tag ( pb , track )"		5662465	0					
ANR	5662517	Callee	mov_write_stts_tag		5662465	0					
ANR	5662518	Identifier	mov_write_stts_tag		5662465	0					
ANR	5662519	ArgumentList	pb		5662465	1					
ANR	5662520	Argument	pb		5662465	0					
ANR	5662521	Identifier	pb		5662465	0					
ANR	5662522	Argument	track		5662465	1					
ANR	5662523	Identifier	track		5662465	0					
ANR	5662524	IfStatement	"if ( ( track -> par -> codec_type == AVMEDIA_TYPE_VIDEO || track -> par -> codec_tag == MKTAG ( 'r' , 't' , 'p' , ' ' ) ) && track -> has_keyframes && track -> has_keyframes < track -> entry )"		5662465	6					
ANR	5662525	Condition	"( track -> par -> codec_type == AVMEDIA_TYPE_VIDEO || track -> par -> codec_tag == MKTAG ( 'r' , 't' , 'p' , ' ' ) ) && track -> has_keyframes && track -> has_keyframes < track -> entry"	19:8:311:489	5662465	0	True				
ANR	5662526	AndExpression	"( track -> par -> codec_type == AVMEDIA_TYPE_VIDEO || track -> par -> codec_tag == MKTAG ( 'r' , 't' , 'p' , ' ' ) ) && track -> has_keyframes && track -> has_keyframes < track -> entry"		5662465	0		&&			
ANR	5662527	OrExpression	"track -> par -> codec_type == AVMEDIA_TYPE_VIDEO || track -> par -> codec_tag == MKTAG ( 'r' , 't' , 'p' , ' ' )"		5662465	0		||			
ANR	5662528	EqualityExpression	track -> par -> codec_type == AVMEDIA_TYPE_VIDEO		5662465	0		==			
ANR	5662529	PtrMemberAccess	track -> par -> codec_type		5662465	0					
ANR	5662530	PtrMemberAccess	track -> par		5662465	0					
ANR	5662531	Identifier	track		5662465	0					
ANR	5662532	Identifier	par		5662465	1					
ANR	5662533	Identifier	codec_type		5662465	1					
ANR	5662534	Identifier	AVMEDIA_TYPE_VIDEO		5662465	1					
ANR	5662535	EqualityExpression	"track -> par -> codec_tag == MKTAG ( 'r' , 't' , 'p' , ' ' )"		5662465	1		==			
ANR	5662536	PtrMemberAccess	track -> par -> codec_tag		5662465	0					
ANR	5662537	PtrMemberAccess	track -> par		5662465	0					
ANR	5662538	Identifier	track		5662465	0					
ANR	5662539	Identifier	par		5662465	1					
ANR	5662540	Identifier	codec_tag		5662465	1					
ANR	5662541	CallExpression	"MKTAG ( 'r' , 't' , 'p' , ' ' )"		5662465	1					
ANR	5662542	Callee	MKTAG		5662465	0					
ANR	5662543	Identifier	MKTAG		5662465	0					
ANR	5662544	ArgumentList	'r'		5662465	1					
ANR	5662545	Argument	'r'		5662465	0					
ANR	5662546	PrimaryExpression	'r'		5662465	0					
ANR	5662547	Argument	't'		5662465	1					
ANR	5662548	PrimaryExpression	't'		5662465	0					
ANR	5662549	Argument	'p'		5662465	2					
ANR	5662550	PrimaryExpression	'p'		5662465	0					
ANR	5662551	Argument	' '		5662465	3					
ANR	5662552	PrimaryExpression	' '		5662465	0					
ANR	5662553	AndExpression	track -> has_keyframes && track -> has_keyframes < track -> entry		5662465	1		&&			
ANR	5662554	PtrMemberAccess	track -> has_keyframes		5662465	0					
ANR	5662555	Identifier	track		5662465	0					
ANR	5662556	Identifier	has_keyframes		5662465	1					
ANR	5662557	RelationalExpression	track -> has_keyframes < track -> entry		5662465	1		<			
ANR	5662558	PtrMemberAccess	track -> has_keyframes		5662465	0					
ANR	5662559	Identifier	track		5662465	0					
ANR	5662560	Identifier	has_keyframes		5662465	1					
ANR	5662561	PtrMemberAccess	track -> entry		5662465	1					
ANR	5662562	Identifier	track		5662465	0					
ANR	5662563	Identifier	entry		5662465	1					
ANR	5662564	ExpressionStatement	"mov_write_stss_tag ( pb , track , MOV_SYNC_SAMPLE )"	25:8:501:547	5662465	1	True				
ANR	5662565	CallExpression	"mov_write_stss_tag ( pb , track , MOV_SYNC_SAMPLE )"		5662465	0					
ANR	5662566	Callee	mov_write_stss_tag		5662465	0					
ANR	5662567	Identifier	mov_write_stss_tag		5662465	0					
ANR	5662568	ArgumentList	pb		5662465	1					
ANR	5662569	Argument	pb		5662465	0					
ANR	5662570	Identifier	pb		5662465	0					
ANR	5662571	Argument	track		5662465	1					
ANR	5662572	Identifier	track		5662465	0					
ANR	5662573	Argument	MOV_SYNC_SAMPLE		5662465	2					
ANR	5662574	Identifier	MOV_SYNC_SAMPLE		5662465	0					
ANR	5662575	IfStatement	if ( track -> mode == MODE_MOV && track -> flags & MOV_TRACK_STPS )		5662465	7					
ANR	5662576	Condition	track -> mode == MODE_MOV && track -> flags & MOV_TRACK_STPS	27:8:558:613	5662465	0	True				
ANR	5662577	AndExpression	track -> mode == MODE_MOV && track -> flags & MOV_TRACK_STPS		5662465	0		&&			
ANR	5662578	EqualityExpression	track -> mode == MODE_MOV		5662465	0		==			
ANR	5662579	PtrMemberAccess	track -> mode		5662465	0					
ANR	5662580	Identifier	track		5662465	0					
ANR	5662581	Identifier	mode		5662465	1					
ANR	5662582	Identifier	MODE_MOV		5662465	1					
ANR	5662583	BitAndExpression	track -> flags & MOV_TRACK_STPS		5662465	1		&			
ANR	5662584	PtrMemberAccess	track -> flags		5662465	0					
ANR	5662585	Identifier	track		5662465	0					
ANR	5662586	Identifier	flags		5662465	1					
ANR	5662587	Identifier	MOV_TRACK_STPS		5662465	1					
ANR	5662588	ExpressionStatement	"mov_write_stss_tag ( pb , track , MOV_PARTIAL_SYNC_SAMPLE )"	29:8:625:679	5662465	1	True				
ANR	5662589	CallExpression	"mov_write_stss_tag ( pb , track , MOV_PARTIAL_SYNC_SAMPLE )"		5662465	0					
ANR	5662590	Callee	mov_write_stss_tag		5662465	0					
ANR	5662591	Identifier	mov_write_stss_tag		5662465	0					
ANR	5662592	ArgumentList	pb		5662465	1					
ANR	5662593	Argument	pb		5662465	0					
ANR	5662594	Identifier	pb		5662465	0					
ANR	5662595	Argument	track		5662465	1					
ANR	5662596	Identifier	track		5662465	0					
ANR	5662597	Argument	MOV_PARTIAL_SYNC_SAMPLE		5662465	2					
ANR	5662598	Identifier	MOV_PARTIAL_SYNC_SAMPLE		5662465	0					
ANR	5662599	IfStatement	if ( track -> par -> codec_type == AVMEDIA_TYPE_VIDEO && track -> flags & MOV_TRACK_CTTS && track -> entry )		5662465	8					
ANR	5662600	Condition	track -> par -> codec_type == AVMEDIA_TYPE_VIDEO && track -> flags & MOV_TRACK_CTTS && track -> entry	31:8:690:791	5662465	0	True				
ANR	5662601	AndExpression	track -> par -> codec_type == AVMEDIA_TYPE_VIDEO && track -> flags & MOV_TRACK_CTTS && track -> entry		5662465	0		&&			
ANR	5662602	EqualityExpression	track -> par -> codec_type == AVMEDIA_TYPE_VIDEO		5662465	0		==			
ANR	5662603	PtrMemberAccess	track -> par -> codec_type		5662465	0					
ANR	5662604	PtrMemberAccess	track -> par		5662465	0					
ANR	5662605	Identifier	track		5662465	0					
ANR	5662606	Identifier	par		5662465	1					
ANR	5662607	Identifier	codec_type		5662465	1					
ANR	5662608	Identifier	AVMEDIA_TYPE_VIDEO		5662465	1					
ANR	5662609	AndExpression	track -> flags & MOV_TRACK_CTTS && track -> entry		5662465	1		&&			
ANR	5662610	BitAndExpression	track -> flags & MOV_TRACK_CTTS		5662465	0		&			
ANR	5662611	PtrMemberAccess	track -> flags		5662465	0					
ANR	5662612	Identifier	track		5662465	0					
ANR	5662613	Identifier	flags		5662465	1					
ANR	5662614	Identifier	MOV_TRACK_CTTS		5662465	1					
ANR	5662615	PtrMemberAccess	track -> entry		5662465	1					
ANR	5662616	Identifier	track		5662465	0					
ANR	5662617	Identifier	entry		5662465	1					
ANR	5662618	CompoundStatement		31:55:688:688	5662465	1					
ANR	5662619	IfStatement	"if ( ( ret = mov_write_ctts_tag ( pb , track ) ) < 0 )"		5662465	0					
ANR	5662620	Condition	"( ret = mov_write_ctts_tag ( pb , track ) ) < 0"	37:12:811:851	5662465	0	True				
ANR	5662621	RelationalExpression	"( ret = mov_write_ctts_tag ( pb , track ) ) < 0"		5662465	0		<			
ANR	5662622	AssignmentExpression	"ret = mov_write_ctts_tag ( pb , track )"		5662465	0		=			
ANR	5662623	Identifier	ret		5662465	0					
ANR	5662624	CallExpression	"mov_write_ctts_tag ( pb , track )"		5662465	1					
ANR	5662625	Callee	mov_write_ctts_tag		5662465	0					
ANR	5662626	Identifier	mov_write_ctts_tag		5662465	0					
ANR	5662627	ArgumentList	pb		5662465	1					
ANR	5662628	Argument	pb		5662465	0					
ANR	5662629	Identifier	pb		5662465	0					
ANR	5662630	Argument	track		5662465	1					
ANR	5662631	Identifier	track		5662465	0					
ANR	5662632	PrimaryExpression	0		5662465	1					
ANR	5662633	ReturnStatement	return ret ;	39:12:867:877	5662465	1	True				
ANR	5662634	Identifier	ret		5662465	0					
ANR	5662635	ExpressionStatement	"mov_write_stsc_tag ( pb , track )"	43:4:891:920	5662465	9	True				
ANR	5662636	CallExpression	"mov_write_stsc_tag ( pb , track )"		5662465	0					
ANR	5662637	Callee	mov_write_stsc_tag		5662465	0					
ANR	5662638	Identifier	mov_write_stsc_tag		5662465	0					
ANR	5662639	ArgumentList	pb		5662465	1					
ANR	5662640	Argument	pb		5662465	0					
ANR	5662641	Identifier	pb		5662465	0					
ANR	5662642	Argument	track		5662465	1					
ANR	5662643	Identifier	track		5662465	0					
ANR	5662644	ExpressionStatement	"mov_write_stsz_tag ( pb , track )"	45:4:927:956	5662465	10	True				
ANR	5662645	CallExpression	"mov_write_stsz_tag ( pb , track )"		5662465	0					
ANR	5662646	Callee	mov_write_stsz_tag		5662465	0					
ANR	5662647	Identifier	mov_write_stsz_tag		5662465	0					
ANR	5662648	ArgumentList	pb		5662465	1					
ANR	5662649	Argument	pb		5662465	0					
ANR	5662650	Identifier	pb		5662465	0					
ANR	5662651	Argument	track		5662465	1					
ANR	5662652	Identifier	track		5662465	0					
ANR	5662653	ExpressionStatement	"mov_write_stco_tag ( pb , track )"	47:4:963:992	5662465	11	True				
ANR	5662654	CallExpression	"mov_write_stco_tag ( pb , track )"		5662465	0					
