command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	5697849	File	/home/p4ultr4n/workplace/ReVeal/raw_code/mp_pacl_removexattr_0.c								
ANR	5697850	Function	mp_pacl_removexattr	1:0:0:539							
ANR	5697851	FunctionDef	"mp_pacl_removexattr (FsContext * ctx , const char * path , const char * name)"		5697850	0					
ANR	5697852	CompoundStatement		5:0:116:539	5697850	0					
ANR	5697853	IdentifierDeclStatement	int ret ;	7:4:123:130	5697850	0	True				
ANR	5697854	IdentifierDecl	ret		5697850	0					
ANR	5697855	IdentifierDeclType	int		5697850	0					
ANR	5697856	Identifier	ret		5697850	1					
ANR	5697857	IdentifierDeclStatement	char buffer [ PATH_MAX ] ;	9:4:137:158	5697850	1	True				
ANR	5697858	IdentifierDecl	buffer [ PATH_MAX ]		5697850	0					
ANR	5697859	IdentifierDeclType	char [ PATH_MAX ]		5697850	0					
ANR	5697860	Identifier	buffer		5697850	1					
ANR	5697861	Identifier	PATH_MAX		5697850	2					
ANR	5697862	ExpressionStatement	"ret = lremovexattr ( rpath ( ctx , path , buffer ) , MAP_ACL_ACCESS )"	11:4:165:226	5697850	2	True				
ANR	5697863	AssignmentExpression	"ret = lremovexattr ( rpath ( ctx , path , buffer ) , MAP_ACL_ACCESS )"		5697850	0		=			
ANR	5697864	Identifier	ret		5697850	0					
ANR	5697865	CallExpression	"lremovexattr ( rpath ( ctx , path , buffer ) , MAP_ACL_ACCESS )"		5697850	1					
ANR	5697866	Callee	lremovexattr		5697850	0					
ANR	5697867	Identifier	lremovexattr		5697850	0					
ANR	5697868	ArgumentList	"rpath ( ctx , path , buffer )"		5697850	1					
ANR	5697869	Argument	"rpath ( ctx , path , buffer )"		5697850	0					
ANR	5697870	CallExpression	"rpath ( ctx , path , buffer )"		5697850	0					
ANR	5697871	Callee	rpath		5697850	0					
ANR	5697872	Identifier	rpath		5697850	0					
ANR	5697873	ArgumentList	ctx		5697850	1					
ANR	5697874	Argument	ctx		5697850	0					
ANR	5697875	Identifier	ctx		5697850	0					
ANR	5697876	Argument	path		5697850	1					
ANR	5697877	Identifier	path		5697850	0					
ANR	5697878	Argument	buffer		5697850	2					
ANR	5697879	Identifier	buffer		5697850	0					
ANR	5697880	Argument	MAP_ACL_ACCESS		5697850	1					
ANR	5697881	Identifier	MAP_ACL_ACCESS		5697850	0					
ANR	5697882	IfStatement	if ( ret == - 1 && errno == ENODATA )		5697850	3					
ANR	5697883	Condition	ret == - 1 && errno == ENODATA	13:8:237:265	5697850	0	True				
ANR	5697884	AndExpression	ret == - 1 && errno == ENODATA		5697850	0		&&			
ANR	5697885	EqualityExpression	ret == - 1		5697850	0		==			
ANR	5697886	Identifier	ret		5697850	0					
ANR	5697887	UnaryOperationExpression	- 1		5697850	1					
ANR	5697888	UnaryOperator	-		5697850	0					
ANR	5697889	PrimaryExpression	1		5697850	1					
ANR	5697890	EqualityExpression	errno == ENODATA		5697850	1		==			
ANR	5697891	Identifier	errno		5697850	0					
ANR	5697892	Identifier	ENODATA		5697850	1					
ANR	5697893	CompoundStatement		9:39:151:151	5697850	1					
ANR	5697894	ExpressionStatement	errno = 0	25:8:485:494	5697850	0	True				
ANR	5697895	AssignmentExpression	errno = 0		5697850	0		=			
ANR	5697896	Identifier	errno		5697850	0					
ANR	5697897	PrimaryExpression	0		5697850	1					
ANR	5697898	ExpressionStatement	ret = 0	27:8:505:512	5697850	1	True				
ANR	5697899	AssignmentExpression	ret = 0		5697850	0		=			
ANR	5697900	Identifier	ret		5697850	0					
ANR	5697901	PrimaryExpression	0		5697850	1					
ANR	5697902	ReturnStatement	return ret ;	31:4:526:536	5697850	4	True				
ANR	5697903	Identifier	ret		5697850	0					
ANR	5697904	ReturnType	static int		5697850	1					
ANR	5697905	Identifier	mp_pacl_removexattr		5697850	2					
ANR	5697906	ParameterList	"FsContext * ctx , const char * path , const char * name"		5697850	3					
ANR	5697907	Parameter	FsContext * ctx	1:31:31:44	5697850	0	True				
ANR	5697908	ParameterType	FsContext *		5697850	0					
ANR	5697909	Identifier	ctx		5697850	1					
ANR	5697910	Parameter	const char * path	3:31:79:94	5697850	1	True				
ANR	5697911	ParameterType	const char *		5697850	0					
ANR	5697912	Identifier	path		5697850	1					
ANR	5697913	Parameter	const char * name	3:49:97:112	5697850	2	True				
ANR	5697914	ParameterType	const char *		5697850	0					
ANR	5697915	Identifier	name		5697850	1					
ANR	5697916	CFGEntryNode	ENTRY		5697850		True				
ANR	5697917	CFGExitNode	EXIT		5697850		True				
ANR	5697918	Symbol	ret		5697850						
ANR	5697919	Symbol	path		5697850						
ANR	5697920	Symbol	ENODATA		5697850						
ANR	5697921	Symbol	errno		5697850						
ANR	5697922	Symbol	lremovexattr		5697850						
ANR	5697923	Symbol	MAP_ACL_ACCESS		5697850						
ANR	5697924	Symbol	ctx		5697850						
ANR	5697925	Symbol	name		5697850						
ANR	5697926	Symbol	buffer		5697850						
ANR	5697927	Symbol	rpath		5697850						
