start	end	type	var
5779088	5779089	IS_AST_PARENT	
5779088	5779090	IS_AST_PARENT	
5779087	5779088	IS_AST_PARENT	
5779091	5779092	IS_AST_PARENT	
5779091	5779093	IS_AST_PARENT	
5779087	5779091	IS_AST_PARENT	
5779094	5779095	IS_AST_PARENT	
5779094	5779096	IS_AST_PARENT	
5779087	5779094	IS_AST_PARENT	
5779086	5779087	IS_AST_PARENT	
5779098	5779099	IS_AST_PARENT	
5779098	5779100	IS_AST_PARENT	
5779097	5779098	IS_AST_PARENT	
5779101	5779102	IS_AST_PARENT	
5779101	5779103	IS_AST_PARENT	
5779097	5779101	IS_AST_PARENT	
5779104	5779105	IS_AST_PARENT	
5779104	5779106	IS_AST_PARENT	
5779097	5779104	IS_AST_PARENT	
5779107	5779108	IS_AST_PARENT	
5779107	5779109	IS_AST_PARENT	
5779097	5779107	IS_AST_PARENT	
5779110	5779111	IS_AST_PARENT	
5779110	5779112	IS_AST_PARENT	
5779097	5779110	IS_AST_PARENT	
5779113	5779114	IS_AST_PARENT	
5779113	5779115	IS_AST_PARENT	
5779097	5779113	IS_AST_PARENT	
5779116	5779117	IS_AST_PARENT	
5779116	5779118	IS_AST_PARENT	
5779097	5779116	IS_AST_PARENT	
5779119	5779120	IS_AST_PARENT	
5779119	5779121	IS_AST_PARENT	
5779097	5779119	IS_AST_PARENT	
5779122	5779123	IS_AST_PARENT	
5779122	5779124	IS_AST_PARENT	
5779097	5779122	IS_AST_PARENT	
5779125	5779126	IS_AST_PARENT	
5779125	5779127	IS_AST_PARENT	
5779097	5779125	IS_AST_PARENT	
5779128	5779129	IS_AST_PARENT	
5779128	5779130	IS_AST_PARENT	
5779097	5779128	IS_AST_PARENT	
5779131	5779132	IS_AST_PARENT	
5779131	5779133	IS_AST_PARENT	
5779097	5779131	IS_AST_PARENT	
5779086	5779097	IS_AST_PARENT	
5779135	5779136	IS_AST_PARENT	
5779135	5779137	IS_AST_PARENT	
5779138	5779139	IS_AST_PARENT	
5779141	5779142	IS_AST_PARENT	
5779141	5779143	IS_AST_PARENT	
5779140	5779141	IS_AST_PARENT	
5779140	5779144	IS_AST_PARENT	
5779138	5779140	IS_AST_PARENT	
5779135	5779138	IS_AST_PARENT	
5779134	5779135	IS_AST_PARENT	
5779086	5779134	IS_AST_PARENT	
5779146	5779147	IS_AST_PARENT	
5779146	5779148	IS_AST_PARENT	
5779149	5779150	IS_AST_PARENT	
5779151	5779152	IS_AST_PARENT	
5779151	5779153	IS_AST_PARENT	
5779149	5779151	IS_AST_PARENT	
5779146	5779149	IS_AST_PARENT	
5779145	5779146	IS_AST_PARENT	
5779086	5779145	IS_AST_PARENT	
5779155	5779156	IS_AST_PARENT	
5779155	5779157	IS_AST_PARENT	
5779158	5779159	IS_AST_PARENT	
5779161	5779162	IS_AST_PARENT	
5779161	5779163	IS_AST_PARENT	
5779160	5779161	IS_AST_PARENT	
5779160	5779164	IS_AST_PARENT	
5779158	5779160	IS_AST_PARENT	
5779155	5779158	IS_AST_PARENT	
5779154	5779155	IS_AST_PARENT	
5779086	5779154	IS_AST_PARENT	
5779166	5779167	IS_AST_PARENT	
5779166	5779168	IS_AST_PARENT	
5779169	5779170	IS_AST_PARENT	
5779172	5779173	IS_AST_PARENT	
5779172	5779174	IS_AST_PARENT	
5779171	5779172	IS_AST_PARENT	
5779171	5779175	IS_AST_PARENT	
5779169	5779171	IS_AST_PARENT	
