start	end	type	var
5824768	5824769	IS_AST_PARENT	
5824768	5824770	IS_AST_PARENT	
5824771	5824772	IS_AST_PARENT	
5824771	5824773	IS_AST_PARENT	
5824768	5824771	IS_AST_PARENT	
5824767	5824768	IS_AST_PARENT	
5824766	5824767	IS_AST_PARENT	
5824775	5824776	IS_AST_PARENT	
5824775	5824777	IS_AST_PARENT	
5824778	5824779	IS_AST_PARENT	
5824780	5824781	IS_AST_PARENT	
5824783	5824784	IS_AST_PARENT	
5824783	5824785	IS_AST_PARENT	
5824782	5824783	IS_AST_PARENT	
5824782	5824786	IS_AST_PARENT	
5824780	5824782	IS_AST_PARENT	
5824778	5824780	IS_AST_PARENT	
5824775	5824778	IS_AST_PARENT	
5824774	5824775	IS_AST_PARENT	
5824766	5824774	IS_AST_PARENT	
5824788	5824789	IS_AST_PARENT	
5824788	5824790	IS_AST_PARENT	
5824791	5824792	IS_AST_PARENT	
5824793	5824794	IS_AST_PARENT	
5824793	5824795	IS_AST_PARENT	
5824791	5824793	IS_AST_PARENT	
5824788	5824791	IS_AST_PARENT	
5824787	5824788	IS_AST_PARENT	
5824766	5824787	IS_AST_PARENT	
5824798	5824799	IS_AST_PARENT	
5824797	5824798	IS_AST_PARENT	
5824803	5824804	IS_AST_PARENT	
5824803	5824805	IS_AST_PARENT	
5824802	5824803	IS_AST_PARENT	
5824802	5824806	IS_AST_PARENT	
5824801	5824802	IS_AST_PARENT	
5824800	5824801	IS_AST_PARENT	
5824807	5824808	IS_AST_PARENT	
5824800	5824807	IS_AST_PARENT	
5824797	5824800	IS_AST_PARENT	
5824796	5824797	IS_AST_PARENT	
5824766	5824796	IS_AST_PARENT	
5824812	5824813	IS_AST_PARENT	
5824815	5824816	IS_AST_PARENT	
5824814	5824815	IS_AST_PARENT	
5824818	5824819	IS_AST_PARENT	
5824817	5824818	IS_AST_PARENT	
5824820	5824821	IS_AST_PARENT	
5824817	5824820	IS_AST_PARENT	
5824814	5824817	IS_AST_PARENT	
5824812	5824814	IS_AST_PARENT	
5824811	5824812	IS_AST_PARENT	
5824823	5824824	IS_AST_PARENT	
5824822	5824823	IS_AST_PARENT	
5824826	5824827	IS_AST_PARENT	
5824825	5824826	IS_AST_PARENT	
5824828	5824829	IS_AST_PARENT	
5824825	5824828	IS_AST_PARENT	
5824822	5824825	IS_AST_PARENT	
5824811	5824822	IS_AST_PARENT	
5824810	5824811	IS_AST_PARENT	
5824809	5824810	IS_AST_PARENT	
5824833	5824834	IS_AST_PARENT	
5824832	5824833	IS_AST_PARENT	
5824836	5824837	IS_AST_PARENT	
5824835	5824836	IS_AST_PARENT	
5824838	5824839	IS_AST_PARENT	
5824835	5824838	IS_AST_PARENT	
5824832	5824835	IS_AST_PARENT	
5824831	5824832	IS_AST_PARENT	
5824830	5824831	IS_AST_PARENT	
5824842	5824843	IS_AST_PARENT	
5824841	5824842	IS_AST_PARENT	
5824845	5824846	IS_AST_PARENT	
5824844	5824845	IS_AST_PARENT	
5824847	5824848	IS_AST_PARENT	
5824844	5824847	IS_AST_PARENT	
5824841	5824844	IS_AST_PARENT	
5824840	5824841	IS_AST_PARENT	
5824830	5824840	IS_AST_PARENT	
5824809	5824830	IS_AST_PARENT	
5824766	5824809	IS_AST_PARENT	
5824765	5824766	IS_AST_PARENT	
5824765	5824849	IS_AST_PARENT	
5824765	5824850	IS_AST_PARENT	
5824852	5824853	IS_AST_PARENT	
5824852	5824854	IS_AST_PARENT	
5824851	5824852	IS_AST_PARENT	
5824855	5824856	IS_AST_PARENT	
5824855	5824857	IS_AST_PARENT	
5824851	5824855	IS_AST_PARENT	
5824858	5824859	IS_AST_PARENT	
5824858	5824860	IS_AST_PARENT	
5824851	5824858	IS_AST_PARENT	
5824765	5824851	IS_AST_PARENT	
5824861	5824852	FLOWS_TO	
5824852	5824855	FLOWS_TO	
5824855	5824858	FLOWS_TO	
5824858	5824767	FLOWS_TO	
5824767	5824774	FLOWS_TO	
5824774	5824787	FLOWS_TO	
5824787	5824796	FLOWS_TO	
5824796	5824810	FLOWS_TO	
5824810	5824831	FLOWS_TO	
5824810	5824862	FLOWS_TO	
5824831	5824840	FLOWS_TO	
5824840	5824862	FLOWS_TO	
5824858	5824863	DEF	
5824796	5824863	USE	
5824807	5824863	USE	
5824796	5824864	USE	
5824801	5824864	USE	
5824810	5824865	USE	
5824852	5824866	DEF	
5824767	5824866	USE	
5824771	5824866	USE	
5824767	5824866	DEF	
5824771	5824866	DEF	
5824787	5824867	USE	
5824791	5824867	USE	
5824774	5824868	DEF	
5824775	5824868	DEF	
5824778	5824868	DEF	
5824787	5824868	USE	
5824791	5824868	USE	
5824796	5824868	USE	
5824801	5824868	USE	
5824810	5824869	USE	
5824796	5824870	USE	
5824801	5824870	USE	
5824774	5824871	USE	
5824778	5824871	USE	
5824767	5824872	DEF	
5824768	5824872	DEF	
5824796	5824872	USE	
5824803	5824872	USE	
5824810	5824872	USE	
5824826	5824872	USE	
5824818	5824872	USE	
5824831	5824872	USE	
5824836	5824872	USE	
5824840	5824872	USE	
5824845	5824872	USE	
5824774	5824873	USE	
5824778	5824873	USE	
5824787	5824874	DEF	
5824791	5824874	DEF	
5824788	5824874	DEF	
5824810	5824874	USE	
5824828	5824874	USE	
5824820	5824874	USE	
5824831	5824874	USE	
5824838	5824874	USE	
5824840	5824874	USE	
5824847	5824874	USE	
5824855	5824875	DEF	
5824774	5824875	USE	
5824778	5824875	USE	
5824858	5824796	REACHES	val
5824852	5824767	REACHES	opaque
5824774	5824787	REACHES	offset
5824774	5824796	REACHES	offset
5824767	5824796	REACHES	dev
5824767	5824810	REACHES	dev
5824767	5824831	REACHES	dev
5824767	5824840	REACHES	dev
