command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	5920976	File	/home/p4ultr4n/workplace/ReVeal/raw_code/nbd_coroutine_end_01_1.c								
ANR	5920977	Function	nbd_coroutine_end	1:0:0:446							
ANR	5920978	FunctionDef	"nbd_coroutine_end (BlockDriverState * bs , NBDRequest * request)"		5920977	0					
ANR	5920979	CompoundStatement		5:0:105:446	5920977	0					
ANR	5920980	IdentifierDeclStatement	NBDClientSession * s = nbd_get_client_session ( bs ) ;	7:4:112:160	5920977	0	True				
ANR	5920981	IdentifierDecl	* s = nbd_get_client_session ( bs )		5920977	0					
ANR	5920982	IdentifierDeclType	NBDClientSession *		5920977	0					
ANR	5920983	Identifier	s		5920977	1					
ANR	5920984	AssignmentExpression	* s = nbd_get_client_session ( bs )		5920977	2		=			
ANR	5920985	Identifier	s		5920977	0					
ANR	5920986	CallExpression	nbd_get_client_session ( bs )		5920977	1					
ANR	5920987	Callee	nbd_get_client_session		5920977	0					
ANR	5920988	Identifier	nbd_get_client_session		5920977	0					
ANR	5920989	ArgumentList	bs		5920977	1					
ANR	5920990	Argument	bs		5920977	0					
ANR	5920991	Identifier	bs		5920977	0					
ANR	5920992	IdentifierDeclStatement	"int i = HANDLE_TO_INDEX ( s , request -> handle ) ;"	9:4:167:210	5920977	1	True				
ANR	5920993	IdentifierDecl	"i = HANDLE_TO_INDEX ( s , request -> handle )"		5920977	0					
ANR	5920994	IdentifierDeclType	int		5920977	0					
ANR	5920995	Identifier	i		5920977	1					
ANR	5920996	AssignmentExpression	"i = HANDLE_TO_INDEX ( s , request -> handle )"		5920977	2		=			
ANR	5920997	Identifier	i		5920977	0					
ANR	5920998	CallExpression	"HANDLE_TO_INDEX ( s , request -> handle )"		5920977	1					
ANR	5920999	Callee	HANDLE_TO_INDEX		5920977	0					
ANR	5921000	Identifier	HANDLE_TO_INDEX		5920977	0					
ANR	5921001	ArgumentList	s		5920977	1					
ANR	5921002	Argument	s		5920977	0					
ANR	5921003	Identifier	s		5920977	0					
ANR	5921004	Argument	request -> handle		5920977	1					
ANR	5921005	PtrMemberAccess	request -> handle		5920977	0					
ANR	5921006	Identifier	request		5920977	0					
ANR	5921007	Identifier	handle		5920977	1					
ANR	5921008	ExpressionStatement	s -> recv_coroutine [ i ] = NULL	13:4:219:246	5920977	2	True				
ANR	5921009	AssignmentExpression	s -> recv_coroutine [ i ] = NULL		5920977	0		=			
ANR	5921010	ArrayIndexing	s -> recv_coroutine [ i ]		5920977	0					
ANR	5921011	PtrMemberAccess	s -> recv_coroutine		5920977	0					
ANR	5921012	Identifier	s		5920977	0					
ANR	5921013	Identifier	recv_coroutine		5920977	1					
ANR	5921014	Identifier	i		5920977	1					
ANR	5921015	Identifier	NULL		5920977	1					
ANR	5921016	ExpressionStatement	s -> in_flight --	15:4:253:267	5920977	3	True				
ANR	5921017	PostIncDecOperationExpression	s -> in_flight --		5920977	0					
ANR	5921018	PtrMemberAccess	s -> in_flight		5920977	0					
ANR	5921019	Identifier	s		5920977	0					
ANR	5921020	Identifier	in_flight		5920977	1					
ANR	5921021	IncDec	--		5920977	1					
ANR	5921022	ExpressionStatement	qemu_co_queue_next ( & s -> free_sema )	17:4:274:307	5920977	4	True				
