start	end	type	var
6163284	6163285	IS_AST_PARENT	
6163284	6163286	IS_AST_PARENT	
6163283	6163284	IS_AST_PARENT	
6163282	6163283	IS_AST_PARENT	
6163288	6163289	IS_AST_PARENT	
6163288	6163290	IS_AST_PARENT	
6163287	6163288	IS_AST_PARENT	
6163282	6163287	IS_AST_PARENT	
6163292	6163293	IS_AST_PARENT	
6163292	6163294	IS_AST_PARENT	
6163291	6163292	IS_AST_PARENT	
6163282	6163291	IS_AST_PARENT	
6163298	6163299	IS_AST_PARENT	
6163298	6163300	IS_AST_PARENT	
6163297	6163298	IS_AST_PARENT	
6163301	6163302	IS_AST_PARENT	
6163303	6163304	IS_AST_PARENT	
6163303	6163305	IS_AST_PARENT	
6163301	6163303	IS_AST_PARENT	
6163297	6163301	IS_AST_PARENT	
6163296	6163297	IS_AST_PARENT	
6163295	6163296	IS_AST_PARENT	
6163309	6163310	IS_AST_PARENT	
6163308	6163309	IS_AST_PARENT	
6163312	6163313	IS_AST_PARENT	
6163311	6163312	IS_AST_PARENT	
6163314	6163315	IS_AST_PARENT	
6163311	6163314	IS_AST_PARENT	
6163316	6163317	IS_AST_PARENT	
6163311	6163316	IS_AST_PARENT	
6163318	6163319	IS_AST_PARENT	
6163311	6163318	IS_AST_PARENT	
6163308	6163311	IS_AST_PARENT	
6163307	6163308	IS_AST_PARENT	
6163306	6163307	IS_AST_PARENT	
6163322	6163323	IS_AST_PARENT	
6163321	6163322	IS_AST_PARENT	
6163326	6163327	IS_AST_PARENT	
6163326	6163328	IS_AST_PARENT	
6163325	6163326	IS_AST_PARENT	
6163324	6163325	IS_AST_PARENT	
6163321	6163324	IS_AST_PARENT	
6163320	6163321	IS_AST_PARENT	
6163306	6163320	IS_AST_PARENT	
6163295	6163306	IS_AST_PARENT	
6163282	6163295	IS_AST_PARENT	
6163330	6163331	IS_AST_PARENT	
6163334	6163335	IS_AST_PARENT	
6163334	6163336	IS_AST_PARENT	
6163333	6163334	IS_AST_PARENT	
6163333	6163337	IS_AST_PARENT	
6163332	6163333	IS_AST_PARENT	
