start	end	type	var
6195852	6195853	IS_AST_PARENT	
6195852	6195854	IS_AST_PARENT	
6195855	6195856	IS_AST_PARENT	
6195857	6195858	IS_AST_PARENT	
6195859	6195860	IS_AST_PARENT	
6195859	6195861	IS_AST_PARENT	
6195857	6195859	IS_AST_PARENT	
6195855	6195857	IS_AST_PARENT	
6195852	6195855	IS_AST_PARENT	
6195851	6195852	IS_AST_PARENT	
6195850	6195851	IS_AST_PARENT	
6195864	6195865	IS_AST_PARENT	
6195864	6195866	IS_AST_PARENT	
6195863	6195864	IS_AST_PARENT	
6195862	6195863	IS_AST_PARENT	
6195869	6195870	IS_AST_PARENT	
6195869	6195871	IS_AST_PARENT	
6195872	6195873	IS_AST_PARENT	
6195875	6195876	IS_AST_PARENT	
6195874	6195875	IS_AST_PARENT	
6195878	6195879	IS_AST_PARENT	
6195877	6195878	IS_AST_PARENT	
6195880	6195881	IS_AST_PARENT	
6195877	6195880	IS_AST_PARENT	
6195874	6195877	IS_AST_PARENT	
6195872	6195874	IS_AST_PARENT	
6195869	6195872	IS_AST_PARENT	
6195868	6195869	IS_AST_PARENT	
6195867	6195868	IS_AST_PARENT	
6195883	6195884	IS_AST_PARENT	
6195882	6195883	IS_AST_PARENT	
6195887	6195888	IS_AST_PARENT	
6195890	6195891	IS_AST_PARENT	
6195889	6195890	IS_AST_PARENT	
6195893	6195894	IS_AST_PARENT	
6195892	6195893	IS_AST_PARENT	
6195896	6195897	IS_AST_PARENT	
6195898	6195899	IS_AST_PARENT	
6195898	6195900	IS_AST_PARENT	
6195896	6195898	IS_AST_PARENT	
6195895	6195896	IS_AST_PARENT	
6195892	6195895	IS_AST_PARENT	
6195889	6195892	IS_AST_PARENT	
6195887	6195889	IS_AST_PARENT	
6195886	6195887	IS_AST_PARENT	
6195885	6195886	IS_AST_PARENT	
6195904	6195905	IS_AST_PARENT	
6195904	6195906	IS_AST_PARENT	
6195903	6195904	IS_AST_PARENT	
6195903	6195907	IS_AST_PARENT	
6195902	6195903	IS_AST_PARENT	
6195901	6195902	IS_AST_PARENT	
6195908	6195909	IS_AST_PARENT	
6195901	6195908	IS_AST_PARENT	
6195885	6195901	IS_AST_PARENT	
6195912	6195913	IS_AST_PARENT	
6195911	6195912	IS_AST_PARENT	
6195916	6195917	IS_AST_PARENT	
6195916	6195918	IS_AST_PARENT	
6195915	6195916	IS_AST_PARENT	
6195914	6195915	IS_AST_PARENT	
6195920	6195921	IS_AST_PARENT	
6195920	6195922	IS_AST_PARENT	
6195919	6195920	IS_AST_PARENT	
6195914	6195919	IS_AST_PARENT	
6195923	6195924	IS_AST_PARENT	
6195914	6195923	IS_AST_PARENT	
6195911	6195914	IS_AST_PARENT	
6195910	6195911	IS_AST_PARENT	
6195885	6195910	IS_AST_PARENT	
6195927	6195928	IS_AST_PARENT	
6195927	6195929	IS_AST_PARENT	
6195926	6195927	IS_AST_PARENT	
6195926	6195930	IS_AST_PARENT	
6195925	6195926	IS_AST_PARENT	
6195885	6195925	IS_AST_PARENT	
6195882	6195885	IS_AST_PARENT	
6195934	6195935	IS_AST_PARENT	
6195934	6195936	IS_AST_PARENT	
6195933	6195934	IS_AST_PARENT	
6195932	6195933	IS_AST_PARENT	
6195939	6195940	IS_AST_PARENT	
6195938	6195939	IS_AST_PARENT	
6195943	6195944	IS_AST_PARENT	
6195943	6195945	IS_AST_PARENT	
6195942	6195943	IS_AST_PARENT	
6195941	6195942	IS_AST_PARENT	
6195946	6195947	IS_AST_PARENT	
6195941	6195946	IS_AST_PARENT	
6195948	6195949	IS_AST_PARENT	
6195941	6195948	IS_AST_PARENT	
6195938	6195941	IS_AST_PARENT	
6195937	6195938	IS_AST_PARENT	
6195932	6195937	IS_AST_PARENT	
6195931	6195932	IS_AST_PARENT	
6195882	6195931	IS_AST_PARENT	
6195867	6195882	IS_AST_PARENT	
6195952	6195953	IS_AST_PARENT	
6195952	6195954	IS_AST_PARENT	
6195951	6195952	IS_AST_PARENT	
6195951	6195955	IS_AST_PARENT	
6195950	6195951	IS_AST_PARENT	
6195867	6195950	IS_AST_PARENT	
6195957	6195958	IS_AST_PARENT	
6195957	6195959	IS_AST_PARENT	
6195956	6195957	IS_AST_PARENT	
6195867	6195956	IS_AST_PARENT	
6195961	6195962	IS_AST_PARENT	
6195961	6195963	IS_AST_PARENT	
6195960	6195961	IS_AST_PARENT	
6195867	6195960	IS_AST_PARENT	
6195966	6195967	IS_AST_PARENT	
6195966	6195968	IS_AST_PARENT	
6195965	6195966	IS_AST_PARENT	
6195964	6195965	IS_AST_PARENT	
6195972	6195973	IS_AST_PARENT	
6195972	6195974	IS_AST_PARENT	
6195971	6195972	IS_AST_PARENT	
6195975	6195976	IS_AST_PARENT	
6195975	6195977	IS_AST_PARENT	
6195971	6195975	IS_AST_PARENT	
6195970	6195971	IS_AST_PARENT	
6195969	6195970	IS_AST_PARENT	
6195979	6195980	IS_AST_PARENT	
6195979	6195981	IS_AST_PARENT	
6195978	6195979	IS_AST_PARENT	
6195969	6195978	IS_AST_PARENT	
6195964	6195969	IS_AST_PARENT	
6195867	6195964	IS_AST_PARENT	
6195984	6195985	IS_AST_PARENT	
6195984	6195986	IS_AST_PARENT	
6195983	6195984	IS_AST_PARENT	
6195982	6195983	IS_AST_PARENT	
6195991	6195992	IS_AST_PARENT	
6195991	6195993	IS_AST_PARENT	
6195990	6195991	IS_AST_PARENT	
6195990	6195994	IS_AST_PARENT	
6195989	6195990	IS_AST_PARENT	
6195988	6195989	IS_AST_PARENT	
6195995	6195996	IS_AST_PARENT	
6195988	6195995	IS_AST_PARENT	
6195987	6195988	IS_AST_PARENT	
6195982	6195987	IS_AST_PARENT	
6196002	6196003	IS_AST_PARENT	
6196002	6196004	IS_AST_PARENT	
6196001	6196002	IS_AST_PARENT	
6196001	6196005	IS_AST_PARENT	
6196000	6196001	IS_AST_PARENT	
6195999	6196000	IS_AST_PARENT	
6196006	6196007	IS_AST_PARENT	
6195999	6196006	IS_AST_PARENT	
6195998	6195999	IS_AST_PARENT	
6195997	6195998	IS_AST_PARENT	
6195982	6195997	IS_AST_PARENT	
6195867	6195982	IS_AST_PARENT	
6195862	6195867	IS_AST_PARENT	
6195850	6195862	IS_AST_PARENT	
6196010	6196011	IS_AST_PARENT	
6196010	6196012	IS_AST_PARENT	
6196009	6196010	IS_AST_PARENT	
6196013	6196014	IS_AST_PARENT	
6196013	6196015	IS_AST_PARENT	
6196009	6196013	IS_AST_PARENT	
6196008	6196009	IS_AST_PARENT	
6195850	6196008	IS_AST_PARENT	
6196016	6196017	IS_AST_PARENT	
6195850	6196016	IS_AST_PARENT	
6196018	6196019	IS_AST_PARENT	
6195850	6196018	IS_AST_PARENT	
6196022	6196023	IS_AST_PARENT	
6196022	6196024	IS_AST_PARENT	
6196021	6196022	IS_AST_PARENT	
6196025	6196026	IS_AST_PARENT	
6196025	6196027	IS_AST_PARENT	
6196021	6196025	IS_AST_PARENT	
6196020	6196021	IS_AST_PARENT	
6195850	6196020	IS_AST_PARENT	
6196028	6196029	IS_AST_PARENT	
6195850	6196028	IS_AST_PARENT	
6195849	6195850	IS_AST_PARENT	
6195849	6196030	IS_AST_PARENT	
6195849	6196031	IS_AST_PARENT	
6196033	6196034	IS_AST_PARENT	
6196033	6196035	IS_AST_PARENT	
6196032	6196033	IS_AST_PARENT	
6196036	6196037	IS_AST_PARENT	
6196036	6196038	IS_AST_PARENT	
6196032	6196036	IS_AST_PARENT	
6196039	6196040	IS_AST_PARENT	
6196039	6196041	IS_AST_PARENT	
6196032	6196039	IS_AST_PARENT	
6196042	6196043	IS_AST_PARENT	
6196042	6196044	IS_AST_PARENT	
6196032	6196042	IS_AST_PARENT	
6196045	6196046	IS_AST_PARENT	
6196045	6196047	IS_AST_PARENT	
6196032	6196045	IS_AST_PARENT	
6196048	6196049	IS_AST_PARENT	
6196048	6196050	IS_AST_PARENT	
6196032	6196048	IS_AST_PARENT	
6196051	6196052	IS_AST_PARENT	
6196051	6196053	IS_AST_PARENT	
6196032	6196051	IS_AST_PARENT	
6196054	6196055	IS_AST_PARENT	
