start	end	type	var
6245303	6245304	IS_AST_PARENT	
6245303	6245305	IS_AST_PARENT	
6245302	6245303	IS_AST_PARENT	
6245301	6245302	IS_AST_PARENT	
6245307	6245308	IS_AST_PARENT	
6245307	6245309	IS_AST_PARENT	
6245306	6245307	IS_AST_PARENT	
6245310	6245311	IS_AST_PARENT	
6245310	6245312	IS_AST_PARENT	
6245306	6245310	IS_AST_PARENT	
6245313	6245314	IS_AST_PARENT	
6245313	6245315	IS_AST_PARENT	
6245306	6245313	IS_AST_PARENT	
6245316	6245317	IS_AST_PARENT	
6245316	6245318	IS_AST_PARENT	
6245306	6245316	IS_AST_PARENT	
6245301	6245306	IS_AST_PARENT	
6245320	6245321	IS_AST_PARENT	
6245320	6245322	IS_AST_PARENT	
6245319	6245320	IS_AST_PARENT	
6245323	6245324	IS_AST_PARENT	
6245323	6245325	IS_AST_PARENT	
6245319	6245323	IS_AST_PARENT	
6245326	6245327	IS_AST_PARENT	
6245326	6245328	IS_AST_PARENT	
6245319	6245326	IS_AST_PARENT	
6245301	6245319	IS_AST_PARENT	
6245330	6245331	IS_AST_PARENT	
6245330	6245332	IS_AST_PARENT	
6245329	6245330	IS_AST_PARENT	
6245333	6245334	IS_AST_PARENT	
6245333	6245335	IS_AST_PARENT	
6245336	6245337	IS_AST_PARENT	
6245338	6245339	IS_AST_PARENT	
6245338	6245340	IS_AST_PARENT	
6245336	6245338	IS_AST_PARENT	
6245333	6245336	IS_AST_PARENT	
6245329	6245333	IS_AST_PARENT	
6245301	6245329	IS_AST_PARENT	
6245342	6245343	IS_AST_PARENT	
6245342	6245344	IS_AST_PARENT	
6245341	6245342	IS_AST_PARENT	
6245301	6245341	IS_AST_PARENT	
6245347	6245348	IS_AST_PARENT	
6245350	6245351	IS_AST_PARENT	
6245349	6245350	IS_AST_PARENT	
6245353	6245354	IS_AST_PARENT	
6245352	6245353	IS_AST_PARENT	
6245355	6245356	IS_AST_PARENT	
6245352	6245355	IS_AST_PARENT	
6245349	6245352	IS_AST_PARENT	
6245347	6245349	IS_AST_PARENT	
6245346	6245347	IS_AST_PARENT	
6245345	6245346	IS_AST_PARENT	
6245358	6245359	IS_AST_PARENT	
6245358	6245360	IS_AST_PARENT	
6245357	6245358	IS_AST_PARENT	
6245345	6245357	IS_AST_PARENT	
6245301	6245345	IS_AST_PARENT	
6245362	6245363	IS_AST_PARENT	
6245365	6245366	IS_AST_PARENT	
6245364	6245365	IS_AST_PARENT	
6245364	6245367	IS_AST_PARENT	
6245362	6245364	IS_AST_PARENT	
