command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	6294747	File	/home/p4ultr4n/workplace/ReVeal/raw_code/palette8tobgr15_1.c								
ANR	6294748	Function	palette8tobgr15	1:0:0:209							
ANR	6294749	FunctionDef	"palette8tobgr15 (const uint8_t * src , uint8_t * dst , long num_pixels , const uint8_t * palette)"		6294748	0					
ANR	6294750	CompoundStatement		3:0:97:209	6294748	0					
ANR	6294751	IdentifierDeclStatement	long i ;	5:1:101:107	6294748	0	True				
ANR	6294752	IdentifierDecl	i		6294748	0					
ANR	6294753	IdentifierDeclType	long		6294748	0					
ANR	6294754	Identifier	i		6294748	1					
ANR	6294755	ForStatement	for ( i = 0 ; i < num_pixels ; i ++ )		6294748	1					
ANR	6294756	ForInit	i = 0 ;	7:5:115:118	6294748	0	True				
ANR	6294757	AssignmentExpression	i = 0		6294748	0		=			
ANR	6294758	Identifier	i		6294748	0					
ANR	6294759	PrimaryExpression	0		6294748	1					
ANR	6294760	Condition	i < num_pixels	7:10:120:131	6294748	1	True				
ANR	6294761	RelationalExpression	i < num_pixels		6294748	0		<			
ANR	6294762	Identifier	i		6294748	0					
ANR	6294763	Identifier	num_pixels		6294748	1					
ANR	6294764	PostIncDecOperationExpression	i ++	7:24:134:136	6294748	2	True				
ANR	6294765	Identifier	i		6294748	0					
ANR	6294766	IncDec	++		6294748	1					
ANR	6294767	ExpressionStatement	( ( uint16_t * ) dst ) [ i ] = bswap_16 ( ( ( uint16_t * ) palette ) [ src [ i ] ] )	9:2:142:206	6294748	3	True				
ANR	6294768	AssignmentExpression	( ( uint16_t * ) dst ) [ i ] = bswap_16 ( ( ( uint16_t * ) palette ) [ src [ i ] ] )		6294748	0		=			
ANR	6294769	ArrayIndexing	( ( uint16_t * ) dst ) [ i ]		6294748	0					
ANR	6294770	CastExpression	( uint16_t * ) dst		6294748	0					
ANR	6294771	CastTarget	uint16_t *		6294748	0					
ANR	6294772	Identifier	dst		6294748	1					
ANR	6294773	Identifier	i		6294748	1					
ANR	6294774	CallExpression	bswap_16 ( ( ( uint16_t * ) palette ) [ src [ i ] ] )		6294748	1					
ANR	6294775	Callee	bswap_16		6294748	0					
ANR	6294776	Identifier	bswap_16		6294748	0					
ANR	6294777	ArgumentList	( ( uint16_t * ) palette ) [ src [ i ] ]		6294748	1					
ANR	6294778	Argument	( ( uint16_t * ) palette ) [ src [ i ] ]		6294748	0					
ANR	6294779	ArrayIndexing	( ( uint16_t * ) palette ) [ src [ i ] ]		6294748	0					
ANR	6294780	CastExpression	( uint16_t * ) palette		6294748	0					
ANR	6294781	CastTarget	uint16_t *		6294748	0					
ANR	6294782	Identifier	palette		6294748	1					
ANR	6294783	ArrayIndexing	src [ i ]		6294748	1					
ANR	6294784	Identifier	src		6294748	0					
ANR	6294785	Identifier	i		6294748	1					
ANR	6294786	ReturnType	void		6294748	1					
ANR	6294787	Identifier	palette8tobgr15		6294748	2					
ANR	6294788	ParameterList	"const uint8_t * src , uint8_t * dst , long num_pixels , const uint8_t * palette"		6294748	3					
ANR	6294789	Parameter	const uint8_t * src	1:21:21:38	6294748	0	True				
ANR	6294790	ParameterType	const uint8_t *		6294748	0					
ANR	6294791	Identifier	src		6294748	1					
ANR	6294792	Parameter	uint8_t * dst	1:41:41:52	6294748	1	True				
ANR	6294793	ParameterType	uint8_t *		6294748	0					
ANR	6294794	Identifier	dst		6294748	1					
ANR	6294795	Parameter	long num_pixels	1:55:55:69	6294748	2	True				
ANR	6294796	ParameterType	long		6294748	0					
ANR	6294797	Identifier	num_pixels		6294748	1					
ANR	6294798	Parameter	const uint8_t * palette	1:72:72:93	6294748	3	True				
ANR	6294799	ParameterType	const uint8_t *		6294748	0					
ANR	6294800	Identifier	palette		6294748	1					
ANR	6294801	CFGEntryNode	ENTRY		6294748		True				
ANR	6294802	CFGExitNode	EXIT		6294748		True				
ANR	6294803	Symbol	* dst		6294748						
ANR	6294804	Symbol	* * i		6294748						
ANR	6294805	Symbol	* i		6294748						
ANR	6294806	Symbol	dst		6294748						
ANR	6294807	Symbol	* palette		6294748						
ANR	6294808	Symbol	bswap_16		6294748						
ANR	6294809	Symbol	src		6294748						
ANR	6294810	Symbol	num_pixels		6294748						
ANR	6294811	Symbol	* * src		6294748						
ANR	6294812	Symbol	i		6294748						
ANR	6294813	Symbol	palette		6294748						
ANR	6294814	Symbol	* src		6294748						
