command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	6531686	File	/home/p4ultr4n/workplace/ReVeal/raw_code/pl011_read_1.c								
ANR	6531687	Function	pl011_read	1:0:0:1664							
ANR	6531688	FunctionDef	"pl011_read (void * opaque , hwaddr offset , unsigned size)"		6531687	0					
ANR	6531689	CompoundStatement		5:0:100:1664	6531687	0					
ANR	6531690	IdentifierDeclStatement	PL011State * s = ( PL011State * ) opaque ;	7:4:107:143	6531687	0	True				
ANR	6531691	IdentifierDecl	* s = ( PL011State * ) opaque		6531687	0					
ANR	6531692	IdentifierDeclType	PL011State *		6531687	0					
ANR	6531693	Identifier	s		6531687	1					
ANR	6531694	AssignmentExpression	* s = ( PL011State * ) opaque		6531687	2		=			
ANR	6531695	Identifier	s		6531687	0					
ANR	6531696	CastExpression	( PL011State * ) opaque		6531687	1					
ANR	6531697	CastTarget	PL011State *		6531687	0					
ANR	6531698	Identifier	opaque		6531687	1					
ANR	6531699	IdentifierDeclStatement	uint32_t c ;	9:4:150:160	6531687	1	True				
ANR	6531700	IdentifierDecl	c		6531687	0					
ANR	6531701	IdentifierDeclType	uint32_t		6531687	0					
ANR	6531702	Identifier	c		6531687	1					
ANR	6531703	IfStatement	if ( offset >= 0xfe0 && offset < 0x1000 )		6531687	2					
ANR	6531704	Condition	offset >= 0xfe0 && offset < 0x1000	13:8:173:206	6531687	0	True				
ANR	6531705	AndExpression	offset >= 0xfe0 && offset < 0x1000		6531687	0		&&			
ANR	6531706	RelationalExpression	offset >= 0xfe0		6531687	0		>=			
ANR	6531707	Identifier	offset		6531687	0					
ANR	6531708	PrimaryExpression	0xfe0		6531687	1					
ANR	6531709	RelationalExpression	offset < 0x1000		6531687	1		<			
ANR	6531710	Identifier	offset		6531687	0					
ANR	6531711	PrimaryExpression	0x1000		6531687	1					
ANR	6531712	CompoundStatement		9:44:108:108	6531687	1					
ANR	6531713	ReturnStatement	return s -> id [ ( offset - 0xfe0 ) >> 2 ] ;	15:8:220:255	6531687	0	True				
ANR	6531714	ArrayIndexing	s -> id [ ( offset - 0xfe0 ) >> 2 ]		6531687	0					
ANR	6531715	PtrMemberAccess	s -> id		6531687	0					
ANR	6531716	Identifier	s		6531687	0					
ANR	6531717	Identifier	id		6531687	1					
ANR	6531718	ShiftExpression	( offset - 0xfe0 ) >> 2		6531687	1		>>			
ANR	6531719	AdditiveExpression	offset - 0xfe0		6531687	0		-			
ANR	6531720	Identifier	offset		6531687	0					
ANR	6531721	PrimaryExpression	0xfe0		6531687	1					
ANR	6531722	PrimaryExpression	2		6531687	1					
ANR	6531723	SwitchStatement	switch ( offset >> 2 )		6531687	3					
ANR	6531724	Condition	offset >> 2	19:12:277:287	6531687	0	True				
ANR	6531725	ShiftExpression	offset >> 2		6531687	0		>>			
ANR	6531726	Identifier	offset		6531687	0					
ANR	6531727	PrimaryExpression	2		6531687	1					
ANR	6531728	CompoundStatement		15:25:189:189	6531687	1					
ANR	6531729	Label	case 0 :	21:4:297:303	6531687	0	True				
ANR	6531730	ExpressionStatement	s -> flags &= ~PL011_FLAG_RXFF	23:8:327:355	6531687	1	True				
ANR	6531731	AssignmentExpression	s -> flags &= ~PL011_FLAG_RXFF		6531687	0		&=			
ANR	6531732	PtrMemberAccess	s -> flags		6531687	0					
ANR	6531733	Identifier	s		6531687	0					
ANR	6531734	Identifier	flags		6531687	1					
ANR	6531735	Identifier	~PL011_FLAG_RXFF		6531687	1					
ANR	6531736	ExpressionStatement	c = s -> read_fifo [ s -> read_pos ]	25:8:366:395	6531687	2	True				
ANR	6531737	AssignmentExpression	c = s -> read_fifo [ s -> read_pos ]		6531687	0		=			
ANR	6531738	Identifier	c		6531687	0					
ANR	6531739	ArrayIndexing	s -> read_fifo [ s -> read_pos ]		6531687	1					
ANR	6531740	PtrMemberAccess	s -> read_fifo		6531687	0					
ANR	6531741	Identifier	s		6531687	0					
ANR	6531742	Identifier	read_fifo		6531687	1					
ANR	6531743	PtrMemberAccess	s -> read_pos		6531687	1					
ANR	6531744	Identifier	s		6531687	0					
ANR	6531745	Identifier	read_pos		6531687	1					
ANR	6531746	IfStatement	if ( s -> read_count > 0 )		6531687	3					
ANR	6531747	Condition	s -> read_count > 0	27:12:410:426	6531687	0	True				
ANR	6531748	RelationalExpression	s -> read_count > 0		6531687	0		>			
ANR	6531749	PtrMemberAccess	s -> read_count		6531687	0					
ANR	6531750	Identifier	s		6531687	0					
