command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	6608633	File	/home/p4ultr4n/workplace/ReVeal/raw_code/ppc_hash64_check_prot_01_0.c								
ANR	6608634	Function	ppc_hash64_check_prot	1:0:0:483							
ANR	6608635	FunctionDef	"ppc_hash64_check_prot (int prot , int rwx)"		6608634	0					
ANR	6608636	CompoundStatement		3:0:53:483	6608634	0					
ANR	6608637	IdentifierDeclStatement	int ret ;	5:4:60:67	6608634	0	True				
ANR	6608638	IdentifierDecl	ret		6608634	0					
ANR	6608639	IdentifierDeclType	int		6608634	0					
ANR	6608640	Identifier	ret		6608634	1					
ANR	6608641	IfStatement	if ( rwx == 2 )		6608634	1					
ANR	6608642	Condition	rwx == 2	9:8:80:87	6608634	0	True				
ANR	6608643	EqualityExpression	rwx == 2		6608634	0		==			
ANR	6608644	Identifier	rwx		6608634	0					
ANR	6608645	PrimaryExpression	2		6608634	1					
ANR	6608646	CompoundStatement		7:18:36:36	6608634	1					
ANR	6608647	IfStatement	if ( prot & PAGE_EXEC )		6608634	0					
ANR	6608648	Condition	prot & PAGE_EXEC	11:12:105:120	6608634	0	True				
ANR	6608649	BitAndExpression	prot & PAGE_EXEC		6608634	0		&			
ANR	6608650	Identifier	prot		6608634	0					
ANR	6608651	Identifier	PAGE_EXEC		6608634	1					
ANR	6608652	CompoundStatement		9:30:69:69	6608634	1					
ANR	6608653	ExpressionStatement	ret = 0	13:12:138:145	6608634	0	True				
ANR	6608654	AssignmentExpression	ret = 0		6608634	0		=			
ANR	6608655	Identifier	ret		6608634	0					
ANR	6608656	PrimaryExpression	0		6608634	1					
ANR	6608657	ElseStatement	else		6608634	0					
ANR	6608658	CompoundStatement		13:15:109:109	6608634	0					
ANR	6608659	ExpressionStatement	ret = - 2	17:12:178:186	6608634	0	True				
ANR	6608660	AssignmentExpression	ret = - 2		6608634	0		=			
ANR	6608661	Identifier	ret		6608634	0					
ANR	6608662	UnaryOperationExpression	- 2		6608634	1					
ANR	6608663	UnaryOperator	-		6608634	0					
ANR	6608664	PrimaryExpression	2		6608634	1					
ANR	6608665	ElseStatement	else		6608634	0					
ANR	6608666	IfStatement	if ( rwx == 1 )		6608634	0					
ANR	6608667	Condition	rwx == 1	21:15:215:222	6608634	0	True				
ANR	6608668	EqualityExpression	rwx == 1		6608634	0		==			
ANR	6608669	Identifier	rwx		6608634	0					
ANR	6608670	PrimaryExpression	1		6608634	1					
ANR	6608671	CompoundStatement		19:25:171:171	6608634	1					
ANR	6608672	IfStatement	if ( prot & PAGE_WRITE )		6608634	0					
ANR	6608673	Condition	prot & PAGE_WRITE	23:12:240:256	6608634	0	True				
ANR	6608674	BitAndExpression	prot & PAGE_WRITE		6608634	0		&			
ANR	6608675	Identifier	prot		6608634	0					
ANR	6608676	Identifier	PAGE_WRITE		6608634	1					
ANR	6608677	CompoundStatement		21:31:205:205	6608634	1					
ANR	6608678	ExpressionStatement	ret = 0	25:12:274:281	6608634	0	True				
ANR	6608679	AssignmentExpression	ret = 0		6608634	0		=			
ANR	6608680	Identifier	ret		6608634	0					
ANR	6608681	PrimaryExpression	0		6608634	1					
ANR	6608682	ElseStatement	else		6608634	0					
ANR	6608683	CompoundStatement		25:15:245:245	6608634	0					
ANR	6608684	ExpressionStatement	ret = - 2	29:12:314:322	6608634	0	True				
ANR	6608685	AssignmentExpression	ret = - 2		6608634	0		=			
ANR	6608686	Identifier	ret		6608634	0					
ANR	6608687	UnaryOperationExpression	- 2		6608634	1					
ANR	6608688	UnaryOperator	-		6608634	0					
ANR	6608689	PrimaryExpression	2		6608634	1					
ANR	6608690	ElseStatement	else		6608634	0					
ANR	6608691	CompoundStatement		31:11:293:293	6608634	0					
ANR	6608692	IfStatement	if ( prot & PAGE_READ )		6608634	0					
ANR	6608693	Condition	prot & PAGE_READ	35:12:362:377	6608634	0	True				
ANR	6608694	BitAndExpression	prot & PAGE_READ		6608634	0		&			
ANR	6608695	Identifier	prot		6608634	0					
ANR	6608696	Identifier	PAGE_READ		6608634	1					
ANR	6608697	CompoundStatement		33:30:326:326	6608634	1					
ANR	6608698	ExpressionStatement	ret = 0	37:12:395:402	6608634	0	True				
ANR	6608699	AssignmentExpression	ret = 0		6608634	0		=			
ANR	6608700	Identifier	ret		6608634	0					
ANR	6608701	PrimaryExpression	0		6608634	1					
ANR	6608702	ElseStatement	else		6608634	0					
ANR	6608703	CompoundStatement		37:15:366:366	6608634	0					
ANR	6608704	ExpressionStatement	ret = - 2	41:12:435:443	6608634	0	True				
ANR	6608705	AssignmentExpression	ret = - 2		6608634	0		=			
ANR	6608706	Identifier	ret		6608634	0					
ANR	6608707	UnaryOperationExpression	- 2		6608634	1					
ANR	6608708	UnaryOperator	-		6608634	0					
ANR	6608709	PrimaryExpression	2		6608634	1					
ANR	6608710	ReturnStatement	return ret ;	49:4:470:480	6608634	2	True				
ANR	6608711	Identifier	ret		6608634	0					
ANR	6608712	ReturnType	static int		6608634	1					
ANR	6608713	Identifier	ppc_hash64_check_prot		6608634	2					
ANR	6608714	ParameterList	"int prot , int rwx"		6608634	3					
ANR	6608715	Parameter	int prot	1:33:33:40	6608634	0	True				
ANR	6608716	ParameterType	int		6608634	0					
ANR	6608717	Identifier	prot		6608634	1					
ANR	6608718	Parameter	int rwx	1:43:43:49	6608634	1	True				
ANR	6608719	ParameterType	int		6608634	0					
ANR	6608720	Identifier	rwx		6608634	1					
ANR	6608721	CFGEntryNode	ENTRY		6608634		True				
ANR	6608722	CFGExitNode	EXIT		6608634		True				
ANR	6608723	Symbol	ret		6608634						
ANR	6608724	Symbol	rwx		6608634						
ANR	6608725	Symbol	PAGE_EXEC		6608634						
ANR	6608726	Symbol	prot		6608634						
ANR	6608727	Symbol	PAGE_WRITE		6608634						
ANR	6608728	Symbol	PAGE_READ		6608634						
