start	end	type	var
6862495	6862496	IS_AST_PARENT	
6862495	6862497	IS_AST_PARENT	
6862498	6862499	IS_AST_PARENT	
6862500	6862501	IS_AST_PARENT	
6862500	6862502	IS_AST_PARENT	
6862498	6862500	IS_AST_PARENT	
6862495	6862498	IS_AST_PARENT	
6862494	6862495	IS_AST_PARENT	
6862493	6862494	IS_AST_PARENT	
6862504	6862505	IS_AST_PARENT	
6862504	6862506	IS_AST_PARENT	
6862507	6862508	IS_AST_PARENT	
6862510	6862511	IS_AST_PARENT	
6862509	6862510	IS_AST_PARENT	
6862513	6862514	IS_AST_PARENT	
6862512	6862513	IS_AST_PARENT	
6862515	6862516	IS_AST_PARENT	
6862512	6862515	IS_AST_PARENT	
6862509	6862512	IS_AST_PARENT	
6862507	6862509	IS_AST_PARENT	
6862504	6862507	IS_AST_PARENT	
6862503	6862504	IS_AST_PARENT	
6862493	6862503	IS_AST_PARENT	
6862493	6862517	IS_AST_PARENT	
6862493	6862518	IS_AST_PARENT	
6862493	6862519	IS_AST_PARENT	
6862493	6862520	IS_AST_PARENT	
6862493	6862521	IS_AST_PARENT	
6862493	6862522	IS_AST_PARENT	
6862523	6862524	IS_AST_PARENT	
6862523	6862525	IS_AST_PARENT	
6862523	6862526	IS_AST_PARENT	
6862523	6862527	IS_AST_PARENT	
6862523	6862528	IS_AST_PARENT	
6862523	6862529	IS_AST_PARENT	
6862523	6862530	IS_AST_PARENT	
6862523	6862531	IS_AST_PARENT	
6862523	6862532	IS_AST_PARENT	
6862523	6862533	IS_AST_PARENT	
6862523	6862534	IS_AST_PARENT	
6862523	6862535	IS_AST_PARENT	
6862523	6862536	IS_AST_PARENT	
6862523	6862537	IS_AST_PARENT	
6862523	6862538	IS_AST_PARENT	
6862523	6862539	IS_AST_PARENT	
6862523	6862540	IS_AST_PARENT	
6862523	6862541	IS_AST_PARENT	
6862523	6862542	IS_AST_PARENT	
6862493	6862523	IS_AST_PARENT	
6862493	6862543	IS_AST_PARENT	
6862547	6862548	IS_AST_PARENT	
6862547	6862549	IS_AST_PARENT	
6862546	6862547	IS_AST_PARENT	
6862546	6862550	IS_AST_PARENT	
6862545	6862546	IS_AST_PARENT	
6862544	6862545	IS_AST_PARENT	
6862551	6862552	IS_AST_PARENT	
6862551	6862553	IS_AST_PARENT	
6862551	6862554	IS_AST_PARENT	
6862551	6862555	IS_AST_PARENT	
6862551	6862556	IS_AST_PARENT	
6862551	6862557	IS_AST_PARENT	
6862551	6862558	IS_AST_PARENT	
6862551	6862559	IS_AST_PARENT	
6862551	6862560	IS_AST_PARENT	
6862551	6862561	IS_AST_PARENT	
6862551	6862562	IS_AST_PARENT	
6862551	6862563	IS_AST_PARENT	
6862564	6862565	IS_AST_PARENT	
6862564	6862566	IS_AST_PARENT	
6862564	6862567	IS_AST_PARENT	
6862564	6862568	IS_AST_PARENT	
6862564	6862569	IS_AST_PARENT	
6862564	6862570	IS_AST_PARENT	
6862564	6862571	IS_AST_PARENT	
6862564	6862572	IS_AST_PARENT	
6862564	6862573	IS_AST_PARENT	
6862564	6862574	IS_AST_PARENT	
6862564	6862575	IS_AST_PARENT	
6862564	6862576	IS_AST_PARENT	
6862564	6862577	IS_AST_PARENT	
6862564	6862578	IS_AST_PARENT	
6862564	6862579	IS_AST_PARENT	
6862551	6862564	IS_AST_PARENT	
6862551	6862580	IS_AST_PARENT	
6862544	6862551	IS_AST_PARENT	
6862585	6862586	IS_AST_PARENT	
6862585	6862587	IS_AST_PARENT	
6862584	6862585	IS_AST_PARENT	
6862584	6862588	IS_AST_PARENT	
6862583	6862584	IS_AST_PARENT	
6862582	6862583	IS_AST_PARENT	
6862589	6862590	IS_AST_PARENT	
6862589	6862591	IS_AST_PARENT	
6862589	6862592	IS_AST_PARENT	
6862589	6862593	IS_AST_PARENT	
6862589	6862594	IS_AST_PARENT	
6862589	6862595	IS_AST_PARENT	
6862589	6862596	IS_AST_PARENT	
6862589	6862597	IS_AST_PARENT	
6862589	6862598	IS_AST_PARENT	
6862589	6862599	IS_AST_PARENT	
6862589	6862600	IS_AST_PARENT	
6862589	6862601	IS_AST_PARENT	
6862602	6862603	IS_AST_PARENT	
6862602	6862604	IS_AST_PARENT	
6862602	6862605	IS_AST_PARENT	
6862602	6862606	IS_AST_PARENT	
6862602	6862607	IS_AST_PARENT	
6862602	6862608	IS_AST_PARENT	
6862602	6862609	IS_AST_PARENT	
6862602	6862610	IS_AST_PARENT	
6862602	6862611	IS_AST_PARENT	
6862602	6862612	IS_AST_PARENT	
