command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	6952248	File	/home/p4ultr4n/workplace/ReVeal/raw_code/qemu_chr_open_file_out_01_1.c								
ANR	6952249	Function	qemu_chr_open_file_out	1:0:0:294							
ANR	6952250	FunctionDef	qemu_chr_open_file_out (QemuOpts * opts)		6952249	0					
ANR	6952251	CompoundStatement		3:0:64:294	6952249	0					
ANR	6952252	IdentifierDeclStatement	int fd_out ;	5:4:71:81	6952249	0	True				
ANR	6952253	IdentifierDecl	fd_out		6952249	0					
ANR	6952254	IdentifierDeclType	int		6952249	0					
ANR	6952255	Identifier	fd_out		6952249	1					
ANR	6952256	ExpressionStatement	"TFR ( fd_out = open ( qemu_opt_get ( opts , ""path"" ) , O_WRONLY | O_TRUNC | O_CREAT | O_BINARY , 0666 ) )"	9:4:90:206	6952249	1	True				
ANR	6952257	CallExpression	"TFR ( fd_out = open ( qemu_opt_get ( opts , ""path"" ) , O_WRONLY | O_TRUNC | O_CREAT | O_BINARY , 0666 ) )"		6952249	0					
ANR	6952258	Callee	TFR		6952249	0					
ANR	6952259	Identifier	TFR		6952249	0					
ANR	6952260	ArgumentList	"fd_out = open ( qemu_opt_get ( opts , ""path"" ) , O_WRONLY | O_TRUNC | O_CREAT | O_BINARY , 0666 )"		6952249	1					
ANR	6952261	Argument	"fd_out = open ( qemu_opt_get ( opts , ""path"" ) , O_WRONLY | O_TRUNC | O_CREAT | O_BINARY , 0666 )"		6952249	0					
ANR	6952262	AssignmentExpression	"fd_out = open ( qemu_opt_get ( opts , ""path"" ) , O_WRONLY | O_TRUNC | O_CREAT | O_BINARY , 0666 )"		6952249	0		=			
ANR	6952263	Identifier	fd_out		6952249	0					
ANR	6952264	CallExpression	"open ( qemu_opt_get ( opts , ""path"" ) , O_WRONLY | O_TRUNC | O_CREAT | O_BINARY , 0666 )"		6952249	1					
ANR	6952265	Callee	open		6952249	0					
ANR	6952266	Identifier	open		6952249	0					
ANR	6952267	ArgumentList	"qemu_opt_get ( opts , ""path"" )"		6952249	1					
ANR	6952268	Argument	"qemu_opt_get ( opts , ""path"" )"		6952249	0					
ANR	6952269	CallExpression	"qemu_opt_get ( opts , ""path"" )"		6952249	0					
ANR	6952270	Callee	qemu_opt_get		6952249	0					
ANR	6952271	Identifier	qemu_opt_get		6952249	0					
ANR	6952272	ArgumentList	opts		6952249	1					
ANR	6952273	Argument	opts		6952249	0					
ANR	6952274	Identifier	opts		6952249	0					
ANR	6952275	Argument	"""path"""		6952249	1					
ANR	6952276	PrimaryExpression	"""path"""		6952249	0					
ANR	6952277	Argument	O_WRONLY | O_TRUNC | O_CREAT | O_BINARY		6952249	1					
ANR	6952278	InclusiveOrExpression	O_WRONLY | O_TRUNC | O_CREAT | O_BINARY		6952249	0		|			
ANR	6952279	Identifier	O_WRONLY		6952249	0					
ANR	6952280	InclusiveOrExpression	O_TRUNC | O_CREAT | O_BINARY		6952249	1		|			
ANR	6952281	Identifier	O_TRUNC		6952249	0					
ANR	6952282	InclusiveOrExpression	O_CREAT | O_BINARY		6952249	1		|			
ANR	6952283	Identifier	O_CREAT		6952249	0					
ANR	6952284	Identifier	O_BINARY		6952249	1					
ANR	6952285	Argument	0666		6952249	2					
ANR	6952286	PrimaryExpression	0666		6952249	0					
ANR	6952287	IfStatement	if ( fd_out < 0 )		6952249	2					
ANR	6952288	Condition	fd_out < 0	13:8:217:226	6952249	0	True				
ANR	6952289	RelationalExpression	fd_out < 0		6952249	0		<			
ANR	6952290	Identifier	fd_out		6952249	0					
ANR	6952291	PrimaryExpression	0		6952249	1					
ANR	6952292	ReturnStatement	return NULL ;	15:8:238:249	6952249	1	True				
ANR	6952293	Identifier	NULL		6952249	0					
ANR	6952294	ReturnStatement	"return qemu_chr_open_fd ( - 1 , fd_out ) ;"	17:4:256:291	6952249	3	True				
ANR	6952295	CallExpression	"qemu_chr_open_fd ( - 1 , fd_out )"		6952249	0					
ANR	6952296	Callee	qemu_chr_open_fd		6952249	0					
ANR	6952297	Identifier	qemu_chr_open_fd		6952249	0					
ANR	6952298	ArgumentList	- 1		6952249	1					
ANR	6952299	Argument	- 1		6952249	0					
ANR	6952300	UnaryOperationExpression	- 1		6952249	0					
ANR	6952301	UnaryOperator	-		6952249	0					
ANR	6952302	PrimaryExpression	1		6952249	1					
ANR	6952303	Argument	fd_out		6952249	1					
ANR	6952304	Identifier	fd_out		6952249	0					
ANR	6952305	ReturnType	static CharDriverState *		6952249	1					
ANR	6952306	Identifier	qemu_chr_open_file_out		6952249	2					
ANR	6952307	ParameterList	QemuOpts * opts		6952249	3					
ANR	6952308	Parameter	QemuOpts * opts	1:47:47:60	6952249	0	True				
ANR	6952309	ParameterType	QemuOpts *		6952249	0					
ANR	6952310	Identifier	opts		6952249	1					
ANR	6952311	CFGEntryNode	ENTRY		6952249		True				
ANR	6952312	CFGExitNode	EXIT		6952249		True				
ANR	6952313	Symbol	fd_out		6952249						
ANR	6952314	Symbol	O_TRUNC		6952249						
ANR	6952315	Symbol	NULL		6952249						
ANR	6952316	Symbol	opts		6952249						
ANR	6952317	Symbol	O_BINARY		6952249						
ANR	6952318	Symbol	O_CREAT		6952249						
ANR	6952319	Symbol	qemu_opt_get		6952249						
ANR	6952320	Symbol	qemu_chr_open_fd		6952249						
ANR	6952321	Symbol	O_WRONLY		6952249						
ANR	6952322	Symbol	open		6952249						
