command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	6969758	File	/home/p4ultr4n/workplace/ReVeal/raw_code/qemu_clock_unregister_reset_notifier_0.c								
ANR	6969759	Function	qemu_clock_unregister_reset_notifier	1:0:0:161							
ANR	6969760	FunctionDef	"qemu_clock_unregister_reset_notifier (QEMUClockType type , Notifier * notifier)"		6969759	0					
ANR	6969761	CompoundStatement		5:0:126:161	6969759	0					
ANR	6969762	ExpressionStatement	notifier_remove ( notifier )	7:4:133:158	6969759	0	True				
ANR	6969763	CallExpression	notifier_remove ( notifier )		6969759	0					
ANR	6969764	Callee	notifier_remove		6969759	0					
ANR	6969765	Identifier	notifier_remove		6969759	0					
ANR	6969766	ArgumentList	notifier		6969759	1					
ANR	6969767	Argument	notifier		6969759	0					
ANR	6969768	Identifier	notifier		6969759	0					
ANR	6969769	ReturnType	void		6969759	1					
ANR	6969770	Identifier	qemu_clock_unregister_reset_notifier		6969759	2					
ANR	6969771	ParameterList	"QEMUClockType type , Notifier * notifier"		6969759	3					
ANR	6969772	Parameter	QEMUClockType type	1:42:42:59	6969759	0	True				
ANR	6969773	ParameterType	QEMUClockType		6969759	0					
ANR	6969774	Identifier	type		6969759	1					
ANR	6969775	Parameter	Notifier * notifier	3:42:105:122	6969759	1	True				
ANR	6969776	ParameterType	Notifier *		6969759	0					
ANR	6969777	Identifier	notifier		6969759	1					
ANR	6969778	CFGEntryNode	ENTRY		6969759		True				
ANR	6969779	CFGExitNode	EXIT		6969759		True				
ANR	6969780	Symbol	notifier		6969759						
ANR	6969781	Symbol	type		6969759						
