command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	6980850	File	/home/p4ultr4n/workplace/ReVeal/raw_code/qemu_file_skip_1.c								
ANR	6980851	Function	qemu_file_skip	1:0:0:132							
ANR	6980852	FunctionDef	"qemu_file_skip (QEMUFile * f , int size)"		6980851	0					
ANR	6980853	CompoundStatement		3:0:44:132	6980851	0					
ANR	6980854	IfStatement	if ( f -> buf_index + size <= f -> buf_size )		6980851	0					
ANR	6980855	Condition	f -> buf_index + size <= f -> buf_size	5:8:55:88	6980851	0	True				
ANR	6980856	RelationalExpression	f -> buf_index + size <= f -> buf_size		6980851	0		<=			
ANR	6980857	AdditiveExpression	f -> buf_index + size		6980851	0		+			
ANR	6980858	PtrMemberAccess	f -> buf_index		6980851	0					
ANR	6980859	Identifier	f		6980851	0					
ANR	6980860	Identifier	buf_index		6980851	1					
ANR	6980861	Identifier	size		6980851	1					
ANR	6980862	PtrMemberAccess	f -> buf_size		6980851	1					
ANR	6980863	Identifier	f		6980851	0					
ANR	6980864	Identifier	buf_size		6980851	1					
ANR	6980865	CompoundStatement		3:44:46:46	6980851	1					
ANR	6980866	ExpressionStatement	f -> buf_index += size	7:8:102:122	6980851	0	True				
ANR	6980867	AssignmentExpression	f -> buf_index += size		6980851	0		+=			
ANR	6980868	PtrMemberAccess	f -> buf_index		6980851	0					
ANR	6980869	Identifier	f		6980851	0					
ANR	6980870	Identifier	buf_index		6980851	1					
ANR	6980871	Identifier	size		6980851	1					
ANR	6980872	ReturnType	void		6980851	1					
ANR	6980873	Identifier	qemu_file_skip		6980851	2					
ANR	6980874	ParameterList	"QEMUFile * f , int size"		6980851	3					
ANR	6980875	Parameter	QEMUFile * f	1:20:20:30	6980851	0	True				
ANR	6980876	ParameterType	QEMUFile *		6980851	0					
ANR	6980877	Identifier	f		6980851	1					
ANR	6980878	Parameter	int size	1:33:33:40	6980851	1	True				
ANR	6980879	ParameterType	int		6980851	0					
ANR	6980880	Identifier	size		6980851	1					
ANR	6980881	CFGEntryNode	ENTRY		6980851		True				
ANR	6980882	CFGExitNode	EXIT		6980851		True				
ANR	6980883	Symbol	* f		6980851						
ANR	6980884	Symbol	size		6980851						
ANR	6980885	Symbol	f		6980851						
ANR	6980886	Symbol	f -> buf_index		6980851						
ANR	6980887	Symbol	f -> buf_size		6980851						
