command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	6982374	File	/home/p4ultr4n/workplace/ReVeal/raw_code/qemu_fopen_fd_0.c								
ANR	6982375	Function	qemu_fopen_fd	1:0:0:255							
ANR	6982376	FunctionDef	qemu_fopen_fd (int fd)		6982375	0					
ANR	6982377	CompoundStatement		3:0:33:255	6982375	0					
ANR	6982378	IdentifierDeclStatement	QEMUFileFD * s = qemu_mallocz ( sizeof ( QEMUFileFD ) ) ;	5:4:40:88	6982375	0	True				
ANR	6982379	IdentifierDecl	* s = qemu_mallocz ( sizeof ( QEMUFileFD ) )		6982375	0					
ANR	6982380	IdentifierDeclType	QEMUFileFD *		6982375	0					
ANR	6982381	Identifier	s		6982375	1					
ANR	6982382	AssignmentExpression	* s = qemu_mallocz ( sizeof ( QEMUFileFD ) )		6982375	2		=			
ANR	6982383	Identifier	s		6982375	0					
ANR	6982384	CallExpression	qemu_mallocz ( sizeof ( QEMUFileFD ) )		6982375	1					
ANR	6982385	Callee	qemu_mallocz		6982375	0					
ANR	6982386	Identifier	qemu_mallocz		6982375	0					
ANR	6982387	ArgumentList	sizeof ( QEMUFileFD )		6982375	1					
ANR	6982388	Argument	sizeof ( QEMUFileFD )		6982375	0					
ANR	6982389	SizeofExpression	sizeof ( QEMUFileFD )		6982375	0					
ANR	6982390	Sizeof	sizeof		6982375	0					
ANR	6982391	SizeofOperand	QEMUFileFD		6982375	1					
ANR	6982392	IfStatement	if ( s == NULL )		6982375	1					
ANR	6982393	Condition	s == NULL	9:8:101:109	6982375	0	True				
ANR	6982394	EqualityExpression	s == NULL		6982375	0		==			
ANR	6982395	Identifier	s		6982375	0					
ANR	6982396	Identifier	NULL		6982375	1					
ANR	6982397	ReturnStatement	return NULL ;	11:8:121:132	6982375	1	True				
ANR	6982398	Identifier	NULL		6982375	0					
ANR	6982399	ExpressionStatement	s -> fd = fd	15:4:141:151	6982375	2	True				
ANR	6982400	AssignmentExpression	s -> fd = fd		6982375	0		=			
ANR	6982401	PtrMemberAccess	s -> fd		6982375	0					
ANR	6982402	Identifier	s		6982375	0					
ANR	6982403	Identifier	fd		6982375	1					
ANR	6982404	Identifier	fd		6982375	1					
ANR	6982405	ExpressionStatement	"s -> file = qemu_fopen_ops ( s , fd_put_buffer , fd_get_buffer , fd_close , NULL )"	17:4:158:231	6982375	3	True				
ANR	6982406	AssignmentExpression	"s -> file = qemu_fopen_ops ( s , fd_put_buffer , fd_get_buffer , fd_close , NULL )"		6982375	0		=			
ANR	6982407	PtrMemberAccess	s -> file		6982375	0					
ANR	6982408	Identifier	s		6982375	0					
ANR	6982409	Identifier	file		6982375	1					
ANR	6982410	CallExpression	"qemu_fopen_ops ( s , fd_put_buffer , fd_get_buffer , fd_close , NULL )"		6982375	1					
ANR	6982411	Callee	qemu_fopen_ops		6982375	0					
ANR	6982412	Identifier	qemu_fopen_ops		6982375	0					
ANR	6982413	ArgumentList	s		6982375	1					
ANR	6982414	Argument	s		6982375	0					
ANR	6982415	Identifier	s		6982375	0					
ANR	6982416	Argument	fd_put_buffer		6982375	1					
ANR	6982417	Identifier	fd_put_buffer		6982375	0					
ANR	6982418	Argument	fd_get_buffer		6982375	2					
ANR	6982419	Identifier	fd_get_buffer		6982375	0					
ANR	6982420	Argument	fd_close		6982375	3					
ANR	6982421	Identifier	fd_close		6982375	0					
ANR	6982422	Argument	NULL		6982375	4					
ANR	6982423	Identifier	NULL		6982375	0					
ANR	6982424	ReturnStatement	return s -> file ;	19:4:238:252	6982375	4	True				
ANR	6982425	PtrMemberAccess	s -> file		6982375	0					
ANR	6982426	Identifier	s		6982375	0					
ANR	6982427	Identifier	file		6982375	1					
ANR	6982428	ReturnType	QEMUFile *		6982375	1					
ANR	6982429	Identifier	qemu_fopen_fd		6982375	2					
ANR	6982430	ParameterList	int fd		6982375	3					
ANR	6982431	Parameter	int fd	1:24:24:29	6982375	0	True				
ANR	6982432	ParameterType	int		6982375	0					
ANR	6982433	Identifier	fd		6982375	1					
ANR	6982434	CFGEntryNode	ENTRY		6982375		True				
ANR	6982435	CFGExitNode	EXIT		6982375		True				
ANR	6982436	Symbol	fd_put_buffer		6982375						
ANR	6982437	Symbol	s		6982375						
ANR	6982438	Symbol	NULL		6982375						
ANR	6982439	Symbol	s -> file		6982375						
ANR	6982440	Symbol	qemu_fopen_ops		6982375						
ANR	6982441	Symbol	qemu_mallocz		6982375						
ANR	6982442	Symbol	* s		6982375						
ANR	6982443	Symbol	fd_get_buffer		6982375						
ANR	6982444	Symbol	fd		6982375						
ANR	6982445	Symbol	s -> fd		6982375						
ANR	6982446	Symbol	fd_close		6982375						
