command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	7060945	File	/home/p4ultr4n/workplace/ReVeal/raw_code/qemu_wait_io_event_common_1.c								
ANR	7060946	Function	qemu_wait_io_event_common	1:0:0:260							
ANR	7060947	FunctionDef	qemu_wait_io_event_common (CPUState * cpu)		7060946	0					
ANR	7060948	CompoundStatement		3:0:54:260	7060946	0					
ANR	7060949	IfStatement	if ( cpu -> stop )		7060946	0					
ANR	7060950	Condition	cpu -> stop	5:8:65:73	7060946	0	True				
ANR	7060951	PtrMemberAccess	cpu -> stop		7060946	0					
ANR	7060952	Identifier	cpu		7060946	0					
ANR	7060953	Identifier	stop		7060946	1					
ANR	7060954	CompoundStatement		3:19:21:21	7060946	1					
ANR	7060955	ExpressionStatement	cpu -> stop = false	7:8:87:104	7060946	0	True				
ANR	7060956	AssignmentExpression	cpu -> stop = false		7060946	0		=			
ANR	7060957	PtrMemberAccess	cpu -> stop		7060946	0					
ANR	7060958	Identifier	cpu		7060946	0					
ANR	7060959	Identifier	stop		7060946	1					
ANR	7060960	Identifier	false		7060946	1					
ANR	7060961	ExpressionStatement	cpu -> stopped = true	9:8:115:134	7060946	1	True				
ANR	7060962	AssignmentExpression	cpu -> stopped = true		7060946	0		=			
ANR	7060963	PtrMemberAccess	cpu -> stopped		7060946	0					
ANR	7060964	Identifier	cpu		7060946	0					
ANR	7060965	Identifier	stopped		7060946	1					
ANR	7060966	Identifier	true		7060946	1					
ANR	7060967	ExpressionStatement	qemu_cond_broadcast ( & qemu_pause_cond )	11:8:145:182	7060946	2	True				
ANR	7060968	CallExpression	qemu_cond_broadcast ( & qemu_pause_cond )		7060946	0					
ANR	7060969	Callee	qemu_cond_broadcast		7060946	0					
ANR	7060970	Identifier	qemu_cond_broadcast		7060946	0					
ANR	7060971	ArgumentList	& qemu_pause_cond		7060946	1					
ANR	7060972	Argument	& qemu_pause_cond		7060946	0					
ANR	7060973	UnaryOperationExpression	& qemu_pause_cond		7060946	0					
ANR	7060974	UnaryOperator	&		7060946	0					
ANR	7060975	Identifier	qemu_pause_cond		7060946	1					
ANR	7060976	ExpressionStatement	process_queued_cpu_work ( cpu )	15:4:196:224	7060946	1	True				
ANR	7060977	CallExpression	process_queued_cpu_work ( cpu )		7060946	0					
ANR	7060978	Callee	process_queued_cpu_work		7060946	0					
ANR	7060979	Identifier	process_queued_cpu_work		7060946	0					
ANR	7060980	ArgumentList	cpu		7060946	1					
ANR	7060981	Argument	cpu		7060946	0					
ANR	7060982	Identifier	cpu		7060946	0					
ANR	7060983	ExpressionStatement	cpu -> thread_kicked = false	17:4:231:257	7060946	2	True				
ANR	7060984	AssignmentExpression	cpu -> thread_kicked = false		7060946	0		=			
ANR	7060985	PtrMemberAccess	cpu -> thread_kicked		7060946	0					
ANR	7060986	Identifier	cpu		7060946	0					
ANR	7060987	Identifier	thread_kicked		7060946	1					
ANR	7060988	Identifier	false		7060946	1					
ANR	7060989	ReturnType	static void		7060946	1					
ANR	7060990	Identifier	qemu_wait_io_event_common		7060946	2					
ANR	7060991	ParameterList	CPUState * cpu		7060946	3					
ANR	7060992	Parameter	CPUState * cpu	1:38:38:50	7060946	0	True				
ANR	7060993	ParameterType	CPUState *		7060946	0					
ANR	7060994	Identifier	cpu		7060946	1					
ANR	7060995	CFGEntryNode	ENTRY		7060946		True				
ANR	7060996	CFGExitNode	EXIT		7060946		True				
ANR	7060997	Symbol	cpu -> stop		7060946						
ANR	7060998	Symbol	cpu -> thread_kicked		7060946						
ANR	7060999	Symbol	false		7060946						
ANR	7061000	Symbol	true		7060946						
ANR	7061001	Symbol	cpu		7060946						
ANR	7061002	Symbol	cpu -> stopped		7060946						
ANR	7061003	Symbol	& qemu_pause_cond		7060946						
ANR	7061004	Symbol	* cpu		7060946						
