command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	7098685	File	/home/p4ultr4n/workplace/ReVeal/raw_code/qmp_drive_mirror_02_1.c								
ANR	7098686	Function	qmp_drive_mirror	1:0:0:4051							
ANR	7098687	FunctionDef	"qmp_drive_mirror (const char * device , const char * target , bool has_format , const char * format , enum MirrorSyncMode sync , bool has_mode , enum NewImageMode mode , bool has_speed , int64_t speed , bool has_granularity , uint32_t granularity , bool has_buf_size , int64_t buf_size , bool has_on_source_error , BlockdevOnError on_source_error , bool has_on_target_error , BlockdevOnError on_target_error , Error * * errp)"		7098686	0					
ANR	7098688	CompoundStatement		21:0:616:4051	7098686	0					
ANR	7098689	IdentifierDeclStatement	BlockDriverState * bs ;	23:4:623:643	7098686	0	True				
ANR	7098690	IdentifierDecl	* bs		7098686	0					
ANR	7098691	IdentifierDeclType	BlockDriverState *		7098686	0					
ANR	7098692	Identifier	bs		7098686	1					
ANR	7098693	IdentifierDeclStatement	"BlockDriverState * source , * target_bs ;"	25:4:650:686	7098686	1	True				
ANR	7098694	IdentifierDecl	* source		7098686	0					
ANR	7098695	IdentifierDeclType	BlockDriverState *		7098686	0					
ANR	7098696	Identifier	source		7098686	1					
ANR	7098697	IdentifierDecl	* target_bs		7098686	1					
ANR	7098698	IdentifierDeclType	BlockDriverState *		7098686	0					
ANR	7098699	Identifier	target_bs		7098686	1					
ANR	7098700	IdentifierDeclStatement	BlockDriver * drv = NULL ;	27:4:693:716	7098686	2	True				
ANR	7098701	IdentifierDecl	* drv = NULL		7098686	0					
ANR	7098702	IdentifierDeclType	BlockDriver *		7098686	0					
ANR	7098703	Identifier	drv		7098686	1					
ANR	7098704	AssignmentExpression	* drv = NULL		7098686	2		=			
ANR	7098705	Identifier	NULL		7098686	0					
ANR	7098706	Identifier	NULL		7098686	1					
ANR	7098707	IdentifierDeclStatement	Error * local_err = NULL ;	29:4:723:746	7098686	3	True				
ANR	7098708	IdentifierDecl	* local_err = NULL		7098686	0					
ANR	7098709	IdentifierDeclType	Error *		7098686	0					
ANR	7098710	Identifier	local_err		7098686	1					
ANR	7098711	AssignmentExpression	* local_err = NULL		7098686	2		=			
ANR	7098712	Identifier	NULL		7098686	0					
ANR	7098713	Identifier	NULL		7098686	1					
ANR	7098714	IdentifierDeclStatement	int flags ;	31:4:753:762	7098686	4	True				
ANR	7098715	IdentifierDecl	flags		7098686	0					
ANR	7098716	IdentifierDeclType	int		7098686	0					
ANR	7098717	Identifier	flags		7098686	1					
ANR	7098718	IdentifierDeclStatement	int64_t size ;	33:4:769:781	7098686	5	True				
ANR	7098719	IdentifierDecl	size		7098686	0					
ANR	7098720	IdentifierDeclType	int64_t		7098686	0					
ANR	7098721	Identifier	size		7098686	1					
ANR	7098722	IdentifierDeclStatement	int ret ;	35:4:788:795	7098686	6	True				
ANR	7098723	IdentifierDecl	ret		7098686	0					
ANR	7098724	IdentifierDeclType	int		7098686	0					
ANR	7098725	Identifier	ret		7098686	1					
ANR	7098726	IfStatement	if ( ! has_speed )		7098686	7					
ANR	7098727	Condition	! has_speed	39:8:808:817	7098686	0	True				
ANR	7098728	UnaryOperationExpression	! has_speed		7098686	0					
ANR	7098729	UnaryOperator	!		7098686	0					
ANR	7098730	Identifier	has_speed		7098686	1					
ANR	7098731	CompoundStatement		19:20:203:203	7098686	1					
ANR	7098732	ExpressionStatement	speed = 0	41:8:831:840	7098686	0	True				
ANR	7098733	AssignmentExpression	speed = 0		7098686	0		=			
ANR	7098734	Identifier	speed		7098686	0					
ANR	7098735	PrimaryExpression	0		7098686	1					
ANR	7098736	IfStatement	if ( ! has_on_source_error )		7098686	8					
ANR	7098737	Condition	! has_on_source_error	45:8:858:877	7098686	0	True				
ANR	7098738	UnaryOperationExpression	! has_on_source_error		7098686	0					
ANR	7098739	UnaryOperator	!		7098686	0					
ANR	7098740	Identifier	has_on_source_error		7098686	1					
ANR	7098741	CompoundStatement		25:30:263:263	7098686	1					
ANR	7098742	ExpressionStatement	on_source_error = BLOCKDEV_ON_ERROR_REPORT	47:8:891:933	7098686	0	True				
ANR	7098743	AssignmentExpression	on_source_error = BLOCKDEV_ON_ERROR_REPORT		7098686	0		=			
ANR	7098744	Identifier	on_source_error		7098686	0					
ANR	7098745	Identifier	BLOCKDEV_ON_ERROR_REPORT		7098686	1					
ANR	7098746	IfStatement	if ( ! has_on_target_error )		7098686	9					
ANR	7098747	Condition	! has_on_target_error	51:8:951:970	7098686	0	True				
ANR	7098748	UnaryOperationExpression	! has_on_target_error		7098686	0					
ANR	7098749	UnaryOperator	!		7098686	0					
ANR	7098750	Identifier	has_on_target_error		7098686	1					
ANR	7098751	CompoundStatement		31:30:356:356	7098686	1					
ANR	7098752	ExpressionStatement	on_target_error = BLOCKDEV_ON_ERROR_REPORT	53:8:984:1026	7098686	0	True				
ANR	7098753	AssignmentExpression	on_target_error = BLOCKDEV_ON_ERROR_REPORT		7098686	0		=			
ANR	7098754	Identifier	on_target_error		7098686	0					
ANR	7098755	Identifier	BLOCKDEV_ON_ERROR_REPORT		7098686	1					
ANR	7098756	IfStatement	if ( ! has_mode )		7098686	10					
ANR	7098757	Condition	! has_mode	57:8:1044:1052	7098686	0	True				
ANR	7098758	UnaryOperationExpression	! has_mode		7098686	0					
ANR	7098759	UnaryOperator	!		7098686	0					
ANR	7098760	Identifier	has_mode		7098686	1					
ANR	7098761	CompoundStatement		37:19:438:438	7098686	1					
ANR	7098762	ExpressionStatement	mode = NEW_IMAGE_MODE_ABSOLUTE_PATHS	59:8:1066:1102	7098686	0	True				
ANR	7098763	AssignmentExpression	mode = NEW_IMAGE_MODE_ABSOLUTE_PATHS		7098686	0		=			
ANR	7098764	Identifier	mode		7098686	0					
ANR	7098765	Identifier	NEW_IMAGE_MODE_ABSOLUTE_PATHS		7098686	1					
ANR	7098766	IfStatement	if ( ! has_granularity )		7098686	11					
ANR	7098767	Condition	! has_granularity	63:8:1120:1135	7098686	0	True				
ANR	7098768	UnaryOperationExpression	! has_granularity		7098686	0					
ANR	7098769	UnaryOperator	!		7098686	0					
ANR	7098770	Identifier	has_granularity		7098686	1					
ANR	7098771	CompoundStatement		43:26:521:521	7098686	1					
ANR	7098772	ExpressionStatement	granularity = 0	65:8:1149:1164	7098686	0	True				
ANR	7098773	AssignmentExpression	granularity = 0		7098686	0		=			
ANR	7098774	Identifier	granularity		7098686	0					
ANR	7098775	PrimaryExpression	0		7098686	1					
ANR	7098776	IfStatement	if ( ! has_buf_size )		7098686	12					
ANR	7098777	Condition	! has_buf_size	69:8:1182:1194	7098686	0	True				
ANR	7098778	UnaryOperationExpression	! has_buf_size		7098686	0					
ANR	7098779	UnaryOperator	!		7098686	0					
ANR	7098780	Identifier	has_buf_size		7098686	1					
ANR	7098781	CompoundStatement		49:23:580:580	7098686	1					
ANR	7098782	ExpressionStatement	buf_size = DEFAULT_MIRROR_BUF_SIZE	71:8:1208:1242	7098686	0	True				
ANR	7098783	AssignmentExpression	buf_size = DEFAULT_MIRROR_BUF_SIZE		7098686	0		=			
ANR	7098784	Identifier	buf_size		7098686	0					
ANR	7098785	Identifier	DEFAULT_MIRROR_BUF_SIZE		7098686	1					
ANR	7098786	IfStatement	if ( granularity != 0 && ( granularity < 512 || granularity > 1048576 * 64 ) )		7098686	13					
ANR	7098787	Condition	granularity != 0 && ( granularity < 512 || granularity > 1048576 * 64 )	77:8:1262:1330	7098686	0	True				
ANR	7098788	AndExpression	granularity != 0 && ( granularity < 512 || granularity > 1048576 * 64 )		7098686	0		&&			
ANR	7098789	EqualityExpression	granularity != 0		7098686	0		!=			
ANR	7098790	Identifier	granularity		7098686	0					
ANR	7098791	PrimaryExpression	0		7098686	1					
ANR	7098792	OrExpression	granularity < 512 || granularity > 1048576 * 64		7098686	1		||			
ANR	7098793	RelationalExpression	granularity < 512		7098686	0		<			
ANR	7098794	Identifier	granularity		7098686	0					
ANR	7098795	PrimaryExpression	512		7098686	1					
ANR	7098796	RelationalExpression	granularity > 1048576 * 64		7098686	1		>			
ANR	7098797	Identifier	granularity		7098686	0					
ANR	7098798	MultiplicativeExpression	1048576 * 64		7098686	1		*			
ANR	7098799	PrimaryExpression	1048576		7098686	0					
ANR	7098800	PrimaryExpression	64		7098686	1					
ANR	7098801	CompoundStatement		57:79:716:716	7098686	1					
ANR	7098802	ExpressionStatement	"error_set ( errp , QERR_INVALID_PARAMETER , device )"	79:8:1344:1391	7098686	0	True				
ANR	7098803	CallExpression	"error_set ( errp , QERR_INVALID_PARAMETER , device )"		7098686	0					
ANR	7098804	Callee	error_set		7098686	0					
ANR	7098805	Identifier	error_set		7098686	0					
ANR	7098806	ArgumentList	errp		7098686	1					
ANR	7098807	Argument	errp		7098686	0					
ANR	7098808	Identifier	errp		7098686	0					
ANR	7098809	Argument	QERR_INVALID_PARAMETER		7098686	1					
ANR	7098810	Identifier	QERR_INVALID_PARAMETER		7098686	0					
ANR	7098811	Argument	device		7098686	2					
ANR	7098812	Identifier	device		7098686	0					
ANR	7098813	ReturnStatement	return ;	81:8:1402:1408	7098686	1	True				
ANR	7098814	IfStatement	if ( granularity & ( granularity - 1 ) )		7098686	14					
ANR	7098815	Condition	granularity & ( granularity - 1 )	85:8:1426:1456	7098686	0	True				
ANR	7098816	BitAndExpression	granularity & ( granularity - 1 )		7098686	0		&			
ANR	7098817	Identifier	granularity		7098686	0					
