command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	7119661	File	/home/p4ultr4n/workplace/ReVeal/raw_code/qmp_migrate_set_speed_1.c								
ANR	7119662	Function	qmp_migrate_set_speed	1:0:0:375							
ANR	7119663	FunctionDef	"qmp_migrate_set_speed (int64_t value , Error * * errp)"		7119662	0					
ANR	7119664	CompoundStatement		3:0:57:375	7119662	0					
ANR	7119665	IdentifierDeclStatement	MigrationState * s ;	5:4:64:81	7119662	0	True				
ANR	7119666	IdentifierDecl	* s		7119662	0					
ANR	7119667	IdentifierDeclType	MigrationState *		7119662	0					
ANR	7119668	Identifier	s		7119662	1					
ANR	7119669	IfStatement	if ( value < 0 )		7119662	1					
ANR	7119670	Condition	value < 0	9:8:94:102	7119662	0	True				
ANR	7119671	RelationalExpression	value < 0		7119662	0		<			
ANR	7119672	Identifier	value		7119662	0					
ANR	7119673	PrimaryExpression	0		7119662	1					
ANR	7119674	CompoundStatement		7:19:47:47	7119662	1					
ANR	7119675	ExpressionStatement	value = 0	11:8:116:125	7119662	0	True				
ANR	7119676	AssignmentExpression	value = 0		7119662	0		=			
ANR	7119677	Identifier	value		7119662	0					
ANR	7119678	PrimaryExpression	0		7119662	1					
ANR	7119679	IfStatement	if ( value > SIZE_MAX )		7119662	2					
ANR	7119680	Condition	value > SIZE_MAX	15:8:143:158	7119662	0	True				
ANR	7119681	RelationalExpression	value > SIZE_MAX		7119662	0		>			
ANR	7119682	Identifier	value		7119662	0					
ANR	7119683	Identifier	SIZE_MAX		7119662	1					
ANR	7119684	CompoundStatement		13:26:103:103	7119662	1					
ANR	7119685	ExpressionStatement	value = SIZE_MAX	17:8:172:188	7119662	0	True				
ANR	7119686	AssignmentExpression	value = SIZE_MAX		7119662	0		=			
ANR	7119687	Identifier	value		7119662	0					
ANR	7119688	Identifier	SIZE_MAX		7119662	1					
ANR	7119689	ExpressionStatement	s = migrate_get_current ( )	23:4:204:229	7119662	3	True				
ANR	7119690	AssignmentExpression	s = migrate_get_current ( )		7119662	0		=			
ANR	7119691	Identifier	s		7119662	0					
ANR	7119692	CallExpression	migrate_get_current ( )		7119662	1					
ANR	7119693	Callee	migrate_get_current		7119662	0					
ANR	7119694	Identifier	migrate_get_current		7119662	0					
ANR	7119695	ArgumentList			7119662	1					
ANR	7119696	ExpressionStatement	s -> bandwidth_limit = value	25:4:236:262	7119662	4	True				
ANR	7119697	AssignmentExpression	s -> bandwidth_limit = value		7119662	0		=			
ANR	7119698	PtrMemberAccess	s -> bandwidth_limit		7119662	0					
ANR	7119699	Identifier	s		7119662	0					
ANR	7119700	Identifier	bandwidth_limit		7119662	1					
ANR	7119701	Identifier	value		7119662	1					
ANR	7119702	IfStatement	if ( s -> file )		7119662	5					
ANR	7119703	Condition	s -> file	27:8:273:279	7119662	0	True				
ANR	7119704	PtrMemberAccess	s -> file		7119662	0					
ANR	7119705	Identifier	s		7119662	0					
ANR	7119706	Identifier	file		7119662	1					
ANR	7119707	CompoundStatement		25:17:224:224	7119662	1					
ANR	7119708	ExpressionStatement	"qemu_file_set_rate_limit ( s -> file , s -> bandwidth_limit / XFER_LIMIT_RATIO )"	29:8:293:365	7119662	0	True				
ANR	7119709	CallExpression	"qemu_file_set_rate_limit ( s -> file , s -> bandwidth_limit / XFER_LIMIT_RATIO )"		7119662	0					
ANR	7119710	Callee	qemu_file_set_rate_limit		7119662	0					
ANR	7119711	Identifier	qemu_file_set_rate_limit		7119662	0					
ANR	7119712	ArgumentList	s -> file		7119662	1					
ANR	7119713	Argument	s -> file		7119662	0					
ANR	7119714	PtrMemberAccess	s -> file		7119662	0					
ANR	7119715	Identifier	s		7119662	0					
ANR	7119716	Identifier	file		7119662	1					
ANR	7119717	Argument	s -> bandwidth_limit / XFER_LIMIT_RATIO		7119662	1					
ANR	7119718	MultiplicativeExpression	s -> bandwidth_limit / XFER_LIMIT_RATIO		7119662	0		/			
ANR	7119719	PtrMemberAccess	s -> bandwidth_limit		7119662	0					
ANR	7119720	Identifier	s		7119662	0					
ANR	7119721	Identifier	bandwidth_limit		7119662	1					
ANR	7119722	Identifier	XFER_LIMIT_RATIO		7119662	1					
ANR	7119723	ReturnType	void		7119662	1					
ANR	7119724	Identifier	qmp_migrate_set_speed		7119662	2					
ANR	7119725	ParameterList	"int64_t value , Error * * errp"		7119662	3					
ANR	7119726	Parameter	int64_t value	1:27:27:39	7119662	0	True				
ANR	7119727	ParameterType	int64_t		7119662	0					
ANR	7119728	Identifier	value		7119662	1					
ANR	7119729	Parameter	Error * * errp	1:42:42:53	7119662	1	True				
ANR	7119730	ParameterType	Error * *		7119662	0					
ANR	7119731	Identifier	errp		7119662	1					
ANR	7119732	CFGEntryNode	ENTRY		7119662		True				
ANR	7119733	CFGExitNode	EXIT		7119662		True				
ANR	7119734	Symbol	s		7119662						
ANR	7119735	Symbol	SIZE_MAX		7119662						
ANR	7119736	Symbol	errp		7119662						
ANR	7119737	Symbol	s -> file		7119662						
ANR	7119738	Symbol	migrate_get_current		7119662						
ANR	7119739	Symbol	XFER_LIMIT_RATIO		7119662						
ANR	7119740	Symbol	s -> bandwidth_limit		7119662						
ANR	7119741	Symbol	value		7119662						
ANR	7119742	Symbol	* s		7119662						
