command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	7121886	File	/home/p4ultr4n/workplace/ReVeal/raw_code/qmp_output_start_list_0.c								
ANR	7121887	Function	qmp_output_start_list	1:0:0:227							
ANR	7121888	FunctionDef	"qmp_output_start_list (Visitor * v , const char * name , Error * * errp)"		7121887	0					
ANR	7121889	CompoundStatement		3:0:79:227	7121887	0					
ANR	7121890	IdentifierDeclStatement	QmpOutputVisitor * qov = to_qov ( v ) ;	5:4:86:119	7121887	0	True				
ANR	7121891	IdentifierDecl	* qov = to_qov ( v )		7121887	0					
ANR	7121892	IdentifierDeclType	QmpOutputVisitor *		7121887	0					
ANR	7121893	Identifier	qov		7121887	1					
ANR	7121894	AssignmentExpression	* qov = to_qov ( v )		7121887	2		=			
ANR	7121895	Identifier	qov		7121887	0					
ANR	7121896	CallExpression	to_qov ( v )		7121887	1					
ANR	7121897	Callee	to_qov		7121887	0					
ANR	7121898	Identifier	to_qov		7121887	0					
ANR	7121899	ArgumentList	v		7121887	1					
ANR	7121900	Argument	v		7121887	0					
ANR	7121901	Identifier	v		7121887	0					
ANR	7121902	IdentifierDeclStatement	QList * list = qlist_new ( ) ;	7:4:126:151	7121887	1	True				
ANR	7121903	IdentifierDecl	* list = qlist_new ( )		7121887	0					
ANR	7121904	IdentifierDeclType	QList *		7121887	0					
ANR	7121905	Identifier	list		7121887	1					
ANR	7121906	AssignmentExpression	* list = qlist_new ( )		7121887	2		=			
ANR	7121907	Identifier	list		7121887	0					
ANR	7121908	CallExpression	qlist_new ( )		7121887	1					
ANR	7121909	Callee	qlist_new		7121887	0					
ANR	7121910	Identifier	qlist_new		7121887	0					
ANR	7121911	ArgumentList			7121887	1					
ANR	7121912	ExpressionStatement	"qmp_output_add ( qov , name , list )"	11:4:160:191	7121887	2	True				
ANR	7121913	CallExpression	"qmp_output_add ( qov , name , list )"		7121887	0					
ANR	7121914	Callee	qmp_output_add		7121887	0					
ANR	7121915	Identifier	qmp_output_add		7121887	0					
ANR	7121916	ArgumentList	qov		7121887	1					
ANR	7121917	Argument	qov		7121887	0					
ANR	7121918	Identifier	qov		7121887	0					
ANR	7121919	Argument	name		7121887	1					
ANR	7121920	Identifier	name		7121887	0					
ANR	7121921	Argument	list		7121887	2					
ANR	7121922	Identifier	list		7121887	0					
ANR	7121923	ExpressionStatement	"qmp_output_push ( qov , list )"	13:4:198:224	7121887	3	True				
ANR	7121924	CallExpression	"qmp_output_push ( qov , list )"		7121887	0					
ANR	7121925	Callee	qmp_output_push		7121887	0					
ANR	7121926	Identifier	qmp_output_push		7121887	0					
ANR	7121927	ArgumentList	qov		7121887	1					
ANR	7121928	Argument	qov		7121887	0					
ANR	7121929	Identifier	qov		7121887	0					
ANR	7121930	Argument	list		7121887	1					
ANR	7121931	Identifier	list		7121887	0					
ANR	7121932	ReturnType	static void		7121887	1					
ANR	7121933	Identifier	qmp_output_start_list		7121887	2					
ANR	7121934	ParameterList	"Visitor * v , const char * name , Error * * errp"		7121887	3					
ANR	7121935	Parameter	Visitor * v	1:34:34:43	7121887	0	True				
ANR	7121936	ParameterType	Visitor *		7121887	0					
ANR	7121937	Identifier	v		7121887	1					
ANR	7121938	Parameter	const char * name	1:46:46:61	7121887	1	True				
ANR	7121939	ParameterType	const char *		7121887	0					
ANR	7121940	Identifier	name		7121887	1					
ANR	7121941	Parameter	Error * * errp	1:64:64:75	7121887	2	True				
ANR	7121942	ParameterType	Error * *		7121887	0					
ANR	7121943	Identifier	errp		7121887	1					
ANR	7121944	CFGEntryNode	ENTRY		7121887		True				
ANR	7121945	CFGExitNode	EXIT		7121887		True				
ANR	7121946	Symbol	errp		7121887						
ANR	7121947	Symbol	v		7121887						
ANR	7121948	Symbol	name		7121887						
ANR	7121949	Symbol	qov		7121887						
ANR	7121950	Symbol	list		7121887						
ANR	7121951	Symbol	to_qov		7121887						
ANR	7121952	Symbol	qlist_new		7121887						
