command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	7156443	File	/home/p4ultr4n/workplace/ReVeal/raw_code/qtest_init_without_qmp_handshake_1.c								
ANR	7156444	Function	qtest_init_without_qmp_handshake	1:0:0:1841							
ANR	7156445	FunctionDef	qtest_init_without_qmp_handshake (const char * extra_args)		7156444	0					
ANR	7156446	CompoundStatement		2:0:69:1841	7156444	0					
ANR	7156447	IdentifierDeclStatement	QTestState * s ;	3:4:75:88	7156444	0	True				
ANR	7156448	IdentifierDecl	* s		7156444	0					
ANR	7156449	IdentifierDeclType	QTestState *		7156444	0					
ANR	7156450	Identifier	s		7156444	1					
ANR	7156451	IdentifierDeclStatement	"int sock , qmpsock , i ;"	4:4:94:114	7156444	1	True				
ANR	7156452	IdentifierDecl	sock		7156444	0					
ANR	7156453	IdentifierDeclType	int		7156444	0					
ANR	7156454	Identifier	sock		7156444	1					
ANR	7156455	IdentifierDecl	qmpsock		7156444	1					
ANR	7156456	IdentifierDeclType	int		7156444	0					
ANR	7156457	Identifier	qmpsock		7156444	1					
ANR	7156458	IdentifierDecl	i		7156444	2					
ANR	7156459	IdentifierDeclType	int		7156444	0					
ANR	7156460	Identifier	i		7156444	1					
ANR	7156461	IdentifierDeclStatement	gchar * socket_path ;	5:4:120:138	7156444	2	True				
ANR	7156462	IdentifierDecl	* socket_path		7156444	0					
ANR	7156463	IdentifierDeclType	gchar *		7156444	0					
ANR	7156464	Identifier	socket_path		7156444	1					
ANR	7156465	IdentifierDeclStatement	gchar * qmp_socket_path ;	6:4:144:166	7156444	3	True				
ANR	7156466	IdentifierDecl	* qmp_socket_path		7156444	0					
ANR	7156467	IdentifierDeclType	gchar *		7156444	0					
ANR	7156468	Identifier	qmp_socket_path		7156444	1					
ANR	7156469	IdentifierDeclStatement	gchar * command ;	7:4:172:186	7156444	4	True				
ANR	7156470	IdentifierDecl	* command		7156444	0					
ANR	7156471	IdentifierDeclType	gchar *		7156444	0					
ANR	7156472	Identifier	command		7156444	1					
ANR	7156473	IdentifierDeclStatement	const char * qemu_binary ;	8:4:192:215	7156444	5	True				
ANR	7156474	IdentifierDecl	* qemu_binary		7156444	0					
ANR	7156475	IdentifierDeclType	const char *		7156444	0					
ANR	7156476	Identifier	qemu_binary		7156444	1					
ANR	7156477	ExpressionStatement	"qemu_binary = getenv ( ""QTEST_QEMU_BINARY"" )"	9:4:221:262	7156444	6	True				
ANR	7156478	AssignmentExpression	"qemu_binary = getenv ( ""QTEST_QEMU_BINARY"" )"		7156444	0		=			
ANR	7156479	Identifier	qemu_binary		7156444	0					
ANR	7156480	CallExpression	"getenv ( ""QTEST_QEMU_BINARY"" )"		7156444	1					
ANR	7156481	Callee	getenv		7156444	0					
ANR	7156482	Identifier	getenv		7156444	0					
ANR	7156483	ArgumentList	"""QTEST_QEMU_BINARY"""		7156444	1					
ANR	7156484	Argument	"""QTEST_QEMU_BINARY"""		7156444	0					
ANR	7156485	PrimaryExpression	"""QTEST_QEMU_BINARY"""		7156444	0					
ANR	7156486	ExpressionStatement	g_assert ( qemu_binary != NULL )	10:4:268:297	7156444	7	True				
ANR	7156487	CallExpression	g_assert ( qemu_binary != NULL )		7156444	0					
ANR	7156488	Callee	g_assert		7156444	0					
ANR	7156489	Identifier	g_assert		7156444	0					
ANR	7156490	ArgumentList	qemu_binary != NULL		7156444	1					
ANR	7156491	Argument	qemu_binary != NULL		7156444	0					
ANR	7156492	EqualityExpression	qemu_binary != NULL		7156444	0		!=			
ANR	7156493	Identifier	qemu_binary		7156444	0					
ANR	7156494	Identifier	NULL		7156444	1					
ANR	7156495	ExpressionStatement	s = g_malloc ( sizeof ( * s ) )	11:4:303:327	7156444	8	True				
ANR	7156496	AssignmentExpression	s = g_malloc ( sizeof ( * s ) )		7156444	0		=			
ANR	7156497	Identifier	s		7156444	0					
ANR	7156498	CallExpression	g_malloc ( sizeof ( * s ) )		7156444	1					
ANR	7156499	Callee	g_malloc		7156444	0					
ANR	7156500	Identifier	g_malloc		7156444	0					
ANR	7156501	ArgumentList	sizeof ( * s )		7156444	1					
ANR	7156502	Argument	sizeof ( * s )		7156444	0					
ANR	7156503	SizeofExpression	sizeof ( * s )		7156444	0					
ANR	7156504	Sizeof	sizeof		7156444	0					
ANR	7156505	UnaryOperationExpression	* s		7156444	1					
ANR	7156506	UnaryOperator	*		7156444	0					
ANR	7156507	Identifier	s		7156444	1					
ANR	7156508	ExpressionStatement	"socket_path = g_strdup_printf ( ""/tmp/qtest-%d.sock"" , getpid ( ) )"	12:4:333:394	7156444	9	True				
ANR	7156509	AssignmentExpression	"socket_path = g_strdup_printf ( ""/tmp/qtest-%d.sock"" , getpid ( ) )"		7156444	0		=			
ANR	7156510	Identifier	socket_path		7156444	0					
ANR	7156511	CallExpression	"g_strdup_printf ( ""/tmp/qtest-%d.sock"" , getpid ( ) )"		7156444	1					
ANR	7156512	Callee	g_strdup_printf		7156444	0					
ANR	7156513	Identifier	g_strdup_printf		7156444	0					
ANR	7156514	ArgumentList	"""/tmp/qtest-%d.sock"""		7156444	1					
