command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	7227512	File	/home/p4ultr4n/workplace/ReVeal/raw_code/ram_save_iterate_0.c								
ANR	7227513	Function	ram_save_iterate	1:0:0:1694							
ANR	7227514	FunctionDef	"ram_save_iterate (QEMUFile * f , void * opaque)"		7227513	0					
ANR	7227515	CompoundStatement		3:0:56:1694	7227513	0					
ANR	7227516	IdentifierDeclStatement	int ret ;	5:4:63:70	7227513	0	True				
ANR	7227517	IdentifierDecl	ret		7227513	0					
ANR	7227518	IdentifierDeclType	int		7227513	0					
ANR	7227519	Identifier	ret		7227513	1					
ANR	7227520	IdentifierDeclStatement	int i ;	7:4:77:82	7227513	1	True				
ANR	7227521	IdentifierDecl	i		7227513	0					
ANR	7227522	IdentifierDeclType	int		7227513	0					
ANR	7227523	Identifier	i		7227513	1					
ANR	7227524	IdentifierDeclStatement	int64_t t0 ;	9:4:89:99	7227513	2	True				
ANR	7227525	IdentifierDecl	t0		7227513	0					
ANR	7227526	IdentifierDeclType	int64_t		7227513	0					
ANR	7227527	Identifier	t0		7227513	1					
ANR	7227528	IdentifierDeclStatement	int total_sent = 0 ;	11:4:106:124	7227513	3	True				
ANR	7227529	IdentifierDecl	total_sent = 0		7227513	0					
ANR	7227530	IdentifierDeclType	int		7227513	0					
ANR	7227531	Identifier	total_sent		7227513	1					
ANR	7227532	AssignmentExpression	total_sent = 0		7227513	2		=			
ANR	7227533	Identifier	total_sent		7227513	0					
ANR	7227534	PrimaryExpression	0		7227513	1					
ANR	7227535	ExpressionStatement	qemu_mutex_lock_ramlist ( )	15:4:133:158	7227513	4	True				
ANR	7227536	CallExpression	qemu_mutex_lock_ramlist ( )		7227513	0					
ANR	7227537	Callee	qemu_mutex_lock_ramlist		7227513	0					
ANR	7227538	Identifier	qemu_mutex_lock_ramlist		7227513	0					
ANR	7227539	ArgumentList			7227513	1					
ANR	7227540	IfStatement	if ( ram_list . version != last_version )		7227513	5					
ANR	7227541	Condition	ram_list . version != last_version	19:8:171:202	7227513	0	True				
ANR	7227542	EqualityExpression	ram_list . version != last_version		7227513	0		!=			
ANR	7227543	MemberAccess	ram_list . version		7227513	0					
ANR	7227544	Identifier	ram_list		7227513	0					
ANR	7227545	Identifier	version		7227513	1					
ANR	7227546	Identifier	last_version		7227513	1					
ANR	7227547	CompoundStatement		17:42:148:148	7227513	1					
ANR	7227548	ExpressionStatement	reset_ram_globals ( )	21:8:216:235	7227513	0	True				
ANR	7227549	CallExpression	reset_ram_globals ( )		7227513	0					
ANR	7227550	Callee	reset_ram_globals		7227513	0					
ANR	7227551	Identifier	reset_ram_globals		7227513	0					
ANR	7227552	ArgumentList			7227513	1					
ANR	7227553	ExpressionStatement	"ram_control_before_iterate ( f , RAM_CONTROL_ROUND )"	27:4:251:299	7227513	6	True				
