command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	7229251	File	/home/p4ultr4n/workplace/ReVeal/raw_code/ram_save_remaining_0.c								
ANR	7229252	Function	ram_save_remaining	1:0:0:81							
ANR	7229253	FunctionDef	ram_save_remaining ()		7229252	0					
ANR	7229254	CompoundStatement		3:0:44:81	7229252	0					
ANR	7229255	ReturnStatement	return ram_list . dirty_pages ;	5:4:51:78	7229252	0	True				
ANR	7229256	MemberAccess	ram_list . dirty_pages		7229252	0					
ANR	7229257	Identifier	ram_list		7229252	0					
ANR	7229258	Identifier	dirty_pages		7229252	1					
ANR	7229259	ReturnType	static ram_addr_t		7229252	1					
ANR	7229260	Identifier	ram_save_remaining		7229252	2					
ANR	7229261	ParameterList			7229252	3					
ANR	7229262	CFGEntryNode	ENTRY		7229252		True				
ANR	7229263	CFGExitNode	EXIT		7229252		True				
ANR	7229264	Symbol	ram_list . dirty_pages		7229252						
ANR	7229265	Symbol	ram_list		7229252						
