command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	7311600	File	/home/p4ultr4n/workplace/ReVeal/raw_code/read_pakt_chunk_0.c								
ANR	7311601	Function	read_pakt_chunk	1:0:0:1120							
ANR	7311602	FunctionDef	"read_pakt_chunk (AVFormatContext * s , int64_t size)"		7311601	0					
ANR	7311603	CompoundStatement		3:0:62:1120	7311601	0					
ANR	7311604	IdentifierDeclStatement	AVIOContext * pb = s -> pb ;	5:4:69:92	7311601	0	True				
ANR	7311605	IdentifierDecl	* pb = s -> pb		7311601	0					
ANR	7311606	IdentifierDeclType	AVIOContext *		7311601	0					
ANR	7311607	Identifier	pb		7311601	1					
ANR	7311608	AssignmentExpression	* pb = s -> pb		7311601	2		=			
ANR	7311609	Identifier	pb		7311601	0					
ANR	7311610	PtrMemberAccess	s -> pb		7311601	1					
ANR	7311611	Identifier	s		7311601	0					
ANR	7311612	Identifier	pb		7311601	1					
ANR	7311613	IdentifierDeclStatement	AVStream * st = s -> streams [ 0 ] ;	7:4:99:132	7311601	1	True				
ANR	7311614	IdentifierDecl	* st = s -> streams [ 0 ]		7311601	0					
ANR	7311615	IdentifierDeclType	AVStream *		7311601	0					
ANR	7311616	Identifier	st		7311601	1					
ANR	7311617	AssignmentExpression	* st = s -> streams [ 0 ]		7311601	2		=			
ANR	7311618	Identifier	st		7311601	0					
ANR	7311619	ArrayIndexing	s -> streams [ 0 ]		7311601	1					
ANR	7311620	PtrMemberAccess	s -> streams		7311601	0					
ANR	7311621	Identifier	s		7311601	0					
ANR	7311622	Identifier	streams		7311601	1					
ANR	7311623	PrimaryExpression	0		7311601	1					
ANR	7311624	IdentifierDeclStatement	CaffContext * caf = s -> priv_data ;	9:4:139:171	7311601	2	True				
ANR	7311625	IdentifierDecl	* caf = s -> priv_data		7311601	0					
ANR	7311626	IdentifierDeclType	CaffContext *		7311601	0					
ANR	7311627	Identifier	caf		7311601	1					
ANR	7311628	AssignmentExpression	* caf = s -> priv_data		7311601	2		=			
ANR	7311629	Identifier	caf		7311601	0					
ANR	7311630	PtrMemberAccess	s -> priv_data		7311601	1					
ANR	7311631	Identifier	s		7311601	0					
ANR	7311632	Identifier	priv_data		7311601	1					
