command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	7413814	File	/home/p4ultr4n/workplace/ReVeal/raw_code/revert_acfilter_1.c								
ANR	7413815	Function	revert_acfilter	1:0:0:1168							
ANR	7413816	FunctionDef	"revert_acfilter (WmallDecodeCtx * s , int tile_size)"		7413815	0					
ANR	7413817	CompoundStatement		3:0:63:1168	7413815	0					
ANR	7413818	IdentifierDeclStatement	"int ich , pred , i , j ;"	5:4:70:89	7413815	0	True				
ANR	7413819	IdentifierDecl	ich		7413815	0					
ANR	7413820	IdentifierDeclType	int		7413815	0					
ANR	7413821	Identifier	ich		7413815	1					
ANR	7413822	IdentifierDecl	pred		7413815	1					
ANR	7413823	IdentifierDeclType	int		7413815	0					
ANR	7413824	Identifier	pred		7413815	1					
ANR	7413825	IdentifierDecl	i		7413815	2					
ANR	7413826	IdentifierDeclType	int		7413815	0					
ANR	7413827	Identifier	i		7413815	1					
ANR	7413828	IdentifierDecl	j		7413815	3					
ANR	7413829	IdentifierDeclType	int		7413815	0					
ANR	7413830	Identifier	j		7413815	1					
ANR	7413831	IdentifierDeclStatement	int16_t * filter_coeffs = s -> acfilter_coeffs ;	7:4:96:139	7413815	1	True				
ANR	7413832	IdentifierDecl	* filter_coeffs = s -> acfilter_coeffs		7413815	0					
ANR	7413833	IdentifierDeclType	int16_t *		7413815	0					
ANR	7413834	Identifier	filter_coeffs		7413815	1					
ANR	7413835	AssignmentExpression	* filter_coeffs = s -> acfilter_coeffs		7413815	2		=			
ANR	7413836	Identifier	filter_coeffs		7413815	0					
ANR	7413837	PtrMemberAccess	s -> acfilter_coeffs		7413815	1					
ANR	7413838	Identifier	s		7413815	0					
ANR	7413839	Identifier	acfilter_coeffs		7413815	1					
ANR	7413840	IdentifierDeclStatement	int scaling = s -> acfilter_scaling ;	9:4:146:190	7413815	2	True				
ANR	7413841	IdentifierDecl	scaling = s -> acfilter_scaling		7413815	0					
ANR	7413842	IdentifierDeclType	int		7413815	0					
ANR	7413843	Identifier	scaling		7413815	1					
ANR	7413844	AssignmentExpression	scaling = s -> acfilter_scaling		7413815	2		=			
ANR	7413845	Identifier	scaling		7413815	0					
ANR	7413846	PtrMemberAccess	s -> acfilter_scaling		7413815	1					
ANR	7413847	Identifier	s		7413815	0					
ANR	7413848	Identifier	acfilter_scaling		7413815	1					
ANR	7413849	IdentifierDeclStatement	int order = s -> acfilter_order ;	11:4:197:239	7413815	3	True				
ANR	7413850	IdentifierDecl	order = s -> acfilter_order		7413815	0					
ANR	7413851	IdentifierDeclType	int		7413815	0					
ANR	7413852	Identifier	order		7413815	1					
ANR	7413853	AssignmentExpression	order = s -> acfilter_order		7413815	2		=			
ANR	7413854	Identifier	order		7413815	0					
ANR	7413855	PtrMemberAccess	s -> acfilter_order		7413815	1					
ANR	7413856	Identifier	s		7413815	0					
ANR	7413857	Identifier	acfilter_order		7413815	1					
ANR	7413858	ForStatement	for ( ich = 0 ; ich < s -> num_channels ; ich ++ )		7413815	4					
ANR	7413859	ForInit	ich = 0 ;	15:9:253:260	7413815	0	True				
ANR	7413860	AssignmentExpression	ich = 0		7413815	0		=			
ANR	7413861	Identifier	ich		7413815	0					
ANR	7413862	PrimaryExpression	0		7413815	1					
ANR	7413863	Condition	ich < s -> num_channels	15:18:262:282	7413815	1	True				
ANR	7413864	RelationalExpression	ich < s -> num_channels		7413815	0		<			
ANR	7413865	Identifier	ich		7413815	0					
ANR	7413866	PtrMemberAccess	s -> num_channels		7413815	1					
ANR	7413867	Identifier	s		7413815	0					
ANR	7413868	Identifier	num_channels		7413815	1					
ANR	7413869	PostIncDecOperationExpression	ich ++	15:41:285:289	7413815	2	True				
ANR	7413870	Identifier	ich		7413815	0					
ANR	7413871	IncDec	++		7413815	1					
ANR	7413872	CompoundStatement		15:8:239:284	7413815	3					
ANR	7413873	IdentifierDeclStatement	int * prevvalues = s -> acfilter_prevvalues [ ich ] ;	17:8:303:348	7413815	0	True				
ANR	7413874	IdentifierDecl	* prevvalues = s -> acfilter_prevvalues [ ich ]		7413815	0					
ANR	7413875	IdentifierDeclType	int *		7413815	0					
ANR	7413876	Identifier	prevvalues		7413815	1					
ANR	7413877	AssignmentExpression	* prevvalues = s -> acfilter_prevvalues [ ich ]		7413815	2		=			
ANR	7413878	Identifier	prevvalues		7413815	0					
ANR	7413879	ArrayIndexing	s -> acfilter_prevvalues [ ich ]		7413815	1					
ANR	7413880	PtrMemberAccess	s -> acfilter_prevvalues		7413815	0					
ANR	7413881	Identifier	s		7413815	0					
ANR	7413882	Identifier	acfilter_prevvalues		7413815	1					
ANR	7413883	Identifier	ich		7413815	1					
ANR	7413884	ForStatement	for ( i = 0 ; i < order ; i ++ )		7413815	1					
ANR	7413885	ForInit	i = 0 ;	19:13:364:369	7413815	0	True				
ANR	7413886	AssignmentExpression	i = 0		7413815	0		=			
ANR	7413887	Identifier	i		7413815	0					
ANR	7413888	PrimaryExpression	0		7413815	1					
ANR	7413889	Condition	i < order	19:20:371:379	7413815	1	True				
ANR	7413890	RelationalExpression	i < order		7413815	0		<			
ANR	7413891	Identifier	i		7413815	0					
ANR	7413892	Identifier	order		7413815	1					
ANR	7413893	PostIncDecOperationExpression	i ++	19:31:382:384	7413815	2	True				
ANR	7413894	Identifier	i		7413815	0					
ANR	7413895	IncDec	++		7413815	1					
ANR	7413896	CompoundStatement		17:36:323:323	7413815	3					
ANR	7413897	ExpressionStatement	pred = 0	21:12:402:410	7413815	0	True				
ANR	7413898	AssignmentExpression	pred = 0		7413815	0		=			
ANR	7413899	Identifier	pred		7413815	0					
ANR	7413900	PrimaryExpression	0		7413815	1					
ANR	7413901	ForStatement	for ( j = 0 ; j < order ; j ++ )		7413815	1					
ANR	7413902	ForInit	j = 0 ;	23:17:430:435	7413815	0	True				
ANR	7413903	AssignmentExpression	j = 0		7413815	0		=			
ANR	7413904	Identifier	j		7413815	0					
ANR	7413905	PrimaryExpression	0		7413815	1					
ANR	7413906	Condition	j < order	23:24:437:445	7413815	1	True				
ANR	7413907	RelationalExpression	j < order		7413815	0		<			
ANR	7413908	Identifier	j		7413815	0					
ANR	7413909	Identifier	order		7413815	1					
ANR	7413910	PostIncDecOperationExpression	j ++	23:35:448:450	7413815	2	True				
ANR	7413911	Identifier	j		7413815	0					
ANR	7413912	IncDec	++		7413815	1					
ANR	7413913	CompoundStatement		21:40:389:389	7413815	3					
ANR	7413914	IfStatement	if ( i <= j )		7413815	0					
ANR	7413915	Condition	i <= j	25:20:476:481	7413815	0	True				
ANR	7413916	RelationalExpression	i <= j		7413815	0		<=			
ANR	7413917	Identifier	i		7413815	0					
