start	end	type	var
7534653	7534654	IS_AST_PARENT	
7534653	7534655	IS_AST_PARENT	
7534656	7534657	IS_AST_PARENT	
7534658	7534659	IS_AST_PARENT	
7534658	7534660	IS_AST_PARENT	
7534656	7534658	IS_AST_PARENT	
7534653	7534656	IS_AST_PARENT	
7534652	7534653	IS_AST_PARENT	
7534651	7534652	IS_AST_PARENT	
7534662	7534663	IS_AST_PARENT	
7534662	7534664	IS_AST_PARENT	
7534661	7534662	IS_AST_PARENT	
7534651	7534661	IS_AST_PARENT	
7534667	7534668	IS_AST_PARENT	
7534667	7534669	IS_AST_PARENT	
7534666	7534667	IS_AST_PARENT	
7534666	7534670	IS_AST_PARENT	
7534665	7534666	IS_AST_PARENT	
7534651	7534665	IS_AST_PARENT	
7534674	7534675	IS_AST_PARENT	
7534677	7534678	IS_AST_PARENT	
7534676	7534677	IS_AST_PARENT	
7534680	7534681	IS_AST_PARENT	
7534679	7534680	IS_AST_PARENT	
7534676	7534679	IS_AST_PARENT	
7534674	7534676	IS_AST_PARENT	
7534673	7534674	IS_AST_PARENT	
7534673	7534682	IS_AST_PARENT	
7534672	7534673	IS_AST_PARENT	
7534671	7534672	IS_AST_PARENT	
7534683	7534684	IS_AST_PARENT	
7534671	7534683	IS_AST_PARENT	
7534651	7534671	IS_AST_PARENT	
7534688	7534689	IS_AST_PARENT	
7534688	7534690	IS_AST_PARENT	
7534687	7534688	IS_AST_PARENT	
7534687	7534691	IS_AST_PARENT	
7534686	7534687	IS_AST_PARENT	
7534685	7534686	IS_AST_PARENT	
7534695	7534696	IS_AST_PARENT	
7534694	7534695	IS_AST_PARENT	
7534698	7534699	IS_AST_PARENT	
7534697	7534698	IS_AST_PARENT	
7534700	7534701	IS_AST_PARENT	
7534697	7534700	IS_AST_PARENT	
7534702	7534703	IS_AST_PARENT	
7534697	7534702	IS_AST_PARENT	
7534694	7534697	IS_AST_PARENT	
7534693	7534694	IS_AST_PARENT	
7534692	7534693	IS_AST_PARENT	
7534705	7534706	IS_AST_PARENT	
7534705	7534707	IS_AST_PARENT	
7534704	7534705	IS_AST_PARENT	
7534692	7534704	IS_AST_PARENT	
7534685	7534692	IS_AST_PARENT	
7534651	7534685	IS_AST_PARENT	
7534710	7534711	IS_AST_PARENT	
7534710	7534712	IS_AST_PARENT	
7534709	7534710	IS_AST_PARENT	
