command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	7615139	File	/home/p4ultr4n/workplace/ReVeal/raw_code/scsi_disk_emulate_command_0.c								
ANR	7615140	Function	scsi_disk_emulate_command	1:0:0:5566							
ANR	7615141	FunctionDef	"scsi_disk_emulate_command (SCSIDiskReq * r , uint8_t * outbuf)"		7615140	0					
ANR	7615142	CompoundStatement		3:0:71:5566	7615140	0					
ANR	7615143	IdentifierDeclStatement	SCSIRequest * req = & r -> req ;	5:4:78:104	7615140	0	True				
ANR	7615144	IdentifierDecl	* req = & r -> req		7615140	0					
ANR	7615145	IdentifierDeclType	SCSIRequest *		7615140	0					
ANR	7615146	Identifier	req		7615140	1					
ANR	7615147	AssignmentExpression	* req = & r -> req		7615140	2		=			
ANR	7615148	Identifier	req		7615140	0					
ANR	7615149	UnaryOperationExpression	& r -> req		7615140	1					
ANR	7615150	UnaryOperator	&		7615140	0					
ANR	7615151	PtrMemberAccess	r -> req		7615140	1					
ANR	7615152	Identifier	r		7615140	0					
ANR	7615153	Identifier	req		7615140	1					
ANR	7615154	IdentifierDeclStatement	"SCSIDiskState * s = DO_UPCAST ( SCSIDiskState , qdev , req -> dev ) ;"	7:4:111:170	7615140	1	True				
ANR	7615155	IdentifierDecl	"* s = DO_UPCAST ( SCSIDiskState , qdev , req -> dev )"		7615140	0					
ANR	7615156	IdentifierDeclType	SCSIDiskState *		7615140	0					
ANR	7615157	Identifier	s		7615140	1					
ANR	7615158	AssignmentExpression	"* s = DO_UPCAST ( SCSIDiskState , qdev , req -> dev )"		7615140	2		=			
ANR	7615159	Identifier	s		7615140	0					
ANR	7615160	CallExpression	"DO_UPCAST ( SCSIDiskState , qdev , req -> dev )"		7615140	1					
ANR	7615161	Callee	DO_UPCAST		7615140	0					
ANR	7615162	Identifier	DO_UPCAST		7615140	0					
ANR	7615163	ArgumentList	SCSIDiskState		7615140	1					
ANR	7615164	Argument	SCSIDiskState		7615140	0					
