start	end	type	var
7616077	7616078	IS_AST_PARENT	
7616077	7616079	IS_AST_PARENT	
7616080	7616081	IS_AST_PARENT	
7616083	7616084	IS_AST_PARENT	
7616082	7616083	IS_AST_PARENT	
7616086	7616087	IS_AST_PARENT	
7616085	7616086	IS_AST_PARENT	
7616088	7616089	IS_AST_PARENT	
7616085	7616088	IS_AST_PARENT	
7616090	7616091	IS_AST_PARENT	
7616085	7616090	IS_AST_PARENT	
7616082	7616085	IS_AST_PARENT	
7616080	7616082	IS_AST_PARENT	
7616077	7616080	IS_AST_PARENT	
7616076	7616077	IS_AST_PARENT	
7616075	7616076	IS_AST_PARENT	
7616093	7616094	IS_AST_PARENT	
7616093	7616095	IS_AST_PARENT	
7616096	7616097	IS_AST_PARENT	
7616099	7616100	IS_AST_PARENT	
7616098	7616099	IS_AST_PARENT	
7616102	7616103	IS_AST_PARENT	
7616101	7616102	IS_AST_PARENT	
7616104	7616105	IS_AST_PARENT	
7616101	7616104	IS_AST_PARENT	
7616107	7616108	IS_AST_PARENT	
7616107	7616109	IS_AST_PARENT	
7616106	7616107	IS_AST_PARENT	
7616101	7616106	IS_AST_PARENT	
7616098	7616101	IS_AST_PARENT	
7616096	7616098	IS_AST_PARENT	
7616093	7616096	IS_AST_PARENT	
7616092	7616093	IS_AST_PARENT	
7616075	7616092	IS_AST_PARENT	
7616111	7616112	IS_AST_PARENT	
7616111	7616113	IS_AST_PARENT	
7616110	7616111	IS_AST_PARENT	
7616075	7616110	IS_AST_PARENT	
7616115	7616116	IS_AST_PARENT	
7616115	7616117	IS_AST_PARENT	
7616114	7616115	IS_AST_PARENT	
7616075	7616114	IS_AST_PARENT	
7616119	7616120	IS_AST_PARENT	
7616119	7616121	IS_AST_PARENT	
7616118	7616119	IS_AST_PARENT	
7616075	7616118	IS_AST_PARENT	
7616126	7616127	IS_AST_PARENT	
7616126	7616128	IS_AST_PARENT	
7616125	7616126	IS_AST_PARENT	
7616125	7616129	IS_AST_PARENT	
7616124	7616125	IS_AST_PARENT	
7616124	7616130	IS_AST_PARENT	
7616123	7616124	IS_AST_PARENT	
7616122	7616123	IS_AST_PARENT	
7616132	7616133	IS_AST_PARENT	
7616131	7616132	IS_AST_PARENT	
7616134	7616135	IS_AST_PARENT	
7616131	7616134	IS_AST_PARENT	
7616136	7616137	IS_AST_PARENT	
7616131	7616136	IS_AST_PARENT	
7616138	7616139	IS_AST_PARENT	
7616131	7616138	IS_AST_PARENT	
7616140	7616141	IS_AST_PARENT	
7616131	7616140	IS_AST_PARENT	
7616142	7616143	IS_AST_PARENT	
7616131	7616142	IS_AST_PARENT	
7616144	7616145	IS_AST_PARENT	
7616131	7616144	IS_AST_PARENT	
7616146	7616147	IS_AST_PARENT	
7616131	7616146	IS_AST_PARENT	
7616148	7616149	IS_AST_PARENT	
7616131	7616148	IS_AST_PARENT	
7616150	7616151	IS_AST_PARENT	
7616131	7616150	IS_AST_PARENT	
7616152	7616153	IS_AST_PARENT	
7616131	7616152	IS_AST_PARENT	
7616154	7616155	IS_AST_PARENT	
7616131	7616154	IS_AST_PARENT	
7616156	7616157	IS_AST_PARENT	
7616131	7616156	IS_AST_PARENT	
7616131	7616158	IS_AST_PARENT	
7616159	7616160	IS_AST_PARENT	
7616131	7616159	IS_AST_PARENT	
7616164	7616165	IS_AST_PARENT	
7616164	7616166	IS_AST_PARENT	
7616163	7616164	IS_AST_PARENT	
7616167	7616168	IS_AST_PARENT	
7616170	7616171	IS_AST_PARENT	
7616169	7616170	IS_AST_PARENT	
7616176	7616177	IS_AST_PARENT	
7616176	7616178	IS_AST_PARENT	
7616175	7616176	IS_AST_PARENT	
7616175	7616179	IS_AST_PARENT	
7616174	7616175	IS_AST_PARENT	
7616174	7616180	IS_AST_PARENT	
7616173	7616174	IS_AST_PARENT	
7616172	7616173	IS_AST_PARENT	
7616169	7616172	IS_AST_PARENT	
7616167	7616169	IS_AST_PARENT	
7616163	7616167	IS_AST_PARENT	
7616162	7616163	IS_AST_PARENT	
7616161	7616162	IS_AST_PARENT	
7616184	7616185	IS_AST_PARENT	
7616183	7616184	IS_AST_PARENT	
7616187	7616188	IS_AST_PARENT	
7616186	7616187	IS_AST_PARENT	
7616191	7616192	IS_AST_PARENT	
7616190	7616191	IS_AST_PARENT	
7616194	7616195	IS_AST_PARENT	
7616193	7616194	IS_AST_PARENT	
7616190	7616193	IS_AST_PARENT	
7616189	7616190	IS_AST_PARENT	
7616186	7616189	IS_AST_PARENT	
7616183	7616186	IS_AST_PARENT	
7616182	7616183	IS_AST_PARENT	
7616181	7616182	IS_AST_PARENT	
7616196	7616197	IS_AST_PARENT	
7616181	7616196	IS_AST_PARENT	
7616161	7616181	IS_AST_PARENT	
7616131	7616161	IS_AST_PARENT	
7616131	7616198	IS_AST_PARENT	
7616122	7616131	IS_AST_PARENT	
7616075	7616122	IS_AST_PARENT	
7616201	7616202	IS_AST_PARENT	
7616204	7616205	IS_AST_PARENT	
7616204	7616206	IS_AST_PARENT	
7616203	7616204	IS_AST_PARENT	
7616203	7616207	IS_AST_PARENT	
7616201	7616203	IS_AST_PARENT	
7616200	7616201	IS_AST_PARENT	
7616199	7616200	IS_AST_PARENT	
7616213	7616214	IS_AST_PARENT	
7616213	7616215	IS_AST_PARENT	
7616212	7616213	IS_AST_PARENT	
7616212	7616216	IS_AST_PARENT	
7616211	7616212	IS_AST_PARENT	
7616211	7616217	IS_AST_PARENT	
7616210	7616211	IS_AST_PARENT	
7616209	7616210	IS_AST_PARENT	
7616219	7616220	IS_AST_PARENT	
7616218	7616219	IS_AST_PARENT	
7616209	7616218	IS_AST_PARENT	
7616208	7616209	IS_AST_PARENT	
7616223	7616224	IS_AST_PARENT	
7616223	7616225	IS_AST_PARENT	
7616222	7616223	IS_AST_PARENT	
7616227	7616228	IS_AST_PARENT	
7616226	7616227	IS_AST_PARENT	
7616230	7616231	IS_AST_PARENT	
7616229	7616230	IS_AST_PARENT	
7616234	7616235	IS_AST_PARENT	
