command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	7659192	File	/home/p4ultr4n/workplace/ReVeal/raw_code/scsi_write_data_01_1.c								
ANR	7659193	Function	scsi_write_data	1:0:0:729							
ANR	7659194	FunctionDef	"scsi_write_data (SCSIDevice * d , uint32_t tag)"		7659193	0					
ANR	7659195	CompoundStatement		3:0:57:729	7659193	0					
ANR	7659196	IdentifierDeclStatement	"SCSIGenericState * s = DO_UPCAST ( SCSIGenericState , qdev , d ) ;"	5:4:64:122	7659193	0	True				
ANR	7659197	IdentifierDecl	"* s = DO_UPCAST ( SCSIGenericState , qdev , d )"		7659193	0					
ANR	7659198	IdentifierDeclType	SCSIGenericState *		7659193	0					
ANR	7659199	Identifier	s		7659193	1					
ANR	7659200	AssignmentExpression	"* s = DO_UPCAST ( SCSIGenericState , qdev , d )"		7659193	2		=			
ANR	7659201	Identifier	s		7659193	0					
ANR	7659202	CallExpression	"DO_UPCAST ( SCSIGenericState , qdev , d )"		7659193	1					
ANR	7659203	Callee	DO_UPCAST		7659193	0					
ANR	7659204	Identifier	DO_UPCAST		7659193	0					
ANR	7659205	ArgumentList	SCSIGenericState		7659193	1					
ANR	7659206	Argument	SCSIGenericState		7659193	0					
ANR	7659207	Identifier	SCSIGenericState		7659193	0					
ANR	7659208	Argument	qdev		7659193	1					
ANR	7659209	Identifier	qdev		7659193	0					
ANR	7659210	Argument	d		7659193	2					
ANR	7659211	Identifier	d		7659193	0					
ANR	7659212	IdentifierDeclStatement	SCSIGenericReq * r ;	7:4:129:146	7659193	1	True				
ANR	7659213	IdentifierDecl	* r		7659193	0					
ANR	7659214	IdentifierDeclType	SCSIGenericReq *		7659193	0					
ANR	7659215	Identifier	r		7659193	1					
ANR	7659216	IdentifierDeclStatement	int ret ;	9:4:153:160	7659193	2	True				
ANR	7659217	IdentifierDecl	ret		7659193	0					
ANR	7659218	IdentifierDeclType	int		7659193	0					
ANR	7659219	Identifier	ret		7659193	1					
ANR	7659220	ExpressionStatement	"DPRINTF ( ""scsi_write_data 0x%x\\n"" , tag )"	13:4:169:207	7659193	3	True				
ANR	7659221	CallExpression	"DPRINTF ( ""scsi_write_data 0x%x\\n"" , tag )"		7659193	0					
ANR	7659222	Callee	DPRINTF		7659193	0					
ANR	7659223	Identifier	DPRINTF		7659193	0					
ANR	7659224	ArgumentList	"""scsi_write_data 0x%x\\n"""		7659193	1					
ANR	7659225	Argument	"""scsi_write_data 0x%x\\n"""		7659193	0					
ANR	7659226	PrimaryExpression	"""scsi_write_data 0x%x\\n"""		7659193	0					
ANR	7659227	Argument	tag		7659193	1					
ANR	7659228	Identifier	tag		7659193	0					
ANR	7659229	ExpressionStatement	"r = scsi_find_request ( s , tag )"	15:4:214:243	7659193	4	True				
ANR	7659230	AssignmentExpression	"r = scsi_find_request ( s , tag )"		7659193	0		=			
ANR	7659231	Identifier	r		7659193	0					
ANR	7659232	CallExpression	"scsi_find_request ( s , tag )"		7659193	1					
ANR	7659233	Callee	scsi_find_request		7659193	0					
ANR	7659234	Identifier	scsi_find_request		7659193	0					
ANR	7659235	ArgumentList	s		7659193	1					
ANR	7659236	Argument	s		7659193	0					
ANR	7659237	Identifier	s		7659193	0					
ANR	7659238	Argument	tag		7659193	1					
ANR	7659239	Identifier	tag		7659193	0					
ANR	7659240	IfStatement	if ( ! r )		7659193	5					
ANR	7659241	Condition	! r	17:8:254:255	7659193	0	True				
