command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	7684488	File	/home/p4ultr4n/workplace/ReVeal/raw_code/sd_write_data_0.c								
ANR	7684489	Function	sd_write_data	1:0:0:4426							
ANR	7684490	FunctionDef	"sd_write_data (SDState * sd , uint8_t value)"		7684489	0					
ANR	7684491	CompoundStatement		3:0:48:4426	7684489	0					
ANR	7684492	IdentifierDeclStatement	int i ;	5:4:55:60	7684489	0	True				
ANR	7684493	IdentifierDecl	i		7684489	0					
ANR	7684494	IdentifierDeclType	int		7684489	0					
ANR	7684495	Identifier	i		7684489	1					
ANR	7684496	IfStatement	if ( ! sd -> bdrv || ! bdrv_is_inserted ( sd -> bdrv ) || ! sd -> enable )		7684489	1					
ANR	7684497	Condition	! sd -> bdrv || ! bdrv_is_inserted ( sd -> bdrv ) || ! sd -> enable	9:8:73:127	7684489	0	True				
ANR	7684498	OrExpression	! sd -> bdrv || ! bdrv_is_inserted ( sd -> bdrv ) || ! sd -> enable		7684489	0		||			
ANR	7684499	UnaryOperationExpression	! sd -> bdrv		7684489	0					
ANR	7684500	UnaryOperator	!		7684489	0					
ANR	7684501	PtrMemberAccess	sd -> bdrv		7684489	1					
ANR	7684502	Identifier	sd		7684489	0					
ANR	7684503	Identifier	bdrv		7684489	1					
ANR	7684504	OrExpression	! bdrv_is_inserted ( sd -> bdrv ) || ! sd -> enable		7684489	1		||			
ANR	7684505	UnaryOperationExpression	! bdrv_is_inserted ( sd -> bdrv )		7684489	0					
ANR	7684506	UnaryOperator	!		7684489	0					
ANR	7684507	CallExpression	bdrv_is_inserted ( sd -> bdrv )		7684489	1					
ANR	7684508	Callee	bdrv_is_inserted		7684489	0					
ANR	7684509	Identifier	bdrv_is_inserted		7684489	0					
ANR	7684510	ArgumentList	sd -> bdrv		7684489	1					
ANR	7684511	Argument	sd -> bdrv		7684489	0					
ANR	7684512	PtrMemberAccess	sd -> bdrv		7684489	0					
ANR	7684513	Identifier	sd		7684489	0					
ANR	7684514	Identifier	bdrv		7684489	1					
ANR	7684515	UnaryOperationExpression	! sd -> enable		7684489	1					
ANR	7684516	UnaryOperator	!		7684489	0					
ANR	7684517	PtrMemberAccess	sd -> enable		7684489	1					
ANR	7684518	Identifier	sd		7684489	0					
ANR	7684519	Identifier	enable		7684489	1					
ANR	7684520	ReturnStatement	return ;	11:8:139:145	7684489	1	True				
ANR	7684521	IfStatement	if ( sd -> state != sd_receivingdata_state )		7684489	2					
ANR	7684522	Condition	sd -> state != sd_receivingdata_state	15:8:158:192	7684489	0	True				
ANR	7684523	EqualityExpression	sd -> state != sd_receivingdata_state		7684489	0		!=			
ANR	7684524	PtrMemberAccess	sd -> state		7684489	0					
ANR	7684525	Identifier	sd		7684489	0					
ANR	7684526	Identifier	state		7684489	1					
ANR	7684527	Identifier	sd_receivingdata_state		7684489	1					
ANR	7684528	CompoundStatement		13:45:146:146	7684489	1					
ANR	7684529	ExpressionStatement	"fprintf ( stderr , ""sd_write_data: not in Receiving-Data state\\n"" )"	17:8:206:269	7684489	0	True				
ANR	7684530	CallExpression	"fprintf ( stderr , ""sd_write_data: not in Receiving-Data state\\n"" )"		7684489	0					
ANR	7684531	Callee	fprintf		7684489	0					
ANR	7684532	Identifier	fprintf		7684489	0					
ANR	7684533	ArgumentList	stderr		7684489	1					
ANR	7684534	Argument	stderr		7684489	0					
ANR	7684535	Identifier	stderr		7684489	0					
ANR	7684536	Argument	"""sd_write_data: not in Receiving-Data state\\n"""		7684489	1					
ANR	7684537	PrimaryExpression	"""sd_write_data: not in Receiving-Data state\\n"""		7684489	0					
ANR	7684538	ReturnStatement	return ;	19:8:280:286	7684489	1	True				
ANR	7684539	IfStatement	if ( sd -> card_status & ( ADDRESS_ERROR | WP_VIOLATION ) )		7684489	3					
ANR	7684540	Condition	sd -> card_status & ( ADDRESS_ERROR | WP_VIOLATION )	25:8:306:353	7684489	0	True				
ANR	7684541	BitAndExpression	sd -> card_status & ( ADDRESS_ERROR | WP_VIOLATION )		7684489	0		&			
ANR	7684542	PtrMemberAccess	sd -> card_status		7684489	0					
ANR	7684543	Identifier	sd		7684489	0					
ANR	7684544	Identifier	card_status		7684489	1					
ANR	7684545	InclusiveOrExpression	ADDRESS_ERROR | WP_VIOLATION		7684489	1		|			
ANR	7684546	Identifier	ADDRESS_ERROR		7684489	0					
ANR	7684547	Identifier	WP_VIOLATION		7684489	1					
ANR	7684548	ReturnStatement	return ;	27:8:365:371	7684489	1	True				
