start	end	type	var
7687042	7687043	IS_AST_PARENT	
7687042	7687044	IS_AST_PARENT	
7687041	7687042	IS_AST_PARENT	
7687045	7687046	IS_AST_PARENT	
7687045	7687047	IS_AST_PARENT	
7687041	7687045	IS_AST_PARENT	
7687048	7687049	IS_AST_PARENT	
7687048	7687050	IS_AST_PARENT	
7687041	7687048	IS_AST_PARENT	
7687040	7687041	IS_AST_PARENT	
7687052	7687053	IS_AST_PARENT	
7687052	7687054	IS_AST_PARENT	
7687055	7687056	IS_AST_PARENT	
7687058	7687059	IS_AST_PARENT	
7687058	7687060	IS_AST_PARENT	
7687057	7687058	IS_AST_PARENT	
7687057	7687061	IS_AST_PARENT	
7687055	7687057	IS_AST_PARENT	
7687052	7687055	IS_AST_PARENT	
7687051	7687052	IS_AST_PARENT	
7687040	7687051	IS_AST_PARENT	
7687063	7687064	IS_AST_PARENT	
7687063	7687065	IS_AST_PARENT	
7687062	7687063	IS_AST_PARENT	
7687040	7687062	IS_AST_PARENT	
7687067	7687068	IS_AST_PARENT	
7687067	7687069	IS_AST_PARENT	
7687066	7687067	IS_AST_PARENT	
7687040	7687066	IS_AST_PARENT	
7687072	7687073	IS_AST_PARENT	
7687072	7687074	IS_AST_PARENT	
7687071	7687072	IS_AST_PARENT	
7687070	7687071	IS_AST_PARENT	
7687076	7687077	IS_AST_PARENT	
7687076	7687078	IS_AST_PARENT	
7687075	7687076	IS_AST_PARENT	
7687070	7687075	IS_AST_PARENT	
7687079	7687080	IS_AST_PARENT	
7687079	7687081	IS_AST_PARENT	
7687070	7687079	IS_AST_PARENT	
7687085	7687086	IS_AST_PARENT	
7687085	7687087	IS_AST_PARENT	
7687084	7687085	IS_AST_PARENT	
7687084	7687088	IS_AST_PARENT	
7687083	7687084	IS_AST_PARENT	
7687082	7687083	IS_AST_PARENT	
7687091	7687092	IS_AST_PARENT	
7687090	7687091	IS_AST_PARENT	
7687094	7687095	IS_AST_PARENT	
7687093	7687094	IS_AST_PARENT	
7687097	7687098	IS_AST_PARENT	
7687097	7687099	IS_AST_PARENT	
7687096	7687097	IS_AST_PARENT	
7687093	7687096	IS_AST_PARENT	
7687090	7687093	IS_AST_PARENT	
7687089	7687090	IS_AST_PARENT	
7687082	7687089	IS_AST_PARENT	
7687082	7687100	IS_AST_PARENT	
7687082	7687101	IS_AST_PARENT	
7687082	7687102	IS_AST_PARENT	
7687082	7687103	IS_AST_PARENT	
7687082	7687104	IS_AST_PARENT	
7687082	7687105	IS_AST_PARENT	
7687082	7687106	IS_AST_PARENT	
7687082	7687107	IS_AST_PARENT	
7687082	7687108	IS_AST_PARENT	
7687082	7687109	IS_AST_PARENT	
7687082	7687110	IS_AST_PARENT	
7687082	7687111	IS_AST_PARENT	
7687082	7687112	IS_AST_PARENT	
7687082	7687113	IS_AST_PARENT	
7687082	7687114	IS_AST_PARENT	
7687082	7687115	IS_AST_PARENT	
7687082	7687116	IS_AST_PARENT	
7687082	7687117	IS_AST_PARENT	
7687082	7687118	IS_AST_PARENT	
7687123	7687124	IS_AST_PARENT	
7687123	7687125	IS_AST_PARENT	
7687122	7687123	IS_AST_PARENT	
7687122	7687126	IS_AST_PARENT	
7687121	7687122	IS_AST_PARENT	
7687121	7687127	IS_AST_PARENT	
7687120	7687121	IS_AST_PARENT	
7687119	7687120	IS_AST_PARENT	
7687131	7687132	IS_AST_PARENT	
7687131	7687133	IS_AST_PARENT	
7687130	7687131	IS_AST_PARENT	
7687130	7687134	IS_AST_PARENT	
7687129	7687130	IS_AST_PARENT	
7687128	7687129	IS_AST_PARENT	
7687137	7687138	IS_AST_PARENT	
7687137	7687139	IS_AST_PARENT	
