start	end	type	var
7708178	7708179	IS_AST_PARENT	
7708178	7708180	IS_AST_PARENT	
7708181	7708182	IS_AST_PARENT	
7708183	7708184	IS_AST_PARENT	
7708183	7708185	IS_AST_PARENT	
7708181	7708183	IS_AST_PARENT	
7708178	7708181	IS_AST_PARENT	
7708177	7708178	IS_AST_PARENT	
7708186	7708187	IS_AST_PARENT	
7708186	7708188	IS_AST_PARENT	
7708189	7708190	IS_AST_PARENT	
7708192	7708193	IS_AST_PARENT	
7708192	7708194	IS_AST_PARENT	
7708191	7708192	IS_AST_PARENT	
7708195	7708196	IS_AST_PARENT	
7708195	7708197	IS_AST_PARENT	
7708191	7708195	IS_AST_PARENT	
7708189	7708191	IS_AST_PARENT	
7708186	7708189	IS_AST_PARENT	
7708177	7708186	IS_AST_PARENT	
7708176	7708177	IS_AST_PARENT	
7708201	7708202	IS_AST_PARENT	
7708201	7708203	IS_AST_PARENT	
7708200	7708201	IS_AST_PARENT	
7708205	7708206	IS_AST_PARENT	
7708205	7708207	IS_AST_PARENT	
7708204	7708205	IS_AST_PARENT	
7708204	7708208	IS_AST_PARENT	
7708200	7708204	IS_AST_PARENT	
7708199	7708200	IS_AST_PARENT	
7708198	7708199	IS_AST_PARENT	
7708214	7708215	IS_AST_PARENT	
7708217	7708218	IS_AST_PARENT	
7708217	7708219	IS_AST_PARENT	
7708216	7708217	IS_AST_PARENT	
7708216	7708220	IS_AST_PARENT	
7708214	7708216	IS_AST_PARENT	
7708213	7708214	IS_AST_PARENT	
7708213	7708221	IS_AST_PARENT	
7708212	7708213	IS_AST_PARENT	
7708223	7708224	IS_AST_PARENT	
7708222	7708223	IS_AST_PARENT	
7708226	7708227	IS_AST_PARENT	
7708225	7708226	IS_AST_PARENT	
7708228	7708229	IS_AST_PARENT	
7708225	7708228	IS_AST_PARENT	
7708230	7708231	IS_AST_PARENT	
7708225	7708230	IS_AST_PARENT	
7708222	7708225	IS_AST_PARENT	
7708212	7708222	IS_AST_PARENT	
7708211	7708212	IS_AST_PARENT	
7708210	7708211	IS_AST_PARENT	
7708232	7708233	IS_AST_PARENT	
7708210	7708232	IS_AST_PARENT	
7708209	7708210	IS_AST_PARENT	
7708237	7708238	IS_AST_PARENT	
7708239	7708240	IS_AST_PARENT	
7708239	7708241	IS_AST_PARENT	
7708237	7708239	IS_AST_PARENT	
7708236	7708237	IS_AST_PARENT	
7708243	7708244	IS_AST_PARENT	
7708243	7708245	IS_AST_PARENT	
7708242	7708243	IS_AST_PARENT	
7708242	7708246	IS_AST_PARENT	
7708236	7708242	IS_AST_PARENT	
7708235	7708236	IS_AST_PARENT	
7708234	7708235	IS_AST_PARENT	
7708248	7708249	IS_AST_PARENT	
7708248	7708250	IS_AST_PARENT	
7708247	7708248	IS_AST_PARENT	
7708234	7708247	IS_AST_PARENT	
7708209	7708234	IS_AST_PARENT	
7708254	7708255	IS_AST_PARENT	
7708254	7708256	IS_AST_PARENT	
7708253	7708254	IS_AST_PARENT	
7708253	7708257	IS_AST_PARENT	
7708252	7708253	IS_AST_PARENT	
7708251	7708252	IS_AST_PARENT	
7708251	7708258	IS_AST_PARENT	
7708209	7708251	IS_AST_PARENT	
7708262	7708263	IS_AST_PARENT	
7708262	7708264	IS_AST_PARENT	
7708261	7708262	IS_AST_PARENT	
7708261	7708265	IS_AST_PARENT	
7708260	7708261	IS_AST_PARENT	
7708259	7708260	IS_AST_PARENT	
7708267	7708268	IS_AST_PARENT	
7708267	7708269	IS_AST_PARENT	
