command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	7814051	File	/home/p4ultr4n/workplace/ReVeal/raw_code/show_parts_0.c								
ANR	7814052	Function	show_parts	1:0:0:369							
ANR	7814053	FunctionDef	show_parts (void * arg)		7814052	0					
ANR	7814054	CompoundStatement		3:0:36:369	7814052	0					
ANR	7814055	IdentifierDeclStatement	char * device = arg ;	5:4:43:61	7814052	0	True				
ANR	7814056	IdentifierDecl	* device = arg		7814052	0					
ANR	7814057	IdentifierDeclType	char *		7814052	0					
ANR	7814058	Identifier	device		7814052	1					
ANR	7814059	AssignmentExpression	* device = arg		7814052	2		=			
ANR	7814060	Identifier	arg		7814052	0					
ANR	7814061	Identifier	arg		7814052	1					
ANR	7814062	IdentifierDeclStatement	int nbd ;	7:4:68:75	7814052	1	True				
ANR	7814063	IdentifierDecl	nbd		7814052	0					
ANR	7814064	IdentifierDeclType	int		7814052	0					
ANR	7814065	Identifier	nbd		7814052	1					
ANR	7814066	ExpressionStatement	"nbd = open ( device , O_RDWR )"	21:4:272:298	7814052	2	True				
ANR	7814067	AssignmentExpression	"nbd = open ( device , O_RDWR )"		7814052	0		=			
ANR	7814068	Identifier	nbd		7814052	0					
ANR	7814069	CallExpression	"open ( device , O_RDWR )"		7814052	1					
ANR	7814070	Callee	open		7814052	0					
ANR	7814071	Identifier	open		7814052	0					
ANR	7814072	ArgumentList	device		7814052	1					
ANR	7814073	Argument	device		7814052	0					
ANR	7814074	Identifier	device		7814052	0					
ANR	7814075	Argument	O_RDWR		7814052	1					
ANR	7814076	Identifier	O_RDWR		7814052	0					
ANR	7814077	IfStatement	if ( nbd != - 1 )		7814052	3					
ANR	7814078	Condition	nbd != - 1	23:8:309:317	7814052	0	True				
ANR	7814079	EqualityExpression	nbd != - 1		7814052	0		!=			
ANR	7814080	Identifier	nbd		7814052	0					
ANR	7814081	UnaryOperationExpression	- 1		7814052	1					
ANR	7814082	UnaryOperator	-		7814052	0					
ANR	7814083	PrimaryExpression	1		7814052	1					
ANR	7814084	CompoundStatement		21:19:283:283	7814052	1					
ANR	7814085	ExpressionStatement	close ( nbd )	25:8:331:341	7814052	0	True				
ANR	7814086	CallExpression	close ( nbd )		7814052	0					
ANR	7814087	Callee	close		7814052	0					
ANR	7814088	Identifier	close		7814052	0					
ANR	7814089	ArgumentList	nbd		7814052	1					
ANR	7814090	Argument	nbd		7814052	0					
ANR	7814091	Identifier	nbd		7814052	0					
ANR	7814092	ReturnStatement	return NULL ;	29:4:355:366	7814052	4	True				
ANR	7814093	Identifier	NULL		7814052	0					
ANR	7814094	ReturnType	static void *		7814052	1					
ANR	7814095	Identifier	show_parts		7814052	2					
ANR	7814096	ParameterList	void * arg		7814052	3					
ANR	7814097	Parameter	void * arg	1:24:24:32	7814052	0	True				
ANR	7814098	ParameterType	void *		7814052	0					
ANR	7814099	Identifier	arg		7814052	1					
ANR	7814100	CFGEntryNode	ENTRY		7814052		True				
ANR	7814101	CFGExitNode	EXIT		7814052		True				
ANR	7814102	Symbol	nbd		7814052						
ANR	7814103	Symbol	O_RDWR		7814052						
ANR	7814104	Symbol	NULL		7814052						
ANR	7814105	Symbol	arg		7814052						
ANR	7814106	Symbol	device		7814052						
ANR	7814107	Symbol	open		7814052						
