command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	7961443	File	/home/p4ultr4n/workplace/ReVeal/raw_code/sparc_cpu_class_init_1.c								
ANR	7961444	Function	sparc_cpu_class_init	1:0:0:1607							
ANR	7961445	FunctionDef	"sparc_cpu_class_init (ObjectClass * oc , void * data)"		7961444	0					
ANR	7961446	CompoundStatement		3:0:63:1607	7961444	0					
ANR	7961447	IdentifierDeclStatement	SPARCCPUClass * scc = SPARC_CPU_CLASS ( oc ) ;	5:4:70:110	7961444	0	True				
ANR	7961448	IdentifierDecl	* scc = SPARC_CPU_CLASS ( oc )		7961444	0					
ANR	7961449	IdentifierDeclType	SPARCCPUClass *		7961444	0					
ANR	7961450	Identifier	scc		7961444	1					
ANR	7961451	AssignmentExpression	* scc = SPARC_CPU_CLASS ( oc )		7961444	2		=			
ANR	7961452	Identifier	scc		7961444	0					
ANR	7961453	CallExpression	SPARC_CPU_CLASS ( oc )		7961444	1					
ANR	7961454	Callee	SPARC_CPU_CLASS		7961444	0					
ANR	7961455	Identifier	SPARC_CPU_CLASS		7961444	0					
ANR	7961456	ArgumentList	oc		7961444	1					
ANR	7961457	Argument	oc		7961444	0					
ANR	7961458	Identifier	oc		7961444	0					
ANR	7961459	IdentifierDeclStatement	CPUClass * cc = CPU_CLASS ( oc ) ;	7:4:117:145	7961444	1	True				
ANR	7961460	IdentifierDecl	* cc = CPU_CLASS ( oc )		7961444	0					
ANR	7961461	IdentifierDeclType	CPUClass *		7961444	0					
ANR	7961462	Identifier	cc		7961444	1					
ANR	7961463	AssignmentExpression	* cc = CPU_CLASS ( oc )		7961444	2		=			
ANR	7961464	Identifier	cc		7961444	0					
ANR	7961465	CallExpression	CPU_CLASS ( oc )		7961444	1					
ANR	7961466	Callee	CPU_CLASS		7961444	0					
ANR	7961467	Identifier	CPU_CLASS		7961444	0					
ANR	7961468	ArgumentList	oc		7961444	1					
ANR	7961469	Argument	oc		7961444	0					
ANR	7961470	Identifier	oc		7961444	0					
ANR	7961471	IdentifierDeclStatement	DeviceClass * dc = DEVICE_CLASS ( oc ) ;	9:4:152:186	7961444	2	True				
ANR	7961472	IdentifierDecl	* dc = DEVICE_CLASS ( oc )		7961444	0					
ANR	7961473	IdentifierDeclType	DeviceClass *		7961444	0					
ANR	7961474	Identifier	dc		7961444	1					
ANR	7961475	AssignmentExpression	* dc = DEVICE_CLASS ( oc )		7961444	2		=			
ANR	7961476	Identifier	dc		7961444	0					
ANR	7961477	CallExpression	DEVICE_CLASS ( oc )		7961444	1					
ANR	7961478	Callee	DEVICE_CLASS		7961444	0					
ANR	7961479	Identifier	DEVICE_CLASS		7961444	0					
ANR	7961480	ArgumentList	oc		7961444	1					
ANR	7961481	Argument	oc		7961444	0					
ANR	7961482	Identifier	oc		7961444	0					
ANR	7961483	ExpressionStatement	scc -> parent_realize = dc -> realize	13:4:195:228	7961444	3	True				
ANR	7961484	AssignmentExpression	scc -> parent_realize = dc -> realize		7961444	0		=			
ANR	7961485	PtrMemberAccess	scc -> parent_realize		7961444	0					
ANR	7961486	Identifier	scc		7961444	0					
ANR	7961487	Identifier	parent_realize		7961444	1					
ANR	7961488	PtrMemberAccess	dc -> realize		7961444	1					
ANR	7961489	Identifier	dc		7961444	0					
ANR	7961490	Identifier	realize		7961444	1					
ANR	7961491	ExpressionStatement	dc -> realize = sparc_cpu_realizefn	15:4:235:268	7961444	4	True				
ANR	7961492	AssignmentExpression	dc -> realize = sparc_cpu_realizefn		7961444	0		=			
ANR	7961493	PtrMemberAccess	dc -> realize		7961444	0					
ANR	7961494	Identifier	dc		7961444	0					
ANR	7961495	Identifier	realize		7961444	1					
ANR	7961496	Identifier	sparc_cpu_realizefn		7961444	1					
ANR	7961497	ExpressionStatement	scc -> parent_reset = cc -> reset	19:4:277:306	7961444	5	True				
ANR	7961498	AssignmentExpression	scc -> parent_reset = cc -> reset		7961444	0		=			
ANR	7961499	PtrMemberAccess	scc -> parent_reset		7961444	0					
ANR	7961500	Identifier	scc		7961444	0					
ANR	7961501	Identifier	parent_reset		7961444	1					
ANR	7961502	PtrMemberAccess	cc -> reset		7961444	1					
ANR	7961503	Identifier	cc		7961444	0					
ANR	7961504	Identifier	reset		7961444	1					
ANR	7961505	ExpressionStatement	cc -> reset = sparc_cpu_reset	21:4:313:340	7961444	6	True				
ANR	7961506	AssignmentExpression	cc -> reset = sparc_cpu_reset		7961444	0		=			
ANR	7961507	PtrMemberAccess	cc -> reset		7961444	0					
