start	end	type	var
7964992	7964993	IS_AST_PARENT	
7964992	7964994	IS_AST_PARENT	
7964995	7964996	IS_AST_PARENT	
7964997	7964998	IS_AST_PARENT	
7964997	7964999	IS_AST_PARENT	
7964995	7964997	IS_AST_PARENT	
7964992	7964995	IS_AST_PARENT	
7964991	7964992	IS_AST_PARENT	
7964990	7964991	IS_AST_PARENT	
7965001	7965002	IS_AST_PARENT	
7965001	7965003	IS_AST_PARENT	
7965000	7965001	IS_AST_PARENT	
7965004	7965005	IS_AST_PARENT	
7965004	7965006	IS_AST_PARENT	
7965000	7965004	IS_AST_PARENT	
7964990	7965000	IS_AST_PARENT	
7965009	7965010	IS_AST_PARENT	
7965009	7965011	IS_AST_PARENT	
7965008	7965009	IS_AST_PARENT	
7965012	7965013	IS_AST_PARENT	
7965012	7965014	IS_AST_PARENT	
7965008	7965012	IS_AST_PARENT	
7965007	7965008	IS_AST_PARENT	
7964990	7965007	IS_AST_PARENT	
7965017	7965018	IS_AST_PARENT	
7965017	7965019	IS_AST_PARENT	
7965016	7965017	IS_AST_PARENT	
7965022	7965023	IS_AST_PARENT	
7965021	7965022	IS_AST_PARENT	
7965026	7965027	IS_AST_PARENT	
7965026	7965028	IS_AST_PARENT	
7965025	7965026	IS_AST_PARENT	
7965024	7965025	IS_AST_PARENT	
7965029	7965030	IS_AST_PARENT	
7965024	7965029	IS_AST_PARENT	
7965021	7965024	IS_AST_PARENT	
7965020	7965021	IS_AST_PARENT	
7965020	7965031	IS_AST_PARENT	
7965016	7965020	IS_AST_PARENT	
7965015	7965016	IS_AST_PARENT	
7964990	7965015	IS_AST_PARENT	
7965033	7965034	IS_AST_PARENT	
7965037	7965038	IS_AST_PARENT	
7965037	7965039	IS_AST_PARENT	
7965036	7965037	IS_AST_PARENT	
7965035	7965036	IS_AST_PARENT	
7965041	7965042	IS_AST_PARENT	
7965040	7965041	IS_AST_PARENT	
7965043	7965044	IS_AST_PARENT	
7965040	7965043	IS_AST_PARENT	
7965035	7965040	IS_AST_PARENT	
7965033	7965035	IS_AST_PARENT	
7965032	7965033	IS_AST_PARENT	
7964990	7965032	IS_AST_PARENT	
7965047	7965048	IS_AST_PARENT	
7965047	7965049	IS_AST_PARENT	
7965046	7965047	IS_AST_PARENT	
7965045	7965046	IS_AST_PARENT	
7965051	7965052	IS_AST_PARENT	
7965051	7965053	IS_AST_PARENT	
7965050	7965051	IS_AST_PARENT	
7965045	7965050	IS_AST_PARENT	
7964990	7965045	IS_AST_PARENT	
7965056	7965057	IS_AST_PARENT	
7965058	7965059	IS_AST_PARENT	
7965058	7965060	IS_AST_PARENT	
7965056	7965058	IS_AST_PARENT	
7965055	7965056	IS_AST_PARENT	
7965054	7965055	IS_AST_PARENT	
7965061	7965062	IS_AST_PARENT	
7965054	7965061	IS_AST_PARENT	
7964990	7965054	IS_AST_PARENT	
7965064	7965065	IS_AST_PARENT	
7965068	7965069	IS_AST_PARENT	
7965068	7965070	IS_AST_PARENT	
7965067	7965068	IS_AST_PARENT	
7965071	7965072	IS_AST_PARENT	
7965073	7965074	IS_AST_PARENT	
7965073	7965075	IS_AST_PARENT	
7965071	7965073	IS_AST_PARENT	
7965067	7965071	IS_AST_PARENT	
7965066	7965067	IS_AST_PARENT	
7965066	7965076	IS_AST_PARENT	
7965064	7965066	IS_AST_PARENT	
7965063	7965064	IS_AST_PARENT	
7964990	7965063	IS_AST_PARENT	
7965079	7965080	IS_AST_PARENT	
7965079	7965081	IS_AST_PARENT	
7965078	7965079	IS_AST_PARENT	
7965077	7965078	IS_AST_PARENT	
7965085	7965086	IS_AST_PARENT	
7965084	7965085	IS_AST_PARENT	
7965088	7965089	IS_AST_PARENT	
7965087	7965088	IS_AST_PARENT	
7965090	7965091	IS_AST_PARENT	
7965087	7965090	IS_AST_PARENT	
7965092	7965093	IS_AST_PARENT	
7965087	7965092	IS_AST_PARENT	
7965084	7965087	IS_AST_PARENT	
7965083	7965084	IS_AST_PARENT	
7965082	7965083	IS_AST_PARENT	
7965095	7965096	IS_AST_PARENT	
7965095	7965097	IS_AST_PARENT	
7965094	7965095	IS_AST_PARENT	
7965082	7965094	IS_AST_PARENT	
7965077	7965082	IS_AST_PARENT	
7964990	7965077	IS_AST_PARENT	
7965100	7965101	IS_AST_PARENT	
7965099	7965100	IS_AST_PARENT	
7965104	7965105	IS_AST_PARENT	
7965104	7965106	IS_AST_PARENT	
7965103	7965104	IS_AST_PARENT	
7965102	7965103	IS_AST_PARENT	
7965107	7965108	IS_AST_PARENT	
7965102	7965107	IS_AST_PARENT	
7965099	7965102	IS_AST_PARENT	
7965098	7965099	IS_AST_PARENT	
7964990	7965098	IS_AST_PARENT	
7965111	7965112	IS_AST_PARENT	
7965110	7965111	IS_AST_PARENT	
7965115	7965116	IS_AST_PARENT	
7965115	7965117	IS_AST_PARENT	
7965114	7965115	IS_AST_PARENT	
7965113	7965114	IS_AST_PARENT	
7965118	7965119	IS_AST_PARENT	
7965113	7965118	IS_AST_PARENT	
7965110	7965113	IS_AST_PARENT	
7965109	7965110	IS_AST_PARENT	
7964990	7965109	IS_AST_PARENT	
7965122	7965123	IS_AST_PARENT	
7965121	7965122	IS_AST_PARENT	
7965126	7965127	IS_AST_PARENT	
7965126	7965128	IS_AST_PARENT	
7965125	7965126	IS_AST_PARENT	
7965124	7965125	IS_AST_PARENT	
7965130	7965131	IS_AST_PARENT	
7965130	7965132	IS_AST_PARENT	
7965129	7965130	IS_AST_PARENT	
7965124	7965129	IS_AST_PARENT	
7965121	7965124	IS_AST_PARENT	
7965120	7965121	IS_AST_PARENT	
7964990	7965120	IS_AST_PARENT	
7965135	7965136	IS_AST_PARENT	
7965134	7965135	IS_AST_PARENT	
7965139	7965140	IS_AST_PARENT	
7965139	7965141	IS_AST_PARENT	
7965138	7965139	IS_AST_PARENT	
7965137	7965138	IS_AST_PARENT	
7965143	7965144	IS_AST_PARENT	
7965143	7965145	IS_AST_PARENT	
7965142	7965143	IS_AST_PARENT	
7965137	7965142	IS_AST_PARENT	
7965134	7965137	IS_AST_PARENT	
7965133	7965134	IS_AST_PARENT	
7964990	7965133	IS_AST_PARENT	
7965148	7965149	IS_AST_PARENT	
7965147	7965148	IS_AST_PARENT	
7965152	7965153	IS_AST_PARENT	
