command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	7994321	File	/home/p4ultr4n/workplace/ReVeal/raw_code/stellaris_init_1.c								
ANR	7994322	Function	stellaris_init	1:0:0:5900							
ANR	7994323	FunctionDef	"stellaris_init (const char * kernel_filename , const char * cpu_model , stellaris_board_info * board)"		7994322	0					
ANR	7994324	CompoundStatement		5:0:137:5900	7994322	0					
ANR	7994325	Statement	static	7:4:144:149	7994322	0	True				
ANR	7994326	IdentifierDeclStatement	"const int uart_irq [ ] = { 5 , 6 , 33 , 34 } ;"	7:11:151:188	7994322	1	True				
ANR	7994327	IdentifierDecl	"uart_irq [ ] = { 5 , 6 , 33 , 34 }"		7994322	0					
ANR	7994328	IdentifierDeclType	const int [ ]		7994322	0					
ANR	7994329	Identifier	uart_irq		7994322	1					
ANR	7994330	AssignmentExpression	"uart_irq [ ] = { 5 , 6 , 33 , 34 }"		7994322	2		=			
ANR	7994331	Identifier	uart_irq		7994322	0					
ANR	7994332	InitializerList	5		7994322	1					
ANR	7994333	PrimaryExpression	5		7994322	0					
ANR	7994334	PrimaryExpression	6		7994322	1					
ANR	7994335	PrimaryExpression	33		7994322	2					
ANR	7994336	PrimaryExpression	34		7994322	3					
ANR	7994337	Statement	static	9:4:195:200	7994322	2	True				
ANR	7994338	IdentifierDeclStatement	"const int timer_irq [ ] = { 19 , 21 , 23 , 35 } ;"	9:11:202:242	7994322	3	True				
ANR	7994339	IdentifierDecl	"timer_irq [ ] = { 19 , 21 , 23 , 35 }"		7994322	0					
ANR	7994340	IdentifierDeclType	const int [ ]		7994322	0					
ANR	7994341	Identifier	timer_irq		7994322	1					
ANR	7994342	AssignmentExpression	"timer_irq [ ] = { 19 , 21 , 23 , 35 }"		7994322	2		=			
ANR	7994343	Identifier	timer_irq		7994322	0					
ANR	7994344	InitializerList	19		7994322	1					
ANR	7994345	PrimaryExpression	19		7994322	0					
ANR	7994346	PrimaryExpression	21		7994322	1					
ANR	7994347	PrimaryExpression	23		7994322	2					
ANR	7994348	PrimaryExpression	35		7994322	3					
ANR	7994349	Statement	static	11:4:249:254	7994322	4	True				
ANR	7994350	IdentifierDeclStatement	"const uint32_t gpio_addr [ 7 ] = { 0x40004000 , 0x40005000 , 0x40006000 , 0x40007000 , 0x40024000 , 0x40025000 , 0x40026000 } ;"	11:11:256:387	7994322	5	True				
ANR	7994351	IdentifierDecl	"gpio_addr [ 7 ] = { 0x40004000 , 0x40005000 , 0x40006000 , 0x40007000 , 0x40024000 , 0x40025000 , 0x40026000 }"		7994322	0					
ANR	7994352	IdentifierDeclType	const uint32_t [ 7 ]		7994322	0					
ANR	7994353	Identifier	gpio_addr		7994322	1					
ANR	7994354	PrimaryExpression	7		7994322	2					
ANR	7994355	AssignmentExpression	"gpio_addr [ 7 ] = { 0x40004000 , 0x40005000 , 0x40006000 , 0x40007000 , 0x40024000 , 0x40025000 , 0x40026000 }"		7994322	3		=			
ANR	7994356	Identifier	gpio_addr		7994322	0					
ANR	7994357	InitializerList	0x40004000		7994322	1					
ANR	7994358	PrimaryExpression	0x40004000		7994322	0					
ANR	7994359	PrimaryExpression	0x40005000		7994322	1					
ANR	7994360	PrimaryExpression	0x40006000		7994322	2					
ANR	7994361	PrimaryExpression	0x40007000		7994322	3					
ANR	7994362	PrimaryExpression	0x40024000		7994322	4					
ANR	7994363	PrimaryExpression	0x40025000		7994322	5					
ANR	7994364	PrimaryExpression	0x40026000		7994322	6					
ANR	7994365	Statement	static	17:4:394:399	7994322	6	True				
ANR	7994366	IdentifierDeclStatement	"const int gpio_irq [ 7 ] = { 0 , 1 , 2 , 3 , 4 , 30 , 31 } ;"	17:11:401:448	7994322	7	True				
ANR	7994367	IdentifierDecl	"gpio_irq [ 7 ] = { 0 , 1 , 2 , 3 , 4 , 30 , 31 }"		7994322	0					
ANR	7994368	IdentifierDeclType	const int [ 7 ]		7994322	0					
ANR	7994369	Identifier	gpio_irq		7994322	1					
ANR	7994370	PrimaryExpression	7		7994322	2					
ANR	7994371	AssignmentExpression	"gpio_irq [ 7 ] = { 0 , 1 , 2 , 3 , 4 , 30 , 31 }"		7994322	3		=			
ANR	7994372	Identifier	gpio_irq		7994322	0					
ANR	7994373	InitializerList	0		7994322	1					
ANR	7994374	PrimaryExpression	0		7994322	0					
ANR	7994375	PrimaryExpression	1		7994322	1					
ANR	7994376	PrimaryExpression	2		7994322	2					
ANR	7994377	PrimaryExpression	3		7994322	3					
ANR	7994378	PrimaryExpression	4		7994322	4					
ANR	7994379	PrimaryExpression	30		7994322	5					
ANR	7994380	PrimaryExpression	31		7994322	6					
ANR	7994381	IdentifierDeclStatement	qemu_irq * pic ;	21:4:457:470	7994322	8	True				
ANR	7994382	IdentifierDecl	* pic		7994322	0					
ANR	7994383	IdentifierDeclType	qemu_irq *		7994322	0					
ANR	7994384	Identifier	pic		7994322	1					
ANR	7994385	IdentifierDeclStatement	DeviceState * gpio_dev [ 7 ] ;	23:4:477:501	7994322	9	True				
ANR	7994386	IdentifierDecl	* gpio_dev [ 7 ]		7994322	0					
ANR	7994387	IdentifierDeclType	DeviceState * [ 7 ]		7994322	0					
ANR	7994388	Identifier	gpio_dev		7994322	1					
ANR	7994389	PrimaryExpression	7		7994322	2					
ANR	7994390	Statement	qemu_irq	25:4:508:515	7994322	10	True				
ANR	7994391	ExpressionStatement	gpio_in [ 7 ] [ 8 ]	25:13:517:530	7994322	11	True				
ANR	7994392	ArrayIndexing	gpio_in [ 7 ] [ 8 ]		7994322	0					
ANR	7994393	ArrayIndexing	gpio_in [ 7 ]		7994322	0					
ANR	7994394	Identifier	gpio_in		7994322	0					
ANR	7994395	PrimaryExpression	7		7994322	1					
ANR	7994396	PrimaryExpression	8		7994322	1					
ANR	7994397	Statement	qemu_irq	27:4:537:544	7994322	12	True				
ANR	7994398	ExpressionStatement	gpio_out [ 7 ] [ 8 ]	27:13:546:560	7994322	13	True				
ANR	7994399	ArrayIndexing	gpio_out [ 7 ] [ 8 ]		7994322	0					
ANR	7994400	ArrayIndexing	gpio_out [ 7 ]		7994322	0					
ANR	7994401	Identifier	gpio_out		7994322	0					
ANR	7994402	PrimaryExpression	7		7994322	1					
ANR	7994403	PrimaryExpression	8		7994322	1					
ANR	7994404	IdentifierDeclStatement	qemu_irq adc ;	29:4:567:579	7994322	14	True				
ANR	7994405	IdentifierDecl	adc		7994322	0					
ANR	7994406	IdentifierDeclType	qemu_irq		7994322	0					
ANR	7994407	Identifier	adc		7994322	1					
ANR	7994408	IdentifierDeclStatement	int sram_size ;	31:4:586:599	7994322	15	True				
ANR	7994409	IdentifierDecl	sram_size		7994322	0					
ANR	7994410	IdentifierDeclType	int		7994322	0					
ANR	7994411	Identifier	sram_size		7994322	1					
ANR	7994412	IdentifierDeclStatement	int flash_size ;	33:4:606:620	7994322	16	True				
ANR	7994413	IdentifierDecl	flash_size		7994322	0					
ANR	7994414	IdentifierDeclType	int		7994322	0					
ANR	7994415	Identifier	flash_size		7994322	1					
ANR	7994416	IdentifierDeclStatement	I2CBus * i2c ;	35:4:627:638	7994322	17	True				
ANR	7994417	IdentifierDecl	* i2c		7994322	0					
ANR	7994418	IdentifierDeclType	I2CBus *		7994322	0					
ANR	7994419	Identifier	i2c		7994322	1					
ANR	7994420	IdentifierDeclStatement	DeviceState * dev ;	37:4:645:661	7994322	18	True				
ANR	7994421	IdentifierDecl	* dev		7994322	0					
ANR	7994422	IdentifierDeclType	DeviceState *		7994322	0					
ANR	7994423	Identifier	dev		7994322	1					
ANR	7994424	IdentifierDeclStatement	int i ;	39:4:668:673	7994322	19	True				
ANR	7994425	IdentifierDecl	i		7994322	0					
ANR	7994426	IdentifierDeclType	int		7994322	0					
ANR	7994427	Identifier	i		7994322	1					
ANR	7994428	IdentifierDeclStatement	int j ;	41:4:680:685	7994322	20	True				
ANR	7994429	IdentifierDecl	j		7994322	0					
ANR	7994430	IdentifierDeclType	int		7994322	0					
ANR	7994431	Identifier	j		7994322	1					
ANR	7994432	IdentifierDeclStatement	"MemoryRegion * sram = g_new ( MemoryRegion , 1 ) ;"	45:4:694:737	7994322	21	True				
ANR	7994433	IdentifierDecl	"* sram = g_new ( MemoryRegion , 1 )"		7994322	0					
ANR	7994434	IdentifierDeclType	MemoryRegion *		7994322	0					
ANR	7994435	Identifier	sram		7994322	1					
ANR	7994436	AssignmentExpression	"* sram = g_new ( MemoryRegion , 1 )"		7994322	2		=			
ANR	7994437	Identifier	sram		7994322	0					
ANR	7994438	CallExpression	"g_new ( MemoryRegion , 1 )"		7994322	1					
ANR	7994439	Callee	g_new		7994322	0					
ANR	7994440	Identifier	g_new		7994322	0					
ANR	7994441	ArgumentList	MemoryRegion		7994322	1					
ANR	7994442	Argument	MemoryRegion		7994322	0					
ANR	7994443	Identifier	MemoryRegion		7994322	0					
ANR	7994444	Argument	1		7994322	1					
ANR	7994445	PrimaryExpression	1		7994322	0					
ANR	7994446	IdentifierDeclStatement	"MemoryRegion * flash = g_new ( MemoryRegion , 1 ) ;"	47:4:744:788	7994322	22	True				
ANR	7994447	IdentifierDecl	"* flash = g_new ( MemoryRegion , 1 )"		7994322	0					
ANR	7994448	IdentifierDeclType	MemoryRegion *		7994322	0					
ANR	7994449	Identifier	flash		7994322	1					
ANR	7994450	AssignmentExpression	"* flash = g_new ( MemoryRegion , 1 )"		7994322	2		=			
ANR	7994451	Identifier	flash		7994322	0					
ANR	7994452	CallExpression	"g_new ( MemoryRegion , 1 )"		7994322	1					
ANR	7994453	Callee	g_new		7994322	0					
ANR	7994454	Identifier	g_new		7994322	0					
ANR	7994455	ArgumentList	MemoryRegion		7994322	1					
ANR	7994456	Argument	MemoryRegion		7994322	0					
ANR	7994457	Identifier	MemoryRegion		7994322	0					
ANR	7994458	Argument	1		7994322	1					
ANR	7994459	PrimaryExpression	1		7994322	0					
ANR	7994460	IdentifierDeclStatement	MemoryRegion * system_memory = get_system_memory ( ) ;	49:4:795:844	7994322	23	True				
ANR	7994461	IdentifierDecl	* system_memory = get_system_memory ( )		7994322	0					
ANR	7994462	IdentifierDeclType	MemoryRegion *		7994322	0					
ANR	7994463	Identifier	system_memory		7994322	1					
ANR	7994464	AssignmentExpression	* system_memory = get_system_memory ( )		7994322	2		=			
ANR	7994465	Identifier	system_memory		7994322	0					
ANR	7994466	CallExpression	get_system_memory ( )		7994322	1					
ANR	7994467	Callee	get_system_memory		7994322	0					
ANR	7994468	Identifier	get_system_memory		7994322	0					
ANR	7994469	ArgumentList			7994322	1					
ANR	7994470	ExpressionStatement	flash_size = ( ( ( board -> dc0 & 0xffff ) + 1 ) << 1 ) * 1024	53:4:853:907	7994322	24	True				
ANR	7994471	AssignmentExpression	flash_size = ( ( ( board -> dc0 & 0xffff ) + 1 ) << 1 ) * 1024		7994322	0		=			
ANR	7994472	Identifier	flash_size		7994322	0					
ANR	7994473	MultiplicativeExpression	( ( ( board -> dc0 & 0xffff ) + 1 ) << 1 ) * 1024		7994322	1		*			
ANR	7994474	ShiftExpression	( ( board -> dc0 & 0xffff ) + 1 ) << 1		7994322	0		<<			
ANR	7994475	AdditiveExpression	( board -> dc0 & 0xffff ) + 1		7994322	0		+			
ANR	7994476	BitAndExpression	board -> dc0 & 0xffff		7994322	0		&			
ANR	7994477	PtrMemberAccess	board -> dc0		7994322	0					
ANR	7994478	Identifier	board		7994322	0					
ANR	7994479	Identifier	dc0		7994322	1					
ANR	7994480	PrimaryExpression	0xffff		7994322	1					
ANR	7994481	PrimaryExpression	1		7994322	1					
ANR	7994482	PrimaryExpression	1		7994322	1					
ANR	7994483	PrimaryExpression	1024		7994322	1					
ANR	7994484	ExpressionStatement	sram_size = ( ( board -> dc0 >> 18 ) + 1 ) * 1024	55:4:914:957	7994322	25	True				
ANR	7994485	AssignmentExpression	sram_size = ( ( board -> dc0 >> 18 ) + 1 ) * 1024		7994322	0		=			
ANR	7994486	Identifier	sram_size		7994322	0					
ANR	7994487	MultiplicativeExpression	( ( board -> dc0 >> 18 ) + 1 ) * 1024		7994322	1		*			
ANR	7994488	AdditiveExpression	( board -> dc0 >> 18 ) + 1		7994322	0		+			
