command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	8148126	File	/home/p4ultr4n/workplace/ReVeal/raw_code/sym_quant_1.c								
ANR	8148127	Function	sym_quant	1:0:0:182							
ANR	8148128	FunctionDef	"sym_quant (int c , int e , int levels)"		8148127	0					
ANR	8148129	CompoundStatement		3:0:55:182	8148127	0					
ANR	8148130	IdentifierDeclStatement	int v = ( ( ( ( levels * c ) >> ( 24 - e ) ) + 1 ) >> 1 ) + ( levels >> 1 ) ;	5:4:62:125	8148127	0	True				
ANR	8148131	IdentifierDecl	v = ( ( ( ( levels * c ) >> ( 24 - e ) ) + 1 ) >> 1 ) + ( levels >> 1 )		8148127	0					
ANR	8148132	IdentifierDeclType	int		8148127	0					
ANR	8148133	Identifier	v		8148127	1					
ANR	8148134	AssignmentExpression	v = ( ( ( ( levels * c ) >> ( 24 - e ) ) + 1 ) >> 1 ) + ( levels >> 1 )		8148127	2		=			
ANR	8148135	Identifier	v		8148127	0					
ANR	8148136	AdditiveExpression	( ( ( ( levels * c ) >> ( 24 - e ) ) + 1 ) >> 1 ) + ( levels >> 1 )		8148127	1		+			
ANR	8148137	ShiftExpression	( ( ( levels * c ) >> ( 24 - e ) ) + 1 ) >> 1		8148127	0		>>			
ANR	8148138	AdditiveExpression	( ( levels * c ) >> ( 24 - e ) ) + 1		8148127	0		+			
ANR	8148139	ShiftExpression	( levels * c ) >> ( 24 - e )		8148127	0		>>			
ANR	8148140	MultiplicativeExpression	levels * c		8148127	0		*			
ANR	8148141	Identifier	levels		8148127	0					
ANR	8148142	Identifier	c		8148127	1					
ANR	8148143	AdditiveExpression	24 - e		8148127	1		-			
ANR	8148144	PrimaryExpression	24		8148127	0					
ANR	8148145	Identifier	e		8148127	1					
ANR	8148146	PrimaryExpression	1		8148127	1					
ANR	8148147	PrimaryExpression	1		8148127	1					
ANR	8148148	ShiftExpression	levels >> 1		8148127	1		>>			
ANR	8148149	Identifier	levels		8148127	0					
ANR	8148150	PrimaryExpression	1		8148127	1					
ANR	8148151	ExpressionStatement	av_assert2 ( v >= 0 && v < levels )	7:4:132:164	8148127	1	True				
ANR	8148152	CallExpression	av_assert2 ( v >= 0 && v < levels )		8148127	0					
ANR	8148153	Callee	av_assert2		8148127	0					
ANR	8148154	Identifier	av_assert2		8148127	0					
ANR	8148155	ArgumentList	v >= 0 && v < levels		8148127	1					
ANR	8148156	Argument	v >= 0 && v < levels		8148127	0					
ANR	8148157	AndExpression	v >= 0 && v < levels		8148127	0		&&			
ANR	8148158	RelationalExpression	v >= 0		8148127	0		>=			
ANR	8148159	Identifier	v		8148127	0					
ANR	8148160	PrimaryExpression	0		8148127	1					
ANR	8148161	RelationalExpression	v < levels		8148127	1		<			
ANR	8148162	Identifier	v		8148127	0					
ANR	8148163	Identifier	levels		8148127	1					
ANR	8148164	ReturnStatement	return v ;	9:4:171:179	8148127	2	True				
ANR	8148165	Identifier	v		8148127	0					
ANR	8148166	ReturnType	static inline int		8148127	1					
ANR	8148167	Identifier	sym_quant		8148127	2					
ANR	8148168	ParameterList	"int c , int e , int levels"		8148127	3					
ANR	8148169	Parameter	int c	1:28:28:32	8148127	0	True				
ANR	8148170	ParameterType	int		8148127	0					
ANR	8148171	Identifier	c		8148127	1					
ANR	8148172	Parameter	int e	1:35:35:39	8148127	1	True				
ANR	8148173	ParameterType	int		8148127	0					
ANR	8148174	Identifier	e		8148127	1					
ANR	8148175	Parameter	int levels	1:42:42:51	8148127	2	True				
ANR	8148176	ParameterType	int		8148127	0					
ANR	8148177	Identifier	levels		8148127	1					
ANR	8148178	CFGEntryNode	ENTRY		8148127		True				
ANR	8148179	CFGExitNode	EXIT		8148127		True				
ANR	8148180	Symbol	c		8148127						
ANR	8148181	Symbol	e		8148127						
ANR	8148182	Symbol	v		8148127						
ANR	8148183	Symbol	levels		8148127						
