command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	8454269	File	/home/p4ultr4n/workplace/ReVeal/raw_code/tlb_fill_01_1.c								
ANR	8454270	Function	tlb_fill	1:0:0:1792							
ANR	8454271	FunctionDef	"tlb_fill (CPUState * cs , target_ulong addr , MMUAccessType access_type , int mmu_idx , uintptr_t retaddr)"		8454270	0					
ANR	8454272	CompoundStatement		5:0:122:1792	8454270	0					
ANR	8454273	IdentifierDeclStatement	bool ret ;	7:4:129:137	8454270	0	True				
ANR	8454274	IdentifierDecl	ret		8454270	0					
ANR	8454275	IdentifierDeclType	bool		8454270	0					
ANR	8454276	Identifier	ret		8454270	1					
ANR	8454277	IdentifierDeclStatement	uint32_t fsr = 0 ;	9:4:144:160	8454270	1	True				
ANR	8454278	IdentifierDecl	fsr = 0		8454270	0					
ANR	8454279	IdentifierDeclType	uint32_t		8454270	0					
ANR	8454280	Identifier	fsr		8454270	1					
ANR	8454281	AssignmentExpression	fsr = 0		8454270	2		=			
ANR	8454282	Identifier	fsr		8454270	0					
ANR	8454283	PrimaryExpression	0		8454270	1					
ANR	8454284	Statement	ARMMMUFaultInfo	11:4:167:181	8454270	2	True				
ANR	8454285	Statement	fi	11:20:183:184	8454270	3	True				
ANR	8454286	Statement	=	11:23:186:186	8454270	4	True				
ANR	8454287	CompoundStatement		7:25:65:65	8454270	5					
ANR	8454288	ExpressionStatement		11:27:190:190	8454270	6	True				
ANR	8454289	ExpressionStatement	"ret = arm_tlb_fill ( cs , addr , access_type , mmu_idx , & fsr , & fi )"	15:4:199:260	8454270	7	True				
ANR	8454290	AssignmentExpression	"ret = arm_tlb_fill ( cs , addr , access_type , mmu_idx , & fsr , & fi )"		8454270	0		=			
ANR	8454291	Identifier	ret		8454270	0					
ANR	8454292	CallExpression	"arm_tlb_fill ( cs , addr , access_type , mmu_idx , & fsr , & fi )"		8454270	1					
ANR	8454293	Callee	arm_tlb_fill		8454270	0					
ANR	8454294	Identifier	arm_tlb_fill		8454270	0					
ANR	8454295	ArgumentList	cs		8454270	1					
ANR	8454296	Argument	cs		8454270	0					
ANR	8454297	Identifier	cs		8454270	0					
ANR	8454298	Argument	addr		8454270	1					
ANR	8454299	Identifier	addr		8454270	0					
ANR	8454300	Argument	access_type		8454270	2					
ANR	8454301	Identifier	access_type		8454270	0					
ANR	8454302	Argument	mmu_idx		8454270	3					
ANR	8454303	Identifier	mmu_idx		8454270	0					
ANR	8454304	Argument	& fsr		8454270	4					
ANR	8454305	UnaryOperationExpression	& fsr		8454270	0					
ANR	8454306	UnaryOperator	&		8454270	0					
ANR	8454307	Identifier	fsr		8454270	1					
ANR	8454308	Argument	& fi		8454270	5					
ANR	8454309	UnaryOperationExpression	& fi		8454270	0					
ANR	8454310	UnaryOperator	&		8454270	0					
ANR	8454311	Identifier	fi		8454270	1					
ANR	8454312	IfStatement	if ( unlikely ( ret ) )		8454270	8					
ANR	8454313	Condition	unlikely ( ret )	17:8:271:283	8454270	0	True				
ANR	8454314	CallExpression	unlikely ( ret )		8454270	0					
ANR	8454315	Callee	unlikely		8454270	0					
ANR	8454316	Identifier	unlikely		8454270	0					
ANR	8454317	ArgumentList	ret		8454270	1					
ANR	8454318	Argument	ret		8454270	0					
ANR	8454319	Identifier	ret		8454270	0					
ANR	8454320	CompoundStatement		23:8:310:322	8454270	1					
ANR	8454321	IdentifierDeclStatement	ARMCPU * cpu = ARM_CPU ( cs ) ;	19:8:297:322	8454270	0	True				
ANR	8454322	IdentifierDecl	* cpu = ARM_CPU ( cs )		8454270	0					
ANR	8454323	IdentifierDeclType	ARMCPU *		8454270	0					
ANR	8454324	Identifier	cpu		8454270	1					
ANR	8454325	AssignmentExpression	* cpu = ARM_CPU ( cs )		8454270	2		=			
ANR	8454326	Identifier	cpu		8454270	0					
ANR	8454327	CallExpression	ARM_CPU ( cs )		8454270	1					
ANR	8454328	Callee	ARM_CPU		8454270	0					
ANR	8454329	Identifier	ARM_CPU		8454270	0					
ANR	8454330	ArgumentList	cs		8454270	1					
ANR	8454331	Argument	cs		8454270	0					
ANR	8454332	Identifier	cs		8454270	0					
ANR	8454333	IdentifierDeclStatement	CPUARMState * env = & cpu -> env ;	21:8:333:361	8454270	1	True				
ANR	8454334	IdentifierDecl	* env = & cpu -> env		8454270	0					
ANR	8454335	IdentifierDeclType	CPUARMState *		8454270	0					
ANR	8454336	Identifier	env		8454270	1					
ANR	8454337	AssignmentExpression	* env = & cpu -> env		8454270	2		=			
ANR	8454338	Identifier	env		8454270	0					
ANR	8454339	UnaryOperationExpression	& cpu -> env		8454270	1					
ANR	8454340	UnaryOperator	&		8454270	0					
ANR	8454341	PtrMemberAccess	cpu -> env		8454270	1					
ANR	8454342	Identifier	cpu		8454270	0					
ANR	8454343	Identifier	env		8454270	1					
ANR	8454344	IdentifierDeclStatement	"uint32_t syn , exc ;"	23:8:372:389	8454270	2	True				
ANR	8454345	IdentifierDecl	syn		8454270	0					
ANR	8454346	IdentifierDeclType	uint32_t		8454270	0					
ANR	8454347	Identifier	syn		8454270	1					
ANR	8454348	IdentifierDecl	exc		8454270	1					
ANR	8454349	IdentifierDeclType	uint32_t		8454270	0					
ANR	8454350	Identifier	exc		8454270	1					
ANR	8454351	IdentifierDeclStatement	unsigned int target_el ;	25:8:400:422	8454270	3	True				
ANR	8454352	IdentifierDecl	target_el		8454270	0					
ANR	8454353	IdentifierDeclType	unsigned int		8454270	0					
ANR	8454354	Identifier	target_el		8454270	1					
ANR	8454355	IdentifierDeclStatement	bool same_el ;	27:8:433:445	8454270	4	True				
ANR	8454356	IdentifierDecl	same_el		8454270	0					
ANR	8454357	IdentifierDeclType	bool		8454270	0					
ANR	8454358	Identifier	same_el		8454270	1					
ANR	8454359	IfStatement	if ( retaddr )		8454270	5					
ANR	8454360	Condition	retaddr	31:12:462:468	8454270	0	True				
ANR	8454361	Identifier	retaddr		8454270	0					
ANR	8454362	CompoundStatement		27:21:348:348	8454270	1					
ANR	8454363	ExpressionStatement	"cpu_restore_state ( cs , retaddr )"	35:12:534:564	8454270	0	True				
ANR	8454364	CallExpression	"cpu_restore_state ( cs , retaddr )"		8454270	0					
ANR	8454365	Callee	cpu_restore_state		8454270	0					
ANR	8454366	Identifier	cpu_restore_state		8454270	0					
ANR	8454367	ArgumentList	cs		8454270	1					
ANR	8454368	Argument	cs		8454270	0					
ANR	8454369	Identifier	cs		8454270	0					
ANR	8454370	Argument	retaddr		8454270	1					
ANR	8454371	Identifier	retaddr		8454270	0					
ANR	8454372	ExpressionStatement	target_el = exception_target_el ( env )	41:8:588:624	8454270	6	True				
ANR	8454373	AssignmentExpression	target_el = exception_target_el ( env )		8454270	0		=			
ANR	8454374	Identifier	target_el		8454270	0					
ANR	8454375	CallExpression	exception_target_el ( env )		8454270	1					
ANR	8454376	Callee	exception_target_el		8454270	0					
ANR	8454377	Identifier	exception_target_el		8454270	0					
ANR	8454378	ArgumentList	env		8454270	1					
ANR	8454379	Argument	env		8454270	0					
ANR	8454380	Identifier	env		8454270	0					
ANR	8454381	IfStatement	if ( fi . stage2 )		8454270	7					
ANR	8454382	Condition	fi . stage2	43:12:639:647	8454270	0	True				
ANR	8454383	MemberAccess	fi . stage2		8454270	0					
ANR	8454384	Identifier	fi		8454270	0					
ANR	8454385	Identifier	stage2		8454270	1					
ANR	8454386	CompoundStatement		39:23:527:527	8454270	1					
ANR	8454387	ExpressionStatement	target_el = 2	45:12:665:678	8454270	0	True				
ANR	8454388	AssignmentExpression	target_el = 2		8454270	0		=			
ANR	8454389	Identifier	target_el		8454270	0					
ANR	8454390	PrimaryExpression	2		8454270	1					
ANR	8454391	ExpressionStatement	"env -> cp15 . hpfar_el2 = extract64 ( fi . s2addr , 12 , 47 ) << 4"	47:12:693:748	8454270	1	True				
ANR	8454392	AssignmentExpression	"env -> cp15 . hpfar_el2 = extract64 ( fi . s2addr , 12 , 47 ) << 4"		8454270	0		=			
ANR	8454393	MemberAccess	env -> cp15 . hpfar_el2		8454270	0					
ANR	8454394	PtrMemberAccess	env -> cp15		8454270	0					
ANR	8454395	Identifier	env		8454270	0					
ANR	8454396	Identifier	cp15		8454270	1					
ANR	8454397	Identifier	hpfar_el2		8454270	1					
ANR	8454398	ShiftExpression	"extract64 ( fi . s2addr , 12 , 47 ) << 4"		8454270	1		<<			
ANR	8454399	CallExpression	"extract64 ( fi . s2addr , 12 , 47 )"		8454270	0					
ANR	8454400	Callee	extract64		8454270	0					
ANR	8454401	Identifier	extract64		8454270	0					
ANR	8454402	ArgumentList	fi . s2addr		8454270	1					
ANR	8454403	Argument	fi . s2addr		8454270	0					
ANR	8454404	MemberAccess	fi . s2addr		8454270	0					
ANR	8454405	Identifier	fi		8454270	0					
ANR	8454406	Identifier	s2addr		8454270	1					
ANR	8454407	Argument	12		8454270	1					
ANR	8454408	PrimaryExpression	12		8454270	0					
ANR	8454409	Argument	47		8454270	2					
ANR	8454410	PrimaryExpression	47		8454270	0					
ANR	8454411	PrimaryExpression	4		8454270	1					
ANR	8454412	ExpressionStatement	same_el = arm_current_el ( env ) == target_el	51:8:770:812	8454270	8	True				
ANR	8454413	AssignmentExpression	same_el = arm_current_el ( env ) == target_el		8454270	0		=			
ANR	8454414	Identifier	same_el		8454270	0					
ANR	8454415	EqualityExpression	arm_current_el ( env ) == target_el		8454270	1		==			
ANR	8454416	CallExpression	arm_current_el ( env )		8454270	0					
ANR	8454417	Callee	arm_current_el		8454270	0					
ANR	8454418	Identifier	arm_current_el		8454270	0					
ANR	8454419	ArgumentList	env		8454270	1					
ANR	8454420	Argument	env		8454270	0					
ANR	8454421	Identifier	env		8454270	0					
ANR	8454422	Identifier	target_el		8454270	1					
ANR	8454423	ExpressionStatement	syn = fsr & ~ ( 1 << 9 )	55:8:881:902	8454270	9	True				
ANR	8454424	AssignmentExpression	syn = fsr & ~ ( 1 << 9 )		8454270	0		=			
ANR	8454425	Identifier	syn		8454270	0					
ANR	8454426	BitAndExpression	fsr & ~ ( 1 << 9 )		8454270	1		&			
ANR	8454427	Identifier	fsr		8454270	0					
ANR	8454428	UnaryOperationExpression	~ ( 1 << 9 )		8454270	1					
ANR	8454429	UnaryOperator	~		8454270	0					
ANR	8454430	ShiftExpression	1 << 9		8454270	1		<<			
ANR	8454431	PrimaryExpression	1		8454270	0					
ANR	8454432	PrimaryExpression	9		8454270	1					
ANR	8454433	IfStatement	if ( access_type == MMU_INST_FETCH )		8454270	10					
ANR	8454434	Condition	access_type == MMU_INST_FETCH	65:12:1089:1117	8454270	0	True				
ANR	8454435	EqualityExpression	access_type == MMU_INST_FETCH		8454270	0		==			
ANR	8454436	Identifier	access_type		8454270	0					
ANR	8454437	Identifier	MMU_INST_FETCH		8454270	1					
ANR	8454438	CompoundStatement		61:43:997:997	8454270	1					
ANR	8454439	ExpressionStatement	"syn = syn_insn_abort ( same_el , 0 , fi . s1ptw , syn )"	67:12:1135:1182	8454270	0	True				
ANR	8454440	AssignmentExpression	"syn = syn_insn_abort ( same_el , 0 , fi . s1ptw , syn )"		8454270	0		=			
ANR	8454441	Identifier	syn		8454270	0					
ANR	8454442	CallExpression	"syn_insn_abort ( same_el , 0 , fi . s1ptw , syn )"		8454270	1					
ANR	8454443	Callee	syn_insn_abort		8454270	0					
ANR	8454444	Identifier	syn_insn_abort		8454270	0					
ANR	8454445	ArgumentList	same_el		8454270	1					
ANR	8454446	Argument	same_el		8454270	0					
ANR	8454447	Identifier	same_el		8454270	0					
ANR	8454448	Argument	0		8454270	1					
ANR	8454449	PrimaryExpression	0		8454270	0					
ANR	8454450	Argument	fi . s1ptw		8454270	2					
ANR	8454451	MemberAccess	fi . s1ptw		8454270	0					
ANR	8454452	Identifier	fi		8454270	0					
ANR	8454453	Identifier	s1ptw		8454270	1					
ANR	8454454	Argument	syn		8454270	3					
ANR	8454455	Identifier	syn		8454270	0					
ANR	8454456	ExpressionStatement	exc = EXCP_PREFETCH_ABORT	69:12:1197:1222	8454270	1	True				
ANR	8454457	AssignmentExpression	exc = EXCP_PREFETCH_ABORT		8454270	0		=			
ANR	8454458	Identifier	exc		8454270	0					
ANR	8454459	Identifier	EXCP_PREFETCH_ABORT		8454270	1					
ANR	8454460	ElseStatement	else		8454270	0					
ANR	8454461	CompoundStatement		67:15:1117:1117	8454270	0					
ANR	8454462	ExpressionStatement	"syn = merge_syn_data_abort ( env -> exception . syndrome , target_el , same_el , fi . s1ptw , access_type == MMU_DATA_STORE , syn )"	73:12:1255:1452	8454270	0	True				
ANR	8454463	AssignmentExpression	"syn = merge_syn_data_abort ( env -> exception . syndrome , target_el , same_el , fi . s1ptw , access_type == MMU_DATA_STORE , syn )"		8454270	0		=			
ANR	8454464	Identifier	syn		8454270	0					
ANR	8454465	CallExpression	"merge_syn_data_abort ( env -> exception . syndrome , target_el , same_el , fi . s1ptw , access_type == MMU_DATA_STORE , syn )"		8454270	1					
ANR	8454466	Callee	merge_syn_data_abort		8454270	0					
ANR	8454467	Identifier	merge_syn_data_abort		8454270	0					
ANR	8454468	ArgumentList	env -> exception . syndrome		8454270	1					
ANR	8454469	Argument	env -> exception . syndrome		8454270	0					
ANR	8454470	MemberAccess	env -> exception . syndrome		8454270	0					
ANR	8454471	PtrMemberAccess	env -> exception		8454270	0					
ANR	8454472	Identifier	env		8454270	0					
ANR	8454473	Identifier	exception		8454270	1					
ANR	8454474	Identifier	syndrome		8454270	1					
ANR	8454475	Argument	target_el		8454270	1					
ANR	8454476	Identifier	target_el		8454270	0					
ANR	8454477	Argument	same_el		8454270	2					
ANR	8454478	Identifier	same_el		8454270	0					
ANR	8454479	Argument	fi . s1ptw		8454270	3					
ANR	8454480	MemberAccess	fi . s1ptw		8454270	0					
ANR	8454481	Identifier	fi		8454270	0					
ANR	8454482	Identifier	s1ptw		8454270	1					
ANR	8454483	Argument	access_type == MMU_DATA_STORE		8454270	4					
ANR	8454484	EqualityExpression	access_type == MMU_DATA_STORE		8454270	0		==			
ANR	8454485	Identifier	access_type		8454270	0					
ANR	8454486	Identifier	MMU_DATA_STORE		8454270	1					
ANR	8454487	Argument	syn		8454270	5					
ANR	8454488	Identifier	syn		8454270	0					
ANR	8454489	IfStatement	"if ( access_type == MMU_DATA_STORE && arm_feature ( env , ARM_FEATURE_V6 ) )"		8454270	1					
ANR	8454490	Condition	"access_type == MMU_DATA_STORE && arm_feature ( env , ARM_FEATURE_V6 )"	79:16:1471:1552	8454270	0	True				
ANR	8454491	AndExpression	"access_type == MMU_DATA_STORE && arm_feature ( env , ARM_FEATURE_V6 )"		8454270	0		&&			
ANR	8454492	EqualityExpression	access_type == MMU_DATA_STORE		8454270	0		==			
ANR	8454493	Identifier	access_type		8454270	0					
ANR	8454494	Identifier	MMU_DATA_STORE		8454270	1					
ANR	8454495	CallExpression	"arm_feature ( env , ARM_FEATURE_V6 )"		8454270	1					
ANR	8454496	Callee	arm_feature		8454270	0					
ANR	8454497	Identifier	arm_feature		8454270	0					
ANR	8454498	ArgumentList	env		8454270	1					
ANR	8454499	Argument	env		8454270	0					
ANR	8454500	Identifier	env		8454270	0					
ANR	8454501	Argument	ARM_FEATURE_V6		8454270	1					
ANR	8454502	Identifier	ARM_FEATURE_V6		8454270	0					
