command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	8594243	File	/home/p4ultr4n/workplace/ReVeal/raw_code/uart_write_02_1.c								
ANR	8594244	Function	uart_write	1:0:0:863							
ANR	8594245	FunctionDef	"uart_write (void * opaque , hwaddr addr , uint64_t value , unsigned size)"		8594244	0					
ANR	8594246	CompoundStatement		5:0:106:863	8594244	0					
ANR	8594247	IdentifierDeclStatement	LM32UartState * s = opaque ;	7:4:113:138	8594244	0	True				
ANR	8594248	IdentifierDecl	* s = opaque		8594244	0					
ANR	8594249	IdentifierDeclType	LM32UartState *		8594244	0					
ANR	8594250	Identifier	s		8594244	1					
ANR	8594251	AssignmentExpression	* s = opaque		8594244	2		=			
ANR	8594252	Identifier	opaque		8594244	0					
ANR	8594253	Identifier	opaque		8594244	1					
ANR	8594254	IdentifierDeclStatement	unsigned char ch = value ;	9:4:145:169	8594244	1	True				
ANR	8594255	IdentifierDecl	ch = value		8594244	0					
ANR	8594256	IdentifierDeclType	unsigned char		8594244	0					
ANR	8594257	Identifier	ch		8594244	1					
ANR	8594258	AssignmentExpression	ch = value		8594244	2		=			
ANR	8594259	Identifier	value		8594244	0					
ANR	8594260	Identifier	value		8594244	1					
ANR	8594261	ExpressionStatement	"trace_lm32_uart_memory_write ( addr , value )"	13:4:178:219	8594244	2	True				
ANR	8594262	CallExpression	"trace_lm32_uart_memory_write ( addr , value )"		8594244	0					
ANR	8594263	Callee	trace_lm32_uart_memory_write		8594244	0					
ANR	8594264	Identifier	trace_lm32_uart_memory_write		8594244	0					
ANR	8594265	ArgumentList	addr		8594244	1					
ANR	8594266	Argument	addr		8594244	0					
ANR	8594267	Identifier	addr		8594244	0					
ANR	8594268	Argument	value		8594244	1					
ANR	8594269	Identifier	value		8594244	0					
ANR	8594270	ExpressionStatement	addr >>= 2	17:4:228:238	8594244	3	True				
ANR	8594271	AssignmentExpression	addr >>= 2		8594244	0		>>=			
ANR	8594272	Identifier	addr		8594244	0					
ANR	8594273	PrimaryExpression	2		8594244	1					
ANR	8594274	SwitchStatement	switch ( addr )		8594244	4					
ANR	8594275	Condition	addr	19:12:253:256	8594244	0	True				
ANR	8594276	Identifier	addr		8594244	0					
ANR	8594277	CompoundStatement		15:18:152:152	8594244	1					
ANR	8594278	Label	case R_RXTX :	21:4:266:277	8594244	0	True				
ANR	8594279	Identifier	R_RXTX		8594244	0					
ANR	8594280	IfStatement	if ( s -> chr )		8594244	1					
ANR	8594281	Condition	s -> chr	23:12:292:297	8594244	0	True				
ANR	8594282	PtrMemberAccess	s -> chr		8594244	0					
ANR	8594283	Identifier	s		8594244	0					
ANR	8594284	Identifier	chr		8594244	1					
ANR	8594285	CompoundStatement		19:20:193:193	8594244	1					
ANR	8594286	ExpressionStatement	"qemu_chr_fe_write_all ( s -> chr , & ch , 1 )"	27:12:317:354	8594244	0	True				
ANR	8594287	CallExpression	"qemu_chr_fe_write_all ( s -> chr , & ch , 1 )"		8594244	0					
ANR	8594288	Callee	qemu_chr_fe_write_all		8594244	0					
ANR	8594289	Identifier	qemu_chr_fe_write_all		8594244	0					
ANR	8594290	ArgumentList	s -> chr		8594244	1					
ANR	8594291	Argument	s -> chr		8594244	0					
ANR	8594292	PtrMemberAccess	s -> chr		8594244	0					
ANR	8594293	Identifier	s		8594244	0					
ANR	8594294	Identifier	chr		8594244	1					
ANR	8594295	Argument	& ch		8594244	1					
ANR	8594296	UnaryOperationExpression	& ch		8594244	0					
ANR	8594297	UnaryOperator	&		8594244	0					
ANR	8594298	Identifier	ch		8594244	1					
ANR	8594299	Argument	1		8594244	2					
ANR	8594300	PrimaryExpression	1		8594244	0					
ANR	8594301	BreakStatement	break ;	31:8:376:381	8594244	2	True				
ANR	8594302	Label	case R_IER :	33:4:388:398	8594244	3	True				
ANR	8594303	Identifier	R_IER		8594244	0					
ANR	8594304	Label	case R_LCR :	35:4:405:415	8594244	4	True				
ANR	8594305	Identifier	R_LCR		8594244	0					
ANR	8594306	Label	case R_MCR :	37:4:422:432	8594244	5	True				
ANR	8594307	Identifier	R_MCR		8594244	0					
ANR	8594308	Label	case R_DIV :	39:4:439:449	8594244	6	True				
ANR	8594309	Identifier	R_DIV		8594244	0					
ANR	8594310	ExpressionStatement	s -> regs [ addr ] = value	41:8:460:481	8594244	7	True				
ANR	8594311	AssignmentExpression	s -> regs [ addr ] = value		8594244	0		=			
ANR	8594312	ArrayIndexing	s -> regs [ addr ]		8594244	0					
ANR	8594313	PtrMemberAccess	s -> regs		8594244	0					
ANR	8594314	Identifier	s		8594244	0					
ANR	8594315	Identifier	regs		8594244	1					
ANR	8594316	Identifier	addr		8594244	1					
ANR	8594317	Identifier	value		8594244	1					
ANR	8594318	BreakStatement	break ;	43:8:492:497	8594244	8	True				
ANR	8594319	Label	case R_IIR :	45:4:504:514	8594244	9	True				
ANR	8594320	Identifier	R_IIR		8594244	0					
ANR	8594321	Label	case R_LSR :	47:4:521:531	8594244	10	True				
ANR	8594322	Identifier	R_LSR		8594244	0					
ANR	8594323	Label	case R_MSR :	49:4:538:548	8594244	11	True				
ANR	8594324	Identifier	R_MSR		8594244	0					
ANR	8594325	Statement	error_report	51:8:559:570	8594244	12	True				
ANR	8594326	Statement	(	51:20:571:571	8594244	13	True				
ANR	8594327	Statement	"""lm32_uart: write access to read only register 0x"""	51:21:572:621	8594244	14	True				
ANR	8594328	Statement	TARGET_FMT_plx	53:16:640:653	8594244	15	True				
ANR	8594329	Statement	","	53:30:654:654	8594244	16	True				
ANR	8594330	Statement	addr	53:32:656:659	8594244	17	True				
ANR	8594331	Statement	<<	53:37:661:662	8594244	18	True				
ANR	8594332	Statement	2	53:40:664:664	8594244	19	True				
ANR	8594333	Statement	)	53:41:665:665	8594244	20	True				
ANR	8594334	ExpressionStatement		53:42:666:666	8594244	21	True				
ANR	8594335	BreakStatement	break ;	55:8:677:682	8594244	22	True				
ANR	8594336	Label	default :	57:4:689:696	8594244	23	True				
ANR	8594337	Identifier	default		8594244	0					
ANR	8594338	Statement	error_report	59:8:707:718	8594244	24	True				
ANR	8594339	Statement	(	59:20:719:719	8594244	25	True				
ANR	8594340	Statement	"""lm32_uart: write access to unknown register 0x"""	59:21:720:767	8594244	26	True				
ANR	8594341	Statement	TARGET_FMT_plx	61:16:786:799	8594244	27	True				
ANR	8594342	Statement	","	61:30:800:800	8594244	28	True				
ANR	8594343	Statement	addr	61:32:802:805	8594244	29	True				
ANR	8594344	Statement	<<	61:37:807:808	8594244	30	True				
ANR	8594345	Statement	2	61:40:810:810	8594244	31	True				
ANR	8594346	Statement	)	61:41:811:811	8594244	32	True				
ANR	8594347	ExpressionStatement		61:42:812:812	8594244	33	True				
ANR	8594348	BreakStatement	break ;	63:8:823:828	8594244	34	True				
ANR	8594349	ExpressionStatement	uart_update_irq ( s )	67:4:842:860	8594244	5	True				
ANR	8594350	CallExpression	uart_update_irq ( s )		8594244	0					
ANR	8594351	Callee	uart_update_irq		8594244	0					
ANR	8594352	Identifier	uart_update_irq		8594244	0					
ANR	8594353	ArgumentList	s		8594244	1					
ANR	8594354	Argument	s		8594244	0					
ANR	8594355	Identifier	s		8594244	0					
ANR	8594356	ReturnType	static void		8594244	1					
ANR	8594357	Identifier	uart_write		8594244	2					
ANR	8594358	ParameterList	"void * opaque , hwaddr addr , uint64_t value , unsigned size"		8594244	3					
ANR	8594359	Parameter	void * opaque	1:23:23:34	8594244	0	True				
ANR	8594360	ParameterType	void *		8594244	0					
ANR	8594361	Identifier	opaque		8594244	1					
ANR	8594362	Parameter	hwaddr addr	1:37:37:47	8594244	1	True				
ANR	8594363	ParameterType	hwaddr		8594244	0					
ANR	8594364	Identifier	addr		8594244	1					
ANR	8594365	Parameter	uint64_t value	3:23:74:87	8594244	2	True				
ANR	8594366	ParameterType	uint64_t		8594244	0					
ANR	8594367	Identifier	value		8594244	1					
ANR	8594368	Parameter	unsigned size	3:39:90:102	8594244	3	True				
ANR	8594369	ParameterType	unsigned		8594244	0					
ANR	8594370	Identifier	size		8594244	1					
ANR	8594371	CFGEntryNode	ENTRY		8594244		True				
ANR	8594372	CFGExitNode	EXIT		8594244		True				
ANR	8594373	Symbol	s -> regs		8594244						
ANR	8594374	Symbol	opaque		8594244						
ANR	8594375	Symbol	ch		8594244						
ANR	8594376	Symbol	& ch		8594244						
ANR	8594377	Symbol	s		8594244						
ANR	8594378	Symbol	size		8594244						
ANR	8594379	Symbol	* * s		8594244						
ANR	8594380	Symbol	s -> chr		8594244						
ANR	8594381	Symbol	* addr		8594244						
ANR	8594382	Symbol	addr		8594244						
ANR	8594383	Symbol	value		8594244						
ANR	8594384	Symbol	* s		8594244						
ANR	8594385	Symbol	* s -> regs		8594244						
