command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	8679619	File	/home/p4ultr4n/workplace/ReVeal/raw_code/usb_host_handle_iso_data_1.c								
ANR	8679620	Function	usb_host_handle_iso_data	1:0:0:3741							
ANR	8679621	FunctionDef	"usb_host_handle_iso_data (USBHostDevice * s , USBPacket * p , int in)"		8679620	0					
ANR	8679622	CompoundStatement		3:0:77:3741	8679620	0					
ANR	8679623	IdentifierDeclStatement	AsyncURB * aurb ;	5:4:84:98	8679620	0	True				
ANR	8679624	IdentifierDecl	* aurb		8679620	0					
ANR	8679625	IdentifierDeclType	AsyncURB *		8679620	0					
ANR	8679626	Identifier	aurb		8679620	1					
ANR	8679627	IdentifierDeclStatement	"int i , j , ret , max_packet_size , offset , len = 0 ;"	7:4:105:152	8679620	1	True				
ANR	8679628	IdentifierDecl	i		8679620	0					
ANR	8679629	IdentifierDeclType	int		8679620	0					
ANR	8679630	Identifier	i		8679620	1					
ANR	8679631	IdentifierDecl	j		8679620	1					
ANR	8679632	IdentifierDeclType	int		8679620	0					
ANR	8679633	Identifier	j		8679620	1					
ANR	8679634	IdentifierDecl	ret		8679620	2					
ANR	8679635	IdentifierDeclType	int		8679620	0					
ANR	8679636	Identifier	ret		8679620	1					
ANR	8679637	IdentifierDecl	max_packet_size		8679620	3					
ANR	8679638	IdentifierDeclType	int		8679620	0					
ANR	8679639	Identifier	max_packet_size		8679620	1					
ANR	8679640	IdentifierDecl	offset		8679620	4					
ANR	8679641	IdentifierDeclType	int		8679620	0					
ANR	8679642	Identifier	offset		8679620	1					
ANR	8679643	IdentifierDecl	len = 0		8679620	5					
ANR	8679644	IdentifierDeclType	int		8679620	0					
ANR	8679645	Identifier	len		8679620	1					
ANR	8679646	AssignmentExpression	len = 0		8679620	2		=			
ANR	8679647	Identifier	len		8679620	0					
ANR	8679648	PrimaryExpression	0		8679620	1					
ANR	8679649	ExpressionStatement	"max_packet_size = get_max_packet_size ( s , p -> devep )"	11:4:161:211	8679620	2	True				
ANR	8679650	AssignmentExpression	"max_packet_size = get_max_packet_size ( s , p -> devep )"		8679620	0		=			
ANR	8679651	Identifier	max_packet_size		8679620	0					
ANR	8679652	CallExpression	"get_max_packet_size ( s , p -> devep )"		8679620	1					
ANR	8679653	Callee	get_max_packet_size		8679620	0					
ANR	8679654	Identifier	get_max_packet_size		8679620	0					
ANR	8679655	ArgumentList	s		8679620	1					
ANR	8679656	Argument	s		8679620	0					
ANR	8679657	Identifier	s		8679620	0					
ANR	8679658	Argument	p -> devep		8679620	1					
ANR	8679659	PtrMemberAccess	p -> devep		8679620	0					
ANR	8679660	Identifier	p		8679620	0					
ANR	8679661	Identifier	devep		8679620	1					
ANR	8679662	IfStatement	if ( max_packet_size == 0 )		8679620	3					
ANR	8679663	Condition	max_packet_size == 0	13:8:222:241	8679620	0	True				
ANR	8679664	EqualityExpression	max_packet_size == 0		8679620	0		==			
ANR	8679665	Identifier	max_packet_size		8679620	0					
ANR	8679666	PrimaryExpression	0		8679620	1					
ANR	8679667	ReturnStatement	return USB_RET_NAK ;	15:8:253:271	8679620	1	True				
ANR	8679668	Identifier	USB_RET_NAK		8679620	0					
ANR	8679669	ExpressionStatement	"aurb = get_iso_urb ( s , p -> devep )"	19:4:280:311	8679620	4	True				
ANR	8679670	AssignmentExpression	"aurb = get_iso_urb ( s , p -> devep )"		8679620	0		=			
ANR	8679671	Identifier	aurb		8679620	0					
ANR	8679672	CallExpression	"get_iso_urb ( s , p -> devep )"		8679620	1					
ANR	8679673	Callee	get_iso_urb		8679620	0					
ANR	8679674	Identifier	get_iso_urb		8679620	0					
ANR	8679675	ArgumentList	s		8679620	1					
ANR	8679676	Argument	s		8679620	0					
ANR	8679677	Identifier	s		8679620	0					
ANR	8679678	Argument	p -> devep		8679620	1					
ANR	8679679	PtrMemberAccess	p -> devep		8679620	0					
ANR	8679680	Identifier	p		8679620	0					
ANR	8679681	Identifier	devep		8679620	1					
ANR	8679682	IfStatement	if ( ! aurb )		8679620	5					
ANR	8679683	Condition	! aurb	21:8:322:326	8679620	0	True				
ANR	8679684	UnaryOperationExpression	! aurb		8679620	0					
ANR	8679685	UnaryOperator	!		8679620	0					
ANR	8679686	Identifier	aurb		8679620	1					
ANR	8679687	CompoundStatement		19:15:251:251	8679620	1					
ANR	8679688	ExpressionStatement	"aurb = usb_host_alloc_iso ( s , p -> devep , in )"	23:8:340:382	8679620	0	True				
ANR	8679689	AssignmentExpression	"aurb = usb_host_alloc_iso ( s , p -> devep , in )"		8679620	0		=			
ANR	8679690	Identifier	aurb		8679620	0					
ANR	8679691	CallExpression	"usb_host_alloc_iso ( s , p -> devep , in )"		8679620	1					
ANR	8679692	Callee	usb_host_alloc_iso		8679620	0					
ANR	8679693	Identifier	usb_host_alloc_iso		8679620	0					
ANR	8679694	ArgumentList	s		8679620	1					
ANR	8679695	Argument	s		8679620	0					
ANR	8679696	Identifier	s		8679620	0					
ANR	8679697	Argument	p -> devep		8679620	1					
ANR	8679698	PtrMemberAccess	p -> devep		8679620	0					
ANR	8679699	Identifier	p		8679620	0					
ANR	8679700	Identifier	devep		8679620	1					
ANR	8679701	Argument	in		8679620	2					
ANR	8679702	Identifier	in		8679620	0					
ANR	8679703	ExpressionStatement	"i = get_iso_urb_idx ( s , p -> devep )"	29:4:398:430	8679620	6	True				
ANR	8679704	AssignmentExpression	"i = get_iso_urb_idx ( s , p -> devep )"		8679620	0		=			
ANR	8679705	Identifier	i		8679620	0					
ANR	8679706	CallExpression	"get_iso_urb_idx ( s , p -> devep )"		8679620	1					
ANR	8679707	Callee	get_iso_urb_idx		8679620	0					
ANR	8679708	Identifier	get_iso_urb_idx		8679620	0					
ANR	8679709	ArgumentList	s		8679620	1					
ANR	8679710	Argument	s		8679620	0					
ANR	8679711	Identifier	s		8679620	0					
ANR	8679712	Argument	p -> devep		8679620	1					
ANR	8679713	PtrMemberAccess	p -> devep		8679620	0					
ANR	8679714	Identifier	p		8679620	0					
ANR	8679715	Identifier	devep		8679620	1					
ANR	8679716	ExpressionStatement	j = aurb [ i ] . iso_frame_idx	31:4:437:462	8679620	7	True				
ANR	8679717	AssignmentExpression	j = aurb [ i ] . iso_frame_idx		8679620	0		=			
ANR	8679718	Identifier	j		8679620	0					
ANR	8679719	MemberAccess	aurb [ i ] . iso_frame_idx		8679620	1					
ANR	8679720	ArrayIndexing	aurb [ i ]		8679620	0					
ANR	8679721	Identifier	aurb		8679620	0					
ANR	8679722	Identifier	i		8679620	1					
ANR	8679723	Identifier	iso_frame_idx		8679620	1					
ANR	8679724	IfStatement	if ( j >= 0 && j < ISO_FRAME_DESC_PER_URB )		8679620	8					
ANR	8679725	Condition	j >= 0 && j < ISO_FRAME_DESC_PER_URB	33:8:473:508	8679620	0	True				
ANR	8679726	AndExpression	j >= 0 && j < ISO_FRAME_DESC_PER_URB		8679620	0		&&			
ANR	8679727	RelationalExpression	j >= 0		8679620	0		>=			
ANR	8679728	Identifier	j		8679620	0					
ANR	8679729	PrimaryExpression	0		8679620	1					
ANR	8679730	RelationalExpression	j < ISO_FRAME_DESC_PER_URB		8679620	1		<			
ANR	8679731	Identifier	j		8679620	0					
ANR	8679732	Identifier	ISO_FRAME_DESC_PER_URB		8679620	1					
ANR	8679733	CompoundStatement		31:46:433:433	8679620	1					
ANR	8679734	IfStatement	if ( in )		8679620	0					
ANR	8679735	Condition	in	35:12:526:527	8679620	0	True				
ANR	8679736	Identifier	in		8679620	0					
ANR	8679737	CompoundStatement		33:16:452:452	8679620	1					
ANR	8679738	IfStatement	if ( aurb [ i ] . urb . status )		8679620	0					
ANR	8679739	Condition	aurb [ i ] . urb . status	39:16:586:603	8679620	0	True				
ANR	8679740	MemberAccess	aurb [ i ] . urb . status		8679620	0					
ANR	8679741	MemberAccess	aurb [ i ] . urb		8679620	0					
ANR	8679742	ArrayIndexing	aurb [ i ]		8679620	0					
ANR	8679743	Identifier	aurb		8679620	0					
ANR	8679744	Identifier	i		8679620	1					
ANR	8679745	Identifier	urb		8679620	1					
ANR	8679746	Identifier	status		8679620	1					
ANR	8679747	CompoundStatement		37:36:528:528	8679620	1					
ANR	8679748	ExpressionStatement	len = urb_status_to_usb_ret ( aurb [ i ] . urb . status )	41:16:625:672	8679620	0	True				
