command	key	type	code	location	functionId	childNum	isCFGNode	operator	baseType	completeType	identifier
ANR	8691527	File	/home/p4ultr4n/workplace/ReVeal/raw_code/usb_msd_handle_data_1.c								
ANR	8691528	Function	usb_msd_handle_data	1:0:0:4567							
ANR	8691529	FunctionDef	"usb_msd_handle_data (USBDevice * dev , USBPacket * p)"		8691528	0					
ANR	8691530	CompoundStatement		3:0:62:4567	8691528	0					
ANR	8691531	IdentifierDeclStatement	MSDState * s = ( MSDState * ) dev ;	5:4:69:98	8691528	0	True				
ANR	8691532	IdentifierDecl	* s = ( MSDState * ) dev		8691528	0					
ANR	8691533	IdentifierDeclType	MSDState *		8691528	0					
ANR	8691534	Identifier	s		8691528	1					
ANR	8691535	AssignmentExpression	* s = ( MSDState * ) dev		8691528	2		=			
ANR	8691536	Identifier	s		8691528	0					
ANR	8691537	CastExpression	( MSDState * ) dev		8691528	1					
ANR	8691538	CastTarget	MSDState *		8691528	0					
ANR	8691539	Identifier	dev		8691528	1					
ANR	8691540	IdentifierDeclStatement	int ret = 0 ;	7:4:105:116	8691528	1	True				
ANR	8691541	IdentifierDecl	ret = 0		8691528	0					
ANR	8691542	IdentifierDeclType	int		8691528	0					
ANR	8691543	Identifier	ret		8691528	1					
ANR	8691544	AssignmentExpression	ret = 0		8691528	2		=			
ANR	8691545	Identifier	ret		8691528	0					
ANR	8691546	PrimaryExpression	0		8691528	1					
ANR	8691547	IdentifierDeclStatement	struct usb_msd_cbw cbw ;	9:4:123:145	8691528	2	True				
ANR	8691548	IdentifierDecl	cbw		8691528	0					
ANR	8691549	IdentifierDeclType	struct usb_msd_cbw		8691528	0					
ANR	8691550	Identifier	cbw		8691528	1					
ANR	8691551	IdentifierDeclStatement	uint8_t devep = p -> devep ;	11:4:152:176	8691528	3	True				
ANR	8691552	IdentifierDecl	devep = p -> devep		8691528	0					
ANR	8691553	IdentifierDeclType	uint8_t		8691528	0					
ANR	8691554	Identifier	devep		8691528	1					
ANR	8691555	AssignmentExpression	devep = p -> devep		8691528	2		=			
ANR	8691556	Identifier	devep		8691528	0					
ANR	8691557	PtrMemberAccess	p -> devep		8691528	1					
ANR	8691558	Identifier	p		8691528	0					
ANR	8691559	Identifier	devep		8691528	1					
ANR	8691560	IdentifierDeclStatement	uint8_t * data = p -> data ;	13:4:183:206	8691528	4	True				
ANR	8691561	IdentifierDecl	* data = p -> data		8691528	0					
ANR	8691562	IdentifierDeclType	uint8_t *		8691528	0					
ANR	8691563	Identifier	data		8691528	1					
ANR	8691564	AssignmentExpression	* data = p -> data		8691528	2		=			
ANR	8691565	Identifier	data		8691528	0					
ANR	8691566	PtrMemberAccess	p -> data		8691528	1					
ANR	8691567	Identifier	p		8691528	0					
ANR	8691568	Identifier	data		8691528	1					
ANR	8691569	IdentifierDeclStatement	int len = p -> len ;	15:4:213:229	8691528	5	True				
ANR	8691570	IdentifierDecl	len = p -> len		8691528	0					
ANR	8691571	IdentifierDeclType	int		8691528	0					
ANR	8691572	Identifier	len		8691528	1					
ANR	8691573	AssignmentExpression	len = p -> len		8691528	2		=			
ANR	8691574	Identifier	len		8691528	0					
ANR	8691575	PtrMemberAccess	p -> len		8691528	1					
ANR	8691576	Identifier	p		8691528	0					
ANR	8691577	Identifier	len		8691528	1					
ANR	8691578	SwitchStatement	switch ( p -> pid )		8691528	6					
ANR	8691579	Condition	p -> pid	19:12:246:251	8691528	0	True				
ANR	8691580	PtrMemberAccess	p -> pid		8691528	0					
ANR	8691581	Identifier	p		8691528	0					
ANR	8691582	Identifier	pid		8691528	1					
